Starting sequence Tue Mar 12 11:00:45 2024
_seqline	_dataname$	_alsbottle	_alsbottle2	_methpath$	_methfile$	_datapath$	Sdatafile$	_runtype$	_levelid$	_multiplr	_miscinfo$	_sampamt	_injvol	_injvol2	_expbarcode$	_expbarcode2$	_pretreatpath$	_pretreatfile$	_traypicked	_balanceoverride	_damethodpathname$	_damethodfilename$	_dareportpath$	_sampleinformation$	_istdamt	_keyword$	_keywordstring$	_matrixspikegroup$	_samplegroup$	_samplingdatetime	_samplingtime	_totalsampleamount	
1	ACN-Blank	1	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	ACN-BLANK.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
2	ACN-SLA	2	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	ACN-SLA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
3	ACN-PA	3	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	ACN-PA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
4	ACN-PP	4	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	ACN-PP.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
5	ACN-PET	6	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	ACN-PET.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
6	ACN-End-Blank	1	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	ACN-End-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
7	MEOH-Blank	11	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	MEOH-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
8	MEOH-SLA	12	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	MEOH-SLA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
9	MEOH-PA	13	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	MEOH-PA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
10	MEOH-PP	14	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\1-Week Exposure\	MEOH-PP.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
