#"+EI TIC Scan ACE-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0741439246771926
1,2.102,0.0651811602312772
2,2.110,0.0700505818864234
3,2.117,0.061807110046516
4,2.125,0.0492194894413761
5,2.132,0.0467114296967429
6,2.140,0.0489876122197024
7,2.147,0.046408569652108
8,2.155,0.0369536576336608
9,2.162,0.04928574007614
10,2.170,0.0530005078111155
11,2.178,0.0504877158782849
12,2.185,0.0399112752570489
13,2.193,0.0386903707021143
14,2.200,0.0350418536019027
15,2.208,0.0337972881059809
16,2.215,0.041226823575932
17,2.223,0.0415628089379489
18,2.230,0.0420123668167038
19,2.238,0.0514057603885846
20,2.245,0.0440235468006078
21,2.253,0.0376066996049049
22,2.260,0.0248203270954733
23,2.268,0.033044870182591
24,2.276,0.0436023820510373
25,2.283,0.0259465878864595
26,2.291,0.0143621911791728
27,2.298,0.023996926349122
28,2.306,0.0283883969963287
29,2.313,0.0342941678667102
30,2.321,0.0268504358321669
31,2.328,0.0344124725716457
32,2.336,0.0240773735484782
33,2.343,0.0389506410529724
34,2.351,0.0303711838510481
35,2.358,0.0241246954304524
36,2.366,0.0335701430725047
37,2.373,0.0237129950572767
38,2.381,0.0360829350053353
39,2.389,0.162101106702657
40,2.396,0.271296349358147
41,2.404,0.0896938950939181
42,2.411,0.0282133060330241
43,2.419,0.0299452869132802
44,2.426,0.0353163205173531
45,2.434,0.0287338467347405
46,2.441,0.0202726942377517
47,2.449,0.0227854861705822
48,2.456,0.0236751375516974
49,2.464,0.0326047766802309
50,2.471,0.0141350461456966
51,2.479,0.0269214186551282
52,2.486,0.0228990586873203
53,2.494,0.0218059232137161
54,2.502,0.0307166335894599
55,2.509,0.0388323363480369
56,2.517,0.0185075880401136
57,2.524,0.0184318730289549
58,2.532,0.0320037887791584
59,2.539,0.0350087282845207
60,2.547,0.0371571417261499
61,2.554,0.0258803372516956
62,2.562,0.0321599509896733
63,2.569,0.0249433639886062
64,2.577,0.0319280737679996
65,2.584,0.0301724319467564
66,2.592,0.0241530885596369
67,2.600,0.0218911026012697
68,2.607,0.0294626037171433
69,2.615,0.0336363937072686
70,2.622,0.0188199124611434
71,2.630,0.0301771641349539
72,2.637,0.0254686368785199
73,2.645,0.0180816911023457
74,2.652,0.0278962494237969
75,2.660,0.034989799531731
76,2.667,0.0183183005122168
77,2.675,0.0269498117843127
78,2.682,0.0199887629459064
79,2.690,0.00869302971866242
80,2.697,0.0256957819119962
81,2.705,0.0265239148465448
82,2.713,0.0311094052098458
83,2.720,0.0458832967621942
84,2.728,0.0290225102147831
85,2.735,0.0398686855632721
86,2.743,0.0345591704057657
87,2.750,0.0324391500933211
88,2.758,0.0299405547250828
89,2.765,0.0492384181941657
90,2.773,0.0493235975817193
91,2.780,0.0299026972195034
92,2.788,0.0267889173856004
93,2.795,0.0352406055061944
94,2.803,0.0462050855596189
95,2.811,0.035562394303619
96,2.818,0.0289609917682167
97,2.826,0.0220661935645742
98,2.833,0.0249102386712243
99,2.841,0.031876019697828
100,2.848,0.0187205365089976
101,2.856,0.0272574040171451
102,2.863,0.0370719623385963
103,2.871,0.0142722796034218
104,2.878,0.0258472119343136
105,2.886,0.0424335315662743
106,2.893,0.0256721209710091
107,2.901,0.040867177272928
108,2.908,0.0344929197710018
109,2.916,0.0412410201405242
110,2.924,0.0154979163465539
111,2.931,0.0334471061793718
112,2.939,0.0367785666703562
113,2.946,0.0339203249991139
114,2.954,0.688992404979909
115,2.961,13.244784312304
116,2.969,56.5659324187686
117,2.976,100
118,2.984,18.3426239595515
119,2.991,0.188341090257357
120,2.999,0.0906923868035739
121,3.006,0.0799550517836256
122,3.014,0.0716831868145337
123,3.022,0.0606713848791349
124,3.029,0.0615894293894346
125,3.037,0.0783366434201076
126,3.044,0.0472934888450257
127,3.052,0.0466120537445971
128,3.059,0.0519594264076828
129,3.067,0.0468675919072578
130,3.074,0.0442554240222814
131,3.082,0.0478992089342956
132,3.089,0.0382692059525438
133,3.097,0.0405785137928853
134,3.104,0.0377817905682094
135,3.112,0.0453816848132676
136,3.119,0.0580781457469482
137,3.127,0.0763538565653882
138,3.135,0.0431338954194926
139,3.142,0.0256011381480477
140,3.150,0.0436402395566167
141,3.157,0.0515619225990995
142,3.165,0.0440661364943846
143,3.172,0.036698119471
144,3.180,0.0485427865291449
145,3.187,0.0454668642008212
146,3.195,0.0222838742216556
147,3.202,0.0360971315699276
148,3.210,0.03475319012186
149,3.217,0.0300872525592029
150,3.225,0.0340764872096288
151,3.232,0.0291266183551264
152,3.240,0.0362343650276528
153,3.248,0.0515287972817175
154,3.255,0.0417047745838715
155,3.263,0.0471420588227082
156,3.270,0.0249575605531985
157,3.278,0.0277069618959001
158,3.285,0.0118635958109345
159,3.293,0.0206086795997686
160,3.300,0.0193972394212288
161,3.308,0.0289325986390321
162,3.315,0.0548318646435174
163,3.323,0.0315400343358111
164,3.330,0.0276075859437542
165,3.338,0.0242240713825982
166,3.346,0.020523500212215
167,3.353,0.0219431566714413
168,3.361,0.0181195486079251
169,3.368,0.0221703017049175
170,3.376,0.0277684803424666
171,3.383,0.0285776845242256
172,3.391,0.0215787781802399
173,3.398,0.013600308879388
174,3.406,0.0157203291918326
175,3.413,0.0143054049208038
176,3.421,0.0217018150733728
177,3.428,0.019501347561572
178,3.436,0.0285398270186462
179,3.443,0.0231593290381785
180,3.451,0.0198326007353915
181,3.459,0.0177504379285263
182,3.466,0.010453403728103
183,3.474,0.0151855919255241
184,3.481,0.029088760849547
185,3.489,0.0803288946512219
186,3.496,0.0349756029671388
187,3.504,0.0240584447956885
188,3.511,0.0214604734753043
189,3.519,0.0251941699630695
190,3.526,0.022108783258351
191,3.534,0.0178356173160798
192,3.541,0.0104486715399056
193,3.549,0.0138558470420488
194,3.557,0.0191227725057784
195,3.564,0.0228517368053461
196,3.572,0.0106190303150128
197,3.579,0.0135861123147958
198,3.587,0.0166052483847504
199,3.594,0.0262163226137125
200,3.602,0.0178592782570669
201,3.609,0.0133778960341092
202,3.617,0.0234669212710109
203,3.624,0.0305415426261553
204,3.632,0.0117926129879732
205,3.639,0.0211292203014849
206,3.647,0.0182378533128606
207,3.654,0.0185549099220878
208,3.662,0.00743426765814843
209,3.670,0.0189003596604996
210,3.677,0.010723138455356
211,3.685,0.00687113726265533
212,3.692,0.0144379061903315
213,3.700,0.0275507996853852
214,3.707,0.0237887100684355
215,3.715,0.0104013496579314
216,3.722,0.0136665595141519
217,3.730,0.00813463151136674
218,3.737,0.0243707692167183
219,3.745,0.0158197051439785
220,3.752,0.0219005669776645
221,3.760,0.0157250613800301
222,3.768,0.0223879823619989
223,3.775,0.0168040002890421
224,3.783,0.015848098273163
225,3.790,0.0158954201551372
226,3.798,0.0191984875169371
227,3.805,0.0190754506238041
228,3.813,0.0161131008122186
229,3.820,0.0228801299345306
230,3.828,0.00859365376651658
231,3.835,0.0228848621227281
232,3.843,0.0125166377821786
233,3.850,0.0136097732557829
234,3.858,0.0209872546555622
235,3.865,0.00349708707789414
236,3.873,0.00694212008561664
237,3.881,0.0174617744484836
238,3.888,0.0261406076025537
239,3.896,0.0188293768375383
240,3.903,0.00866463658947789
241,3.911,0.0171210568982693
242,3.918,0.0142438864742373
243,3.926,0.0213610975231585
244,3.933,0.0158859557787424
245,3.941,0.0313980686898885
246,3.948,0.0227145033476209
247,3.956,0.0205093036476227
248,3.963,0.0243423760875337
249,3.971,0.0708692504445772
250,3.979,0.0283079497969726
251,3.986,0.0208547533860345
252,3.994,0.0136996848315339
253,4.001,0.011745291105999
254,4.009,0.0123604755716637
255,4.016,0.0176794551055649
256,4.024,0.0267652564446133
257,4.031,0.0110685881937678
258,4.039,0.0272100821351709
259,4.046,0.0156256854278842
260,4.054,0.0177740988695134
261,4.061,0.0224636973731576
262,4.069,0.0177409735521314
263,4.076,0.0247588086489068
264,4.084,0.0207553774338886
265,4.092,0.0149679112684427
266,4.099,0.00689479820364243
267,4.107,0.00781757490213953
268,4.114,0.0125261021585734
269,4.122,0.00825293621630226
270,4.129,0.0300683238064132
271,4.137,0.0168418577946214
272,4.144,0.0254686368785199
273,4.152,0.0165437299381839
274,4.159,0.0180816911023457
275,4.167,0.0207885027512706
276,4.174,0.0130513750484872
277,4.182,0.0126538712399038
278,4.189,0.0239306757143581
279,4.197,0.0227996827351745
280,4.205,0.022288606409853
281,4.212,0.00435361314162734
282,4.220,0.00656827721802038
283,4.227,0.0127769081330368
284,4.235,0.0121285983499901
285,4.242,0.0155830957341074
286,4.250,0.0195723303845334
287,4.257,0.0347389935572677
288,4.265,0.0159285454725192
289,4.272,0.0172819512969816
290,4.280,0.0172630225441919
291,4.287,0.0227003067830286
292,4.295,0.0239827297845297
293,4.303,0.0212948468883946
294,4.310,0.0175895435298139
295,4.318,0.0110591238173729
296,4.325,0.0122090455493462
