#"+EI TIC Scan ACE-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0947276882896954
1,2.102,0.0927348263587933
2,2.110,0.073054122888067
3,2.117,0.0823318963749937
4,2.125,0.0780839538380709
5,2.132,0.0781840736958435
6,2.140,0.0697930760920454
7,2.147,0.0611064865272045
8,2.155,0.0616404591019916
9,2.162,0.0607822888925123
10,2.170,0.0596952732938384
11,2.178,0.0688633916984428
12,2.185,0.064825224101615
13,2.193,0.0440861107058641
14,2.200,0.0451540558554384
15,2.208,0.0642483430163539
16,2.215,0.0456641903688511
17,2.223,0.0448823019557699
18,2.230,0.0443244913196083
19,2.238,0.0396617665147705
20,2.245,0.0766155292574063
21,2.253,0.120472794574076
22,2.260,0.0664938883978248
23,2.268,0.0452398728763863
24,2.275,0.0445104281983289
25,2.283,0.0307558667852849
26,2.291,0.0395854847183724
27,2.298,0.0472661080932125
28,2.306,0.041263684239132
29,2.313,0.0334829410065192
30,2.321,0.0375401790524466
31,2.328,0.0239810897426729
32,2.336,0.0375926227874703
33,2.343,0.0375449466647215
34,2.351,0.0350467178326816
35,2.358,0.0260931419804471
36,2.366,0.0357141835511655
37,2.373,0.0342743646441502
38,2.381,0.0509228667080495
39,2.389,0.215214785700596
40,2.396,0.291172384464068
41,2.404,0.0838336942415825
42,2.411,0.0429943274949153
43,2.419,0.0492494347995648
44,2.426,0.0343411112159986
45,2.434,0.0302743379455214
46,2.441,0.0402386476000317
47,2.449,0.0332970041277987
48,2.456,0.0365580509238202
49,2.464,0.0453209222850594
50,2.471,0.0520861641031215
51,2.479,0.0484294054882845
52,2.486,0.0424841929815026
53,2.494,0.0476475170752034
54,2.502,0.0346891469120652
55,2.509,0.045254175713211
56,2.517,0.0499455061916981
57,2.524,0.0375687847260959
58,2.532,0.047785777831175
59,2.539,0.0372874956018777
60,2.547,0.0466987622325012
61,2.554,0.0454305773673817
62,2.562,0.0517142903456805
63,2.569,0.0378310034012146
64,2.577,0.0304221339260429
65,2.584,0.0393614069414528
66,2.592,0.0277141301539081
67,2.600,0.0448727667312201
68,2.607,0.0434472506610294
69,2.615,0.0411730996059092
70,2.622,0.035280330834151
71,2.630,0.0383220674655278
72,2.637,0.033368518311922
73,2.645,0.0459645499421689
74,2.652,0.03282977812486
75,2.660,0.0419788260803648
76,2.667,0.0298929289635306
77,2.675,0.0342695970318753
78,2.682,0.0384269549355753
79,2.690,0.0299739783722037
80,2.697,0.0374591296437735
81,2.705,0.0399525908635385
82,2.713,0.0467845792534491
83,2.720,0.0633806375823247
84,2.728,0.0360240783490331
85,2.735,0.040143295354534
86,2.743,0.0586034900828897
87,2.750,0.0374591296437735
88,2.758,0.0320192840381295
89,2.765,0.0531350388035963
90,2.773,0.0530778274562977
91,2.780,0.0333303774137229
92,2.788,0.0569729666848789
93,2.795,0.0448155553839215
94,2.803,0.0502840066632149
95,2.810,0.0371444672336311
96,2.818,0.037149234845906
97,2.826,0.0429847922703656
98,2.833,0.0484866168355832
99,2.841,0.0498072454357264
100,2.848,0.0522005867977188
101,2.856,0.0418214948752936
102,2.863,0.0365294452501709
103,2.871,0.0460551345753917
104,2.878,0.0502601686018405
105,2.886,0.059256652964549
106,2.893,0.0371396996213562
107,2.901,0.0449681189767178
108,2.908,0.0525057139833114
109,2.916,0.0461028106981405
110,2.924,0.0459788527789935
111,2.931,0.0392326814100309
112,2.939,0.0394949000851496
113,2.946,0.0580790527326523
114,2.954,1.27233745541091
115,2.961,16.7830250118475
116,2.969,56.9908452309098
117,2.976,100
118,2.984,20.7874426813814
119,2.991,0.189307580598869
120,2.999,0.113612200510516
121,3.006,0.0900411254234832
122,3.014,0.0820076987403015
123,3.021,0.0652304711449802
124,3.029,0.0857979504988353
125,3.037,0.0902890412617772
126,3.044,0.0771590370567432
127,3.052,0.057592756280614
128,3.059,0.0736262363610532
129,3.067,0.0739885748939445
130,3.074,0.048453243549659
131,3.082,0.0583174333463966
132,3.089,0.0608681059134602
133,3.097,0.0413733393214544
134,3.104,0.0418644033857675
135,3.112,0.0587798917370605
136,3.119,0.0750851257171681
137,3.127,0.0904368372422986
138,3.135,0.0410253036253877
139,3.142,0.0411349587077101
140,3.150,0.0481719544254407
141,3.157,0.0569348257866799
142,3.165,0.0678860311820913
143,3.172,0.0428274610652944
144,3.180,0.0763437753577378
145,3.187,0.0508942610344002
146,3.195,0.0532971376209424
147,3.202,0.0404579577646764
148,3.210,0.0419406851821657
149,3.217,0.036982368416285
150,3.225,0.0445485690965279
151,3.232,0.0228034895107762
152,3.240,0.0359764022262842
153,3.248,0.0709230002011932
154,3.255,0.292926865781226
155,3.263,0.556304070682712
156,3.270,0.287019794172643
157,3.278,0.0612781205691003
158,3.285,0.0389132513876136
159,3.293,0.0310085502358538
160,3.300,0.0404579577646764
161,3.308,0.0526773480252073
162,3.315,0.0558525778002809
163,3.323,0.0336498074361402
164,3.330,0.0296497807375115
165,3.338,0.0339883079076571
166,3.346,0.0193898791219584
167,3.353,0.0324769748165184
168,3.361,0.0341313362759036
169,3.368,0.0415211353019758
170,3.376,0.0421599953468104
171,3.383,0.0252588098323421
172,3.391,0.0286390469352358
173,3.398,0.0271038757827227
174,3.406,0.0254209086496882
175,3.413,0.0253684649146645
176,3.421,0.0237665471903031
177,3.428,0.0310848320322519
178,3.436,0.0252254365464179
179,3.443,0.0395664142692728
180,3.451,0.0248964712994509
181,3.459,0.0244292452965121
182,3.466,0.0308273809694081
183,3.474,0.0369680655794604
184,3.481,0.0568108678675328
185,3.489,0.0848205899824838
186,3.496,0.0456403523074767
187,3.504,0.0357189511634404
188,3.511,0.0315520580351907
189,3.519,0.0278476232976048
190,3.526,0.0297689710443836
191,3.534,0.0338357443148607
192,3.541,0.0334161944346708
193,3.549,0.0307654020098346
194,3.557,0.0337928358043868
195,3.564,0.029711759697085
196,3.572,0.0335973637011165
197,3.579,0.0307415639484602
198,3.587,0.0199095488599209
199,3.594,0.0201050209631912
200,3.602,0.0362958322487015
201,3.609,0.0252921831182663
202,3.617,0.0291205757749992
203,3.624,0.0195329074902049
204,3.632,0.0238285261498766
205,3.639,0.0228893065317242
206,3.647,0.025182528035944
207,3.654,0.0227653486125771
208,3.662,0.0324245310814947
209,3.670,0.0302266618227726
210,3.677,0.0263696634923904
211,3.685,0.0223744044060366
212,3.692,0.0203004930664615
213,3.700,0.0313947268301195
214,3.707,0.0237617795780282
215,3.715,0.0263744311046653
216,3.722,0.0283291521373683
217,3.730,0.0346510060138661
218,3.737,0.0272850450491684
219,3.745,0.0282194970550459
220,3.752,0.0278333204607802
221,3.760,0.0335496875783676
222,3.767,0.0175114398856536
223,3.775,0.0204053805365089
224,3.783,0.0189512587926689
225,3.790,0.0146031963979736
226,3.798,0.0284006663214915
227,3.805,0.0203529368014852
228,3.813,0.0249203093608253
229,3.820,0.018116926644564
230,3.828,0.0107414304553165
231,3.835,0.0175829540697769
232,3.843,0.0346462384015912
233,3.850,0.0349942740976579
234,3.858,0.0292731393677955
235,3.865,0.0262457055732434
236,3.873,0.0252302041586928
237,3.881,0.0172206155368856
238,3.888,0.00979744322488922
239,3.896,0.0222504464868895
240,3.903,0.021439952400159
241,3.911,0.0202337464946131
242,3.918,0.0241098152740948
243,3.926,0.0322815027132481
244,3.933,0.0201860703718642
245,3.941,0.0220454391590695
246,3.948,0.020276655005087
247,3.956,0.0293398859396439
248,3.963,0.0499645766407976
249,3.971,0.0807776547733811
250,3.978,0.0488441877561996
251,3.986,0.0243624987246637
252,3.994,0.0292445336941462
253,4.001,0.0178499403571704
254,4.009,0.0135686245343235
255,4.016,0.0320145164258546
256,4.024,0.021110987153192
257,4.031,0.0255830074670343
258,4.039,0.0127295247739437
259,4.046,0.0262743112468927
260,4.054,0.0263505930432909
261,4.061,0.0263124521450918
262,4.069,0.0166437344516245
263,4.076,0.0215591427070312
264,4.084,0.0606583309733653
265,4.092,0.329837720013387
266,4.099,0.64637856939212
267,4.107,0.30895557824939
268,4.114,0.0590325751876294
269,4.122,0.0109178321094873
270,4.129,0.0233803705960374
271,4.137,0.0308798247044319
272,4.144,0.028753469629833
273,4.152,0.0190609138749913
274,4.159,0.032867919023059
275,4.167,0.0375163409910722
276,4.174,0.0230180320631461
277,4.182,0.0217403119734768
278,4.189,0.0193040621010104
279,4.197,0.00846251178792135
280,4.205,0.022936982654473
281,4.212,0.0137307233516696
282,4.220,0.0301980561491233
283,4.227,0.0179548278272179
284,4.235,0.0240144630285971
285,4.242,0.0146174992347982
286,4.250,0.0232230393909661
287,4.257,0.0215448398702065
288,4.265,0.020901212213097
289,4.272,0.024019230640872
290,4.280,0.0163767481642309
291,4.287,0.0147271543171206
292,4.295,0.0175638836206773
293,4.303,0.0161335999382117
294,4.310,0.0119810096467867
295,4.318,0.00336116665379411
296,4.325,0.00927777348692673
297,4.333,0.0213779734405855
298,4.340,0.0153660143619552
299,4.348,0.0189703292417685
300,4.355,0.0282957788514441
301,4.363,0.0186127583211521
302,4.370,0.0115566921543219
303,4.378,0.0071847916982521
304,4.385,0.0291682518977481
305,4.393,0.0163529101028565
306,4.400,0.0153278734637561
307,4.408,0.0196759358584515
308,4.416,0.0984035173536319
309,4.423,0.122570543975025
310,4.431,0.0368870161707873
311,4.438,0.0215591427070312
312,4.446,0.0199095488599209
313,4.453,0.0156473034861734
314,4.461,0.0166437344516245
315,4.468,0.0170346786581651
316,4.476,0.02306094057362
317,4.483,0.0170823547809139
318,4.491,0.019780823328499
319,4.498,0.0172349183737102
320,4.506,0.012839179856266
321,4.513,0.0256878949370818
322,4.521,0.0204530566592578
323,4.529,0.00963534440754312
324,4.536,0.0111848183968808
325,4.544,0.00906799854683178
326,4.551,0.0156711415475479
327,4.559,0.0124720737110999
328,4.566,0.0188177656489722
329,4.574,0.00387606877948172
330,4.581,0.0212540155214385
331,4.589,0.00749468649611964
332,4.596,0.0154136904847041
333,4.604,0.00971639381621617
334,4.611,0.0119190306872132
335,4.619,0.0179309897658435
336,4.627,0.00807156758138076
337,4.634,0.0249775207081239
338,4.642,0.026927474128552
339,4.649,0.0167486219216719
340,4.657,0.0228177923476009
341,4.664,0.015375549586505
342,4.672,0.0222027703641407
343,4.679,0.0230514053490703
344,4.687,0.0218022909330503
345,4.694,0.0183743777074078
346,4.702,0.0199238516967455
347,4.709,0.0309465712762803
348,4.717,0.0097736051635148
349,4.724,0.0174446933138052
350,4.732,0.0124768413233747
351,4.740,0.0168058332689706
352,4.747,0.00973069665304083
353,4.755,0.0190704490995411
354,4.762,0.0114375018474498
355,4.770,0.013006046285887
356,4.777,0.0130155815104368
357,4.785,0.0147986685012439
358,4.792,0.0125245174461236
359,4.800,0.0156949796089223
360,4.807,0.00314662410142428
361,4.815,0.0171061928422883
362,4.822,0.014836809399443
363,4.830,0.0623031572082007
364,4.838,0.181436252733034
365,4.845,0.253327078226029
366,4.853,0.0857455067638115
367,4.860,0.0253303240164654
368,4.868,0.0221407914045672
369,4.875,0.0142789987632814
370,4.883,0.0183314691969339
371,4.890,0.00805249713228122
372,4.898,0.0119381011363127
373,4.905,0.00688919973720921
374,4.913,0.0109416701708617
375,4.920,0.0130298843472614
376,4.928,0.0125721935688724
377,4.935,0.0167486219216719
378,4.943,0.0184411242792562
379,4.951,0.0232468774523406
380,4.958,0.0198141966144232
381,4.966,0.0166675725129989
382,4.973,0.0135686245343235
383,4.981,0.000190704490995411
384,4.988,0.0162718606941834
385,4.996,0.00380932220763333
386,5.003,0.0147986685012439
387,5.011,0.0157235852825716
388,5.018,0.0113755228878762
389,5.026,0.0132444268996313
390,5.033,0.00910613944503086
391,5.041,0.0257069653861814
392,5.049,0.0206628315993527
393,5.056,0.0222361436500649
394,5.064,0.0192134774677876
395,5.071,0.0144697032542768
396,5.079,0.0139404982917645
397,5.086,0.0155996273634246
398,5.094,0.00328965246967083
399,5.101,0
400,5.109,0.0178642431939951
401,5.116,0.0212635507459883
402,5.124,0.0157140500580218
