#"+EI TIC Scan ACE-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0886440828145266
1,2.102,0.0804998624010509
2,2.110,0.0691278017504019
3,2.117,0.0709527893613797
4,2.125,0.0634097915019878
5,2.132,0.0722234583054717
6,2.140,0.0634183194814784
7,2.147,0.0684668833398842
8,2.155,0.0531847440928178
9,2.162,0.0668892071341324
10,2.170,0.0633373036763182
11,2.178,0.0538200785648639
12,2.185,0.0605188064546912
13,2.193,0.0651580272975507
14,2.200,0.0329734327002133
15,2.208,0.0568176633557923
16,2.215,0.0492490815579288
17,2.223,0.0547922682267866
18,2.230,0.0437272148377974
19,2.238,0.0379964126201475
20,2.245,0.0406187663134918
21,2.253,0.0411986689188492
22,2.260,0.041799891472933
23,2.268,0.0510271652817086
24,2.276,0.0471170866852912
25,2.283,0.0487672507167127
26,2.291,0.0472407423879042
27,2.298,0.036563712065735
28,2.306,0.0390837300051927
29,2.313,0.0406400862622181
30,2.321,0.0387426108255707
31,2.328,0.0353228910498599
32,2.336,0.0290633541037959
33,2.343,0.0362268568758583
34,2.351,0.0503193429839929
35,2.358,0.0426612174014786
36,2.366,0.031404284473952
37,2.373,0.0403543989492847
38,2.381,0.0470147509314046
39,2.389,0.164641172044567
40,2.396,0.27569678496026
41,2.404,0.0997048722137705
42,2.411,0.0298095523092191
43,2.419,0.0289311704216924
44,2.426,0.0366319359016594
45,2.434,0.0451428594332288
46,2.441,0.0425332977091203
47,2.449,0.0347174045060309
48,2.456,0.0389387543538533
49,2.464,0.02773298930327
50,2.471,0.0430833523862608
51,2.479,0.0243260614967951
52,2.487,0.0335874472235329
53,2.494,0.0382181400869018
54,2.502,0.0250381477842561
55,2.509,0.0428147210323085
56,2.517,0.0371009747736397
57,2.524,0.0272810063902709
58,2.532,0.0353996428652749
59,2.539,0.0330118086079208
60,2.547,0.044417981176532
61,2.554,0.0340309021570415
62,2.562,0.0292168577346258
63,2.569,0.0397275924567292
64,2.577,0.0339669423108624
65,2.584,0.0299417359913226
66,2.592,0.0336727270184384
67,2.600,0.035199235347247
68,2.607,0.0261467851180277
69,2.615,0.0280016206572224
70,2.622,0.0248889081431715
71,2.630,0.0382650439740998
72,2.637,0.0421111627243381
73,2.645,0.0281167483803448
74,2.652,0.0355062426089068
75,2.660,0.0393097214616923
76,2.667,0.0295792968629742
77,2.675,0.0448102682330973
78,2.682,0.0376126535430727
79,2.690,0.0222196505626292
80,2.698,0.0363121366707638
81,2.705,0.0391263699026454
82,2.713,0.0386104271434671
83,2.720,0.0457227620385862
84,2.728,0.0628128329376493
85,2.735,0.0482427799780439
86,2.743,0.0324830738795066
87,2.750,0.0462429687875098
88,2.758,0.0415184681497448
89,2.765,0.0435268073197695
90,2.773,0.0500933515274933
91,2.780,0.0352973071113883
92,2.788,0.0308670217660473
93,2.795,0.045176971351191
94,2.803,0.0530227124824974
95,2.811,0.0472450063776495
96,2.818,0.0298266082682002
97,2.826,0.0304406227915198
98,2.833,0.0390666740462116
99,2.841,0.0509120375585861
100,2.848,0.0448102682330973
101,2.856,0.0324319060025633
102,2.863,0.0395740888258993
103,2.871,0.0319031712741492
104,2.878,0.0341076539724565
105,2.886,0.0376851413687424
106,2.893,0.0413479085599338
107,2.901,0.0428658889092518
108,2.909,0.0431430482426947
109,2.916,0.0553210029552007
110,2.924,0.048136180234412
111,2.931,0.0383545877587506
112,2.939,0.0391093139436643
113,2.946,0.0540503340111087
