#"+EI TIC Scan ACE-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.100239561729097
1,2.102,0.104373386319051
2,2.110,0.109885152438988
3,2.117,0.0932088765629063
4,2.125,0.0891660052092556
5,2.132,0.0780105907767415
6,2.140,0.0838907175037047
7,2.148,0.0813531222108622
8,2.155,0.0792111734959359
9,2.163,0.0632215945539385
10,2.170,0.0646495603638893
11,2.178,0.084704748968613
12,2.185,0.0719167239444672
13,2.193,0.0631988562448628
14,2.200,0.0718257707081646
15,2.208,0.0645404164803262
16,2.215,0.0671462267003958
17,2.223,0.0639446727825442
18,2.230,0.0514158644818608
19,2.238,0.0626213031943413
20,2.246,0.0838134072528475
21,2.253,0.151846428007194
22,2.261,0.085086752561084
23,2.268,0.0506745956059946
24,2.276,0.0538033869348041
25,2.283,0.0515795803072055
26,2.291,0.0498742071265317
27,2.298,0.0553132106574273
28,2.306,0.0513703878637095
29,2.313,0.0470592044629662
30,2.321,0.0591969138475484
31,2.328,0.0472820398919075
32,2.336,0.0409153133507254
33,2.343,0.053207643237022
34,2.351,0.0428435219603406
35,2.359,0.0531894525897615
36,2.366,0.0508064777986333
37,2.374,0.0435302188944252
38,2.381,0.0606476179665749
39,2.389,0.24172186845961
40,2.396,0.284251601754706
41,2.404,0.10189036296799
42,2.411,0.0411199581324063
43,2.419,0.0341211065989211
44,2.426,0.0502289247481118
45,2.434,0.0393872989808417
46,2.441,0.0511521000965832
47,2.449,0.0483598357420934
48,2.456,0.0541944858509053
49,2.464,0.0464861990742598
50,2.472,0.0463634122052513
51,2.479,0.0353535229508213
52,2.487,0.053871601862031
53,2.494,0.0420613241281382
54,2.502,0.046354316881621
55,2.509,0.0509656459621629
56,2.517,0.0510020272566839
57,2.524,0.0430527144038366
58,2.532,0.0429572135057188
59,2.539,0.0344803718823163
60,2.547,0.04090167036528
61,2.554,0.0314334384661792
62,2.562,0.0473820884518404
63,2.570,0.0360902441648724
64,2.577,0.0477959256770172
65,2.585,0.0418657746700876
66,2.592,0.0359811002813093
67,2.600,0.0414064608267595
68,2.607,0.0411745300741878
69,2.615,0.0477504490588659
70,2.622,0.0364677000955282
71,2.630,0.0432255255528115
72,2.637,0.0327340697453064
73,2.645,0.0405696910527755
74,2.652,0.0340301533626185
75,2.660,0.0270858737709148
76,2.667,0.0447899212172162
77,2.675,0.0466362719141591
78,2.683,0.0385960058250091
79,2.690,0.0393372747008753
80,2.698,0.033243407868601
81,2.705,0.0397283736169765
82,2.713,0.0307012649139432
83,2.720,0.0439576991050474
84,2.728,0.0555678797190746
