#"+EI TIC Scan ACE-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0740241589882738
1,2.102,0.0726875163269286
2,2.110,0.0713306826888259
3,2.117,0.066634261495036
4,2.125,0.05798040885678
5,2.132,0.0604760135840046
6,2.140,0.055000220687376
7,2.148,0.0518342755318031
8,2.155,0.0545681337847659
9,2.163,0.0506874280519782
10,2.170,0.0509943308986919
11,2.178,0.0543056510869186
12,2.185,0.0377611647318394
13,2.193,0.041209783562017
14,2.200,0.0439719091824403
15,2.208,0.0532880258583416
16,2.215,0.0424737387070353
17,2.223,0.0441980481221241
18,2.230,0.0452156733507011
19,2.238,0.0323257537887257
20,2.246,0.0352494072232089
21,2.253,0.0409997974037392
22,2.261,0.036666813791584
23,2.268,0.0308679652668357
24,2.276,0.0306256735457459
25,2.283,0.0253840959795041
26,2.291,0.0344498445436126
27,2.298,0.0273022387714647
28,2.306,0.030056288001185
29,2.313,0.0323499829608347
30,2.321,0.0260423218217979
31,2.328,0.025977710696174
32,2.336,0.042219332399891
33,2.343,0.0292607635169402
34,2.351,0.0316352223836199
35,2.359,0.0351565287301245
36,2.366,0.0307508576016423
37,2.374,0.0358107163770668
38,2.381,0.0305004894898495
39,2.389,0.154259062427148
40,2.396,0.315988786254565
41,2.404,0.0824962928357124
42,2.411,0.0150947742238922
43,2.419,0.031522152913778
44,2.426,0.0174611566998688
45,2.434,0.0297251559823623
46,2.441,0.0219839354935444
47,2.449,0.0362993380145978
48,2.456,0.028021037544031
49,2.464,0.0311587153321434
50,2.472,0.042732183209531
51,2.479,0.0283723605396111
52,2.487,0.0324105558911072
53,2.494,0.0312233264577673
54,2.502,0.0358591747212848
55,2.509,0.0305974061782854
56,2.517,0.0258888703984411
57,2.524,0.0306700936946124
58,2.532,0.0254204397376675
59,2.539,0.0322167225142353
60,2.547,0.0287357981212458
61,2.554,0.0159266424663004
62,2.562,0.0299876386802095
63,2.570,0.0245441513463929
64,2.577,0.0312475556298763
65,2.585,0.0302218540105963
66,2.592,0.0470692050170377
67,2.600,0.028004884762625
68,2.607,0.0369091055126737
69,2.615,0.0274879957576335
70,2.622,0.0213337860419535
71,2.630,0.0393764428724378
72,2.637,0.0243139742113576
73,2.645,0.0262603843707787
74,2.652,0.0312960139740942
75,2.660,0.0375269494014526
76,2.667,0.034615410553024
77,2.675,0.0265632490221409
78,2.683,0.0239989949739409
79,2.690,0.0338966117804577
80,2.698,0.0323378683747802
81,2.705,0.0252548737282562
82,2.713,0.0241726373740552
83,2.720,0.0439638327917373
84,2.728,0.0321480731932599
85,2.735,0.0468147987098935
86,2.743,0.0305933679829339
87,2.750,0.0268015025478792
88,2.758,0.0338562298269427
89,2.765,0.0509539489451769
90,2.773,0.0413107384458044
91,2.781,0.0273830026784946
92,2.788,0.0238172761831236
93,2.796,0.0177761359372855
94,2.803,0.0422314469859455
95,2.811,0.0399377520262958
96,2.818,0.0317765592209223
97,2.826,0.0239666894111289
98,2.833,0.0385405364346781
99,2.841,0.0444968745781348
100,2.848,0.0359197476515572
101,2.856,0.0284087042977746
102,2.863,0.0291436558517469
103,2.871,0.0226704287032987
104,2.878,0.0423485546511389
105,2.886,0.0481110594177237
106,2.894,0.0405152139615597
107,2.901,0.040159852770628
108,2.909,0.0319380870349821
109,2.916,0.0443595759361839
110,2.924,0.0495607715489108
111,2.931,0.03001590604767
112,2.939,0.0360933900516715
113,2.946,0.0425423880280107
114,2.954,0.894880242672927
115,2.961,14.1435126977217
116,2.969,55.6709568588687
117,2.976,100
118,2.984,22.2129819338813
119,2.992,0.353854944065543
120,2.999,0.218712698432377
121,3.007,0.183624819023228
122,3.014,0.109108000202071
123,3.022,0.0827264699707477
124,3.029,0.102065387509062
125,3.037,0.127885608586528
126,3.044,0.0792455455777581
127,3.052,0.0555211478877189
128,3.059,0.0523148207786311
129,3.067,0.0522098276994922
130,3.074,0.0372281229454419
131,3.082,0.0582751971174392
132,3.089,0.0798028165362646
133,3.097,0.0559047764461111
134,3.105,0.0307185520388303
135,3.112,0.0379146161551962
136,3.120,0.0558361271251356
137,3.127,0.0847051856929808
138,3.135,0.0408584605664369
139,3.142,0.0377248209736759
140,3.150,0.0436811591171326
141,3.157,0.0376561716527005
142,3.165,0.0503320668610465
143,3.172,0.0477233926639801
144,3.180,0.0347971293438413
145,3.187,0.0292809544936977
146,3.195,0.0251135368909538
147,3.202,0.0334927922453081
148,3.210,0.0340460250084631
149,3.218,0.0251175750863053
150,3.225,0.0310456458623015
151,3.233,0.0279039298788376
152,3.240,0.0308558506807812
153,3.248,0.0253073702678256
154,3.255,0.0337835423106158
155,3.263,0.0426675720839071
156,3.270,0.0194964071570228
157,3.278,0.025440630714425
158,3.285,0.0178649762350184
159,3.293,0.0248106722395916
160,3.300,0.0222141126285797
161,3.308,0.030993149322732
162,3.316,0.0350313446742281
163,3.323,0.0243058978206546
164,3.331,0.0317805974162738
165,3.338,0.0230217516988789
166,3.346,0.0233932656712165
167,3.353,0.0120701659056216
168,3.361,0.0210834179301608
169,3.368,0.0129626070783023
170,3.376,0.0244512728533085
171,3.383,0.0128535758038119
172,3.391,0.0131847078226345
173,3.398,0.00464796284957193
174,3.406,0.0116946137379325
175,3.413,0.00928784930844087
176,3.421,0.0173682782067844
177,3.429,0.0213418624326565
178,3.436,0.019847730152603
179,3.444,0.00805216153088309
180,3.451,0.0183737888493069
181,3.459,0.0163910349317224
182,3.466,0.0182284138166531
183,3.474,0.0119490200450768
184,3.481,0.0410724849200661
185,3.489,0.0767499408505336
186,3.496,0.0309891111273806
187,3.504,0.0123124576267114
188,3.511,0.0194196814453444
189,3.519,0.013180669627283
190,3.527,0.0195650564779983
191,3.534,0.0136289093112991
192,3.542,0.017307705276512
193,3.549,0.000714760577214798
194,3.557,0.0206674838089567
195,3.564,0.0105114224999442
196,3.572,0.0193066119755025
197,3.579,0.125426347617467
198,3.587,0.136886746025012
199,3.594,0.0636258059581715
200,3.602,0.0315019619370205
201,3.609,0.0311829445042524
202,3.617,0.035095955799852
203,3.624,0.0344498445436126
204,3.632,0.0573383357958922
205,3.640,0.0421749122510246
206,3.647,0.0220202792517079
207,3.655,0.0265753636081954
208,3.662,0.0237809324249601
209,3.670,0.0141215691441816
210,3.677,0.019310650170854
211,3.685,0
212,3.692,0.0113029087888374
213,3.700,0.0133623884181004
214,3.707,0.0154501354148238
215,3.715,0.0185070492959063
216,3.722,0.105295943790259
217,3.730,0.88727632082606
218,3.738,2.29212813985337
219,3.745,3.85513991801737
220,3.753,2.40174495266973
221,3.760,0.408491727171284
222,3.768,0.266722802966313
223,3.775,0.213604381312734
224,3.783,0.172398635946069
225,3.790,0.149393037028596
226,3.798,0.148355220823261
227,3.805,0.13358754042284
228,3.813,0.117317651351663
229,3.820,0.113134080967513
230,3.828,0.101071991452594
231,3.835,0.0806710285368362
232,3.843,0.0789063371682325
233,3.851,0.0840227306785779
234,3.858,0.075809041333635
235,3.866,0.0787367329634696
236,3.873,0.0719727557497138
237,3.881,0.0618328472221072
238,3.888,0.0667271399881204
239,3.896,0.0692671648642114
240,3.903,0.061105972058838
241,3.911,0.0538089530586846
242,3.918,0.0392714497932989
243,3.926,0.0640498164700786
244,3.933,0.0588163152945397
245,3.941,0.0545479428080084
246,3.949,0.0621397500688209
247,3.956,0.0598137495463592
248,3.964,0.0683787618868823
249,3.971,0.0980352685482692
250,3.979,0.0800087644991909
251,3.986,0.0350151918928221
252,3.994,0.037155435429115
253,4.001,0.0466088507469672
254,4.009,0.0428008325305064
255,4.016,0.0431763846981956
256,4.024,0.036594126275257
257,4.031,0.0289215551074146
258,4.039,0.0337431603571008
259,4.046,0.0336018235197985
260,4.054,0.0480989448316692
261,4.062,0.0355401572885166
262,4.069,0.0283117876093387
263,4.077,0.0253396758306376
264,4.084,0.0476749343197622
265,4.092,0.0313162049508517
266,4.099,0.0364850950007667
267,4.107,0.03814075509488
268,4.114,0.0200132961620143
269,4.122,0.0358712893073393
270,4.129,0.0411492106317446
271,4.137,0.0342156292132259
272,4.144,0.0340985215480325
273,4.152,0.0315584966719415
274,4.159,0.0284006279070716
275,4.167,0.026498637896517
276,4.175,0.0343892716133402
277,4.182,0.0188664486821895
278,4.190,0.0292446107355343
279,4.197,0.0322328752956413
280,4.205,0.0286267668467554
281,4.212,0.0307872013598057
282,4.220,0.0173884691835419
283,4.227,0.0313000521694457
284,4.235,0.0176146081232257
285,4.242,0.0164717988387523
286,4.250,0.0139802323068793
287,4.257,0.0159104896848944
288,4.265,0.0347244418275144
289,4.273,0.0263249954964026
290,4.280,0.0214347409257409
291,4.288,0.021874904219054
292,4.295,0.0149938193401048
293,4.303,0.0170209934065558
294,4.310,0.0164435314712918
295,4.318,0.0248470159977551
296,4.325,0.0171502156578036
297,4.333,0.031057760448356
298,4.340,0.0164112259084799
299,4.348,0.0179820839002118
300,4.355,0.0233448073269986
301,4.363,0.0200011815759598
302,4.370,0.0260463600171494
303,4.378,0.0242897450392486
304,4.386,0.0226098557730263
305,4.393,0.0212570603302751
306,4.401,0.0134714196925908
307,4.408,0.0271487873481078
308,4.416,0.126480316604207
