#"+EI TIC Scan ACE-PEEK-1Week.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0798277224476062
1,2.102,0.0949676307786255
2,2.110,0.0701352602331176
3,2.117,0.0766098834100487
4,2.125,0.0674188393814427
5,2.133,0.0746042106665182
6,2.140,0.0666545417583013
7,2.148,0.064118242002526
8,2.155,0.0572444315319796
9,2.163,0.0539438341530628
10,2.170,0.0618594260971906
11,2.178,0.0585198836164577
12,2.185,0.0519381614095323
13,2.193,0.0641571871043421
14,2.200,0.0458724618016705
15,2.208,0.0474205295988616
16,2.215,0.0417978305241582
17,2.223,0.0507941490436836
18,2.231,0.0472160678143269
19,2.238,0.0517921172777218
20,2.246,0.0366230001203404
21,2.253,0.0361556588985468
22,2.261,0.0457750990471302
23,2.268,0.0378351664143673
24,2.276,0.0342376126341026
25,2.283,0.0361702633117279
26,2.291,0.0359463289762852
27,2.298,0.0382927713607068
28,2.306,0.0476882771738474
29,2.313,0.0405613235414962
30,2.321,0.0385459145225116
31,2.328,0.0389840469179431
32,2.336,0.0436769316867864
33,2.344,0.044489910687198
34,2.351,0.0277678575948985
35,2.359,0.0329621605496244
36,2.366,0.0409313020087494
37,2.374,0.0358733069103799
38,2.381,0.0473718482215914
39,2.389,0.219991143883847
40,2.396,0.253600766751165
41,2.404,0.0832792320960604
42,2.411,0.0425377874586646
43,2.419,0.029754057787521
44,2.426,0.0390181238820322
45,2.434,0.0360534280062795
46,2.441,0.036515901090346
47,2.449,0.045093559765348
48,2.457,0.0416323138414397
49,2.464,0.0279820556548872
50,2.472,0.0395438827565499
51,2.479,0.0488176851265151
52,2.487,0.0388623434747677
53,2.494,0.0435941733454271
54,2.502,0.041418115781451
55,2.509,0.0352501852813219
56,2.517,0.0405369828528611
57,2.524,0.0454732745080552
58,2.532,0.0455657691248685
59,2.539,0.0321783903755749
60,2.547,0.0282838801939622
61,2.555,0.0345053602090885
62,2.562,0.0431463046745416
63,2.570,0.0460915279993862
64,2.577,0.0333370071546047
65,2.585,0.0309272789797318
66,2.592,0.0415885006018965
67,2.600,0.0456290549153197
68,2.607,0.040794994152393
69,2.615,0.0400160921160704
70,2.622,0.0362384172399061
71,2.630,0.0388282665106786
72,2.637,0.0333808203941478
73,2.645,0.0440030969144964
74,2.652,0.0245110734555249
75,2.660,0.0357272627785694
76,2.668,0.0338968429932115
77,2.675,0.0295447278652593
78,2.683,0.0270230325226651
79,2.690,0.0363163074435384
80,2.698,0.0296226180688915
81,2.705,0.0402838396910563
82,2.713,0.0404736970624099
83,2.720,0.0486813772701587
84,2.728,0.0296566950329807
85,2.735,0.038954838091581
86,2.743,0.0420120285841469
87,2.750,0.026083481941351
88,2.758,0.0353037347963191
89,2.766,0.0576533551010489
90,2.773,0.0505264014686977
91,2.781,0.0287268807271206
92,2.788,0.0333613478432397
93,2.796,0.0301629813565903
94,2.803,0.0480631237788277
95,2.811,0.0314481697165225
96,2.818,0.0211325858729759
97,2.826,0.038964574367035
98,2.833,0.04172967659598
99,2.841,0.0461207368257483
100,2.848,0.0492120042824034
101,2.856,0.0359365927008311
102,2.863,0.02913580429619
103,2.871,0.0234157424669463
104,2.879,0.0396704543374523
105,2.886,0.0532184816317375
106,2.894,0.0445580646153762
107,2.901,0.043569832656792
108,2.909,0.0464809790175475
109,2.916,0.0347487670954393
110,2.924,0.0443633391062956
111,2.931,0.0414960059850832
112,2.939,0.0329913693759865
113,2.946,0.076697509889135
114,2.954,1.79418623625579
115,2.961,21.3640366130691
116,2.969,69.8941949210135
117,2.977,100
118,2.984,6.01713019775933
119,2.992,0.144788152276906
120,2.999,0.112882377614044
121,3.007,0.0931128703046325
122,3.014,0.0997578783020091
123,3.022,0.0606764686295258
124,3.029,0.0765027843800544
125,3.037,0.081916153532496
126,3.044,0.0559641113097744
127,3.052,0.0658805078597057
128,3.059,0.063806681187997
129,3.067,0.0640452199366207
130,3.074,0.0518115898286299
131,3.082,0.0673360810400835
132,3.090,0.0562221226093062
133,3.097,0.0483065306651784
134,3.105,0.0500980053487203
135,3.112,0.0350505916345142
136,3.120,0.0742001552351758
137,3.127,0.0836735512519487
138,3.135,0.0535300424462665
139,3.142,0.0468606937602547
140,3.150,0.0440663827049476
141,3.157,0.0615965466599318
142,3.165,0.0542261861412297
143,3.172,0.0507990171814106
144,3.180,0.0476347276588503
145,3.187,0.0415008741228103
146,3.195,0.0372607261625794
147,3.203,0.0397337401279035
148,3.210,0.0461499456521104
149,3.218,0.0508330941454997
150,3.225,0.0379081884802726
151,3.233,0.0308347843629185
152,3.240,0.0375868913902895
153,3.248,0.0411941814460083
154,3.255,0.0962576872762847
155,3.263,0.0943542454250215
156,3.270,0.0588411807064408
157,3.278,0.0391398273252076
158,3.285,0.0329816331005325
159,3.293,0.0358587024971989
160,3.301,0.0351771632154167
161,3.308,0.0540606694585112
162,3.316,0.0549028572852849
163,3.323,0.0278165389721687
164,3.331,0.0277094399421743
165,3.338,0.0266530540554119
166,3.346,0.0284104517748646
167,3.353,0.0129833233179513
168,3.361,0.0291942219489142
169,3.368,0.0189662645844538
170,3.376,0.0238344023114697
171,3.383,0.0309662240815479
172,3.391,0.0294814420748081
173,3.398,0.0269110653549437
174,3.406,0.0209183878129872
175,3.414,0.036827461904875
176,3.421,0.0357856804312936
177,3.429,0.00778415222549837
178,3.436,0.0271349996903864
179,3.444,0.0266627903308659
180,3.451,0.0183918243326659
181,3.459,0.0301191681170472
182,3.466,0.0206993216152715
183,3.474,0.0267893619117683
184,3.481,0.0541872410394136
185,3.489,0.0739129351092819
186,3.496,0.0541336915244164
187,3.504,0.0175155595418031
188,3.512,0.0221548947956492
189,3.519,0.0166636354395753
190,3.527,0.0347828440595284
191,3.534,0.0115423545507546
192,3.542,0.0299731239852367
193,3.549,0.027008428109484
194,3.557,0.0244964690423438
195,3.564,0.0378643752407294
196,3.572,0.0175350320927112
197,3.579,0.0160502500859713
198,3.587,0.0128518835993219
199,3.594,0.0190782317521752
200,3.602,0.0120535090120913
201,3.609,0.0175496365058922
202,3.617,0.0185573410153845
203,3.625,0.0179390875240535
204,3.632,0.0157289529959883
205,3.640,0.0272420987203808
206,3.647,0.0148186112410363
207,3.655,0.0219114879092984
208,3.662,0.0198035842735005
209,3.670,0.0346903494427151
210,3.677,0.0141614126478892
211,3.685,0.01287135615023
212,3.692,0.0167658663318426
213,3.700,0.00620687560194523
214,3.707,0.0154027877682782
215,3.715,0.0194092651176123
216,3.723,0.0293353979429976
217,3.730,0.025460360312293
218,3.738,0.0282984846071432
219,3.745,0.0185670772908385
220,3.753,0.0226222360174427
221,3.760,0.0188007479017353
222,3.768,0.0177443620149728
223,3.775,0.018396692470393
224,3.783,0.018421033159028
225,3.790,0.0158798652655258
226,3.798,0.0175155595418031
227,3.805,0.0185573410153845
228,3.813,0.017500955128622
229,3.820,0.0246181724855192
230,3.828,0.0293938155957218
231,3.836,0.0299195744702395
232,3.843,0.0216826854361287
233,3.851,0.0238490067246507
234,3.858,0.0155829088641778
235,3.866,0.0107099029994349
236,3.873,0.0195114960098796
237,3.881,0.0191853307821695
238,3.888,0.00921538471724104
239,3.896,0.0210157505675275
240,3.903,0.021487959927048
241,3.911,0.0173792516854466
242,3.918,0.0230360277242391
243,3.926,0.0219163560470254
244,3.934,0.01226770707208
245,3.941,0.0114985413112115
246,3.949,0.0257135034740978
247,3.956,0.00360242191799174
248,3.964,0.0424793698059405
249,3.971,0.0560663422020417
250,3.979,0.0402497627269672
251,3.986,0.0135577635697392
252,3.994,0.0231966762692306
253,4.001,0.00846569150728059
254,4.009,0.0118101021257405
255,4.016,0.0250563048809507
256,4.024,0.02026118921984
257,4.031,0.0191512538180804
258,4.039,0.0166295584754862
259,4.047,0.0206116951361852
260,4.054,0.00749693209960443
261,4.062,0.019647803866236
262,4.069,0.00995047351402043
263,4.077,0.0301921901829524
264,4.084,0.0278992973135279
265,4.092,0.0294717057993541
266,4.099,0.027616945325361
267,4.107,0.0314871148183386
268,4.114,0.0186693081831058
269,4.122,0.033147149783251
270,4.129,0.0138401155579061
271,4.137,0.0219699055620226
272,4.144,0.0168388883977479
273,4.152,0.026370702067245
274,4.160,0.0198668700639518
275,4.167,0.0154466010078213
276,4.175,0.0230798409637822
277,4.182,0.0247496122041487
278,4.190,0.0222425212747355
279,4.197,0.0168340202600209
280,4.205,0.0163326020741382
281,4.212,0.00913262637588177
282,4.220,0.00747259141096936
283,4.227,0.0167902070204777
284,4.235,0.013499345917015
285,4.242,0.00899631851952532
286,4.250,0.0272810438221969
287,4.258,0.0268039663249494
288,4.265,0.0152324029478326
289,4.273,0.0180802635181369
290,4.280,0.0153930514928242
291,4.288,0.0227488075983451
292,4.295,0.00820281207002174
293,4.303,0.0244818646291628
294,4.310,0.0207285304416336
295,4.318,0.0247301396532406
296,4.325,0.00971193476539665
297,4.333,0.010120858334466
298,4.340,0.00536468777517149
299,4.348,0.024846974958689
300,4.355,0.0171309766613688
301,4.363,0.0136113130847364
302,4.371,0.0175252958172571
303,4.378,0.0127545208447816
304,4.386,0.00740443748279113
305,4.393,0.0208258931961739
306,4.401,0.0103204519812736
307,4.408,0.0312631804828959
308,4.416,0.0824905937842839
309,4.423,0.0985408438702552
310,4.431,0.0495917190251106
311,4.438,0.0308688613270076
312,4.446,0.0280356051698844
313,4.453,0.0276753629780852
314,4.461,0.0322903575432962
315,4.469,0.0200713318484864
316,4.476,0.0277629894571715
317,4.484,0.0167707344695697
318,4.491,0.0114595962093954
319,4.499,0.010729375550343
320,4.506,0.0132705434438453
321,4.514,0.0142977205042456
322,4.521,0.0276948355289933
323,4.529,0.0204607828666477
324,4.536,0.00564217162561139
325,4.544,0.0143804788456049
326,4.551,0.0197597710339574
327,4.559,0.00995047351402043
328,4.566,0.0167902070204777
329,4.574,0.0181192086199531
330,4.582,0.0203050024593832
331,4.589,0.0104664961130841
332,4.597,0.0202660573575671
333,4.604,0.0134165875756557
334,4.612,0.019954496543038
335,4.619,0.0138644562465412
336,4.627,0.0202855299084751
337,4.634,0.023620204251481
338,4.642,0.0204510465911937
339,4.649,0.0155050186605455
340,4.657,0.0201638264652997
341,4.664,0.0198522656507707
342,4.672,0.008285570411381
343,4.680,0.0227342031851641
344,4.687,0.00845595523182656
345,4.695,0.0282546713676001
346,4.702,0.0129200375275001
347,4.710,0.0088064611481717
348,4.717,0.0100478362685607
349,4.725,0.0227195987719831
350,4.732,0.0127107076052384
351,4.740,0.0168340202600209
352,4.747,0.0112502662871337
353,4.755,0.0155926451396318
354,4.762,0.0238782155510128
355,4.770,0.019024682237178
356,4.777,0.0245889636591571
357,4.785,0.03006561860205
358,4.793,0.0191415175426264
359,4.800,0.0116786624071111
360,4.808,0.00969733035221561
361,4.815,0.0205338049325529
362,4.823,0.0229922144846959
363,4.830,0.012287179622988
364,4.838,0.0274124835408263
365,4.845,0.0274757693312776
366,4.853,0.0186741763208329
367,4.860,0.0179050105599644
368,4.868,0.0169849325295584
369,4.875,0.00886487880089589
370,4.883,0.00952207739404303
371,4.890,0.0187861434885542
372,4.898,0.0216486084720396
373,4.906,0.0097265391785777
374,4.913,0.0226271041551698
375,4.921,0.00738496493188307
376,4.928,0.0131001586233997
377,4.936,0.0170920315595527
378,4.943,0.020246584806659
379,4.951,0.0194433420817014
380,4.958,0.0135772361206473
381,4.966,0.00912775823815475
382,4.973,0.0138839287974493
383,4.981,0.0100770450949228
384,4.988,0.0129443782161352
385,4.996,0.0247496122041487
386,5.004,0.018722857698103
387,5.011,0.00673263447646294
388,5.019,0.00692249184781656
389,5.026,0.00807137235139231
390,5.034,0.0135674998451932
391,5.041,0.0163569427627733
392,5.049,0.0199885735071271
393,5.056,0.0214003334479618
394,5.064,0.037134154581677
395,5.071,0.0207041897529985
396,5.079,0.0213029706934214
397,5.086,0.0203050024593832
398,5.094,0.0032227071752845
399,5.101,0.0200129141957622
400,5.109,0.0226709173947129
401,5.117,0.0250952499827668
402,5.124,0.0139277420369924
403,5.132,0.0231285223410524
404,5.139,0.0158555245768907
405,5.147,0.0154660735587294
406,5.154,0.0160064368464282
407,5.162,0.00450789553521669
408,5.169,0.0120583771498183
409,5.177,0.0220526639033819
410,5.184,0.0170482183200096
411,5.192,0.0103447926699087
412,5.199,0.0113719697303091
413,5.207,0.00571519369151663
414,5.215,0.023629940526935
415,5.222,0.0201151450880296
416,5.230,0.00583689713469202
417,5.237,0.0129541144915892
418,5.245,0.0251974808750341
419,5.252,0.0265021417858744
420,5.260,0.0129054331143191
421,5.267,0.00336388316936796
422,5.275,0.0213127069688755
423,5.282,0.00909368127406564
424,5.290,0.0179877689013236
425,5.297,0.0110798814666881
426,5.305,0.0212202123520622
427,5.312,0.0187861434885542
428,5.320,0.00521377550563399
429,5.328,0.0135821042583743
430,5.335,0.00727786590188872
431,5.343,0.00215658501306803
432,5.350,0.00598780940422952
433,5.358,0.011668926131657
434,5.365,0.00232696983351358
435,5.373,0.0155001505228185
436,5.380,0.0135577635697392
437,5.388,0.0104713642508111
438,5.395,0.0213565202084186
439,5.403,0.0121898168684477
440,5.410,0.0155293593491806
441,5.418,0.02086483829799
442,5.426,0.0146433582828637
443,5.433,0.0175593727813462
444,5.441,0.0234400831555814
445,5.448,0.0123553335511663
446,5.456,0.00706853597962704
447,5.463,0.0173500428590845
448,5.471,0.0152859524628298
449,5.478,0.0108170020294293
450,5.486,0.0278506159362578
451,5.493,0.0135285547433771
452,5.501,0.032514291878739
453,5.508,0.0213419157952376
454,5.516,0.019336243051707
455,5.523,0.0161719535291467
456,5.531,0.0185719454285655
457,5.539,0.0229630056583338
458,5.546,0.0101013857835579
459,5.554,0.00909368127406564
460,5.561,0.016269316283687
461,5.569,0.011965882533005
462,5.576,0.0156754034809911
463,5.584,0.0273297251994671
464,5.591,0.0186011542549276
465,5.599,0.0160015687087012
466,5.606,0.0235033689460326
467,5.614,0.0173938560986277
468,5.621,0.00497523675701022
469,5.629,0.0219163560470254
470,5.636,0.0186790444585599
471,5.644,0.0154806779719105
