#"+EI TIC Scan ACE-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.141774766399721
1,2.102,0.128497464452992
2,2.110,0.125447421994202
3,2.117,0.12157304373574
4,2.125,0.114901419330389
5,2.132,0.113395632602986
6,2.140,0.107147167241467
7,2.147,0.103899284190756
8,2.155,0.103399187138955
9,2.163,0.105883185681969
10,2.170,0.0832414290509565
11,2.178,0.0828952080150939
12,2.185,0.0863409316577261
13,2.193,0.0709258522038453
14,2.200,0.0740748149585953
15,2.208,0.071629285419566
16,2.215,0.0740363459546105
17,2.223,0.0594565934443981
18,2.230,0.0617207691074993
19,2.238,0.0701949411281354
20,2.245,0.0694475433364321
21,2.253,0.0663645274456559
22,2.260,0.061033822607772
23,2.268,0.0609843624597916
24,2.276,0.0523892878552036
25,2.283,0.0676395001491498
26,2.291,0.0612371587716913
27,2.298,0.0671284119533527
28,2.306,0.0527904646110443
29,2.313,0.0425302316911172
30,2.321,0.0578738687090264
31,2.328,0.0494161834043838
32,2.336,0.0572693557892664
33,2.343,0.0378205264889868
34,2.351,0.0549831978381739
35,2.358,0.0580607181569522
36,2.366,0.0520815358233257
37,2.373,0.0444262040303646
38,2.381,0.0452175663980504
39,2.389,0.228962016145111
40,2.396,0.297365400801958
41,2.404,0.0840053135586533
42,2.411,0.0386778357206464
43,2.419,0.0454758582819479
44,2.426,0.0341549799664418
45,2.434,0.0519771199553672
46,2.441,0.0415300375875142
47,2.449,0.0457726191698301
48,2.456,0.0553953657380103
49,2.464,0.0476850782250709
50,2.471,0.053829127718632
51,2.479,0.0588960451006206
52,2.487,0.0550436491301499
53,2.494,0.0371500667052529
54,2.502,0.0509934125677577
55,2.509,0.0372874560051984
56,2.517,0.0364026689135496
57,2.524,0.0328964939789414
58,2.532,0.0487292369046564
59,2.539,0.0473388571892084
60,2.547,0.0313302559595631
61,2.554,0.0496415018562943
62,2.562,0.0517078369274741
63,2.569,0.0418872497673724
64,2.577,0.0340175906664964
65,2.584,0.0310719640756657
66,2.592,0.0488446439166106
67,2.600,0.0350562537740841
68,2.607,0.0348694043261582
69,2.615,0.0424313113951565
70,2.622,0.0338582190785596
71,2.630,0.0437007885266525
72,2.637,0.0410189493917171
73,2.645,0.0302586194199885
74,2.652,0.0356717578378397
75,2.660,0.032484326079105
76,2.667,0.0419257187713572
77,2.675,0.029428788048318
78,2.682,0.0404913744799265
79,2.690,0.0393812689363672
80,2.698,0.0343143515543786
81,2.705,0.0401176755840749
82,2.713,0.0373643940131678
83,2.720,0.0425522139791085
84,2.728,0.036056447877687
85,2.735,0.0422664442352219
86,2.743,0.0425247361191194
87,2.750,0.0381062962328733
88,2.758,0.0314071939675326
89,2.765,0.0467728132734331
90,2.773,0.0346825548782324
91,2.780,0.039205410632437
92,2.788,0.0219767924192761
93,2.795,0.0354849083899139
94,2.803,0.0334900157547058
95,2.811,0.0411178696876779
96,2.818,0.0258566662497359
97,2.826,0.0260270289816683
98,2.833,0.0368038456693904
99,2.841,0.037875482208965
100,2.848,0.0428819482989776
101,2.856,0.035995996585711
102,2.863,0.0354574305299248
103,2.871,0.0437227708146438
104,2.878,0.039084508048485
105,2.886,0.0348034574621844
106,2.893,0.052163969403293
107,2.901,0.0478884143889902
108,2.909,0.038963605464533
109,2.916,0.0362487928976107
110,2.924,0.0283351692207521
111,2.931,0.0342484046904048
112,2.939,0.0455912652939021
113,2.946,0.0511912531596791
114,2.954,1.65363959643157
115,2.961,20.7453556371489
116,2.969,69.0332926148085
117,2.976,100
118,2.984,8.15720941008991
119,2.991,0.118396603121001
120,2.999,0.0853901977021035
121,3.006,0.0678868008890517
122,3.014,0.0788229891647104
123,3.022,0.0525596505871359
124,3.029,0.0724756035072301
125,3.037,0.07502005334222
126,3.044,0.0545215697903571
127,3.052,0.0529113671949963
128,3.059,0.063336467274858
129,3.067,0.0489490597845692
130,3.074,0.0376996239050348
131,3.082,0.0529663229149745
132,3.089,0.054950224406187
133,3.097,0.0410464272517062
134,3.104,0.0527849690390465
135,3.112,0.0646993691303169
136,3.119,0.059429115584409
137,3.127,0.0791417323405839
138,3.135,0.0452285575420461
139,3.142,0.0422224796592394
140,3.150,0.0544061627784029
141,3.157,0.0868740021415145
142,3.165,0.0573737716572249
143,3.172,0.046349654229601
144,3.180,0.0405133567679178
145,3.187,0.0426950988510518
146,3.195,0.0263127987255549
147,3.202,0.0345836345822717
148,3.210,0.0402001091640422
149,3.217,0.0353145456579815
150,3.225,0.0347759796021953
151,3.233,0.0237078975985889
152,3.240,0.0318908043033406
153,3.248,0.0382656678208101
154,3.255,0.0446185490502882
155,3.263,0.0360674390216827
156,3.270,0.0343143515543786
157,3.278,0.0376281814690631
158,3.285,0.0252026931819955
159,3.293,0.0378974644969562
160,3.300,0.0222295887311757
161,3.308,0.0442888147304191
162,3.315,0.0520320756753454
163,3.323,0.0291759917364183
164,3.330,0.0255049496418756
165,3.338,0.0273404706891469
166,3.346,0.0279834526128917
167,3.353,0.0114582676154515
168,3.361,0.0279614703249004
169,3.368,0.0376776416170435
170,3.376,0.0310994419356548
171,3.383,0.0235705082986435
172,3.391,0.0263622588735352
173,3.398,0.0147885842461295
174,3.406,0.0195862186002251
175,3.413,0.0220207569952586
176,3.421,0.0126453111669803
177,3.428,0.0178166444169275
178,3.436,0.00995248088804926
179,3.444,0.0233287031307394
180,3.451,0.0292309474563965
181,3.459,0.0251807108940043
