#"+EI TIC Scan ACE-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0938195759169763
1,2.102,0.0809422965995597
2,2.110,0.0813763148488051
3,2.117,0.0668345966143795
4,2.125,0.0787806328921531
5,2.132,0.0740232872280944
6,2.140,0.0633582368510063
7,2.147,0.0704415832294674
8,2.155,0.0562496078560843
9,2.162,0.0663837232874936
10,2.170,0.0686718000772047
11,2.178,0.053788766520557
12,2.185,0.0519515630577319
13,2.193,0.0457193981001209
14,2.200,0.0424747956543059
15,2.208,0.050346116912465
16,2.215,0.0465916483680219
17,2.223,0.0485805475296124
18,2.230,0.0431110748352385
19,2.238,0.0491030549364709
20,2.245,0.0504430336088984
21,2.253,0.0355726413604812
22,2.260,0.0367019315624012
23,2.268,0.0505652329217927
24,2.275,0.0301495201296189
25,2.283,0.0404058348739225
26,2.291,0.0364996706307141
27,2.298,0.0464104562833854
28,2.306,0.0370390331152132
29,2.313,0.025244692536205
30,2.321,0.0327283470086303
31,2.328,0.0336933002035546
32,2.336,0.0280384216551341
33,2.343,0.036272127082566
34,2.351,0.0312113900209766
35,2.358,0.0386824031851714
36,2.366,0.0323406802228966
37,2.373,0.0300483896637753
38,2.381,0.0428329660541686
39,2.389,0.170965266277991
40,2.396,0.283076815204426
41,2.404,0.0823623368907801
42,2.411,0.0360361559955976
43,2.419,0.0461702714270069
44,2.426,0.0393144685966939
45,2.434,0.0373634933597947
46,2.441,0.0323701766087676
47,2.449,0.0301495201296189
48,2.456,0.0477420074169926
49,2.464,0.0385475625640467
50,2.471,0.0363311198543081
51,2.479,0.0420787013297519
52,2.486,0.0363226923154878
53,2.494,0.0345065576997134
54,2.502,0.0351259818030054
55,2.509,0.0304950492212512
56,2.517,0.0287210522995783
57,2.524,0.0436040858562259
58,2.532,0.0348141628666543
59,2.539,0.0419480744780372
60,2.547,0.0306846688447079
61,2.554,0.0379829174630866
62,2.562,0.0290918640076714
63,2.569,0.0377258775290675
64,2.577,0.0311355421715939
65,2.584,0.034241090226874
66,2.592,0.0277308164881932
67,2.599,0.0370390331152132
68,2.607,0.0450662638415478
69,2.615,0.037966062385446
70,2.622,0.0253500367714588
71,2.630,0.0328252637050638
72,2.637,0.0321173504441587
73,2.645,0.0351301955724155
74,2.652,0.0210730608201571
75,2.660,0.0328674013991653
76,2.667,0.0301621614378494
77,2.675,0.039799052078861
78,2.682,0.0325892926180954
79,2.690,0.0348478730219355
80,2.697,0.0360361559955976
81,2.705,0.0331118000249539
82,2.713,0.031337803103281
83,2.720,0.0544503283179505
84,2.728,0.0358886740662424
85,2.735,0.0335963835071211
86,2.743,0.0478136414969652
