#"+EI TIC Scan ACE-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0985872958461652
1,2.102,0.0733625261758196
2,2.110,0.0690949945707244
3,2.117,0.0691340120025424
4,2.125,0.0700850619031065
5,2.132,0.0629985208491598
6,2.140,0.0497618571048988
7,2.148,0.064359253783813
8,2.155,0.045947903144688
9,2.163,0.0561168213122577
10,2.170,0.0698119398803804
11,2.178,0.0616865597042791
12,2.185,0.051142098755461
13,2.193,0.0492302445963783
14,2.200,0.0584578672213385
15,2.208,0.0429533152526554
16,2.215,0.0501666629600106
17,2.223,0.0440360489856053
18,2.230,0.0400367622242589
19,2.238,0.0288972854402161
20,2.246,0.0459722890395742
21,2.253,0.0521224117298886
22,2.261,0.0376225586305194
23,2.268,0.0443579427981039
24,2.276,0.0523565163207966
25,2.283,0.0217034464487699
26,2.291,0.0262733631504547
27,2.298,0.0449968532441239
28,2.306,0.0322576617555425
29,2.313,0.0325356609572459
30,2.321,0.0283559185737412
31,2.328,0.0172359505056074
32,2.336,0.0249370161106878
33,2.343,0.0354668455225741
34,2.351,0.024185930548191
35,2.359,0.0334184303521284
36,2.366,0.0199427848379821
37,2.374,0.0161532167726575
38,2.381,0.0434556646873124
39,2.389,0.153801839047631
40,2.396,0.272527006890869
41,2.404,0.0878623792751888
42,2.411,0.0391930102611944
43,2.419,0.0402952527100533
44,2.426,0.0298044407299849
45,2.434,0.0414365125907302
46,2.441,0.043875102079356
47,2.449,0.0483572295594503
48,2.457,0.0522053237725018
49,2.464,0.0405196029430068
50,2.472,0.0616377879145066
51,2.479,0.0429484380736782
52,2.487,0.0541952127952205
53,2.494,0.0283705501106729
54,2.502,0.0377054706731326
55,2.509,0.0384711877725612
56,2.517,0.03957343022142
57,2.524,0.0367349120566596
58,2.532,0.0381639254969943
59,2.539,0.0335988859742867
60,2.547,0.0473622850480909
61,2.554,0.0332721149828109
62,2.562,0.0464063579685496
63,2.570,0.0383199952242663
64,2.577,0.0353936878379153
65,2.585,0.0295947220339631
66,2.592,0.033525728289628
67,2.600,0.0259417149800016
68,2.607,0.0156703760539096
69,2.615,0.0390857123236949
70,2.622,0.0329307124544033
71,2.630,0.0345889533066688
72,2.637,0.0304189652811186
73,2.645,0.02862416341749
74,2.652,0.0334623249629237
75,2.660,0.0428606488520877
76,2.668,0.0303262988805509
77,2.675,0.0278974637498795
78,2.683,0.0389686600282408
79,2.690,0.021084044718659
80,2.698,0.0402269722043717
81,2.705,0.0333403954884924
82,2.713,0.0260441357385239
83,2.720,0.0419534935623188
84,2.728,0.0332965008776971
85,2.735,0.0333940444572422
86,2.743,0.0363203518435932
87,2.750,0.0375152606930198
88,2.758,0.0420803002157274
89,2.765,0.0651005849883552
90,2.773,0.0436751377412887
91,2.781,0.0358960372725723
92,2.788,0.0366520000140463
93,2.796,0.0310432441902069
94,2.803,0.0577019044798645
95,2.811,0.0500544878435339
96,2.818,0.019630645383438
97,2.826,0.0242883513067133
98,2.833,0.0223472340737671
99,2.841,0.0291216356731697
100,2.848,0.0354765998805286
101,2.856,0.0581408505878171
102,2.863,0.0552389290963524
103,2.871,0.0538489330878357
104,2.878,0.0543025107327201
105,2.886,0.0492985251020598
106,2.894,0.0367641751305231
107,2.901,0.0275316753265857
108,2.909,0.0348620753293949
109,2.916,0.0530149354827256
110,2.924,0.0391149753975584
111,2.931,0.0319796625538392
112,2.939,0.0261075390652282
113,2.946,0.0479865639571792
114,2.954,0.930912028567003
115,2.961,15.0919377500286
116,2.969,60.2674518144471
117,2.976,100
118,2.984,9.55121369574285
119,2.992,0.147495646630045
120,2.999,0.0850531241842918
121,3.007,0.0923737698291466
122,3.014,0.0755816426104691
123,3.022,0.0631350818605228
124,3.029,0.0705386395479909
125,3.037,0.057092257107708
126,3.044,0.0681829621019783
127,3.052,0.0487522810566077
128,3.059,0.0580384298292948
129,3.067,0.0625205573093891
130,3.074,0.0507129070054628
131,3.082,0.0549658070736263
132,3.089,0.0482694403378598
133,3.097,0.0390515720708541
134,3.105,0.0362130539060936
135,3.112,0.0418949674145918
136,3.120,0.0562533823236207
137,3.127,0.0808051012951056
138,3.135,0.0378908034742682
139,3.142,0.0332282203720156
140,3.150,0.0447529942952613
141,3.157,0.0540976692156755
142,3.165,0.0459625346816197
143,3.172,0.0360569841788216
144,3.180,0.048391369812291
145,3.187,0.0374128399344975
146,3.195,0.031433418508387
147,3.203,0.0198745043323005
148,3.210,0.0292386879686237
149,3.218,0.0475915124600218
150,3.225,0.0357594762612092
151,3.233,0.0277462712015847
152,3.240,0.039436869210057
153,3.248,0.0374616117242701
154,3.255,0.0617450858520061
155,3.263,0.048991262826493
156,3.270,0.0355058629543921
157,3.278,0.0341890246305342
158,3.285,0.0315943654146363
159,3.293,0.0293362315481688
160,3.300,0.0389832915651726
161,3.308,0.0388077131219915
162,3.316,0.056975204812254
163,3.323,0.0268049756589752
164,3.331,0.0397294999486921
165,3.338,0.0270244487129515
166,3.346,0.0171042666732216
167,3.353,0.034457269474283
168,3.361,0.0208645716646826
169,3.368,0.0316870318152041
170,3.376,0.00711092694883293
171,3.383,0.0197525748578692
172,3.391,0.0209865011391139
173,3.398,0.0346426022754186
174,3.406,0.0235177570283075
175,3.414,0.0222838307470629
176,3.421,0.0228154432555833
177,3.429,0.0162653918891343
178,3.436,0.0192648569601441
179,3.444,0.0154509029999333
180,3.451,0.0348279350765542
181,3.459,0.0221814099885406
182,3.466,0.027014694354997
183,3.474,0.0194404354033251
184,3.481,0.0488595789941072
185,3.489,0.0730162464684347
186,3.496,0.0351400745310983
187,3.504,0.0198793815112778
188,3.511,0.0243029828436451
189,3.519,0.0166555662073144
190,3.527,0.0245273330765986
191,3.534,0.0320284343436117
192,3.542,0.00947148157382274
193,3.549,0.0151387635453892
194,3.557,0.0212937634146808
195,3.564,0.0201915209658219
196,3.572,0.0265806254260216
197,3.579,0.0198013466476418
198,3.587,0.0246785256248934
199,3.594,0.0180748252896947
200,3.602,0.0160507960141352
201,3.609,0.0114467390596097
202,3.617,0.0282437434572644
203,3.625,0.0162312516362935
204,3.632,0.00660857751417601
205,3.640,0.0281461998777194
206,3.647,0.0318431015424761
207,3.655,0.00943246414200472
208,3.662,0.0224594091902439
209,3.670,0.0185235257556018
210,3.677,0.0280486562981743
211,3.685,0.0287070754601033
212,3.692,0.0281364455197649
213,3.700,0.0199720479118456
