#"+EI TIC Scan ACE-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0531869978879786
1,2.102,0.039669606029347
2,2.110,0.0412073345644366
3,2.117,0.0401352562195502
4,2.125,0.0344770649548716
5,2.132,0.0336838352703975
6,2.140,0.0370868718348477
7,2.148,0.148926842808597
8,2.155,1.07315583776845
9,2.163,0.494404089448261
10,2.170,0.135011482473455
11,2.178,0.0711930409986854
12,2.185,0.0528675401993508
13,2.193,0.0554719325422316
14,2.200,0.0406523445121596
15,2.208,0.0423200219375385
16,2.215,0.0408905841443565
17,2.223,0.0271918052930295
18,2.230,0.037525449339574
19,2.238,0.03172106557332
20,2.246,0.0270835145511217
21,2.253,0.0236885997923146
22,2.261,0.0294496672618055
23,2.268,0.0202693196165782
24,2.276,0.0221968948225357
25,2.283,0.0161028333216785
26,2.291,0.0241732008623517
27,2.298,0.0181116265840668
28,2.306,0.0206185572592306
29,2.313,0.015710279382263
30,2.321,0.0180547739445653
31,2.328,0.0154801615557091
32,2.336,0.021744780975071
33,2.343,0.0118199344792281
34,2.351,0.0118226417477758
35,2.359,0.0110077539149201
36,2.366,0.0072933814674852
37,2.374,0.00864972300987945
38,2.381,0.00804600212374388
39,2.389,0.0989425436125396
40,2.396,0.196983566798697
41,2.404,0.0587639710962264
42,2.411,0.0316994074249385
43,2.419,0.0324249553957202
44,2.426,0.0203451231359136
45,2.434,0.0196601841933473
46,2.441,0.00684397488856815
47,2.449,0.0186584948307008
48,2.457,0.0126564804604652
49,2.464,0.0156615485484046
50,2.472,0.0283965397967529
51,2.479,0.123808805223101
52,2.487,0.802307155914492
53,2.494,0.728729011325289
54,2.502,0.418871296967624
55,2.509,0.269086250029408
56,2.517,0.259794904373725
57,2.524,0.250281562697131
58,2.532,0.1636516764395
59,2.539,0.103209198843704
60,2.547,0.0740004784826431
61,2.554,0.0587314838736541
62,2.562,0.0666015135417979
63,2.570,0.0583037354431185
64,2.577,0.0564357201452103
65,2.585,0.0582171028495924
66,2.592,0.045103094004567
67,2.600,0.0367782432204107
68,2.607,0.0335593009172036
69,2.615,0.0354381452893026
70,2.622,0.0458340565124441
71,2.630,0.0596357115685835
72,2.637,0.0656891640412253
73,2.645,0.171692264026149
74,2.652,0.152928185722088
75,2.660,0.0698989666328881
76,2.668,0.0511673755513995
77,2.675,0.105556400674554
78,2.683,0.095428509037634
79,2.690,0.0492858239107528
80,2.698,0.0386489657868667
81,2.705,0.0334212302212713
82,2.713,0.0311173446871845
83,2.720,0.0573778495998075
84,2.728,0.0440256011225851
85,2.735,0.0280473021541005
86,2.743,0.026631400703657
87,2.750,0.0235667727076684
88,2.758,0.0228872483021974
89,2.765,0.0304676002357381
90,2.773,0.0372709660960909
91,2.781,0.0238781085906531
92,2.788,0.0181170411211622
93,2.796,0.0252615228185243
94,2.803,0.0284371488249683
