#"+EI TIC Scan ACE-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,1.13307619568832
1,2.102,1.30069663384732
2,2.110,1.51570576130866
3,2.117,1.58207129807137
4,2.125,1.57622549875433
5,2.132,1.43571574065382
6,2.140,1.26353495044695
7,2.148,1.09481763919029
8,2.155,0.972583861212678
9,2.163,0.831674954449123
10,2.170,0.7699137703743
11,2.178,0.708759166551191
12,2.185,0.643814221880582
13,2.193,0.636928121717336
14,2.200,0.557403250685569
15,2.208,0.531094010856026
16,2.215,0.534827779452072
17,2.223,0.509319979851478
18,2.230,0.458492954821809
19,2.238,0.461472426731784
20,2.246,0.434016027358844
21,2.253,0.430571405825792
22,2.261,0.421595275261561
23,2.268,0.404702172396456
24,2.276,0.37625261572019
25,2.283,0.472532301891283
26,2.291,1.49124140545713
27,2.298,1.05806453316154
28,2.306,0.69012175259955
29,2.313,0.583699918903678
30,2.321,0.561165305407342
31,2.328,0.53019514063846
32,2.336,0.475587203469865
33,2.343,0.433170586489874
34,2.351,0.391652839727449
35,2.359,0.345603027042888
36,2.366,0.32028694451667
37,2.374,0.282653825687505
38,2.381,0.272455105911269
39,2.389,0.373688006987553
40,2.396,0.391602553281711
41,2.404,0.241041791839321
42,2.411,0.216039999598966
43,2.419,0.205105840553812
44,2.426,0.194721689508918
45,2.434,0.169176175074021
46,2.441,0.176659426780405
47,2.449,0.18409553494391
48,2.457,0.169990186914405
49,2.464,0.157170286154077
50,2.472,0.157255144531259
51,2.479,0.154737679341502
52,2.487,0.143589802901962
53,2.494,0.144400671839487
54,2.502,0.123572654595384
55,2.509,0.132819074805457
56,2.517,0.120417180125326
57,2.524,0.136713131447292
58,2.532,0.120260034982395
59,2.539,0.130059606095585
60,2.547,0.125763257887845
61,2.554,0.112943357127518
62,2.562,0.107301846496287
63,2.570,0.112610209424503
64,2.577,0.107402419387763
65,2.585,0.096323686811113
66,2.592,0.0904527442712031
67,2.600,0.0923259143749431
68,2.607,0.103316645671552
69,2.615,0.103775509488911
70,2.622,0.0936113616441204
71,2.630,0.0997117360927099
72,2.637,0.100912324984704
73,2.645,0.0889630083162153
74,2.652,0.0945793757245766
75,2.660,0.100770894356066
76,2.667,0.091197612248697
77,2.675,0.083044922233426
78,2.683,0.077375125476468
79,2.690,0.0682324210607304
80,2.698,0.0773562680593163
81,2.705,0.0817060456156521
82,2.713,0.0713030371536061
83,2.720,0.0731510640344771
84,2.728,0.0621854759607375
85,2.735,0.0583637060846505
86,2.743,0.0719096174053206
87,2.750,0.0662272490369281
88,2.758,0.0500255848007206
89,2.765,0.0790157207686698
90,2.773,0.0869546933895544
91,2.781,0.0746376570866064
92,2.788,0.0831046373877398
93,2.796,0.0788491469171627
94,2.803,0.0776202718994407
95,2.811,0.0709101742962781
96,2.818,0.084716946554214
97,2.826,0.0714256103650925
98,2.833,0.0781199934539619
99,2.841,0.0732704943431049
100,2.848,0.0773594109621749
101,2.856,0.0774568409507922
102,2.863,0.0712684652221613
103,2.871,0.0765736852475188
104,2.878,0.0758131027557318
105,2.886,0.0766051142761051
106,2.894,0.0758979611329147
107,2.901,0.0712024642621302
108,2.909,0.066830686385784
109,2.916,0.0655860968537688
110,2.924,0.0617014689205094
111,2.931,0.066629540602832
