#"+EI TIC Scan ACN-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.569825835900462
1,2.102,0.502098365367278
2,2.110,0.506956215630709
3,2.117,0.462105830640427
4,2.125,0.425231357943127
5,2.132,0.418983936557831
6,2.140,0.360893085268151
7,2.147,0.373873713065087
8,2.155,0.395880904491049
9,2.162,0.352171549446363
10,2.170,0.34298682325062
11,2.177,0.341687630738307
12,2.185,0.278727631859002
13,2.193,0.273948862878929
14,2.200,0.27353086180975
15,2.208,0.298509250024741
16,2.215,0.26025650353177
17,2.223,0.236419145262376
18,2.230,0.238836773067897
19,2.238,0.251772211560057
20,2.245,0.213237031912235
21,2.253,0.2240824650585
22,2.260,0.226319335644917
23,2.268,0.222161919605515
24,2.275,0.187863237280453
25,2.283,0.198426237271867
26,2.291,0.192404762410452
27,2.298,0.131613850160399
28,2.306,0.19705926080239
29,2.313,0.182463115359709
30,2.321,0.173572119645011
31,2.328,0.165313774197178
32,2.336,0.127219190270923
33,2.343,0.164782799866059
34,2.351,0.146526320736513
35,2.358,0.162127928210463
36,2.366,0.177978076860681
37,2.373,0.181468950654635
38,2.381,0.345720776189575
39,2.388,0.332672364435475
40,2.396,0.234814924942824
41,2.404,0.146571510041289
42,2.411,0.136833214862039
43,2.419,0.11671267691048
44,2.426,0.121434959259582
45,2.434,0.0857805977912372
46,2.441,0.0947393774630995
47,2.449,0.126292809523013
48,2.456,0.121841663002567
49,2.464,0.103822427723096
50,2.471,0.106466002052498
51,2.479,0.10894011648899
52,2.486,0.133014718608459
53,2.494,0.11514234856951
54,2.502,0.0746979207948979
55,2.509,0.082651238435492
56,2.517,0.104748808471006
57,2.524,0.135918131440323
58,2.532,0.0977331689045163
59,2.539,0.054509598886174
60,2.547,0.0770477646432553
61,2.554,0.0728225646466897
62,2.562,0.0949879186393681
63,2.569,0.0700095304243773
64,2.577,0.0804143678490749
65,2.584,0.0874413047417589
66,2.592,0.0658634117111698
67,2.599,0.0947845667678756
68,2.607,0.0973716544663075
69,2.615,0.0754548416498977
70,2.622,0.0888421731898181
71,2.630,0.068122876949975
72,2.637,0.0981398726475013
73,2.645,0.048770557179609
74,2.652,0.0574920930013968
75,2.660,0.040862428843791
76,2.667,0.0476295272340124
77,2.675,0.0630729721412455
78,2.682,0.0960498673016065
79,2.690,0.0474374726887139
80,2.697,0.0561364138581137
81,2.705,0.0995972277265306
82,2.713,0.0549840865863231
83,2.720,0.0954285143609351
84,2.728,0.0840859988621333
85,2.735,0.0633892972746782
86,2.743,0.0939598619557118
87,2.750,0.0590963133209485
88,2.758,0.0658747090373639
89,2.765,0.0761439785477332
90,2.773,0.0591302052995305
91,2.780,0.0355074962278228
92,2.788,0.0578310127872176
93,2.795,0.0788101475295233
94,2.803,0.0735568908493014
95,2.810,0.0618189689337086
96,2.818,0.0734778095659432
97,2.826,0.0330785710961073
98,2.833,0.0532330010262491
99,2.841,0.0784373357651205
100,2.848,0.0562945764248301
101,2.856,0.0471550395338633
102,2.863,0.0504651561087128
103,2.871,0.0653324373800506
104,2.878,0.074291217051913
105,2.886,0.063276324012738
106,2.893,0.0774318737338522
107,2.901,0.0616382117146042
108,2.908,0.0475278512982661
109,2.916,0.0590172320375903
110,2.923,0.0540125165336369
111,2.931,0.131274930374579
112,2.939,2.82888437096262
113,2.946,18.7830136114705
114,2.954,52.1271622517469
115,2.961,100
116,2.969,68.7711401216406
117,2.976,4.8458412056868
