#"+EI TIC Scan ACN-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.152754496529559
1,2.102,0.139343837744555
2,2.110,0.126774437997724
3,2.117,0.135805601201648
4,2.125,0.142725369172508
5,2.132,0.104340863646426
6,2.140,0.0839114652390116
7,2.148,0.0811567542708742
8,2.155,0.0846784955385229
9,2.163,0.0897507926804525
10,2.170,0.0879115694891512
11,2.178,0.110980211937895
12,2.185,0.098831441710151
13,2.193,0.0810660302569535
14,2.200,0.100159311368445
15,2.208,0.0646697266501956
16,2.215,0.0991448519400588
17,2.223,0.079325778717202
18,2.230,0.0734534607252445
19,2.238,0.083127939664242
20,2.245,0.0832681495039376
21,2.253,0.0704595682658616
22,2.261,0.0628552463717817
23,2.268,0.0555643347076097
24,2.276,0.0769009732542308
25,2.283,0.0946086512440242
26,2.291,0.0754988748572746
27,2.298,0.0517704213981989
28,2.306,0.0513910300672578
29,2.313,0.0784597767661409
30,2.321,0.0614036621490506
31,2.328,0.0529663288544262
32,2.336,0.0791443306893606
33,2.343,0.0675976380085452
34,2.351,0.0646532313749373
35,2.359,0.0429784396855209
36,2.366,0.0481991943047753
37,2.374,0.0703358537014243
38,2.381,0.113578217791078
39,2.389,0.334268505471978
40,2.396,0.287430171376013
41,2.404,0.115871061051983
42,2.411,0.06560170970229
43,2.419,0.0717626950112679
44,2.426,0.0719029048509635
45,2.434,0.0581458452855349
46,2.441,0.0726286969623291
47,2.449,0.0812227353719074
48,2.456,0.066302758900768
49,2.464,0.0520673363528485
50,2.472,0.0413701503478359
51,2.479,0.074500910704147
52,2.487,0.0653295376605279
53,2.494,0.0848764388416226
54,2.502,0.0709214359730942
55,2.509,0.0587231799195756
56,2.517,0.0721503339798382
57,2.524,0.0843980758591317
58,2.532,0.0772556216722844
59,2.539,0.0600345543026111
60,2.547,0.0623933786645491
61,2.554,0.0677048572977242
62,2.562,0.0569911760174533
63,2.570,0.0613376810480174
64,2.577,0.0597953728113656
65,2.585,0.0473661829042307
66,2.592,0.0681667250049568
67,2.600,0.0811072684450993
68,2.607,0.0687358120013684
69,2.615,0.0574447960870568
70,2.622,0.0693956230117008
71,2.630,0.0522817749312064
72,2.637,0.0555066012442056
73,2.645,0.0551189622756354
74,2.652,0.0593087621912456
75,2.660,0.0512013344017873
76,2.667,0.0251965329570651
77,2.675,0.0739235760701062
78,2.683,0.0521992985549149
79,2.690,0.0727111733386206
80,2.698,0.0675976380085452
81,2.705,0.0583025504004888
82,2.713,0.077503050801159
83,2.720,0.0683564206704274
84,2.728,0.0528508619276181
85,2.735,0.0737916138680398
86,2.743,0.0842908565699527
87,2.750,0.0620882160722704
88,2.758,0.0605459078356186
89,2.765,0.0965550937245045
90,2.773,0.0554241248679141
91,2.780,0.0556138205333846
92,2.788,0.0560674406029881
93,2.796,0.0870785580886067
94,2.803,0.0676141332838035
95,2.811,0.0700966722101788
96,2.818,0.0803484857832171
97,2.826,0.0828887581729965
98,2.833,0.0704183300777158
99,2.841,0.0839279605142699
100,2.848,0.0652882994723821
101,2.856,0.0606861176753143
102,2.863,0.0925797323872523
103,2.871,0.0731318028577075
104,2.878,0.0738905855195896
105,2.886,0.086130079761254
106,2.894,0.0712925796664061
107,2.901,0.0707069973947362
108,2.909,0.112893663867858
109,2.916,0.0752431980907709
110,2.924,0.0836392931972495
111,2.931,0.11512052602773
112,2.939,1.51847256390352
113,2.946,10.3936234544339
114,2.954,37.8822986232054
115,2.961,75.6104818896723
116,2.969,100
117,2.976,44.9566438185111
118,2.984,1.7752545138496
119,2.991,0.204392955725691
120,2.999,0.184408929750252
121,3.007,0.144127467569464
122,3.014,0.1450429553463
123,3.022,0.123516621134209
124,3.029,0.0990046421003632
125,3.037,0.128935319056563
126,3.044,0.096101473654901
127,3.052,0.111475070195644
128,3.059,0.10507490339542
129,3.067,0.0880022935030719
130,3.074,0.103210937291232
131,3.082,0.0944189555785536
132,3.089,0.0995572338215165
133,3.097,0.0978747157451691
134,3.105,0.0898250214191149
135,3.112,0.133372548101047
136,3.120,0.146882178537601
137,3.127,0.111425584369869
138,3.135,0.0853300589112261
139,3.142,0.0803237428703296
140,3.150,0.0905920517186262
141,3.157,0.085057886869464
142,3.165,0.0897672879557108
143,3.172,0.106361534865568
144,3.180,0.0843155994828401
145,3.187,0.0707894737710278
146,3.195,0.0579726448953226
147,3.202,0.0676636191095784
148,3.210,0.0672264943152333
149,3.218,0.0764638484598856
150,3.225,0.0623686357516616
151,3.233,0.072249305631388
152,3.240,0.0680182675276321
153,3.248,0.106221325025873
154,3.255,0.0841836372807737
155,3.263,0.0871445391896399
156,3.270,0.0699317194575958
157,3.278,0.0740225477216561
158,3.285,0.0645460120857583
159,3.293,0.0652965471100113
160,3.300,0.0379143901812204
161,3.308,0.0878785789386346
162,3.316,0.0898992501577773
163,3.323,0.070641016293703
164,3.331,0.0537003686034209
165,3.338,0.0476301073083637
166,3.346,0.0625253408666156
