#"+EI TIC Scan ACN-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.196108608150386
1,2.102,0.183685228648128
2,2.110,0.169755282601752
3,2.117,0.137955139547464
4,2.125,0.155477667352888
5,2.133,0.152209576849496
6,2.140,0.150343752129474
7,2.148,0.173185618732973
8,2.155,0.175317989841569
9,2.163,0.10938832007632
10,2.170,0.139751430426989
11,2.178,0.0902549249660327
12,2.185,0.121475619349506
13,2.193,0.101449873286165
14,2.200,0.103860379756752
15,2.208,0.0907764287697656
16,2.215,0.101507818153246
17,2.223,0.115391408305956
18,2.230,0.0837998667731616
19,2.238,0.0901622131787024
20,2.246,0.0944385443693118
21,2.253,0.0793265230344753
22,2.261,0.0910545641317564
23,2.268,0.0877980626017802
24,2.276,0.0734509135124185
25,2.283,0.0955047299236101
26,2.291,0.0884470451130921
27,2.298,0.0737058709275768
28,2.306,0.100128730316708
29,2.313,0.0876358169739522
30,2.321,0.0974980333512113
31,2.328,0.0765104024943179
32,2.336,0.113409693851771
33,2.344,0.0655935895361768
34,2.351,0.082316478175877
35,2.359,0.0804854203761039
36,2.366,0.0485462096408206
37,2.374,0.0531933879807512
38,2.381,0.12957631176749
39,2.389,0.325429962502718
40,2.396,0.2580284931136
41,2.404,0.104474595347815
42,2.411,0.0631367271719243
43,2.419,0.0862799070842467
44,2.426,0.0667524868778054
45,2.434,0.0796510142901313
46,2.441,0.0715387328987314
47,2.449,0.0803463526951085
48,2.457,0.0783878161877562
49,2.464,0.0767885378563088
50,2.472,0.0620010077771283
51,2.479,0.0763481568664899
52,2.487,0.0611666016911557
53,2.494,0.0454519537386724
54,2.502,0.0736247481136628
55,2.509,0.0636350530288246
56,2.517,0.0982049607296047
57,2.524,0.0664743515158145
58,2.532,0.0413842240695561
59,2.539,0.0486736883483998
60,2.547,0.0581418796295052
61,2.554,0.0640290781249783
62,2.562,0.0697076750989582
63,2.570,0.0583157142307494
64,2.577,0.0350450556108478
65,2.585,0.0389621286255524
66,2.592,0.0493458488065443
67,2.600,0.0800450393862851
68,2.607,0.0357172160689924
69,2.615,0.0454287757918398
70,2.622,0.0736595150339117
71,2.630,0.06701903326638
72,2.637,0.0810880469937508
73,2.645,0.0438642643806412
74,2.652,0.0810069241798368
75,2.660,0.0805317762697691
76,2.668,0.0617344613885537
77,2.675,0.0603437845785994
78,2.683,0.0770898511651322
79,2.690,0.0567859697397997
80,2.698,0.06783026140552
81,2.705,0.0431457480288315
82,2.713,0.0771941519258788
83,2.720,0.0860713055627536
84,2.728,0.0642724465667203
85,2.735,0.0365284442081324
86,2.743,0.0882616215384316
87,2.750,0.0572495286764512
88,2.758,0.0756991743551779
89,2.765,0.0719211690214688
90,2.773,0.084425671337641
91,2.781,0.0502729666798472
92,2.788,0.0665554743297285
93,2.796,0.0933028249745158
94,2.803,0.0540973279072215
95,2.811,0.0953308953223658
96,2.818,0.0569018594739626
97,2.826,0.0963275470361664
98,2.833,0.0837998667731616
99,2.841,0.0713764872709034
100,2.848,0.0588603959813149
101,2.856,0.0402253267279275
102,2.863,0.067668015777692
103,2.871,0.0535874130769049
104,2.879,0.0779937910916025
105,2.886,0.0756296405146802
106,2.894,0.090347636753363
107,2.901,0.0955974417109404
108,2.909,0.0733582017250882
109,2.916,0.0699858104609491
110,2.924,0.0516404655429689
111,2.931,0.0613172583455674
112,2.939,0.301093118328518
113,2.946,4.90769846232865
114,2.954,34.6717863660827
115,2.961,88.4404741651651
116,2.969,100
117,2.976,16.9471005083851
118,2.984,0.55693129546644
119,2.992,0.190128697867583
120,2.999,0.158977537324607
121,3.007,0.146542568848932
122,3.014,0.117384711733557
123,3.022,0.114023909442835
124,3.029,0.133087770712625
125,3.037,0.105563958848946
126,3.044,0.10077771282802
127,3.052,0.059393488758464
128,3.059,0.0992247903902378
129,3.067,0.0822237663885468
130,3.074,0.102631948574626
131,3.082,0.0847965184869622
132,3.090,0.10758044022338
133,3.097,0.0743548534388888
134,3.105,0.0778663123840233
135,3.112,0.104671607895892
136,3.120,0.13597342509328
137,3.127,0.0869520675423913
138,3.135,0.0515361647822223
139,3.142,0.0607493986481694
140,3.150,0.107395016648719
141,3.157,0.0785384728421679
142,3.165,0.080612899083683
143,3.172,0.0625804564479426
144,3.180,0.081991986920221
145,3.187,0.0735899811934139
146,3.195,0.0567627917929672
147,3.203,0.066288927941154
148,3.210,0.0741230739705631
149,3.218,0.0807635557380948
150,3.225,0.0640638450452271
151,3.233,0.0714344321379848
152,3.240,0.134860883645316
153,3.248,0.429128096631642
154,3.255,1.0691175645726
155,3.263,1.16425144734689
156,3.270,0.466120099776426
157,3.278,0.114105032256749
158,3.285,0.0469237533625406
159,3.293,0.0754673948868522
160,3.300,0.0692672941091394
161,3.308,0.0712490085633242
162,3.316,0.0836492101187499
163,3.323,0.0588372180344823
164,3.331,0.0421490963150309
165,3.338,0.0613520252658163
166,3.346,0.0745518659869656
167,3.353,0.029250568902705
168,3.361,0.0388694168382221
169,3.368,0.0741114849971468
170,3.376,0.0478161043155946
171,3.383,0.0166881217194513
172,3.391,0.0365284442081324
173,3.398,0.0466803849207986
174,3.406,0.0555923054779223
175,3.414,0.0260288342929776
176,3.421,0.0263880924688824
177,3.429,0.0704377804241842
178,3.436,0.0451738183766815
179,3.444,0.0231779468325713
180,3.451,0.0433079936566595
181,3.459,0.0542711625084657
182,3.466,0.0395995221634481
183,3.474,0.0637045868693223
184,3.481,0.0698930986736188
185,3.489,0.0840548241883199
186,3.496,0.0452665301640118
187,3.504,0.0157725928195648
188,3.511,0.0253450848614167
189,3.519,0.0388810058116384
190,3.527,0.0380465997256658
191,3.534,0.0330285742364141
192,3.542,0.0297952506532704
193,3.549,0.0380697776724984
194,3.557,0.0242557213602859
195,3.564,0.0302124536962567
196,3.572,0.0396806449773621
197,3.579,0.0367834016232907
198,3.587,0.0287174761255559
199,3.594,0.0328779175820024
200,3.602,0.0496355731419515
201,3.609,0.0136981665780496
202,3.617,0.0418825499264564
203,3.625,0.0460429913829029
204,3.632,0.0233981373274807
205,3.640,0.0337586795616401
206,3.647,0.0234444932211459
207,3.655,0.0312554613037224
208,3.662,0.0111138255062179
209,3.670,0.0165026981447908
210,3.677,0.0353811358399201
211,3.685,0.0278483031193344
212,3.692,0.0223203627997662
213,3.700,0.0255536863829099
214,3.707,0.0283466289762347
215,3.715,0.0264808042562127
216,3.722,0.0125508582098374
217,3.730,0.0248235810576839
218,3.738,0.0252407841006702
219,3.745,0.00312902282239713
220,3.753,0.0117743969909462
221,3.760,0.0256579871436565
222,3.768,0.0232822475933179
223,3.775,0.0455214875791701
224,3.783,0.0211730544315539
225,3.790,0.033550078040147
226,3.798,0.0347089753817756
227,3.805,0.0200141570899253
228,3.813,0.00174993498585913
229,3.820,0.0294475814507819
230,3.828,0.0186350692533873
231,3.836,0.0281496164281579
232,3.843,0.0166417658257862
233,3.851,0.0218799818099473
234,3.858,0.0271645536877736
235,3.866,0.0197939665950159
236,3.873,0.00825134907239539
237,3.881,0.0303631103506684
238,3.888,0.0399819582861855
239,3.896,0.0142196703817825
240,3.903,0.0266894057777059
241,3.911,0.0165490540384559
242,3.918,0.0409090761594884
243,3.926,0.0209528639366445
244,3.933,0.0176731844598356
245,3.941,0.0267937065384524
246,3.949,0.0363430206334718
247,3.956,0.0391243742533804
248,3.964,0.0714112541911522
249,3.971,0.125299980576881
250,3.979,0.0548158442590312
251,3.986,0.0314756517986319
252,3.994,0.029818428600103
253,4.001,0.0255768643297424
254,4.009,0.0496471621153678
255,4.016,0.0290535563546281
256,4.024,0.0388462388913895
257,4.031,0.0249974156589282
258,4.039,0.0459386906221564
259,4.046,0.0358794616968204
260,4.054,0.030954147994899
261,4.062,0.0332024088376584
262,4.069,0.0468194526017941
263,4.077,0.0716893895531431
264,4.084,0.237168340964286
265,4.092,0.745240524507666
266,4.099,0.903673380081707
267,4.107,0.339104951133935
268,4.114,0.05647306745756
269,4.122,0.0619314739366306
270,4.129,0.0333646544654864
271,4.137,0.0507249366430823
272,4.144,0.0304790000848313
273,4.152,0.00587560952205683
274,4.160,0.0189479715356271
275,4.167,0.0195042422596088
276,4.175,0.0478856381560923
277,4.182,0.0535642351300723
278,4.190,0.0373744392675213
279,4.197,0.0472830115384455
280,4.205,0.0607957545418346
281,4.212,0.0296445939988587
282,4.220,0.0241977764932045
283,4.227,0.0553605260095966
284,4.235,0.0536917138376515
285,4.242,0.0348943989564361
286,4.250,0.0288565438065513
287,4.257,0.0089698654242051
288,4.265,0.0441655776894646
289,4.273,0.035334779946255
290,4.280,0.0151699662019179
291,4.288,0.0239196411312136
292,4.295,0.054688365551452
293,4.303,0.0224478415073453
294,4.310,0.0561833431221529
295,4.318,0.0397849457381087
296,4.325,0.00924800078619596
297,4.333,0.0414421689366375
298,4.340,0.0323680027516858
299,4.348,0.0176963624066682
300,4.355,0.0308150803139036
301,4.363,0.0256116312499913
302,4.371,0.0532860997680815
303,4.378,0.0336196118806447
304,4.386,0.0366906898359604
305,4.393,0.0324375365921836
306,4.401,0.0611666016911557
307,4.408,0.105540780902114
308,4.416,0.194856999021427
309,4.423,0.154666439213748
310,4.431,0.0677375496181897
311,4.438,0.0654313439083488
312,4.446,0.0513043853138966
313,4.453,0.0779474351979373
314,4.461,0.0332835316515724
315,4.468,0.0270370749801944
316,4.476,0.0507017586962498
317,4.484,0.032252113017523
318,4.491,0.0342106495248753
319,4.499,0.0544681750565426
320,4.506,0.0672276347878731
321,4.514,0.0695222515242977
322,4.521,0.0512116735265663
323,4.529,0.0475843248472689
324,4.536,0.0561717541487366
325,4.544,0.0482912522256623
326,4.551,0.0133852642958099
327,4.559,0.0325650152997627
328,4.566,0.0744243872793865
329,4.574,0.0433079936566595
330,4.582,0.0297720727064379
331,4.589,0.0518954229581272
332,4.597,0.00521503803732855
333,4.604,0.00973473766967995
334,4.612,0.0241745985463719
335,4.619,0.0467730967081289
336,4.627,0.0390316624660501
337,4.634,0.0483028411990786
338,4.642,0.0407468305316604
339,4.649,0.0604712632861786
340,4.657,0.0568323256334649
341,4.664,0.0334573662528167
342,4.672,0.0204197711594953
343,4.679,0.0478972271295086
344,4.687,0.0155524023246554
345,4.695,0.0422533970757775
346,4.702,0.0441655776894646
347,4.710,0.0465413172398032
348,4.717,0.0318349099745367
349,4.725,0.024869936951349
350,4.732,0.0256927540639053
351,4.740,0.0217988589960333
352,4.747,0.0513855081278106
353,4.755,0.0583041252573332
354,4.762,0.0365979780486301
355,4.770,0.0256579871436565
356,4.777,0.0255420974094936
357,4.785,0.0390316624660501
358,4.793,0.0333298875452376
359,4.800,0.0134547981363077
360,4.808,0.0405382290101672
361,4.815,0.0489286457635581
362,4.823,0.0485693875876532
363,4.830,0.0697192640723745
364,4.838,0.155350188645309
365,4.845,0.120212421247131
366,4.853,0.0697308530457908
367,4.860,0.0647591834502043
368,4.868,0.0331328749971607
369,4.875,0.0441771666628809
370,4.883,0.0441771666628809
371,4.890,0.0520344906391226
372,4.898,0.0353231909728387
373,4.906,0.0478972271295086
374,4.913,0.0392402639875432
375,4.921,0.0684328880231668
376,4.928,0.0381277225395798
377,4.936,0.0331096970503281
378,4.943,0.00693020610293882
379,4.951,0.0143007931956965
380,4.958,0.0315335966657133
381,4.966,0.026411270415715
382,4.973,0.038985306572385
383,4.981,0.0174298160180936
384,4.988,0.0214164228732959
385,4.996,0.0263880924688824
386,5.003,0.0478276932890109
387,5.011,0.0391127852799641
388,5.019,0.0673319355486197
389,5.026,0.0738333496351559
390,5.034,0.0700553443014468
391,5.041,0.0559283857069946
392,5.049,0.0490445354977209
393,5.056,0.0715155549518988
394,5.064,0.0659760256589143
395,5.071,0.05687868152713
396,5.079,0.0531006761934209
397,5.086,0.0602394838178529
398,5.094,0.0387187601838104
399,5.101,0.0170589688687725
400,5.109,0.0234792601413947
401,5.117,0.0285668194711442
402,5.124,0.0465181392929706
403,5.132,0.0619778298302957
404,5.139,0.0532629218212489
405,5.147,0.0561369872284877
406,5.154,0.0215091346606262
407,5.162,0.0425894773048498
408,5.169,0.0138372342590451
409,5.177,0.0286247643382256
410,5.184,0.0598686366685317
411,5.192,0.0508292374038289
412,5.199,0.0368065795701233
413,5.207,0.041175622548063
414,5.214,0.0455330765525864
415,5.222,0.0517563552771318
416,5.230,0.0180787985294056
417,5.237,0.0108125121973945
418,5.245,0.026816884485285
419,5.252,0.0443510012641252
420,5.260,0.0319507997086996
421,5.267,0.0533788115554117
422,5.275,0.0626963461821054
423,5.282,0.037362850294105
424,5.290,0.0378843540978378
425,5.297,0.0490097685774721
426,5.305,0.0459271016487401
427,5.312,0.026979130113113
428,5.320,0.0104532540214897
429,5.328,0.032738849901007
430,5.335,0.0683633541826691
431,5.343,0.0478972271295086
432,5.350,0.0446175476526998
433,5.358,0.0695686074179628
434,5.365,0.0426358331985149
435,5.373,0.0462168259841472
436,5.380,0.0319623886821159
437,5.388,0.0350334666374316
438,5.395,0.0325418373529301
439,5.403,0.0413031012556421
440,5.410,0.0292853358229539
441,5.418,0.0251480723133399
442,5.425,0.0414537579100538
443,5.433,0.0576551427460212
444,5.441,0.0499832423444401
445,5.448,0.0470512320701198
446,5.456,0.0283466289762347
447,5.463,0.0280105487471624
