#"+EI TIC Scan ACN-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.147556920963116
1,2.102,0.136086064916513
2,2.110,0.108246328891563
3,2.117,0.103458905500212
4,2.125,0.109391834488503
5,2.132,0.0892704361753511
6,2.140,0.0847832142507848
7,2.147,0.0876746283782343
8,2.155,0.0985766816456665
9,2.162,0.096301470528985
10,2.170,0.0977787777471081
11,2.178,0.0615887009223927
12,2.185,0.0649146171728195
13,2.193,0.0750977669276892
14,2.200,0.0653807194501952
15,2.208,0.0699153416063591
16,2.215,0.0763775731808226
17,2.223,0.0639034122320722
18,2.230,0.068438034388236
19,2.238,0.0588473875283355
20,2.245,0.0652385187554026
21,2.253,0.0433080116029447
22,2.260,0.0636901111898833
23,2.268,0.0641167132742611
24,2.275,0.0512080502025333
25,2.283,0.0604194952096536
26,2.291,0.0566195766432515
27,2.298,0.0539809637509889
28,2.306,0.0406535986334829
29,2.313,0.0657520212643759
30,2.321,0.0341755669818203
31,2.328,0.0436714133785258
32,2.336,0.0575438811594033
33,2.343,0.054478666182763
34,2.351,0.0325165588759067
35,2.358,0.0437346136873225
36,2.366,0.0735572594007694
37,2.373,0.0469420293587554
38,2.381,0.118081876948051
39,2.389,0.307793403878571
40,2.396,0.252295632716461
41,2.404,0.0939788591807059
42,2.411,0.0585629861387503
43,2.419,0.0614623003047993
44,2.426,0.0380307858184195
45,2.434,0.0570540787662288
46,2.441,0.0272630332071802
47,2.449,0.0379596854710232
48,2.456,0.0220964079630493
49,2.464,0.0532067599682292
50,2.471,0.0662181235417516
51,2.479,0.026078027417242
52,2.486,0.0493199409772316
53,2.494,0.0490355395876464
54,2.502,0.0532857603542251
55,2.509,0.0448090189368665
56,2.517,0.0318450555949416
57,2.524,0.0390103906047685
58,2.532,0.0319398560581367
59,2.539,0.0428814095185669
60,2.547,0.0627816067509306
61,2.554,0.0440585152699056
62,2.562,0.0456622231056221
63,2.569,0.0748370656539028
64,2.577,0.0518795534834983
65,2.584,0.0347285696837915
66,2.592,0.0650489178290125
67,2.600,0.0439716148453101
68,2.607,0.0289062412358947
69,2.615,0.0462547260005912
70,2.622,0.0348628703399845
71,2.630,0.0545813666845576
72,2.637,0.0477636333731127
73,2.645,0.0266310301192132
74,2.652,0.0426286082833801
75,2.660,0.0327456599952947
76,2.667,0.058223284478968
77,2.675,0.0438689143435155
78,2.682,0.0494147414404267
79,2.690,0.0737310602499604
80,2.697,0.0418307043848216
81,2.705,0.0741655623729378
82,2.713,0.0580336835525778
83,2.720,0.0641641135058586
84,2.728,0.0664472246611397
85,2.735,0.0768831756511962
86,2.743,0.0557347723200976
87,2.750,0.0349971709961775
88,2.758,0.0698521412975624
89,2.765,0.061967902775173
90,2.773,0.061391199957403
91,2.780,0.0487353381208621
92,2.788,0.053499061396414
93,2.795,0.0571567792680235
94,2.803,0.0618494021961791
95,2.811,0.0488064384682583
96,2.818,0.0410328004862632
97,2.826,0.0227995113984127
98,2.833,0.0528986584628452
99,2.841,0.0713452485928846
100,2.848,0.0417438039602261
101,2.856,0.0395238931137417
102,2.863,0.0707211455435171
103,2.871,0.0500151443739954
104,2.878,0.0531435596594325
105,2.886,0.0604194952096536
106,2.893,0.0559164732078881
107,2.901,0.0580099834367791
108,2.908,0.0716533500982686
109,2.916,0.0621101034699656
110,2.924,0.0694887395219813
111,2.931,0.0788423852238942
112,2.939,1.13829286169892
113,2.946,8.48316414874003
114,2.954,25.6433277932996
115,2.961,60.2358272122518
116,2.969,100
117,2.976,68.0644020626685
118,2.984,3.75300023715916
119,2.991,0.231573831469741
120,2.999,0.156942166819427
121,3.006,0.116778370579119
122,3.014,0.107274624143814
123,3.021,0.0840248105452243
124,3.029,0.0887411335891787
125,3.037,0.112986352051316
126,3.044,0.0969887738871492
127,3.052,0.0561771744816745
128,3.059,0.0737468603271595
129,3.067,0.1229009004938
130,3.074,0.0787712848764979
131,3.082,0.0513897510903238
132,3.089,0.0640693130426635
133,3.097,0.0376831841200376
134,3.104,0.0488538386998559
135,3.112,0.0709581467015048
136,3.119,0.0858971196933268
137,3.127,0.0772386773881777
138,3.135,0.0516425523255107
139,3.142,0.044184915887499
140,3.150,0.0501020447985909
141,3.157,0.0685802350830286
142,3.165,0.0565879764888531
143,3.172,0.0393816924189492
144,3.180,0.0624261050139491
145,3.187,0.033527763816654
146,3.195,0.0350761713821734
147,3.202,0.0435608128381315
148,3.210,0.0511211497779378
149,3.217,0.0485457371944719
150,3.225,0.0474397317905295
151,3.232,0.0457570235688172
152,3.240,0.0589737881459289
153,3.248,0.0574016804646107
154,3.255,0.0331643620410729
155,3.263,0.0455358224880287
156,3.270,0.033970165978231
157,3.278,0.022831111552811
158,3.285,0.0558690729762906
159,3.293,0.0242294183849382
160,3.300,0.0546287669161551
161,3.308,0.0607512968308363
162,3.315,0.0683748340794393
163,3.323,0.0429920100589611
164,3.330,0.0242452184621374
165,3.338,0.0389708904117705
166,3.346,0.0218199066120637
167,3.353,0.0335830640868511
168,3.361,0.0209904025591069
169,3.368,0.0448801192842628
170,3.376,0.0283927387269214
171,3.383,0.0453541216002381
172,3.391,0.0229970123634024
173,3.398,0.0378253848148302
174,3.406,0.0179409876596657
175,3.413,0.0468235287797616
176,3.421,0.0119132582081796
177,3.428,0.0337094647044445
178,3.436,0.0328957607286869
179,3.443,0.0278950362951473
180,3.451,0.0310787518507815
181,3.459,0.0368852802214792
182,3.466,0.0364586781371014
183,3.474,0.0246402203921168
184,3.481,0.0653886194887948
185,3.489,0.114281958381649
186,3.496,0.0771122767705843
187,3.504,0.042091405658608
188,3.511,0.0190469930636081
189,3.519,0.0140857688230665
190,3.526,0.032010956405533
191,3.534,0.0472027306325419
192,3.541,0.0154366754235961
193,3.549,0.0351946719611672
194,3.557,0.0155709760797891
195,3.564,0.0230760127493983
196,3.572,0.0463969266953838
197,3.579,0.0258331262206547
198,3.587,0.0139593682054731
199,3.594,0
200,3.602,0.0223729093140349
201,3.609,0.0315843543211552
202,3.617,0.0316238545141532
203,3.624,0.0297278452502519
204,3.632,0.0164478803643435
205,3.639,0.0132641648087093
206,3.647,0.0142279695178591
207,3.654,0.0169692829119163
208,3.662,0.0386311887519882
209,3.670,0.020911402173111
210,3.677,0.025058922437895
211,3.685,0.0176170860770826
212,3.692,0.238936667444557
213,3.700,1.19985786250552
214,3.707,0.68304523735903
215,3.715,0.398517447156247
216,3.722,0.353992829608965
217,3.730,1.40258075300956
218,3.737,3.59172884918716
219,3.745,6.40317088589295
220,3.752,6.73562031024084
221,3.760,0.988879431664903
222,3.768,0.598420023880237
223,3.775,0.467073982123477
224,3.783,0.401827563329474
225,3.790,0.345468687960009
226,3.798,0.288256608421789
227,3.805,0.273791637745942
228,3.813,0.262929084671508
229,3.820,0.245564799829612
230,3.828,0.194459450128873
231,3.835,0.17974167821784
232,3.843,0.195123053371239
233,3.850,0.149445030188417
234,3.858,0.159083077279916
235,3.865,0.134379656579002
236,3.873,0.154698555857144
237,3.881,0.138503476727987
238,3.888,0.145874212741403
239,3.896,0.131172240907569
240,3.903,0.105212714069321
241,3.911,0.127664623769352
242,3.918,0.0990743840774406
243,3.926,0.126637618751405
244,3.933,0.128312426934518
245,3.941,0.103443105423013
246,3.948,0.116628269845726
247,3.956,0.122363697869028
248,3.963,0.129386832184062
249,3.971,0.168926525375003
250,3.978,0.112267448538754
251,3.986,0.0758877707876481
252,3.994,0.081496798193356
253,4.001,0.100488490986767
254,4.009,0.0825712034429
255,4.016,0.0694729394447821
256,4.024,0.0625683057087417
257,4.031,0.0867740239778811
258,4.039,0.0643774145480475
259,4.046,0.0849412150227766
260,4.054,0.0501731451459872
261,4.061,0.0793005874626703
262,4.069,0.0623392045893536
263,4.076,0.077617879240958
264,4.084,0.0519506538308946
265,4.092,0.0648593169026224
266,4.099,0.0497228429458106
267,4.107,0.0597953921602861
268,4.114,0.0623234045121544
269,4.122,0.0806198939088016
270,4.129,0.077444078391767
271,4.137,0.057338480155814
272,4.144,0.0458676241092114
273,4.152,0.0684222343110368
274,4.159,0.0339227657466334
275,4.167,0.0502837456863814
276,4.174,0.0789055855326909
277,4.182,0.0636427109582857
278,4.189,0.042668108476378
279,4.197,0.0446036179332772
280,4.205,0.0496675426756135
281,4.212,0.0396502937313352
282,4.220,0.0518795534834983
283,4.227,0.0270339320877922
284,4.235,0.0361110764387195
285,4.242,0.0449354195544599
286,4.250,0.0642431138918545
287,4.257,0.0490908398578435
288,4.265,0.0428893095571665
289,4.272,0.0329036607672865
290,4.280,0.0358266750491343
291,4.287,0.0439321146523122
292,4.295,0.0305178491102107
293,4.303,0.0806198939088016
294,4.310,0.0239766171497514
295,4.318,0.0481823354188909
296,4.325,0.0552686700427218
297,4.333,0.0513107507043279
298,4.340,0.0552291698497239
299,4.348,0.0479137341065048
300,4.355,0.0332038622340709
301,4.363,0.0490118394718477
302,4.370,0.0335672640096519
303,4.378,0.0324691586443091
304,4.385,0.0447853188210678
305,4.393,0.0322874577565186
306,4.400,0.0372249818812615
307,4.408,0.0643932146252467
308,4.416,0.166351112791537
309,4.423,0.203844695985185
310,4.431,0.0639982126952672
311,4.438,0.0563193751764671
312,4.446,0.0403375970894994
313,4.453,0.0274842342879687
314,4.461,0.062062703238368
315,4.468,0.027958236603944
316,4.476,0.0328878606900873
317,4.483,0.0247982211641086
318,4.491,0.0217804064190658
319,4.498,0.0564931760256581
320,4.506,0.0515240517465168
321,4.514,0.0398951949279224
322,4.521,0.0313078529701696
323,4.529,0.042668108476378
324,4.536,0.0309049510015906
325,4.544,0.0406851987878813
326,4.551,0.0527959579610506
327,4.559,0.0590211883775264
328,4.566,0.014844172528627
329,4.574,0.0388602898713763
330,4.581,0.053364760740221
331,4.589,0.0366087788704936
332,4.596,0.0413883022232447
333,4.604,0.0412619016056512
334,4.611,0.040171696278908
335,4.619,0.0224598097386304
336,4.627,0.0464206268111826
337,4.634,0.0204294998185361
338,4.642,0.0597795920830869
339,4.649,0.0459387244566077
340,4.657,0.0344599683714055
341,4.664,0.0235184149109753
342,4.672,0.0345942690275985
343,4.679,0.0506313473847633
344,4.687,0.018683591288027
345,4.694,0.027997736796942
346,4.702,0.0346653693749948
347,4.709,0.0270892323579893
348,4.717,0.0425259077815854
349,4.724,0.0345863689889989
350,4.732,0.0439795148839097
351,4.740,0.0411671011424562
352,4.747,0.0447458186280698
353,4.755,0.0528433581926481
354,4.762,0.0404007973982961
355,4.770,0.0329036607672865
356,4.777,0.0292854430886749
357,4.785,0.0586972867949433
358,4.792,0.0420993056972076
359,4.800,0.031473753780761
360,4.807,0.0502521455319831
361,4.815,0.0383704874782018
362,4.822,0.045836023954813
363,4.830,0.0417043037672282
364,4.838,0.0782735824447238
365,4.845,0.0787396847220996
366,4.853,0.0487116380050633
367,4.860,0.185224305005954
368,4.868,0.71952761561193
369,4.875,0.774606684728262
370,4.883,0.451992808436862
371,4.890,0.50809888257114
372,4.898,3.20284944912241
373,4.905,5.81584251620653
374,4.913,1.61146567362128
