#"+EI TIC Scan ACN-PEEK-1Week.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.144580719448365
1,2.102,0.124264658448928
2,2.110,0.125210208047422
3,2.117,0.138925095681666
4,2.125,0.130600724450057
5,2.132,0.0942633417490193
6,2.140,0.133393188684864
7,2.148,0.0930085002257831
8,2.155,0.091603431196244
9,2.163,0.105053211466424
10,2.170,0.115569136907629
11,2.178,0.0892263018318035
12,2.185,0.0855236356470431
13,2.193,0.0792759387672684
14,2.200,0.111769264689378
15,2.208,0.0776676207586136
16,2.215,0.0790903636124236
17,2.223,0.0761299980470424
18,2.230,0.047109578594171
19,2.238,0.0518108158502391
20,2.245,0.080707518533214
21,2.253,0.0674874979785563
22,2.261,0.0675670301877755
23,2.268,0.0647480552165618
24,2.276,0.0814674929768641
25,2.283,0.0772434489761112
26,2.291,0.0588008133493929
27,2.298,0.0611867796259689
28,2.306,0.068238635510071
29,2.313,0.0719943231676442
30,2.321,0.0681502663887163
31,2.328,0.0636434411996285
32,2.336,0.0739384438374468
33,2.343,0.0814056345919158
34,2.351,0.0452273163093167
35,2.358,0.0661266135096945
36,2.366,0.0487355704270968
37,2.374,0.0850552793038634
38,2.381,0.190744748444041
39,2.389,0.443259512714991
40,2.396,0.268085403453642
41,2.404,0.0968260462683046
42,2.411,0.0734965982306734
43,2.419,0.0564060101606816
44,2.426,0.0645448062374461
45,2.434,0.0620086124545672
46,2.441,0.0629276513166557
47,2.449,0.0642620250491111
48,2.456,0.0783127153445026
49,2.464,0.0765276590931384
50,2.472,0.0532600694404556
51,2.479,0.0795852306920097
52,2.487,0.0682297985979355
53,2.494,0.0694051079119525
54,2.502,0.0728338298205135
55,2.509,0.0687865240624699
56,2.517,0.0652517592082834
57,2.524,0.0587743026129865
58,2.532,0.0666126436771452
59,2.539,0.0574841134412085
60,2.547,0.0669484463382929
61,2.554,0.0704301897196666
62,2.562,0.0809196044244652
63,2.569,0.0524117258754508
64,2.577,0.0860803611115775
65,2.585,0.0556725464534379
66,2.592,0.0666214805892806
67,2.600,0.0768811355785571
