#"+EI TIC Scan ACN-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.16321182715981
1,2.102,0.126601530241404
2,2.110,0.142291657492149
3,2.117,0.130760140357631
4,2.125,0.111365399728238
5,2.132,0.126846688479697
6,2.140,0.123596071838628
7,2.147,0.130415102837071
8,2.155,0.108823017997793
9,2.162,0.102612342627706
10,2.170,0.0987715302277838
11,2.177,0.0934779282676075
12,2.185,0.0923792561626652
13,2.193,0.0696975791531962
14,2.200,0.0818556117855737
15,2.208,0.0906813083641181
16,2.215,0.0679633116156427
17,2.223,0.0741830669204811
18,2.230,0.0831812822593057
19,2.238,0.0960021501285492
20,2.245,0.0734112724665961
21,2.253,0.0603997259675692
22,2.260,0.0668464796411973
23,2.268,0.07023329530354
24,2.275,0.04668902449267
25,2.283,0.0542526101407435
26,2.291,0.0673458760525347
27,2.298,0.0911897847102071
28,2.306,0.0684263882879738
29,2.313,0.0620885938313647
30,2.321,0.056141236569074
31,2.328,0.0607629233576328
32,2.336,0.0810293377231791
33,2.343,0.0681176705064197
34,2.351,0.0583476607137101
35,2.358,0.0880753670904121
36,2.366,0.0702696150425463
37,2.373,0.0736836705091437
38,2.381,0.15138067217849
39,2.388,0.375037624979627
40,2.396,0.288687445492017
41,2.404,0.107942264326889
42,2.411,0.0629148678937593
43,2.419,0.0594281729491492
44,2.426,0.0681721501149293
45,2.434,0.0480510147054083
46,2.441,0.0802938630083004
47,2.449,0.0707599315191321
48,2.456,0.0501757194372801
49,2.464,0.0563319151988574
50,2.471,0.0563046753946026
51,2.479,0.0543434094882594
52,2.486,0.0599911289037477
53,2.494,0.0531630179705529
54,2.502,0.0465800652756509
55,2.509,0.0701515758907757
56,2.517,0.0755178173289647
57,2.524,0.0723852398396665
58,2.532,0.0716225253205331
59,2.539,0.0514287504329994
60,2.547,0.0625789103079505
61,2.554,0.0618888352668298
62,2.562,0.0657841272752614
63,2.569,0.0584021403222196
64,2.577,0.0612895595732249
65,2.584,0.0644312169972747
66,2.592,0.0650214127561279
67,2.599,0.0726122382084562
68,2.607,0.0553331223761826
69,2.615,0.0641951386937333
70,2.622,0.0536624143818903
71,2.630,0.0680268711589039
72,2.637,0.0707236117801257
73,2.645,0.0692889820893747
74,2.652,0.0501030799592674
75,2.660,0.0570401501094813
76,2.667,0.0625970701774537
77,2.675,0.034122394796471
78,2.682,0.0293100293781289
79,2.690,0.0637139021518991
80,2.697,0.0669100391844584
81,2.705,0.0387622414545329
82,2.713,0.0697974584354637
83,2.720,0.0707690114538837
84,2.728,0.0729118760552587
85,2.735,0.0543706492925142
86,2.743,0.0667556802936814
87,2.750,0.063959060390192
88,2.758,0.0901274323442712
89,2.765,0.0994616052689045
90,2.773,0.0667920000326878
91,2.780,0.0646491354313128
92,2.788,0.0381902055651828
93,2.795,0.0604723654455819
94,2.803,0.0689621044383175
95,2.810,0.0680359510936554
96,2.818,0.0617526362455559
97,2.826,0.0781691582764286
98,2.833,0.0662108842085861
99,2.841,0.0690529037858334
100,2.848,0.0402876704927998
101,2.856,0.0582205416271879
102,2.863,0.0542162904017372
103,2.871,0.0653755302114399
104,2.878,0.0796764274451924
105,2.886,0.083217601998312
106,2.893,0.0655298891022169
107,2.901,0.0631963458710586
108,2.908,0.0621612333093774
109,2.916,0.0590377357548309
110,2.924,0.0759173344580346
111,2.931,0.113617223546632
112,2.939,2.73174376968927
113,2.946,20.6264791781206
114,2.954,47.9098398798906
115,2.961,74.8005932829367
116,2.969,100
117,2.976,35.0635754331469
118,2.984,1.13678059109467
119,2.991,0.222576440565698
120,2.999,0.172264522107144
121,3.006,0.138114887506418
122,3.014,0.136880016380202
123,3.021,0.116168685211828
124,3.029,0.110475566122582
125,3.037,0.123251034318067
126,3.044,0.102948300213515
127,3.052,0.0965106264746382
128,3.059,0.0970463426249819
129,3.067,0.0993072463781275
130,3.074,0.0898368744322203
131,3.082,0.100424078352573
132,3.089,0.0893193181513798
133,3.097,0.0889016411528067
134,3.104,0.105508841813463
135,3.112,0.111419879336747
136,3.119,0.122470159929431
137,3.127,0.111365399728238
138,3.134,0.0714136868212465
139,3.142,0.0596642512526905
140,3.150,0.0729572757290166
141,3.157,0.0823731680664143
142,3.165,0.0878392887868708
143,3.172,0.0684990277659865
144,3.180,0.0703967341290685
145,3.187,0.073919748812685
146,3.195,0.0932963295725757
147,3.202,0.0693979413063938
148,3.210,0.0656933279277455
149,3.217,0.0611170408129447
150,3.225,0.0636412626738864
151,3.232,0.0595371321661683
152,3.240,0.0511745122599549
153,3.248,0.0771703654537539
154,3.255,0.0817284926990515
155,3.263,0.0982448940121916
156,3.270,0.06108980100869
157,3.278,0.0611533605519511
158,3.285,0.0587108581037737
159,3.293,0.0547338466825777
160,3.300,0.0579935432583982
161,3.308,0.0583476607137101
162,3.315,0.0620341142228552
163,3.323,0.0450637161721356
164,3.330,0.0461169886033199
165,3.338,0.0522368646258908
166,3.345,0.0621793931788806
167,3.353,0.048477771638733
168,3.361,0.0496672430911912
169,3.368,0.0427483328104804
170,3.376,0.083063243107535
171,3.383,0.0471157814259947
172,3.391,0.0662018042738345
173,3.398,0.054352489423011
174,3.406,0.0500122806117515
175,3.413,0.0587653377122832
176,3.421,0.0489680881153188
177,3.428,0.0515558695195216
178,3.436,0.0445007602175371
179,3.443,0.0488409690287966
180,3.451,0.053226577513814
181,3.459,0.0506478760443628
182,3.466,0.0614893181377599
183,3.474,0.0658386068837709
184,3.481,0.0961474290845746
185,3.489,0.0954210343044475
186,3.496,0.0645220163447905
187,3.504,0.0554148417889469
188,3.511,0.0404692691878316
189,3.519,0.0659566460355416
190,3.526,0.0371550930035017
191,3.534,0.0519644665833431
192,3.541,0.0333960000163439
193,3.549,0.0353663458574387
194,3.556,0.0555692006797239
195,3.564,0.0463712267763644
196,3.572,0.0303814616788164
197,3.579,0.0446732789778173
198,3.587,0.0380812463481637
199,3.594,0.0497762023082102
200,3.602,0.0289286721185622
201,3.609,0.0456993116047468
202,3.617,0.0451999151934094
203,3.624,0.0434111680473464
204,3.632,0.0401877912105324
205,3.639,0.05194630671384
206,3.647,0.0448003980643395
207,3.654,0.0264226101271236
208,3.662,0.0485050114429878
209,3.670,0.036374218614865
210,3.677,0.0229631549867683
211,3.685,0.0351393474886489
212,3.692,0.0371006133949921
213,3.700,0.0512653116074708
214,3.707,0.0369190146999604
215,3.715,0.0391163589098449
216,3.722,0.0360019412900499
217,3.730,0.0451091158458935
218,3.737,0.0449910766941229
219,3.745,0.0597550506002064
220,3.752,0.0372549722857692
221,3.760,0.0287379934887788
222,3.767,0.051592189258528
223,3.775,0.0476242577720837
224,3.783,0.0378905677183804
225,3.790,0.034894189250356
226,3.798,0.0314801337837586
227,3.805,0.0416678205750413
228,3.813,0.0381538858261765
229,3.820,0.0292646297043709
230,3.828,0.0473881794685423
231,3.835,0.0371641729382533
232,3.843,0.0414499021410032
233,3.850,0.0674366754000506
234,3.858,0.0260049331285505
235,3.865,0.069724818957451
236,3.873,0.0660383654483059
237,3.880,0.0635686231958737
238,3.888,0.0562865155250994
239,3.896,0.046225947820339
240,3.903,0.0415770212275255
241,3.911,0.0481054943139179
242,3.918,0.0616618368980401
243,3.926,0.0327150049099747
244,3.933,0.053735053859903
245,3.941,0.0224637585754309
246,3.948,0.038671442107017
247,3.956,0.0687351060695278
248,3.963,0.0866316574649095
249,3.971,0.115996166451548
250,3.978,0.0836625188011399
251,3.986,0.0574396672385512
252,3.994,0.0530994584272917
253,4.001,0.0454269135621991
254,4.009,0.0537168939903998
255,4.016,0.0450637161721356
256,4.024,0.0325969657582041
257,4.031,0.0329874029525224
258,4.039,0.0436109266118814
259,4.046,0.0445280000217918
260,4.054,0.0515286297152669
261,4.061,0.0326605253014652
262,4.069,0.0289649918575685
263,4.076,0.0378814877836288
264,4.084,0.0278844796221294
265,4.091,0.0494584045919046
