#"+EI TIC Scan ACN-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.125915261322888
1,2.102,0.122914404526534
2,2.110,0.0899394723734915
3,2.117,0.0733657747798337
4,2.125,0.0825494313548834
5,2.132,0.0726069374290315
6,2.140,0.0602240915682133
7,2.147,0.0759440971422185
8,2.155,0.0969587178684121
9,2.163,0.046237339488654
10,2.170,0.0720205631125025
11,2.178,0.0752973607636939
12,2.185,0.0446334332699129
13,2.193,0.0632680641231358
14,2.200,0.0552054172708622
15,2.208,0.0652858816241327
16,2.215,0.0426673546791981
17,2.223,0.0601982221130723
18,2.230,0.0610346678292975
19,2.238,0.0527133264256139
20,2.245,0.0562660649316426
21,2.253,0.0540412917895178
22,2.261,0.023679174605715
23,2.268,0.0400459165582449
24,2.276,0.080954148287856
25,2.283,0.042262066548656
26,2.291,0.035786079611696
27,2.298,0.0434779309402823
28,2.306,0.0498331937532509
29,2.313,0.0209801281193389
30,2.321,0.0436159013677008
31,2.328,0.0341649270895276
32,2.336,0.0297671197155602
33,2.343,0.0368639735759037
34,2.351,0.0699510067012237
35,2.358,0.0384678797946448
36,2.366,0.0408996085778974
37,2.374,0.0381919389398076
38,2.381,0.0971829198129673
39,2.389,0.270370298830149
40,2.396,0.257659773204211
41,2.404,0.0759268508387912
42,2.411,0.0277148096077087
43,2.419,0.0400976554685269
44,2.426,0.0316038510305701
45,2.434,0.0275337234217218
46,2.441,0.0181172417504032
47,2.449,0.0397785988551214
48,2.456,0.0467547285914737
49,2.464,0.0578785943020973
50,2.472,0.0361310056802425
51,2.479,0.0303621171838028
52,2.487,0.0380970842709574
53,2.494,0.0525494865430544
54,2.502,0.0495572528984138
55,2.509,0.0488329081544662
56,2.517,0.0401149017719542
57,2.524,0.0435986550642735
58,2.532,0.0419861256938188
59,2.539,0.0395285274554252
60,2.547,0.0402183795925181
61,2.554,0.03466506988892
62,2.562,0.0539809297275222
63,2.569,0.0367346263001988
64,2.577,0.0448145194558998
65,2.585,0.0591375744522919
66,2.592,0.0456164725652704
67,2.600,0.047944723527959
68,2.607,0.0252572113693151
69,2.615,0.0251192409418965
70,2.622,0.0475049427905623
71,2.630,0.041011709550175
72,2.637,0.0229289604066264
73,2.645,0.0325351514156456
74,2.652,0.0240844627362571
75,2.660,0.0253348197347381
76,2.667,0.0374589710441464
77,2.675,0.0432623521474407
78,2.682,0.0440211894982429
