#"+EI TIC Scan ACN-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.169903939687813
1,2.102,0.170580322009126
2,2.110,0.148317445360063
3,2.117,0.123043842524668
4,2.125,0.120544527361768
5,2.132,0.116024313799824
6,2.140,0.127407333353625
7,2.147,0.106051798842908
8,2.155,0.105515642124794
9,2.163,0.105235190918396
10,2.170,0.110951446389978
11,2.178,0.122606668585283
12,2.185,0.110679243748475
13,2.193,0.0877399847780983
14,2.200,0.094058385486947
15,2.208,0.0876574991291578
16,2.215,0.063926377928952
17,2.223,0.0942810967390866
18,2.230,0.0859005548067233
19,2.238,0.0607919232692098
20,2.245,0.0829970599640148
21,2.253,0.0639098807991639
22,2.260,0.0800688194266241
23,2.268,0.0643223090438668
24,2.276,0.0826506202384644
25,2.283,0.0610806230405019
26,2.291,0.0437916310225556
27,2.298,0.0586720420914368
28,2.306,0.063357226951262
29,2.313,0.0601897780319436
30,2.321,0.0559582642412916
31,2.328,0.0564614266998292
32,2.336,0.0706159640580333
33,2.343,0.0627633302788898
34,2.351,0.0651801597928488
35,2.358,0.0456558066886128
36,2.366,0.050349240113332
37,2.374,0.0638191465853292
38,2.381,0.0940088940975827
39,2.389,0.272021173076255
40,2.396,0.275345344728561
41,2.404,0.123299548036384
42,2.411,0.0625983589810086
43,2.419,0.0730327935719924
44,2.426,0.0696343848356403
45,2.434,0.0757465714221375
46,2.441,0.0858675605471471
47,2.449,0.0886885697409151
48,2.456,0.0621941793011997
49,2.464,0.0823289262075961
50,2.471,0.0843663217364285
51,2.479,0.0715398033261678
52,2.487,0.0653121368311538
53,2.494,0.0587957705648477
54,2.502,0.0291174340760259
55,2.509,0.0533352206049811
56,2.517,0.0524443755964228
57,2.524,0.0518752246187328
58,2.532,0.0655513452130815
59,2.539,0.0265356332641856
60,2.547,0.0791532287233836
61,2.554,0.0676959720855366
62,2.562,0.0670855782833763
63,2.569,0.0498460776547944
64,2.577,0.0708139296154907
65,2.585,0.0393786488042344
66,2.592,0.0404014708510977
67,2.600,0.0680919032004514
68,2.607,0.0660710048014071
69,2.615,0.0318147147963829
70,2.622,0.0464311717886543
71,2.630,0.0388424920861206
72,2.637,0.0682816201930148
73,2.645,0.0664669359163219
74,2.652,0.0534094576890276
75,2.660,0.043700896808721
76,2.667,0.0471735426291195
77,2.675,0.0370443049392159
78,2.682,0.0586225507020725
79,2.690,0.0552406390955086
80,2.698,0.0433627056480646
81,2.705,0.0647264887236756
82,2.713,0.0599505696500159
83,2.720,0.0617240111022384
84,2.728,0.0852406696151987
85,2.735,0.0725131339836667
86,2.743,0.0471900397589076
87,2.750,0.0523453928176941
88,2.758,0.0673000409706218
89,2.765,0.0853066581343511
90,2.773,0.0779159439892749
91,2.780,0.0832527654757306
92,2.788,0.0520566930464021
93,2.795,0.0706159640580333
94,2.803,0.0804317562819627
95,2.811,0.0721996885176925
96,2.818,0.0492934238068925
97,2.826,0.0695024077973354
98,2.833,0.0496233664026549
99,2.841,0.0716717803644727
100,2.848,0.0555705816912709
101,2.856,0.0715975432804262
102,2.863,0.0411273445617748
103,2.871,0.0522299129091773
104,2.878,0.0632829898672154
105,2.886,0.063217001348063
106,2.893,0.0804152591521746
107,2.901,0.10808919437174
108,2.909,0.0653121368311538
109,2.916,0.0666319072142031
110,2.924,0.0617075139724503
111,2.931,0.0443442848704575
112,2.939,0.204886103403515
113,2.946,3.1500939387813
114,2.954,23.7696090040015
115,2.961,68.8642740714364
116,2.969,100
117,2.976,29.8123426740907
118,2.984,1.01414455659468
119,2.991,0.182252041334219
120,2.999,0.165391974690763
121,3.006,0.101226388379884
122,3.014,0.12902405207286
123,3.022,0.0928623435773086
124,3.029,0.090940427956993
125,3.037,0.111017434909131
126,3.044,0.0736266902443646
127,3.052,0.0720924571740697
128,3.059,0.0981909164988702
129,3.067,0.0794254313648876
130,3.074,0.0540693428805523
131,3.082,0.0900330858186466
132,3.089,0.071424323417651
133,3.097,0.0747814893295327
134,3.104,0.0841023676598186
135,3.112,0.0841436104842889
136,3.120,0.10205124486929
137,3.127,0.111050429168707
138,3.135,0.0543003026975859
139,3.142,0.0399313026521363
140,3.150,0.0542343141784335
141,3.157,0.0930273148751897
142,3.165,0.0530547693985831
143,3.172,0.0829145743150742
144,3.180,0.059538141405313
145,3.187,0.0519989530921436
146,3.195,0.0662029818397121
147,3.202,0.0608414146585742
148,3.210,0.0573605202732816
149,3.217,0.0531949950017821
150,3.225,0.0515287848931823
151,3.233,0.0377124386956346
152,3.240,0.0385867865744048
153,3.248,0.0562057211881134
154,3.255,0.0567088836466509
155,3.263,0.0608414146585742
156,3.270,0.0662607217939705
157,3.278,0.05373940028479
158,3.285,0.0517844904048981
159,3.293,0.0426203348075993
160,3.300,0.0816607924511774
161,3.308,0.0822299434288674
162,3.315,0.0751279290550832
163,3.323,0.054729228072077
164,3.331,0.0494583951047737
165,3.338,0.0308166384442019
166,3.346,0.0547869680263354
167,3.353,0.036631876694513
168,3.361,0.020654406494722
169,3.368,0.0460022464141632
170,3.376,0.0296288450994575
171,3.383,0.0428018032352686
172,3.391,0.021215308907518
173,3.398,0.0301897475122535
174,3.406,0.0514545478091358
175,3.413,0.0248364288960096
176,3.421,0.0270470442876172
177,3.428,0.0498295805250063
178,3.436,0.0336953875922282
179,3.444,0.0489799783409183
180,3.451,0.0469838256365562
181,3.459,0.028003877815328
182,3.466,0.0323261258198146
183,3.474,0.059546389970207
184,3.481,0.0650894255790142
185,3.489,0.0988095588659246
186,3.496,0.0611466115596543
187,3.504,0.0482870988898174
188,3.511,0.0353286034412518
189,3.519,0.0366401252594071
190,3.526,0.0177839059115897
191,3.534,0.0394693830180691
192,3.541,0.0495738750132905
193,3.549,0.0583173538009923
194,3.557,0.0738823957560804
195,3.564,0.0546962338125007
196,3.572,0.0494666436696677
197,3.579,0.0402612452478987
198,3.587,0.0115892336761519
199,3.594,0.0604124892840831
200,3.602,0.0234176757342316
201,3.609,0.0211740660830477
202,3.617,0.0148226711146228
203,3.624,0.0056007755630656
204,3.632,0.0325900798964244
205,3.639,0.0193841275010371
206,3.647,0.00825681345895238
207,3.655,0.0190294392105925
208,3.662,0.0182788198052332
209,3.670,0.0472230340184839
210,3.677,0.0252488571407125
211,3.685,0.0243085207427899
212,3.692,0.0389497234297434
213,3.700,0.0405334478894026
214,3.707,0.0470168198961324
215,3.715,0.0583173538009923
216,3.722,0.0102859604228907
217,3.730,0.054457025430573
218,3.737,0.0238878439331929
219,3.745,0.0291916711600724
220,3.752,0.0543003026975859
221,3.760,0.051339067900619
222,3.768,0.0663597045726992
223,3.775,0.0629283015767709
224,3.783,0.0225268307256733
225,3.790,0.0232444558714563
226,3.798,0.0509678824803864
227,3.805,0.0313857894218919
228,3.813,0.0312455638186929
229,3.820,0.0392054289414592
230,3.828,0.0349656665859132
231,3.835,0.0417624840586173
232,3.843,0.0568243635551678
233,3.850,0.0550096792784749
234,3.858,0.0351883778380528
235,3.866,0.0234176757342316
236,3.873,0.0342810356997064
237,3.881,0.0387435093073919
238,3.888,0.0251168801024076
239,3.896,0.0151691108401732
240,3.903,0.0419604496160747
241,3.911,0.0187077451797243
242,3.918,0.0196150873180707
243,3.926,0.010888105660157
244,3.933,0.0304701987186514
245,3.941,0.0453918526120029
246,3.948,0.0295711051451991
247,3.956,0.0258922452024491
248,3.963,0.0542095684837513
249,3.971,0.0661452418854537
250,3.979,0.0537558974145781
251,3.986,0.0168930609030314
252,3.994,0.0225515764203554
253,4.001,0.0369618192902753
254,4.009,0.0129007554943072
255,4.016,0.0226505591990841
256,4.024,0.0335799076837114
257,4.031,0.0546632395529245
258,4.039,0.0618559881405433
259,4.046,0.0561314841040669
260,4.054,0.0557438015540461
261,4.061,0.0266841074322787
262,4.069,0.0382073525892781
263,4.077,0.0458537722460702
264,4.084,0.0548529565454878
265,4.092,0.0418202240128757
266,4.099,0.0497388463111717
267,4.107,0.0271295299365578
268,4.114,0.0274182297078499
269,4.122,0.03083313557399
270,4.129,0.0708221781803847
271,4.137,0.0396920942702086
272,4.144,0.0335716591188174
273,4.152,0.0203079667691716
274,4.159,0.0533599662996633
275,4.167,0.0411685873862451
276,4.174,0.0230217446193168
277,4.182,0.0613198314224295
278,4.190,0.0257520195992501
279,4.197,0.0281276062887389
280,4.205,0.0357492802508488
281,4.212,0.0402035052936403
282,4.220,0.0322106459112977
283,4.227,0.0432719714342299
284,4.235,0.00446247360768555
285,4.242,0.0557850443785164
286,4.250,0.0186582537903599
287,4.257,0.0502915001590736
288,4.265,0.0321859002166156
289,4.272,0.0366648709540892
290,4.280,0.0186912480499362
291,4.288,0.0335964048134995
292,4.295,0.0408468933553768
293,4.303,0.024605469078976
294,4.310,0.0358482630295775
295,4.318,0.013436912212421
296,4.325,0.0414902814171133
297,4.333,0.0320374260485225
298,4.340,0.045111401405605
299,4.348,0.0401375167744878
300,4.355,0.0428760403193151
301,4.363,0.0278883979068112
302,4.370,0.0510916109537972
303,4.378,0.0244899891704592
304,4.385,0.0225433278554614
305,4.393,0.0290844398164496
306,4.401,0.023615641291689
307,4.408,0.0654111196098825
308,4.416,0.0821392092150327
309,4.423,0.136629228905182
310,4.431,0.0490624639898589
311,4.438,0.0220236682671357
312,4.446,0.0390981975978364
313,4.453,0.0356338003423319
314,4.461,0.0314765236357265
315,4.468,0.0124553329900281
316,4.476,0.0287627457855814
317,4.483,0.0349079266316548
318,4.491,0.0437256425034032
319,4.498,0.0369370735955932
320,4.506,0.0534424519486039
321,4.514,0.037060802069004
322,4.521,0.0246549604683403
323,4.529,0.0566099008679223
324,4.536,0.0537641459794721
325,4.544,0.0448639444587832
326,4.551,0.0281358548536329
327,4.559,0.0589277476031526
328,4.566,0.0341738043560836
329,4.574,0.0451526442300752
330,4.581,0.0295876022749872
331,4.589,0.0423646292958835
332,4.596,0.0405829392787669
333,4.604,0.0188727164776054
334,4.612,0.0237228726353117
335,4.619,0.0353368520061458
336,4.627,0.046249703360985
337,4.634,0.041440790027749
338,4.642,0.0268160844705836
339,4.649,0.0489964754707064
340,4.657,0.0319879346591582
341,4.664,0.0358152687700012
342,4.672,0.0335469134241352
343,4.679,0.0179818714690471
344,4.687,0.025735522469462
345,4.694,0.012166633218736
346,4.702,0.0220236682671357
347,4.709,0.0464229232237602
348,4.717,0.0444350190842922
349,4.725,0.0368793336413347
350,4.732,0.0308991240931425
351,4.740,0.0289029713887804
352,4.747,0.0460352406737395
353,4.755,0.0246962032928106
354,4.762,0.0453753554822148
355,4.770,0.0235001613831722
356,4.777,0.0327715483240937
357,4.785,0.0432142314799715
358,4.792,0.0187324908744064
359,4.800,0.0402942395074749
360,4.807,0.044830950199207
361,4.815,0.0323591200793908
362,4.823,0.0398735626978779
363,4.830,0.0394941287127512
364,4.838,0.0343470242188588
365,4.845,0.0248364288960096
366,4.853,0.0242837750481077
367,4.860,0.0361782056253398
368,4.868,0.0498460776547944
369,4.875,0.0423151379065192
370,4.883,0.0534094576890276
371,4.890,0.0304454530239693
372,4.898,0.0297278278781862
373,4.905,0.0220319168320298
374,4.913,0.0540528457507642
375,4.920,0.0306351700165326
376,4.928,0.0373824960998723
377,4.936,0.0432719714342299
378,4.943,0.00824856489405832
379,4.951,0.0307176556654732
380,4.958,0.0508853968314458
381,4.966,0.0579296712509716
382,4.973,0.0290761912515556
383,4.981,0.0591834531148684
384,4.988,0.0296453422292456
385,4.996,0.0352873606167815
386,5.003,0.0376629473062703
387,5.011,0.0475859708738225
388,5.018,0.0218586969692545
389,5.026,0.0549106964997462
390,5.034,0.0303134759856643
391,5.041,0.0517020047559575
392,5.049,0.0300000305196901
393,5.056,0.0498873204792647
394,5.064,0.038050629856291
395,5.071,0.0168188238189849
396,5.079,0.0466538830407939
397,5.086,0.0407066677521778
398,5.094,0.0192274047680499
399,5.101,0.036211199884916
400,5.109,0.0350564007997479
401,5.116,0.0312043209942226
402,5.124,0.0318312119261711
403,5.131,0.0301567532526772
404,5.139,0.0389662205595315
405,5.147,0.0217102228011615
406,5.154,0.031253812383587
407,5.162,0.0344872498220578
408,5.169,0.0522794042985416
409,5.177,0.0229887503597405
410,5.184,0.0332087222634788
411,5.192,0.0134781550368913
412,5.199,0.0424058721203538
413,5.207,0.0321364088272512
414,5.214,0.0414737842873252
415,5.222,0.0355760603880735
416,5.229,0.0451443956651812
417,5.237,0
418,5.244,0.0235908955970068
419,5.252,0.0409871189585758
420,5.260,0.0434946826863695
421,5.267,0.0334149363858303
422,5.275,0.0575419887009508
423,5.282,0.0366978652136655
424,5.290,0.0373907446647664
425,5.297,0.0523123985581179
426,5.305,0.0189881963861223
427,5.312,0.0378856585584099
428,5.320,0.0166291068264216
429,5.327,0.0027302749799333
430,5.335,0.0483118445844996
431,5.342,0.0276904323493538
432,5.350,0.0337531275464866
433,5.358,0.0181963341562927
434,5.365,0.0194088731957192
435,5.373,0.0167858295594087
436,5.380,0.0607836747043158
437,5.388,0.0534424519486039
438,5.395,0.0458372751162821
439,5.403,0.019095427729745
440,5.410,0.0229805017948465
441,5.418,0.029274156809013
442,5.425,0.0450041700619822
443,5.433,0.0480561390727838
444,5.440,0.0492521809824222
445,5.448,0.0572367917998707
446,5.455,0.0510338709995388
447,5.463,0.0372917618860377
448,5.471,0.0189387049967579
449,5.478,0.00980754365903534
450,5.486,0.0309568640474009
451,5.493,0.0524938669857871
452,5.501,0.0467363686897344
453,5.508,0.0420759295245915
454,5.516,0.0388342435212266
455,5.523,0.0453258640928505
456,5.531,0.053458949078392
457,5.538,0.0666566529088853
458,5.546,0.0244240006513067
459,5.553,0.0143854971752377
460,5.561,0.0516030219772289
461,5.569,0.0602722636808841
462,5.576,0.0293813881526357
463,5.584,0.0463074433152434
464,5.591,0.0476519593929749
465,5.599,0.0604949749330237
466,5.606,0.0427605604107983
467,5.614,0.0670938268482704
468,5.621,0.0871048452812559
469,5.629,0.137272616966919
470,5.636,0.102034747739501
471,5.644,0.094050136922053
472,5.651,0.0688342740409167
473,5.659,0.0681991345440742
474,5.666,0.0607011890553752
475,5.674,0.0682156316738623
476,5.682,0.0507039284037765
477,5.689,0.0799698366478954
478,5.697,0.0890845008558298
479,5.704,0.0593649215425377
480,5.712,0.0656090851673399
481,5.719,0.0688342740409167
482,5.727,0.0433792027778527
483,5.734,0.0461342234524682
484,5.742,0.072975053617734
485,5.749,0.0340748215773549
486,5.757,0.0551086620572036
487,5.764,0.0400137883010769
488,5.772,0.0419192067916044
489,5.780,0.0424471149448241
490,5.787,0.0260324708056481
491,5.795,0.0416799984096767
492,5.802,0.0248116832013274
493,5.810,0.0557025587295758
494,5.817,0.0476767050876571
495,5.825,0.0331839765687966
496,5.832,0.0300495219090545
497,5.840,0.0646275059449469
498,5.847,0.0442040592672585
499,5.855,0.0531702493070999
500,5.862,0.0380176355967148
501,5.870,0.0477014507823393
502,5.877,0.0232114616118801
503,5.885,0.0279378892961755
504,5.893,0.0363926683125853
505,5.900,0.0355760603880735
506,5.908,0.0572202946700826
507,5.915,0.0388424920861206
508,5.923,0.0203492095936419
509,5.930,0.0490707125547529
510,5.938,0.0403437308968392
511,5.945,0.0591009674659279
512,5.953,0.0664999301758982
513,5.960,0.0258262566832966
514,5.968,0.032812791148564
515,5.975,0.0466043916514295
516,5.983,0.0570883176317776
517,5.990,0.0601980265968376
518,5.998,0.0669123584206011
519,6.006,0.0497553434409598
520,6.013,0.0406241821032372
521,6.021,0.0307176556654732
522,6.028,0.0402282509883224
523,6.036,0.0411850845160332
524,6.043,0.0479571562940551
525,6.051,0.0787572976084688
526,6.058,0.0337943703709569
527,6.066,0.0469755770716621
528,6.073,0.0302474874665119
529,6.081,0.0382650925435365
530,6.088,0.0685868170940949
531,6.096,0.0680011689866168
532,6.104,0.134187653696541
533,6.111,0.0899670972994941
534,6.119,0.0763239709647216
535,6.126,0.0600825466883208
536,6.134,0.0401540139042759
537,6.141,0.0626808446299492
538,6.149,0.0775777528286185
539,6.156,0.0419192067916044
540,6.164,0.0502585058994973
541,6.171,0.0404757079351442
542,6.179,0.0609403974373029
543,6.186,0.057286283189235
544,6.194,0.0343800184784351
545,6.201,0.0499368118686291
546,6.209,0.0615507912394632
547,6.217,0.068306365887697
548,6.224,0.0464229232237602
549,6.232,0.0234671671235959
550,6.239,0.0593319272829615
551,6.247,0.0556365702104234
552,6.254,0.0380671269860791
553,6.262,0.0744103039093001
554,6.269,0.0352956091816755
555,6.277,0.0226835534586604
556,6.284,0.0501595231207686
557,6.292,0.0439730994502249
558,6.299,0.0482953474547115
559,6.307,0.0308248870090959
560,6.315,0.030552684367592
561,6.322,0.0641325920513034
562,6.330,0.054457025430573
563,6.337,0.0650069399300736
564,6.345,0.0449876729321941
565,6.352,0.0650976741439083
