#"+EI TIC Scan ACN-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0878611623093794
1,2.102,0.0887219153186363
2,2.110,0.0891884917161774
3,2.117,0.0702076811989662
4,2.125,0.0686953301172812
5,2.132,0.0828655770874306
6,2.140,0.0614674181657176
7,2.147,0.0567131655631867
8,2.155,0.116619966123336
9,2.162,0.630875644840759
10,2.170,0.5966184795144
11,2.178,0.199376943532028
12,2.185,0.122926791910788
13,2.193,0.0913403742393196
14,2.200,0.0866826546845557
15,2.208,0.0867349434187629
16,2.215,0.0746964679201376
17,2.223,0.0645122313807057
18,2.230,0.0684338864462453
19,2.238,0.0616524398406046
20,2.245,0.0626660368421595
21,2.253,0.0554019249976832
22,2.260,0.0442443135599329
23,2.268,0.0424866076485064
24,2.276,0.0447792675329757
25,2.283,0.04077314605064
26,2.291,0.0372255565451981
27,2.298,0.0572159418536405
28,2.306,0.0337503668255815
29,2.313,0.0351983625420884
30,2.321,0.0323345487916637
31,2.328,0.0319041722870352
32,2.336,0.0251106590504237
33,2.343,0.0316588174572938
34,2.351,0.0315783732508212
35,2.358,0.0356247168363932
36,2.366,0.0458934197926213
37,2.373,0.0286059598216584
38,2.381,0.0717079656496803
39,2.389,0.16620577499305
40,2.396,0.140588317441848
41,2.404,0.0531253539545085
42,2.411,0.0365337363695337
43,2.419,0.0297040232400095
44,2.426,0.0298407783910129
45,2.434,0.0348242969819908
46,2.441,0.026663232235345
47,2.449,0.0295994457715951
48,2.456,0.0315381511475849
49,2.464,0.0370888013941946
50,2.471,0.0347156973032528
51,2.479,0.0484716566100683
52,2.487,0.506601412471555
53,2.494,1.05718167262168
54,2.502,0.788570422789007
55,2.509,0.651956049146905
56,2.517,0.567276455203517
57,2.524,0.564995861950019
58,2.532,0.484487300112236
59,2.539,0.389374092589351
60,2.547,0.302526527281526
61,2.554,0.262706645077587
62,2.562,0.241827351287622
63,2.569,0.186530003758353
64,2.577,0.171221471266617
65,2.584,0.157747066682455
66,2.592,0.145957968223895
67,2.600,0.115618435752752
68,2.607,0.116426900027802
69,2.615,0.0901417555628778
70,2.622,0.102288830740241
71,2.630,0.303077570095864
72,2.637,0.584443248864771
73,2.645,1.14133435701268
74,2.652,2.97881678799798
75,2.660,1.19485790978922
76,2.667,0.532625113265443
77,2.675,0.719806715096224
78,2.682,1.68828256124057
79,2.690,0.663491748355077
80,2.698,0.223208539699538
81,2.705,0.161733077113173
82,2.713,0.164436002450652
83,2.720,0.144530083559006
84,2.728,0.147932873492797
85,2.735,0.106592595786526
86,2.743,0.108555434424457
87,2.750,0.0776407258770349
88,2.758,0.0954108510868334
89,2.765,0.0885771157469856
90,2.773,0.0887983373147853
91,2.780,0.0690613512567316
92,2.788,0.0684459530772162
93,2.795,0.0753239327306239
94,2.803,0.0755692875603653
95,2.811,0.071482721871557
96,2.818,0.0666399806419062
97,2.826,0.076160552477939
98,2.833,0.0615760178444557
99,2.841,0.0618213726741971
100,2.848,0.0678023994254353
101,2.856,0.064596697797502
102,2.863,0.0557397906648682
103,2.871,0.0656585613229404
104,2.878,0.0879375843055284
105,2.886,0.0878048513648486
106,2.893,0.0718366763800365
107,2.901,0.061909861301317
108,2.908,0.0933675682424292
109,2.916,0.0943530097717187
110,2.924,0.0816548917800179
111,2.931,0.109303565544652
112,2.939,0.942604989342752
113,2.946,5.93987953962746
114,2.954,19.401509583801
115,2.961,37.709319847452
116,2.969,49.6135058100024
117,2.976,19.3071042852951
118,2.984,0.669376242058548
119,2.991,0.0771620828485229
120,2.999,0.0626982145247485
121,3.006,0.0486285228126899
122,3.014,0.0613145741734197
123,3.022,0.0539458848605291
124,3.029,0.0427400068988951
125,3.037,0.0447913341639466
126,3.044,0.0363969812185302
127,3.052,0.0461427968326864
128,3.059,0.0397917267316742
129,3.067,0.0424745410175356
130,3.074,0.0424423633349465
131,3.082,0.0556553242480719
132,3.089,0.0311640855874873
133,3.097,0.0357453831461021
134,3.104,0.0336055672539308
135,3.112,0.050563205978356
136,3.119,0.0426273850098335
137,3.127,0.0345427422593367
138,3.135,0.0347317861445473
139,3.142,0.025597346499583
140,3.150,0.0366584248895662
141,3.157,0.0390355511908317
142,3.165,0.028501382353244
