#"+EI TIC Scan ACN-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.589666708697211
1,2.102,0.556276988931775
2,2.110,0.550177101431713
3,2.117,0.529633990374459
4,2.125,0.50748607669974
5,2.133,0.496661846800302
6,2.140,0.502049398444652
7,2.148,0.478362184300118
8,2.155,0.460692979971081
9,2.163,0.407071284349736
10,2.170,0.391727406262333
11,2.178,0.36329947418151
12,2.185,0.332873726597311
13,2.193,0.297830077603669
14,2.200,0.311438148778303
15,2.208,0.261427259046256
16,2.215,0.277336093157154
17,2.223,0.267879220589945
18,2.230,0.220414726847857
19,2.238,0.230780441713733
20,2.246,0.203867246797354
21,2.253,0.202336134095997
22,2.261,0.20454683157924
23,2.268,0.196793014850974
24,2.276,0.181465512300485
25,2.283,0.236143430052713
26,2.291,0.527726240324105
27,2.298,1.90351697406279
28,2.306,1.27635847360345
29,2.313,0.680403558731682
30,2.321,0.579366495978987
31,2.328,0.507387823478262
32,2.336,0.478886201481331
33,2.343,0.398989956883211
34,2.351,0.344623174332328
35,2.359,0.302439791244655
36,2.366,0.28626894854315
37,2.374,0.256891235321378
38,2.381,0.331801128929515
39,2.389,0.453987197605242
40,2.396,0.380256342654835
41,2.404,0.213839948777321
42,2.411,0.187115072535441
43,2.419,0.167431677166115
44,2.426,0.15623080991768
45,2.434,0.154691509447866
46,2.441,0.147650028575312
47,2.449,0.129219361779824
48,2.457,0.137980274028235
49,2.464,0.147109635857186
50,2.472,0.119664235991138
51,2.479,0.115291967635389
52,2.487,0.116331814229359
53,2.494,0.0995632644305325
54,2.502,0.115873299195797
55,2.509,0.101020687215782
56,2.517,0.121195348692495
57,2.524,0.108758128407135
58,2.532,0.11510364896089
59,2.539,0.100652237635241
60,2.547,0.094462284682159
61,2.554,0.0944459091452461
62,2.562,0.10816860907827
63,2.570,0.104082912618497
64,2.577,0.106555618692348
65,2.585,0.107497212064841
66,2.592,0.0948225464942432
67,2.600,0.0833351073498322
68,2.607,0.0808132746652431
69,2.615,0.0982286581721298
70,2.622,0.0747461382390075
71,2.630,0.0802483186417475
72,2.637,0.0954775679707598
73,2.645,0.085742311276031
74,2.652,0.08290115562164
75,2.660,0.0894513703868066
76,2.668,0.0972297504204419
77,2.675,0.0514355614434708
78,2.683,0.091318181594879
79,2.690,0.0774399140611823
80,2.698,0.0478984454702809
81,2.705,0.0804775761585283
82,2.713,0.0672297667959788
83,2.720,0.0588618674334785
84,2.728,0.0759415524336504
85,2.735,0.0726091306718719
86,2.743,0.0702919921986942
87,2.750,0.0872488606720193
88,2.758,0.0764410063094944
89,2.765,0.0749590202188754
90,2.773,0.0717903538262261
91,2.781,0.0676719062926276
92,2.788,0.0634388300006386
93,2.796,0.0794049784907323
94,2.803,0.0695632808060694
95,2.811,0.0580594661247456
96,2.818,0.0665338064771799
97,2.826,0.0569459296146672
98,2.833,0.0594268234569741
99,2.841,0.0596315176683856
100,2.848,0.0573143791952079
101,2.856,0.0640938514771553
102,2.863,0.0754175352524371
103,2.871,0.0631031314939239
104,2.879,0.0628411229033172
105,2.886,0.0808050868967866
106,2.894,0.0645359909738041
107,2.901,0.0579857762086374
108,2.909,0.0584934178529379
109,2.916,0.0497734444468098
110,2.924,0.066607496393288
111,2.931,0.186926753860942
112,2.939,3.15663037301836
113,2.946,17.3989670311315
114,2.954,37.0920403427727
115,2.961,60.0657232174
116,2.969,79.628242561003
117,2.976,24.8687255083376
118,2.984,0.786639854454228
119,2.992,0.138897304095358
120,2.999,0.108897320470895
121,3.007,0.0961080261419071
122,3.014,0.0948634853365255
123,3.022,0.0927592288432157
124,3.029,0.0878301922324278
125,3.037,0.081222663088066
126,3.044,0.0854148005377726
127,3.052,0.0723880609235475
128,3.059,0.0951091183902192
129,3.067,0.102117848188947
130,3.074,0.0688836960241834
131,3.082,0.0731249600846288
132,3.090,0.0686216874335767
133,3.097,0.0526146001012008
134,3.105,0.0600490938596649
135,3.112,0.0442139496648746
136,3.120,0.070038171376544
137,3.127,0.088870038826398
138,3.135,0.0802892574840298
139,3.142,0.114153867819941
140,3.150,0.170190955135942
141,3.157,0.150785943894135
142,3.165,0.124666962518034
143,3.172,0.102183350336599
144,3.180,0.0915883779539422
145,3.187,0.0812717896988047
146,3.195,0.162314321880829
147,3.203,0.226645618643221
148,3.210,0.224009157200242
149,3.218,0.230870507166754
150,3.225,0.189137451344186
151,3.233,0.174088332921216
152,3.240,0.166113446444625
153,3.248,0.155510286293512
154,3.255,0.150884197115613
155,3.263,0.119606921611942
156,3.270,0.126222638524761
157,3.278,0.0932750582559726
158,3.285,0.0933814992459065
159,3.293,0.0913509326687049
160,3.300,0.114014675756181
161,3.308,0.121629300420688
162,3.316,0.126320891746238
163,3.323,0.0907696011082963
164,3.331,0.0956495111083455
165,3.338,0.12911292078989
166,3.346,0.618160142925686
167,3.353,1.36050417003047
168,3.361,0.802172051216129
169,3.368,0.2955866290466
170,3.376,0.164656023659376
171,3.383,0.125117289783139
172,3.391,0.0979748373499796
173,3.398,0.0963700347325138
174,3.406,0.100005403927181
175,3.414,0.0681467968631022
176,3.421,0.0746560727859865
177,3.429,0.0785125117289783
178,3.436,0.0565447289603008
179,3.444,0.0797079259236212
180,3.451,0.0673607710912822
181,3.459,0.066410989950333
182,3.466,0.0540883984233633
183,3.474,0.0683842421483394
184,3.481,0.0865938391955026
185,3.489,0.0922515871989153
186,3.496,0.0740256146148392
187,3.504,0.039145720990327
188,3.511,0.0432641685239255
189,3.519,0.0656495274838824
190,3.527,0.0648061873328672
191,3.534,0.0496015013092242
192,3.542,0.038556201661462
193,3.549,0.0560616506213698
194,3.557,0.0460643853360342
195,3.564,0.0554311924502225
196,3.572,0.0436162425675532
197,3.579,0.0592548803193885
198,3.587,0.0533924381045644
199,3.594,0.0397188647822791
200,3.602,0.0409879688930301
201,3.609,0.0386626426513959
202,3.617,0.0314737819466256
203,3.625,0.0403984495641651
204,3.632,0.0889601042794191
205,3.640,0.0786271404873687
206,3.647,0.053850953138126
207,3.655,0.0377210492789032
208,3.662,0.060908809547593
209,3.670,0.0459333810407309
210,3.677,0.0426173348158653
211,3.685,0.0634060789268128
212,3.692,0.047186109614569
213,3.700,0.0453520494803223
214,3.707,0.0439355655373551
215,3.715,0.0443203906548086
216,3.722,0.0525409101850927
217,3.730,0.0448034689937396
218,3.738,0.0458269400507969
219,3.745,0.0378520535742066
220,3.753,0.0510507363260173
221,3.760,0.0552183104703545
222,3.768,0.057388069111316
223,3.775,0.0557832664938502
224,3.783,0.0436735569467484
225,3.790,0.0541211494971891
226,3.798,0.0408324012923574
227,3.805,0.0543422192455135
228,3.813,0.0332669032385899
229,3.820,0.0399153712252341
230,3.828,0.0620960359737795
231,3.836,0.043951941074268
232,3.843,0.0428220290272767
233,3.851,0.0395796727185193
234,3.858,0.0786844548665639
235,3.866,0.0935043157727534
236,3.873,0.0755976661584792
237,3.881,0.0655840253362307
238,3.888,0.0532123071985223
239,3.896,0.0414055450843095
240,3.903,0.0309743280707816
241,3.911,0.0454339271648869
242,3.918,0.0369923378862784
243,3.926,0.0365583861580862
244,3.933,0.0432805440608384
245,3.941,0.0234743321646659
246,3.949,0.0543012804032312
247,3.956,0.0793476641115371
248,3.964,0.0920714562928732
249,3.971,0.0951664327694144
250,3.979,0.0796669870813389
251,3.986,0.0728302004201963
252,3.994,0.0355922294802241
253,4.001,0.0370824033392995
254,4.009,0.034822579245317
255,4.016,0.0368367702856057
256,4.024,0.05317136835624
257,4.031,0.0770550889437287
258,4.039,0.0224017344968698
259,4.046,0.0289028226512977
