#"+EI TIC Scan EA-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.123984752259794
1,2.102,0.112058334364457
2,2.110,0.0934596601052621
3,2.117,0.090181217136854
4,2.125,0.103266146403726
5,2.132,0.0797017366806524
6,2.140,0.0880084074275866
7,2.148,0.0833503264358162
8,2.155,0.0633047147374857
9,2.163,0.0737457383846737
10,2.170,0.0780096370840548
11,2.178,0.0745437171717055
12,2.185,0.0717940553272343
13,2.193,0.0629537963552367
14,2.200,0.0700683060227497
15,2.208,0.0596465107800685
16,2.215,0.0615068589161006
17,2.223,0.0433071740504221
18,2.230,0.0451242582763139
19,2.238,0.0482825237165545
20,2.245,0.0442349445678748
21,2.253,0.0512581193139805
22,2.261,0.0478835343230385
23,2.268,0.0477633567948711
24,2.276,0.0406055832172178
25,2.283,0.0509841145497587
26,2.291,0.0418698508135394
27,2.298,0.0384183522045702
28,2.306,0.0311980863122699
29,2.313,0.0441051528374539
30,2.321,0.0489362894697854
31,2.328,0.033726621504913
32,2.336,0.046157785018554
33,2.343,0.0351975944496826
34,2.351,0.0486863202111971
35,2.359,0.0368704656417735
36,2.366,0.0286118659061064
37,2.374,0.0441051528374539
38,2.381,0.0334958806508315
39,2.389,0.0372213840240224
40,2.396,0.143996714250238
41,2.404,0.370896694531509
42,2.411,0.163527966128012
43,2.419,0.0547336534285832
44,2.426,0.0387500421823124
45,2.434,0.0495275629083693
46,2.441,0.0295444435246858
47,2.449,0.0457539885239113
48,2.456,0.0474508952216357
49,2.464,0.0337362357071664
50,2.472,0.0390865392611812
51,2.479,0.0446916191749111
52,2.487,0.0283667037486448
53,2.494,0.0305635489635457
54,2.502,0.03582732469728
55,2.509,0.0208003265752221
56,2.517,0.029842483794541
57,2.524,0.0332266829877364
58,2.532,0.0548682522601307
59,2.539,0.0426341798926844
60,2.547,0.0394999499580773
61,2.554,0.0392403664972356
62,2.562,0.0304193359297448
63,2.570,0.0341159966961755
64,2.577,0.0451242582763139
65,2.585,0.0507437594934238
66,2.592,0.0362263140907959
67,2.600,0.04555209027659
68,2.607,0.0355437057308048
69,2.615,0.0377261296423257
70,2.622,0.0284916883779389
71,2.630,0.0401489086101815
72,2.637,0.0248094489148883
73,2.645,0.0368127804282531
74,2.652,0.030909660244668
75,2.660,0.0222280356098514
76,2.667,0.0515177027748222
77,2.675,0.0257852904436079
78,2.683,0.0284964954790656
79,2.690,0.0284051605576583
80,2.698,0.0338419919319538
81,2.705,0.0363128419110765
82,2.713,0.0423938248363495
83,2.720,0.0272899130962644
84,2.728,0.0455232476698298
85,2.735,0.0439369042980195
86,2.743,0.0331353480663292
87,2.750,0.0476047224576901
88,2.758,0.0341592606063158
89,2.765,0.0422496118025485
90,2.773,0.0705442090342928
91,2.780,0.0425332307690237
92,2.788,0.032645023751406
93,2.796,0.0407353749476387
94,2.803,0.0379857131031674
95,2.811,0.0516378803029897
96,2.818,0.038533722631611
97,2.826,0.0403027358462358
98,2.833,0.0487536196269709
99,2.841,0.0369714147654341
100,2.848,0.0254103365557255
101,2.856,0.032962292425768
102,2.863,0.0466048454233369
103,2.871,0.0363128419110765
104,2.878,0.0380914693279548
105,2.886,0.0520560981010124
106,2.894,0.0496813901444236
107,2.901,0.0356110051465786
108,2.909,0.0419948354428335
109,2.916,0.0465423531086898
110,2.924,0.0455232476698298
111,2.931,0.0486574776044369
112,2.939,0.0442734013768884
113,2.946,0.0447396901861781
114,2.954,0.202398185838492
115,2.961,5.95819994829482
116,2.969,39.100720209505
117,2.976,93.7108888243455
118,2.984,100
119,2.991,1.74158870269704
120,2.999,0.112760171128954
121,3.007,0.0956084343088961
122,3.014,0.0718661618441347
123,3.022,0.0613722600845531
124,3.029,0.0483017521210613
125,3.037,0.0717219488103338
126,3.044,0.080600664591345
127,3.052,0.0528492697869176
128,3.059,0.0588917959031769
129,3.067,0.0631316590969245
130,3.074,0.0485180716717627
131,3.082,0.0514552104601751
132,3.089,0.043864797781119
133,3.097,0.0477633567948711
134,3.105,0.0295396364235591
135,3.112,0.0511427488869398
136,3.120,0.0591994503752856
137,3.127,0.0759570049029547
138,3.135,0.0804276089507838
139,3.142,0.0386971640699187
140,3.150,0.0446435481636441
141,3.157,0.0507293381900437
142,3.165,0.0438888332867525
143,3.172,0.0350389601125016
144,3.180,0.0477104786824774
145,3.187,0.042783200027612
146,3.195,0.0349716606967278
147,3.202,0.0297944127832741
