#"+EI TIC Scan EA-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.118458802748994
1,2.102,0.112473914668193
2,2.110,0.113252103708639
3,2.117,0.0904491169576658
4,2.125,0.112023384171092
5,2.132,0.0887237899403605
6,2.140,0.0868653516398209
7,2.147,0.091923580402722
8,2.155,0.0683833619292207
9,2.163,0.0750389260909327
10,2.170,0.0857287860675901
11,2.178,0.087510429397033
12,2.185,0.0770048773510076
13,2.193,0.0744040876632002
14,2.200,0.0688646104147599
15,2.208,0.0674106256286628
16,2.215,0.0762266883105613
17,2.223,0.0633148938368401
18,2.230,0.0545295491433802
19,2.238,0.0542889249006107
20,2.245,0.0582003487618014
21,2.253,0.0525226405653871
22,2.260,0.0572685697791617
23,2.268,0.0458721960684149
24,2.276,0.0520004347619297
25,2.283,0.0425853713054771
26,2.291,0.0579238868658534
27,2.298,0.05753991201037
28,2.306,0.0538742320566886
29,2.313,0.0547496947271907
30,2.321,0.0482170025192334
31,2.328,0.0488313622880068
32,2.336,0.0469268470048093
33,2.343,0.0285882079069229
34,2.351,0.0323460418259202
35,2.358,0.0460360253400878
36,2.366,0.0365083292593601
37,2.374,0.0478176686695307
38,2.381,0.0416535923228375
39,2.389,0.0577037412820429
40,2.396,0.208022217706678
41,2.404,0.382572067344684
42,2.411,0.138481811546267
43,2.419,0.0526915895017998
44,2.426,0.0423652257216667
45,2.434,0.044413091617578
46,2.441,0.0334006927623146
47,2.449,0.0445359635713327
48,2.456,0.0447509894904034
49,2.464,0.0413156944500121
50,2.471,0.0434608339759792
51,2.479,0.0303288939184475
52,2.487,0.0406910953517591
53,2.494,0.0264686667046546
54,2.502,0.0447253911667045
55,2.509,0.0538639927272091
56,2.517,0.0549186436636034
57,2.524,0.0478176686695307
58,2.532,0.0258184692827027
59,2.539,0.0387149047622046
60,2.547,0.0399026669818332
61,2.554,0.0485293020683599
62,2.562,0.0310456469820165
63,2.569,0.0344502240339692
64,2.577,0.0336566759993035
65,2.585,0.0378189634327434
66,2.592,0.0415563186927817
67,2.600,0.0417815839413319
68,2.607,0.0433891586696223
69,2.615,0.0379418353864981
70,2.622,0.0466964620915192
71,2.630,0.0302674579415702
72,2.637,0.0313477072016634
73,2.645,0.0287878748317742
74,2.652,0.0321924518837269
75,2.660,0.041802062600291
76,2.667,0.0408958819413502
77,2.675,0.0271854197682236
78,2.682,0.0321002979184109
79,2.690,0.0308203817334663
80,2.698,0.0251785111902304
81,2.705,0.029161610357778
82,2.713,0.0183232801036671
83,2.720,0.0386381097911079
84,2.728,0.0639087749466544
85,2.735,0.0445257242418532
86,2.743,0.0353205670397315
87,2.750,0.0403327188199746
88,2.758,0.0398565899991752
89,2.765,0.0398412310049559
90,2.773,0.0593727519872107
91,2.780,0.038382126554119
92,2.788,0.0407678903228558
93,2.796,0.0256546400110298
94,2.803,0.0501829537793083
95,2.811,0.0413617714326701
96,2.818,0.0335850006929466
97,2.826,0.0395698887737476
98,2.833,0.0520977083919855
99,2.841,0.0399692226234503
100,2.848,0.0451656823343255
101,2.856,0.0320542209357529
102,2.863,0.0473671381724302
103,2.871,0.0284397376294693
104,2.878,0.0388480160454389
105,2.886,0.0515038272821712
106,2.893,0.049266533790888
107,2.901,0.0519594774440115
108,2.909,0.0391961532477438
109,2.916,0.0458312387504967
110,2.924,0.0363803376408657
111,2.931,0.0307179884386707
112,2.939,0.0231664829474975
113,2.946,0.0457288454557011
114,2.954,0.277552384537609
115,2.961,7.2056874969954
116,2.969,39.3360634457525
117,2.976,83.9281692606216
118,2.984,100
119,2.991,2.58336746869799
120,2.999,0.107799660760775
121,3.007,0.081387310368258
122,3.014,0.0744501646458582
123,3.022,0.0634992017674721
124,3.029,0.0567822016288828
125,3.037,0.0778035450504131
126,3.044,0.0696786371083847
127,3.052,0.0529373334093092
128,3.059,0.0565262183918938
129,3.067,0.0631357055709478
130,3.074,0.0550466352820979
131,3.082,0.0419044558950866
132,3.089,0.0571149798369684
133,3.097,0.0470190009701253
134,3.104,0.0386790671090262
135,3.112,0.0386432294558477
136,3.120,0.0576832626230838
137,3.127,0.0931778982639678
138,3.135,0.0595826582415416
139,3.142,0.0259259822422381
140,3.150,0.0432714063806074
141,3.157,0.0568385179410203
142,3.165,0.063709108021803
143,3.172,0.0407269330049376
144,3.180,0.0617943534091259
145,3.187,0.0492767731203676
146,3.195,0.024379843490825
147,3.202,0.0426877646002727
148,3.210,0.0287981141612538
149,3.217,0.0589273411548499
150,3.225,0.0306360738028342
151,3.233,0.0263611537451192
152,3.240,0.0295763032017001
153,3.248,0.0463176069007756
154,3.255,0.162047628343467
155,3.263,0.320096798525168
156,3.270,0.178082418308454
157,3.278,0.0518161268312977
158,3.285,0.0323153238374816
159,3.293,0.020151000415768
160,3.300,0.0311480402768121
161,3.308,0.0503621420452006
162,3.315,0.0568333982762806
163,3.323,0.0217073784966606
164,3.331,0.0220247977105269
165,3.338,0.0319927849588755
166,3.346,0.0257365546468663
167,3.353,0.0210878990631474
168,3.361,0.0320491012710131
169,3.368,0.029207687340436
170,3.376,0.0250812375601746
171,3.383,0.0280660021034655
172,3.391,0.0292998413057521
173,3.398,0.0175246124042616
174,3.406,0.0227722687625345
175,3.413,0.0219377634099507
176,3.421,0.030364731571626
177,3.428,0.0327300166814036
178,3.436,0.0364212949587839
179,3.444,0.0328272903114594
180,3.451,0.0310251683230574
181,3.459,0.0203353083464
182,3.466,0.0268116842422197
183,3.474,0.0267144106121639
184,3.481,0.0529373334093092
185,3.489,0.117890519962878
186,3.496,0.0512683227041414
187,3.504,0.025142673537052
188,3.511,0.0311838779299905
189,3.519,0.0173812617915478
190,3.526,0.017724279329113
191,3.534,0.00951233708650836
192,3.542,0.031404023513801
193,3.549,0.0266632139647662
194,3.557,0.0236118937798582
195,3.564,0.027359488369376
196,3.572,0.0271393427855656
197,3.579,0.0100140642310066
198,3.587,0.0356226272593784
199,3.594,0.0200434874562326
200,3.602,0.0268270432364391
201,3.609,0.0106233043350403
202,3.617,0.0169921672713247
203,3.624,0.0241289799185758
204,3.632,0.00305132018490795
205,3.639,0.0179137069244848
206,3.647,0.019480324334857
207,3.655,0.0162805338724955
208,3.662,0.011391254046007
209,3.670,0.0255983236988922
210,3.677,0.0218507291093744
211,3.685,0.0103468424390922
212,3.692,0.0175604500574401
213,3.700,0.0156917724274209
214,3.707,0.00814538660098751
215,3.715,0.0297657307970719
216,3.722,0.0204991376180729
217,3.730,0.0236016544503786
218,3.737,0.0253218618029442
219,3.745,0.0164648418031275
220,3.753,0.0250146819185575
221,3.760,0.00883142167611782
222,3.768,0.025142673537052
223,3.775,0.0172327915140943
224,3.783,0.00622039265883081
225,3.790,0.028076241432945
226,3.798,0.0146422411557664
227,3.805,0.00559067389583807
228,3.813,0.018441032392682
229,3.820,0.0239600309821631
230,3.828,0.0213541216296159
231,3.835,0.0179290659187041
232,3.843,0.0224497298839285
233,3.850,0.0196287946123106
234,3.858,0.0208984714677756
235,3.866,0.024702382369431
236,3.873,0.0202533937105635
237,3.881,0.0139152487627178
238,3.888,0.0295455852132614
239,3.896,0.0242108945544123
240,3.903,0.0187840499302471
241,3.911,0.0181748098262135
242,3.918,0.0180826558608975
243,3.926,0.0205708129244298
244,3.933,0.013679744184688
245,3.941,0.018763571271288
246,3.948,0.0250095622538177
247,3.956,0.022669875467739
248,3.963,0.0509509034902751
249,3.971,0.0972377924026121
250,3.979,0.0487033706695124
251,3.986,0.0203455476758796
252,3.994,0.032975760588913
253,4.001,0.0143555399303388
254,4.009,0.0187840499302471
255,4.016,0.0243286468434272
256,4.024,0.0131217007280522
257,4.031,0.0293510379531498
258,4.039,0.0317060837334479
259,4.046,0.0220708746931849
260,4.054,0.0295660638722205
261,4.061,0.0201817184042066
262,4.069,0.0264174700572568
263,4.077,0.0211134973868463
264,4.084,0.0412644978026143
265,4.092,0.133618130043478
266,4.099,0.220939131845139
267,4.107,0.1127708552231
268,4.114,0.0356226272593784
269,4.122,0.0227825080920141
270,4.129,0.0253525797913829
271,4.137,0.027129103456086
272,4.144,0.0172635095025329
273,4.152,0.0197465469013255
274,4.159,0.0130961024043533
275,4.167,0.0083860108437571
276,4.174,0.0244003221497841
277,4.182,0.0316190494328717
278,4.190,0.0114731686818435
279,4.197,0.0275489159647478
280,4.205,0.0243286468434272
281,4.212,0.0251477932017917
282,4.220,0.0252399471671077
283,4.227,0.0225111658608058
284,4.235,0.0154204301962127
285,4.242,0.0261307688318292
286,4.250,0.0158453623696143
287,4.257,0.0258645462653607
288,4.265,0.0148060704274393
289,4.272,0.0163624485083319
290,4.280,0.0222091056411589
291,4.288,0.00404453514442497
292,4.295,0.0152719599187591
293,4.303,0.0228644227278505
294,4.310,0.0221425499995418
295,4.318,0.0263611537451192
296,4.325,0.0250351605775166
297,4.333,0.0178727496065666
298,4.340,0.0266734532942457
299,4.348,0.0318647933403811
300,4.355,0.0205708129244298
301,4.363,0.023386628531308
302,4.370,0.0224036529012705
303,4.378,0.0232893549012522
304,4.385,0.0311429206120723
305,4.393,0.0196799912597084
306,4.401,0.00927171284373877
307,4.408,0.0352284130744155
308,4.416,0.149939621233891
309,4.423,0.131780170401897
310,4.431,0.0364212949587839
311,4.438,0.0164341238146888
312,4.446,0.0222193449706385
313,4.453,0.0104799537223265
314,4.461,0.0260386148665132
315,4.468,0.0374759458951782
316,4.476,0.0183283997684068
317,4.483,0.0213080446469579
318,4.491,0.0253781781150818
319,4.499,0.0223268579301738
320,4.506,0.00986559395355307
321,4.514,0.0287366781843764
322,4.521,0.0182669637915295
323,4.529,0.0274414030052125
324,4.536,0.0115602029824197
325,4.544,0.0112171854448546
326,4.551,0.0109151252252077
327,4.559,0.0128094011789257
328,4.566,0.0305695181612171
329,4.574,0.018901802219262
330,4.581,0.00610776003455569
331,4.589,0.0130295467627362
332,4.596,0.018046818207719
333,4.604,0.0143555399303388
334,4.612,0.0081249079420284
335,4.619,0.00688082941026223
336,4.627,0.0261666064850077
337,4.634,0.00947137976859013
338,4.642,0.0211390957105452
339,4.649,0.0100703805431442
340,4.657,0.0160040719765474
341,4.664,0.027313411386718
342,4.672,0.00871366938710292
343,4.679,0.00711121432355226
344,4.687,0.0137104621731267
345,4.694,0.0295199868895625
346,4.702,0.0097171236760995
347,4.710,0.0140176420575134
348,4.717,0.0149391817106735
349,4.725,0.0207653601845414
350,4.732,0.023222799259635
351,4.740,0.0407269330049376
352,4.747,0.0115346046587208
353,4.755,0.00762318079753011
354,4.762,0.011739391248312
355,4.770,0.0224804478723672
356,4.777,0.00776653141024391
357,4.785,0.0348137202304935
358,4.792,0.0132752906702455
359,4.800,0.0281171987508632
360,4.807,0.0157071314216403
361,4.815,0.00497631412706465
362,4.823,0
363,4.830,0.0381107843229108
364,4.838,0.035100421455921
365,4.845,0.0346345319646012
366,4.853,0.0213643609590955
367,4.860,0.00721360761834783
368,4.868,0.0242723305312896
369,4.875,0.0181696901614737
370,4.883,0.00754126616169365
371,4.890,0.00517086138717623
372,4.898,0.0105721076876425
373,4.905,0.0223319775949136
374,4.913,0.0275233176410489
375,4.920,0.00336361973403444
376,4.928,0.0222142253058987
377,4.936,0.0141917106586659
378,4.943,0.0214411559301921
379,4.951,0.0112888607512115
380,4.958,0.0112171854448546
381,4.966,0.0169768082771053
382,4.973,0.025557366380974
383,4.981,0.0207244028666232
384,4.988,0.0214923525775899
385,4.996,0.0205810522539094
386,5.003,0.0200076498030542
387,5.011,0.0164648418031275
