#"+EI TIC Scan EA-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.120180799419777
1,2.102,0.116868229257374
2,2.110,0.111977122815589
3,2.117,0.104376588431581
4,2.125,0.089839918515486
5,2.132,0.0964414985973174
6,2.140,0.0901933221601237
7,2.147,0.0992545916086331
8,2.155,0.083021584198277
9,2.163,0.0757933016532882
10,2.170,0.0873189725170708
11,2.178,0.0668922418570146
12,2.185,0.0532414370768109
13,2.193,0.0755152907861733
14,2.200,0.0672927659876039
15,2.208,0.0676838660210029
16,2.215,0.0623074185739155
17,2.223,0.0684754901849913
18,2.230,0.056205315643172
19,2.238,0.0550932721747122
20,2.245,0.0570205000501362
21,2.253,0.0566765205026889
22,2.261,0.0530812274245752
23,2.268,0.061708988402329
24,2.276,0.0501126368096189
25,2.283,0.0432754542980292
26,2.291,0.0463194376905081
27,2.298,0.0509655176053444
28,2.306,0.0511257272575802
29,2.313,0.0535665684298776
30,2.321,0.0542969359621287
31,2.328,0.0565634313364048
32,2.336,0.0550461516887605
33,2.343,0.0409853986807772
34,2.351,0.0550084552999992
35,2.358,0.0452733629023807
36,2.366,0.0473513763328501
37,2.374,0.0463100135933178
38,2.381,0.0491560909447997
39,2.389,0.0615629148958788
40,2.396,0.126391279468209
41,2.404,0.362493186377731
42,2.411,0.182521202333859
43,2.419,0.0391948202146131
44,2.426,0.0392372286519696
45,2.434,0.0418759758652641
46,2.441,0.0470686534171399
47,2.449,0.0486848860852828
48,2.456,0.0468047786958105
49,2.464,0.0312173219429925
50,2.472,0.0522990273577772
51,2.479,0.0439068688097818
52,2.487,0.0470026847368076
53,2.494,0.0350435054022695
54,2.502,0.0437089627687847
55,2.509,0.0350906258882212
56,2.517,0.0460320027262028
57,2.524,0.0328099943681595
58,2.532,0.0540471973865848
59,2.539,0.0470168208825931
60,2.547,0.0337853884273594
61,2.554,0.0453770279714744
62,2.562,0.0345817246399429
63,2.569,0.0502775585104498
64,2.577,0.0297000422953482
65,2.585,0.030505802605122
66,2.592,0.0511634236463415
67,2.600,0.0364948163695814
68,2.607,0.046149803941082
69,2.615,0.0361885332108955
70,2.622,0.0353592126581458
71,2.630,0.0473843606730162
72,2.637,0.0462770292531516
73,2.645,0.0296058013234448
74,2.652,0.0347277981463932
75,2.660,0.0412728336450825
76,2.667,0.0364806802237959
77,2.675,0.0385869659458363
78,2.683,0.0287482084791241
79,2.690,0.0241680972446202
80,2.698,0.0348550234584627
81,2.705,0.0491890752849658
82,2.713,0.0421304264894032
83,2.720,0.0333236076650329
84,2.728,0.0626561101699579
85,2.735,0.0550979842233074
86,2.743,0.0615582028472836
87,2.750,0.0528079286060554
88,2.758,0.052628870759439
89,2.765,0.0517948381580941
90,2.773,0.0658791514090533
91,2.780,0.0461403798438917
92,2.788,0.0380780646975581
93,2.796,0.0360848681418018
94,2.803,0.0251152190122491
95,2.811,0.0555267806454677
96,2.818,0.054499554051721
97,2.826,0.042907914507606
98,2.833,0.0379838237256547
99,2.841,0.046875459424738
100,2.848,0.0369613091805031
101,2.856,0.0492974524026547
102,2.863,0.0614498257295948
103,2.871,0.0478367173381524
104,2.878,0.0445854038074861
105,2.886,0.0618550619087793
106,2.894,0.0709069072600983
107,2.901,0.0622885703795348
108,2.909,0.0477707486578201
109,2.916,0.0480110631361737
110,2.924,0.0557718071724165
111,2.931,0.0573267832088222
112,2.939,0.0357691608859255
113,2.946,0.0492691801110837
114,2.954,0.210656844495611
115,2.961,5.86951150003732
116,2.969,38.0025352706261
117,2.976,93.2518092381786
118,2.984,100
119,2.991,1.96865620667271
120,2.999,0.122565096008933
121,3.007,0.091710601807768
122,3.014,0.0817304828832008
123,3.022,0.0715006253830895
124,3.029,0.064668154920095
125,3.037,0.0968608709222874
126,3.044,0.0825268190957843
127,3.052,0.0556775662005131
128,3.059,0.063999044019581
129,3.067,0.0807927852127622
130,3.074,0.0431011085000079
131,3.082,0.0498016416023378
132,3.089,0.0694932926815477
133,3.097,0.0438644603724252
134,3.104,0.053524159992521
135,3.112,0.0413953469085569
136,3.120,0.0600974677827813
137,3.127,0.0806985442408588
138,3.135,0.0747896353025173
139,3.142,0.041734614407409
140,3.150,0.0325602557926156
141,3.157,0.0579063651860279
142,3.165,0.060088043685591
143,3.172,0.0400241407673628
144,3.180,0.0527089755855569
145,3.187,0.0457257195675169
146,3.195,0.0391665479230421
147,3.202,0.03869063101493
148,3.210,0.0340963836346406
149,3.218,0.0370602622010017
150,3.225,0.0334084245397459
151,3.233,0.0374136658456393
152,3.240,0.0462299087671999
153,3.248,0.0379131429967272
154,3.255,0.0592917074730075
155,3.263,0.0551545288064494
156,3.270,0.0431576530831499
157,3.278,0.0388932491045223
158,3.285,0.0283571084457251
159,3.293,0.0237817092598163
160,3.300,0.0359623548783274
161,3.308,0.0451555616875015
162,3.315,0.0589760002171312
163,3.323,0.0421963951697355
164,3.331,0.029582241080469
165,3.338,0.031090096630923
166,3.346,0.0441895917254919
167,3.353,0.0238146935999825
168,3.361,0.021119401803546
169,3.368,0.0326497847159238
170,3.376,0.0294314555254236
171,3.383,0.0194513366008563
172,3.391,0.0238429658915535
173,3.398,0.0228628597837584
174,3.406,0.0256005600175514
175,3.413,0.0193005510458109
176,3.421,0.0313209870120862
177,3.429,0.019804740245494
178,3.436,0.0237534369682453
179,3.444,0.02569951303805
180,3.451,0.0338466450590966
181,3.459,0.0253413973448172
182,3.466,0.0146638952281649
183,3.474,0.0216754235377759
184,3.481,0.044750325508317
185,3.489,0.0721603121864132
186,3.496,0.0576424904646985
187,3.504,0.0183911256669434
188,3.511,0.0214869415939692
189,3.519,0.0214633813509933
190,3.526,0.0218780416273682
191,3.534,0.0282628674738217
192,3.542,0.0249927057487747
193,3.549,0.021425684962232
194,3.557,0.013575412002681
195,3.564,0.0243942755771883
196,3.572,0.00936284055860017
197,3.579,0.0318204641631741
198,3.587,0.0236026514131999
199,3.594,0.0291817169498796
200,3.602,0.022292701903743
201,3.609,0.0175052605310516
202,3.617,0.0156816977247214
203,3.624,0.0257183612324307
204,3.632,0.0294031832338526
205,3.640,0.0165911231035889
206,3.647,0.0102675538888726
207,3.655,0.0150172988728026
208,3.662,0.00768063921012495
209,3.670,0.0137544698492974
210,3.677,0.0286963759445773
211,3.685,0.0186502883396776
212,3.692,0.0295445446917076
213,3.700,0.0148429530747813
214,3.707,0.0275042276499996
215,3.715,0.0225188802363111
216,3.722,0.0183487172295868
217,3.730,0.0286492554586256
218,3.737,0.0223021260009334
219,3.745,0.025812602204334
220,3.753,0.0149843145326364
221,3.760,0.011313628677
222,3.768,0.0262649588694702
223,3.775,0.0217461042667035
224,3.783,0.0242057936333815
225,3.790,0.0358728259550192
226,3.798,0.00673822949109121
227,3.805,0.0249691455057988
228,3.813,0.0165722749092082
229,3.820,0.0338607812048821
230,3.828,0.0238146935999825
231,3.835,0.00770419945310079
232,3.843,0.00946650562769388
233,3.850,0.00936755260719534
234,3.858,0.0173073544900546
235,3.866,0.0320843388845035
236,3.873,0.0251246431094394
237,3.881,0.0208272547906456
238,3.888,0.0251811876925814
239,3.896,0.0184806545902516
240,3.903,0.0152434772053707
241,3.911,0.012793211935883
242,3.918,0.0105973972905344
243,3.926,0.0234565779067497
244,3.933,0.0157570905022441
245,3.941,0.0274853794556189
246,3.948,0.0143811723124548
247,3.956,0.0056120498768459
248,3.964,0.0314670605185364
249,3.971,0.0891378232748059
250,3.979,0.0511681356949367
251,3.986,0.019470184795237
252,3.994,0.0199508137519442
253,4.001,0.0250209780403457
254,4.009,0.0106727900680571
255,4.016,0.0280508252870392
256,4.024,0.0169680869912024
257,4.031,0.000226178332568097
258,4.039,0.0205963644094823
259,4.046,0.0164638977915194
260,4.054,0.0261330215088055
261,4.061,0.00980106107795085
262,4.069,0.020365474028319
263,4.077,0.0245874695695902
264,4.084,0.0144471409927872
265,4.092,0.0295209844487318
266,4.099,0.0285173180979609
267,4.107,0.00847697542270845
268,4.114,0.0246157418611612
269,4.122,0.0234565779067497
270,4.129,0.0299120844821308
271,4.137,0.0259633877593794
272,4.144,0.0238382538429584
273,4.152,0.0285078940007705
274,4.159,0.0347560704379642
275,4.167,0.0327346015906368
276,4.175,0.0249408732142278
277,4.182,0.0314529243727509
278,4.190,0.0194513366008563
279,4.197,0.0212183548240446
280,4.205,0.0238241176971728
281,4.212,0.0102581297916822
282,4.220,0.0123220070763661
283,4.227,0.022655529645571
284,4.235,0.0356325114766656
285,4.242,0.0239607671064327
286,4.250,0.0367445549451254
287,4.257,0.0146356229365939
288,4.265,0.023324640546085
289,4.272,0.023744012871055
290,4.280,0.0131277673861399
291,4.288,0.0253272611990317
292,4.295,0.0171330086920333
293,4.303,0.0146120626936181
294,4.310,0.0195926980587114
295,4.318,0.0214398211080175
296,4.325,0.0160303893207638
297,4.333,0.0183628533753723
298,4.340,0.00841571879097126
299,4.348,0.023744012871055
