#"+EI TIC Scan EA-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.118501817787957
1,2.102,0.109567863846186
2,2.110,0.109135863082301
3,2.117,0.103257089800578
4,2.125,0.083549838458436
5,2.132,0.0859859664774533
6,2.140,0.0845608093182476
7,2.147,0.07335105753787
8,2.155,0.0781075195567191
9,2.163,0.0767847955683313
10,2.170,0.0722688288200981
11,2.178,0.0748207508583009
12,2.185,0.05285106252592
13,2.193,0.0650317026210065
14,2.200,0.0550333344259538
15,2.208,0.0668265099183813
16,2.215,0.0582443916502892
17,2.223,0.0631745446979166
18,2.230,0.0615400675809525
19,2.238,0.0527753510518372
20,2.245,0.0435162831331225
21,2.253,0.0585917737078456
22,2.260,0.042634467140864
23,2.268,0.0469589283958288
24,2.276,0.042402879102493
25,2.283,0.0473597538468555
26,2.291,0.0482771987680942
27,2.298,0.0440061809065995
28,2.306,0.0406392471179759
29,2.313,0.0439660983614968
30,2.321,0.0472840423727727
31,2.328,0.0492080045377004
32,2.336,0.0456584724880536
33,2.343,0.0369872818975112
34,2.351,0.0436053554555729
35,2.358,0.044629687163752
36,2.366,0.0360253008150474
37,2.374,0.0348673606231927
38,2.381,0.0452220181080469
39,2.389,0.0380472425346705
40,2.396,0.162401111907616
41,2.404,0.360204018373126
42,2.411,0.126598491898694
43,2.419,0.0509271003609923
44,2.426,0.0447053986378348
45,2.434,0.0329033159131623
46,2.441,0.0457519984266265
47,2.449,0.0347738346846198
48,2.456,0.0404655560891977
49,2.464,0.038911244062439
50,2.471,0.0362657960856633
51,2.479,0.0446163263153844
52,2.487,0.0448568215860004
53,2.494,0.0246819405509943
54,2.502,0.0416724860584001
55,2.509,0.0359050531797394
56,2.517,0.0327919755100994
57,2.524,0.0248467243475274
58,2.532,0.0396104617936743
59,2.539,0.0287035559096279
60,2.547,0.0258799632879516
61,2.554,0.035686825989736
62,2.562,0.0419664247224863
63,2.569,0.0293270621667804
64,2.577,0.0275767910306309
65,2.585,0.0382788305730414
66,2.592,0.029460670650456
67,2.600,0.0201704274188836
68,2.607,0.0345377930301264
69,2.615,0.0373702928840478
70,2.622,0.0260670151650973
71,2.630,0.0325381193911159
72,2.637,0.0226199162862685
73,2.645,0.0346268653525768
74,2.652,0.0271091613377665
75,2.660,0.0260358398522397
76,2.667,0.0293537838635155
77,2.675,0.0346936695944145
78,2.682,0.0245349712189512
79,2.690,0.032444593452543
80,2.698,0.025728540339786
81,2.705,0.0209230885435891
82,2.713,0.0291400102896347
83,2.720,0.0344041845464509
84,2.728,0.0357447229993288
85,2.735,0.0372767669454749
86,2.743,0.0327251712682616
87,2.750,0.0355042277287128
88,2.758,0.0288683397061611
89,2.765,0.0360386616634149
90,2.773,0.0496489125338297
91,2.780,0.0364929305079118
92,2.788,0.0397529775095949
93,2.796,0.0302845896331218
94,2.803,0.0348807214715603
95,2.811,0.0391606465653
96,2.818,0.0315226949151818
97,2.826,0.0258844169040741
98,2.833,0.0273719246889951
99,2.841,0.0361945382277031
100,2.848,0.03295230569051
101,2.856,0.0308234771839465
102,2.863,0.02983922802087
103,2.871,0.0343551947691032
104,2.878,0.0289974945737141
105,2.886,0.044638594395997
106,2.893,0.0339365548535865
107,2.901,0.0441798719353777
108,2.909,0.0383634492793693
109,2.916,0.0395659256324491
110,2.924,0.0405635356438931
111,2.931,0.0471949700503223
112,2.939,0.0337227812797056
113,2.946,0.0519113495240688
114,2.954,0.247059900780559
115,2.961,6.3617857646752
116,2.969,34.9841121698445
117,2.976,76.611247055269
118,2.984,100
119,2.991,2.86987905403768
120,2.999,0.115375379269949
121,3.006,0.0668042418377687
122,3.014,0.0699128658912862
123,3.022,0.066265354286944
124,3.029,0.046754062054193
125,3.037,0.0805881837369616
126,3.044,0.0683852755612625
127,3.052,0.0498537788754655
128,3.059,0.0459568647682623
129,3.067,0.054819560852073
130,3.074,0.0453511729755999
131,3.082,0.0429729419661753
132,3.089,0.0511542347832407
133,3.097,0.0295096604278037
134,3.104,0.0268107690575578
135,3.112,0.0471415266568521
136,3.120,0.0524680515393835
137,3.127,0.0866272871990959
138,3.135,0.0600525597960315
139,3.142,0.0277415748271641
140,3.150,0.0261872628004053
141,3.157,0.038163036553856
142,3.165,0.0497736137852602
143,3.172,0.0310817869190525
144,3.180,0.0558973359537223
145,3.187,0.0410801551141052
146,3.195,0.0340879778017521
147,3.202,0.029091020512287
148,3.210,0.0335090077058248
149,3.217,0.0487938182383062
150,3.225,0.0215777701135993
151,3.233,0.0351612992872789
152,3.240,0.0290286698865717
153,3.248,0.0431466329949535
154,3.255,0.148960098449857
155,3.263,0.29398765386353
156,3.270,0.169954444851406
157,3.278,0.0513012041152838
158,3.285,0.0349430720972755
159,3.293,0.0279776164816575
160,3.300,0.0283784419326841
161,3.308,0.0498270571787304
162,3.315,0.0535859091861355
163,3.323,0.0307967554872113
164,3.331,0.0316607570149798
165,3.338,0.0245171567544611
166,3.346,0.0319101595178408
167,3.353,0.0214530688621688
168,3.361,0.016046378889432
169,3.368,0.0230341025856626
170,3.376,0.0305117240553702
171,3.383,0.0123276094271296
172,3.391,0.0192396216492774
173,3.398,0.0235195467430171
174,3.406,0.0148483561524747
175,3.413,0.022624369902391
176,3.421,0.0126527234040734
177,3.428,0.0148483561524747
178,3.436,0.0273318421438924
179,3.444,0.03107733330293
180,3.451,0.0289529584124889
181,3.459,0.024628497157524
182,3.466,0.0299104858788303
183,3.474,0.0302044245429165
184,3.481,0.0467629692864381
185,3.489,0.103265997032823
186,3.496,0.0495108504340316
187,3.504,0.0223259776221823
188,3.511,0.0258398807428489
189,3.519,0.0201437057221485
190,3.526,0.0204999950119499
191,3.534,0.019141642094582
192,3.542,0.0113433602640531
193,3.549,0.0244191771997657
194,3.557,0.0252341889501865
195,3.564,0.0264366653032663
196,3.572,0.0125903727783581
197,3.579,0.0223883282478975
198,3.587,0.0275411621016508
199,3.594,0.0242054036258848
200,3.602,0.015177923745541
201,3.609,0.0136147044865373
202,3.617,0.0159617601831042
203,3.624,0.0204064690733771
204,3.632,0.0149062531620674
205,3.639,0.0123187021948845
206,3.647,0.0117397320989572
207,3.655,0.0100473579724004
208,3.662,0.0127328884942787
209,3.670,0.011436886202626
210,3.677,0.00931251131218495
211,3.685,0.0176185053806809
212,3.692,0.0168613906398528
213,3.700,0.014541056640021
214,3.707,0.0188432498143733
215,3.715,0.0234571961173018
216,3.722,0.0056204635466176
217,3.730,0.00851086041013173
218,3.737,0.0249936936795705
219,3.745,0.0170083599718959
220,3.752,0.013173796490408
221,3.760,0.0135701683253121
222,3.768,0.00548685506294207
223,3.775,0.0131292603291828
224,3.783,0.0142471179759348
225,3.790,0.00971333676321156
