#"+EI TIC Scan EA-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.144916296888496
1,2.102,0.137109075100186
2,2.110,0.131112455799468
3,2.117,0.117725213512895
4,2.125,0.114464526732144
5,2.132,0.10914888624313
6,2.140,0.116623630141019
7,2.148,0.11185277270137
8,2.155,0.098689852846888
9,2.163,0.092601101118704
10,2.170,0.0910268383363511
11,2.178,0.104386040318913
12,2.185,0.0813649507255749
13,2.193,0.0828190407764504
14,2.200,0.0997153268221611
15,2.208,0.0752521644510954
16,2.215,0.0968031409626941
17,2.223,0.0687147678587294
18,2.230,0.0935184196356475
19,2.238,0.0730089401301855
20,2.245,0.0712584240083326
21,2.253,0.0790175767040513
22,2.261,0.0698443915346162
23,2.268,0.0678895817692518
24,2.276,0.0816052961885295
25,2.283,0.0804035688737564
26,2.291,0.0629464767478182
27,2.298,0.0700927485130026
28,2.306,0.0695199251596274
29,2.313,0.0609676324361584
30,2.321,0.0633750928234207
31,2.328,0.0561567174193499
32,2.336,0.0486138756402903
33,2.343,0.0687868714976158
34,2.351,0.0567695983498842
35,2.358,0.0509292036000866
36,2.366,0.052884013365451
37,2.374,0.0524954548670076
38,2.381,0.06519771258416
39,2.389,0.0534328021725307
40,2.396,0.151942395922203
41,2.404,0.369971782641498
42,2.411,0.188090353550579
43,2.419,0.0585401432603166
44,2.426,0.0472038489242898
45,2.434,0.0559323949872589
46,2.441,0.0531363761015533
47,2.449,0.0499477929596885
48,2.456,0.0565693104640887
49,2.464,0.0592812084377601
50,2.472,0.0490464974736087
51,2.479,0.0433823560633112
52,2.487,0.0393325350125256
53,2.494,0.0620011179268634
54,2.502,0.0506047372250979
55,2.509,0.0456135631110733
56,2.517,0.0485417720014039
57,2.524,0.0434224136404703
58,2.532,0.0535409576308603
59,2.539,0.0557681589209066
60,2.547,0.0592010932834419
61,2.554,0.0490585147467564
62,2.562,0.0541538385613946
63,2.569,0.0561607231770658
64,2.577,0.0482213113841311
65,2.585,0.0566293968298273
66,2.592,0.0580995099115665
67,2.600,0.0451609124891754
68,2.607,0.0524033224395417
69,2.615,0.060987661224738
70,2.622,0.0364323664262064
71,2.630,0.0466270198131987
72,2.637,0.0525555412327463
73,2.645,0.0455414594721869
74,2.652,0.0530722839780988
75,2.660,0.0635072828280457
76,2.667,0.0377222204107296
77,2.675,0.0316054283785342
78,2.683,0.039673024418378
79,2.690,0.0378624219307864
80,2.698,0.0501320578146204
81,2.705,0.0500439311448704
82,2.713,0.0495952862806884
83,2.720,0.0563449880319977
84,2.728,0.055523807700236
85,2.735,0.0587965117541349
86,2.743,0.0551112146554972
87,2.750,0.0472198719551535
88,2.758,0.0550431167743267
89,2.765,0.0646449180193643
90,2.773,0.0839366471791895
91,2.780,0.0587204023575326
92,2.788,0.0562728843931113
93,2.796,0.0420564502593448
94,2.803,0.0586362814454985
95,2.811,0.0644766761952961
96,2.818,0.0549549901045767
97,2.826,0.0444879451929025
98,2.833,0.0662832729251717
99,2.841,0.0447603367175844
100,2.848,0.0493549408177338
101,2.856,0.0444278588271638
102,2.863,0.0436347187994135
103,2.871,0.0387517001437186
104,2.878,0.0479208795554378
105,2.886,0.0681539617785019
106,2.894,0.0640240255733982
107,2.901,0.0480250292560515
108,2.909,0.0472158661974375
109,2.916,0.05400161976819
110,2.924,0.0612440297185563
111,2.931,0.046615002540051
112,2.939,0.0495392056726657
113,2.946,0.0613161333574426
114,2.954,0.183267421260623
115,2.961,5.59627185731683
116,2.969,34.9749756309729
117,2.976,87.1254145859092
118,2.984,100
119,2.991,2.2852447193498
120,2.999,0.11105963267362
121,3.007,0.0842290674924509
122,3.014,0.0849621211544626
123,3.022,0.0659387777616034
124,3.029,0.0579913544532369
125,3.037,0.0822782634848025
126,3.044,0.0858554051251106
127,3.052,0.0719233797891738
128,3.059,0.053869429763565
129,3.067,0.0744069495730383
130,3.074,0.0601784981661241
131,3.082,0.0501560923609159
132,3.089,0.0487660944334949
133,3.097,0.0397972029075712
134,3.105,0.0390961953072869
135,3.112,0.0429457284722769
136,3.120,0.0570620186631457
137,3.127,0.0798948376438357
138,3.135,0.0806198797904155
139,3.142,0.047376096506074
140,3.150,0.034794011520399
141,3.157,0.0453692118904028
142,3.165,0.0643524977061028
143,3.172,0.043522557583368
144,3.180,0.0473640792329262
145,3.187,0.0445760718626525
146,3.195,0.0323384820405458
147,3.202,0.0437829318349022
148,3.210,0.048806152010654
149,3.218,0.0482413401727106
150,3.225,0.0398492777578781
151,3.233,0.0333719675312507
152,3.240,0.0317055723214319
153,3.248,0.0316695205019887
154,3.255,0.0448364461141867
155,3.263,0.066183128982274
156,3.270,0.0415597363025719
157,3.278,0.0323344762828299
158,3.285,0.0386795965048322
159,3.293,0.0324266087102958
160,3.300,0.0258651775716344
161,3.308,0.0449646303610958
162,3.315,0.0541858846231219
163,3.323,0.0313049965498409
164,3.331,0.0291819449604083
165,3.338,0.0289936743477605
166,3.346,0.0204774334437347
167,3.353,0.0254285499806001
168,3.361,0.0214267980224055
169,3.368,0.0233816077877698
170,3.376,0.0226285253371786
171,3.383,0.0313210195807045
172,3.391,0.0276797858169418
173,3.398,0.0297026934634767
174,3.406,0.0150376144655282
175,3.413,0.0315052844356364
176,3.421,0.0287212828230786
177,3.429,0.0232934811180198
178,3.436,0.0202250707076323
179,3.444,0.0234336826380767
180,3.451,0.027002812762953
181,3.459,0.0312649389726818
182,3.466,0.00747474389788907
183,3.474,0.0280403040113738
184,3.481,0.0286772194882036
185,3.489,0.0928654811279541
186,3.496,0.0686586872507067
187,3.504,0.0278920909758851
188,3.511,0.0116046801029928
189,3.519,0.0161271805642558
190,3.526,0.0184865718589271
191,3.534,0.0316374744402615
192,3.542,0.0379144967810933
193,3.549,0.0324105856794322
194,3.557,0.0144367508081416
195,3.564,0.0118049679887884
196,3.572,0.0276597570283623
197,3.579,0.0235218093078267
198,3.587,0.012806407417766
199,3.594,0.0135715071415049
200,3.602,0.0257329875670093
201,3.609,0.0203812952585528
202,3.617,0.0257890681750321
203,3.624,0.0210983258897008
204,3.632,0.0114324325212087
205,3.640,0.023017083835622
206,3.647,0.0192316427940865
207,3.655,0.026998807005237
208,3.662,0.0102266994487196
209,3.670,0.00860837333149175
210,3.677,0.0160791114716649
211,3.685,0.0159709560133353
212,3.692,0.0096138185181853
213,3.700,0.0129906722726979
214,3.707,0.0235298208232585
215,3.715,0.0126782231708569
216,3.722,0.0702730076102186
217,3.730,0.37167422967076
218,3.737,0.245877414360305
