#"+EI TIC Scan EA-PEEK-1Week.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.118741984071149
1,2.102,0.115287726027139
2,2.110,0.1186873123611
3,2.117,0.111212198550752
4,2.125,0.103274860282717
5,2.132,0.0890602156699558
6,2.140,0.0914260096684434
7,2.147,0.111167467151621
8,2.155,0.0952530293718792
9,2.162,0.077932037597238
10,2.170,0.0833892682912283
11,2.178,0.0718585076263308
12,2.185,0.0711875366393648
13,2.193,0.0727382251425751
14,2.200,0.0725344487687558
15,2.208,0.0678028607717807
16,2.215,0.0692193550775978
17,2.223,0.0745374214187358
18,2.230,0.0752133625611609
19,2.238,0.0649201706055563
20,2.245,0.0606905683099409
21,2.253,0.0589112526556162
22,2.260,0.0598754628146637
23,2.268,0.0586130433280757
24,2.276,0.0618187935991356
25,2.283,0.0633346910141329
26,2.291,0.0695821764261053
27,2.298,0.0509788845430402
28,2.306,0.0553575915024258
29,2.313,0.051515661332613
30,2.321,0.0507154663037128
31,2.328,0.0543884111879193
32,2.336,0.0513367357360887
33,2.343,0.0449948173703951
34,2.351,0.0376837186901951
35,2.358,0.0456260271136891
36,2.366,0.0513914074461378
37,2.373,0.0606160159780558
38,2.381,0.0346121626165284
39,2.389,0.0609241656165142
40,2.396,0.195366870782668
41,2.404,0.424008932363391
42,2.411,0.165232818234705
43,2.419,0.0556607709854253
44,2.426,0.0486826727209787
45,2.434,0.0500494654722058
46,2.441,0.0491200464013714
47,2.449,0.0580762665385029
48,2.456,0.0514759000889409
49,2.464,0.0526389164663487
50,2.471,0.0519281842357106
51,2.479,0.0382602567234399
52,2.487,0.056122995443113
53,2.494,0.0398208855375683
54,2.502,0.0544679336752635
55,2.509,0.0398059750711913
56,2.517,0.0456459077355251
57,2.524,0.0427284264810877
58,2.532,0.0463168787224911
59,2.539,0.0540752913940019
60,2.547,0.0524152594706934
61,2.554,0.0365157321573283
62,2.562,0.0497065247455343
63,2.569,0.0408049763184518
64,2.577,0.055456994611606
65,2.584,0.0481210451541109
66,2.592,0.0514510493116459
67,2.600,0.0592840143150418
68,2.607,0.0583098638450763
69,2.615,0.0476140892972921
70,2.622,0.0478526567593245
71,2.630,0.0560484431112279
72,2.637,0.0533844397851998
73,2.645,0.0468138942683919
74,2.652,0.0436479052410041
75,2.660,0.0430067551867921
76,2.667,0.0451936235887554
77,2.675,0.0478327761374884
78,2.682,0.0514460791561869
79,2.690,0.0610434493475304
80,2.698,0.0460882515713768
81,2.705,0.0412672007761395
82,2.713,0.043598203686414
83,2.720,0.0477333730283083
84,2.728,0.0560285624893918
85,2.735,0.0522760951178411
86,2.743,0.0571170265349145
87,2.750,0.0421121272041708
88,2.758,0.0513367357360887
89,2.765,0.0566945633208988
90,2.773,0.0727431952980341
91,2.780,0.0536080967808552
92,2.788,0.0461429232814259
93,2.795,0.0428725609893989
94,2.803,0.0527432897309879
95,2.811,0.0626537797162489
96,2.818,0.0481160749986519
97,2.826,0.0378377935094243
98,2.833,0.0472810888815386
99,2.841,0.0537323506673303
100,2.848,0.0565305481907516
101,2.856,0.040973961604058
102,2.863,0.0404769460581573
103,2.871,0.0514609896225639
104,2.878,0.0530613796803643
105,2.886,0.0723754037940676
106,2.893,0.0458546542648034
107,2.901,0.0549351282884102
108,2.909,0.0629818099765434
109,2.916,0.0599947465456798
110,2.924,0.0578029079882575
111,2.931,0.0639410499801318
112,2.939,0.0544430828979684
113,2.946,0.0412622306206805
114,2.954,0.467234374390379
115,2.961,10.0108821553775
116,2.969,48.8830147173758
117,2.976,100
118,2.984,84.5404308478663
119,2.991,0.915413172750924
120,2.999,0.142047043018435
121,3.006,0.105526340705648
122,3.014,0.100933917061525
123,3.022,0.0808992204062655
124,3.029,0.0821119383382633
125,3.037,0.0987321381931845
126,3.044,0.0947709242923555
127,3.052,0.0919379356807212
128,3.059,0.0827630287033933
129,3.067,0.0781159333492213
130,3.074,0.0695275047160563
131,3.082,0.0684638914478286
132,3.089,0.073990704318245
133,3.097,0.0674251289568961
134,3.104,0.0599400748356307
135,3.112,0.062092152149381
136,3.119,0.0737471667007537
137,3.127,0.11357799254924
138,3.135,0.0770125588373216
139,3.142,0.0500047340730747
140,3.150,0.0584738789752235
141,3.157,0.0581806398031421
142,3.165,0.0685632945570088
143,3.172,0.0608595535955471
144,3.180,0.0655911415925223
145,3.187,0.0550245910866723
146,3.195,0.0509192426775321
147,3.202,0.0484192544816513
148,3.210,0.0699400276191539
149,3.217,0.0425842919727765
150,3.225,0.0428825013003169
151,3.233,0.0413516934189426
152,3.240,0.0371867031442943
153,3.248,0.0735781814151474
154,3.255,0.093135743146342
155,3.263,0.144228941264939
156,3.270,0.0888862602288906
157,3.278,0.0621468238594301
158,3.285,0.0439113234803315
159,3.293,0.0315356363874027
160,3.300,0.0561826373086211
161,3.308,0.0545424860071486
162,3.315,0.0712670591267089
163,3.323,0.0499053309638946
164,3.330,0.0476936117846362
165,3.338,0.0278080197931471
166,3.346,0.0398954378694534
167,3.353,0.033687713701153
168,3.361,0.0258000769877081
169,3.368,0.0351439692506422
170,3.376,0.0425097396408914
171,3.383,0.0252483897317582
172,3.391,0.0290952900570301
173,3.398,0.0276638852848359
174,3.406,0.0328527275840397
175,3.413,0.0324700256136962
176,3.421,0.0301141719261266
177,3.428,0.0253676734627744
178,3.436,0.0361230898760667
179,3.444,0.0359391941240834
180,3.451,0.0338169377430872
181,3.459,0.0413417531080246
182,3.466,0.0321370251979427
183,3.474,0.0405564685455014
184,3.481,0.0579023110974377
185,3.489,0.0879220500698431
186,3.496,0.0518685423702025
187,3.504,0.0420823062714167
188,3.511,0.0325843391892533
189,3.519,0.0368934639722129
190,3.526,0.0298905149304713
191,3.534,0.0415107383936308
192,3.541,0.027773228704934
193,3.549,0.025074434290693
194,3.557,0.0162871994391677
195,3.564,0.0187673070132124
196,3.572,0.0295873354474718
197,3.579,0.0341052067597096
198,3.587,0.0246122098330053
199,3.594,0.0243984931482679
200,3.602,0.0324650554582371
201,3.609,0.031719532139386
202,3.617,0.0326787721429745
203,3.624,0.0304670529637161
204,3.632,0.0297712311994551
205,3.639,0.0111927900936849
206,3.647,0.0347662374357576
207,3.655,0.0174899770602475
208,3.662,0.0200098458779643
209,3.670,0.0153726908347103
210,3.677,0.0281807814525727
211,3.685,0.029065469124276
212,3.692,0.0356161340192479
213,3.700,0.0292791858090133
214,3.707,0.0385187048073083
215,3.715,0.0291002602124891
216,3.722,0.0358199103930672
217,3.730,0.0214909522047485
218,3.737,0.0376936590011131
219,3.745,0.0296519474684389
220,3.752,0.0345823416837744
221,3.760,0.0359690150568375
222,3.768,0.0398805274030764
223,3.775,0.0334242954618256
224,3.783,0.0424749485526783
225,3.790,0.0232305066154012
226,3.798,0.0318139650931072
227,3.805,0.0215754448475517
228,3.813,0.0313865317236325
229,3.820,0.0278626915031962
230,3.828,0.0367791503966557
231,3.835,0.0300495599051595
232,3.843,0.0329173396050068
233,3.850,0.0164462444138559
234,3.858,0.034358684688119
235,3.865,0.0265605107729362
236,3.873,0.0274352581337215
237,3.881,0.0199253532351612
238,3.888,0.0239511791569573
239,3.896,0.0337225047893661
240,3.903,0.0242344780181207
241,3.911,0.0194879795547685
242,3.918,0.0344928788855122
243,3.926,0.0171023049344449
244,3.933,0.0122315525846175
245,3.941,0.0305416052956012
246,3.948,0.0249849714924308
247,3.956,0.0346469537047415
248,3.963,0.0548804565783611
249,3.971,0.0790155314873016
250,3.979,0.0434341885562668
251,3.986,0.0370873000351142
252,3.994,0.0302334556571428
253,4.001,0.0296618877793569
254,4.009,0.018518799240262
255,4.016,0.0314909049882717
256,4.024,0.0230615213297949
257,4.031,0.0259790025842323
258,4.039,0.0270376456970009
259,4.046,0.00771865142783869
260,4.054,0.0249800013369718
261,4.061,0.0274601089110166
262,4.069,0.0225595356284352
263,4.076,0.023126133350762
264,4.084,0.031709591828468
265,4.092,0.0530315587476103
266,4.099,0.0621865851031021
267,4.107,0.0374700020054577
268,4.114,0.0380962415932927
269,4.122,0.014562555494892
270,4.129,0.0280913186543105
271,4.137,0.0327135632311875
272,4.144,0.0189114415215236
273,4.152,0.0203577567600948
274,4.159,0.0101242066699983
275,4.167,0.00863813018775508
276,4.174,0.0253378525300204
277,4.182,0.0164015130147248
278,4.190,0.0127235979750593
279,4.197,0.0291350513007021
280,4.205,0.0226539685821563
281,4.212,0.038985899420455
282,4.220,0.0155814373639886
283,4.227,0.0359640449013785
284,4.235,0.0274750193773936
285,4.242,0.0328229066512857
286,4.250,0.0207006974867663
287,4.257,0.0379024055303914
288,4.265,0.0221768336580916
289,4.272,0.0267692573022145
290,4.280,0.0273408251800004
291,4.287,0.0292593051871773
292,4.295,0.029691708712111
293,4.303,0.0201440400753575
294,4.310,0.0270426158524599
295,4.318,0.0298606939977172
296,4.325,0.024443224547399
297,4.333,0.0282553337844578
298,4.340,0.0251788075553321
299,4.348,0.0304571126527981
300,4.355,0.0162027067963645
301,4.363,0.0362175228297878
302,4.370,0.0230615213297949
303,4.378,0.0258795994750522
304,4.385,0.0314213228118456
305,4.393,0.0244978962574481
306,4.401,0.0291499617670791
307,4.408,0.0404719759026983
308,4.416,0.130277714891505
309,4.423,0.123458661601747
310,4.431,0.046242326390606
311,4.438,0.027768258549475
312,4.446,0.0242543586399567
313,4.453,0.026416376264625
314,4.461,0.0228478046450576
315,4.468,0.0306608890266174
316,4.476,0.0228776255778116
317,4.483,0.0307702324467156
318,4.491,0.0305813665392733
319,4.498,0.0153329295910382
320,4.506,0.0222016844353866
321,4.514,0.0234243426783025
322,4.521,0.0214710715829125
323,4.529,0.0338417885203822
324,4.536,0.0251638970889551
325,4.544,0.0198657113696531
326,4.551,0.0169780510479697
327,4.559,0.0139412860625161
328,4.566,0.0250446133579389
329,4.574,0.0259044502523472
