#"+EI TIC Scan EA-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.174014284719631
1,2.102,0.168870702086157
2,2.110,0.13006155956112
3,2.117,0.145262833154716
4,2.125,0.132899205257715
5,2.132,0.128891800289742
6,2.140,0.119528129184408
7,2.147,0.116774437502505
8,2.155,0.0980247075545852
9,2.163,0.112100997351307
10,2.170,0.10169629646379
11,2.178,0.0990377526652041
12,2.185,0.0892543114864092
13,2.193,0.077483958626566
14,2.200,0.0938829761631045
15,2.208,0.10161793938341
16,2.215,0.0838420760059202
17,2.223,0.108899550924378
18,2.230,0.0830585052021266
19,2.238,0.0750101136603032
20,2.245,0.0810380119152015
21,2.253,0.0692900467926096
22,2.260,0.0606092016734386
23,2.268,0.0593554883873687
24,2.276,0.0802936196515976
25,2.283,0.0753627205220104
26,2.291,0.0851797433066822
27,2.298,0.0734317781840903
28,2.306,0.0743272876741402
29,2.313,0.0626296949603636
30,2.321,0.0676389511703302
31,2.328,0.0673647013890024
32,2.336,0.0699057095670189
33,2.343,0.0697601892748858
34,2.351,0.0550794305723806
35,2.358,0.0653274172991389
36,2.366,0.0546540635646069
37,2.374,0.0572118625455618
38,2.381,0.0612976245939144
39,2.389,0.0454191219484675
40,2.396,0.218996845791699
41,2.404,0.421359602805721
42,2.411,0.160771938135518
43,2.419,0.0640737040130691
44,2.426,0.0633349086837779
45,2.434,0.0532436361177783
46,2.441,0.0504787505672493
47,2.449,0.049980623413409
48,2.456,0.0570551483848031
49,2.464,0.0547212267763606
50,2.471,0.0517548515905704
51,2.479,0.0468687279354857
52,2.487,0.0473388704177619
53,2.494,0.0613759816742938
54,2.502,0.0557006902811027
55,2.509,0.0524432745110462
56,2.517,0.0553145018135187
57,2.524,0.0538313142206235
58,2.532,0.0516093312984373
59,2.539,0.0471429777168135
60,2.547,0.0507194187427002
61,2.554,0.0655345038687129
62,2.562,0.036424848507779
63,2.569,0.0397662182925276
64,2.577,0.0391057800436158
65,2.585,0.0437736232605008
66,2.592,0.0382774337653196
67,2.600,0.0365199963910968
68,2.607,0.0542119057538947
69,2.615,0.0505906892535055
70,2.622,0.055275323273329
71,2.630,0.0532156514462142
72,2.637,0.0498854755300912
73,2.645,0.0331394480661584
74,2.652,0.0381375104074994
75,2.660,0.0444844339182279
76,2.667,0.0519899228317085
77,2.675,0.0520123105689597
78,2.682,0.0393744328906308
79,2.690,0.0452624077877087
80,2.698,0.0433874347929168
81,2.705,0.0471373807825007
82,2.713,0.049029144580231
83,2.720,0.0593219067814919
84,2.728,0.0647733208021705
85,2.735,0.0614487418203603
86,2.743,0.056523439625086
87,2.750,0.0654057743795183
88,2.758,0.0490347415145439
89,2.765,0.0554936037115286
90,2.773,0.0807637621338737
91,2.780,0.0420665582950932
92,2.788,0.0431411696831531
93,2.796,0.0579842394807299
94,2.803,0.0473164826805106
95,2.811,0.0569208219612956
96,2.818,0.0407792634031465
97,2.826,0.0554544251713389
98,2.833,0.0430460217998353
99,2.841,0.0394807746425742
