#"+EI TIC Scan EA-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.111224883447984
1,2.102,0.100646488764177
2,2.110,0.0977959582295033
3,2.117,0.0872970460194129
4,2.125,0.0879184544502924
5,2.132,0.0743052744063761
6,2.140,0.0685825362987425
7,2.147,0.0875029778831346
8,2.155,0.0844284512861673
9,2.162,0.069370135356485
10,2.170,0.0650383405389013
11,2.178,0.0603958415058778
12,2.185,0.0681020286167253
13,2.193,0.0598105614721426
14,2.200,0.067968353547292
15,2.208,0.0563747509037338
16,2.215,0.0550994184845452
17,2.223,0.0587050325195316
18,2.230,0.0524223042561636
19,2.238,0.0373531498073381
20,2.245,0.0551680624391191
21,2.253,0.0429494385249671
22,2.260,0.0499583475709325
23,2.268,0.0467465330648174
24,2.276,0.0513709678992688
25,2.283,0.0480290911634348
26,2.291,0.0528161037850349
27,2.298,0.0377830777333535
28,2.306,0.0401314235477233
29,2.313,0.0364752297567352
30,2.321,0.0489648166494683
31,2.328,0.036334329007873
32,2.336,0.0430831135944005
33,2.343,0.0442139324250124
34,2.351,0.0478087079408555
35,2.358,0.0366450332233127
36,2.366,0.0353299595672656
37,2.373,0.0339679189949311
38,2.381,0.0404312892440198
39,2.389,0.0389355736022519
40,2.396,0.111217657768556
41,2.404,0.359141557490865
42,2.411,0.174774734024547
43,2.419,0.047125881234831
44,2.426,0.041381466088911
45,2.434,0.0395027894374151
46,2.441,0.0402181317008693
47,2.449,0.0376313384653481
48,2.456,0.0359260781201441
49,2.464,0.0443006405781584
50,2.471,0.042486995041522
51,2.479,0.0329093569586075
52,2.487,0.0384695172790924
53,2.494,0.0333031564874787
54,2.502,0.0325914270637389
55,2.509,0.0255680666589159
56,2.517,0.0315509292259874
57,2.524,0.0261858622500809
58,2.532,0.0378914629247859
59,2.539,0.0284258228730183
60,2.547,0.0327648433700309
61,2.554,0.0283933073155886
62,2.562,0.0455831986767758
63,2.569,0.0278802840761416
64,2.577,0.030842812641962
65,2.584,0.038848865449106
66,2.592,0.0291411651364725
67,2.600,0.0321325964200082
68,2.607,0.033357349083195
69,2.615,0.0329599367146093
