#"+EI TIC Scan EA-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.118645955849141
1,2.102,0.114584768352608
2,2.110,0.0926508167101143
3,2.117,0.0793302986795478
4,2.125,0.0901689799066776
5,2.133,0.0742117867694297
6,2.140,0.068571248579801
7,2.148,0.0717786134327271
8,2.155,0.0696993562177267
9,2.163,0.0597454652948524
10,2.170,0.0746763016791639
11,2.178,0.0718007331903335
12,2.185,0.0625015870926083
13,2.193,0.0681067336700668
14,2.200,0.0578343182376605
15,2.208,0.0623025092741508
16,2.215,0.0523707381088828
17,2.223,0.0581041792804584
18,2.230,0.0525919356849467
19,2.238,0.0481635602121479
20,2.246,0.0454207102689559
21,2.253,0.0483891817397331
22,2.261,0.045040250438126
23,2.268,0.0495969205050418
24,2.276,0.0429609932231256
25,2.283,0.0543217007297662
26,2.291,0.0366435904507414
27,2.298,0.0489244798738077
28,2.306,0.0387007279081354
29,2.313,0.0359313342558157
30,2.321,0.0349138254059219
31,2.328,0.0355331786189007
32,2.336,0.0461683580760518
33,2.344,0.0522557153693296
34,2.351,0.0371213772150393
35,2.359,0.0381831255801459
36,2.366,0.0298793685747081
37,2.374,0.048340518272999
38,2.381,0.0322815742507618
39,2.389,0.0307022235576657
40,2.396,0.125357090306919
41,2.404,0.367263183441893
42,2.411,0.144127916611699
43,2.419,0.0506321251610208
44,2.426,0.0504684389547335
45,2.434,0.0408021048807422
46,2.441,0.0384529866229439
47,2.449,0.0334760411615067
48,2.457,0.0544588432269258
49,2.464,0.0584934870143309
50,2.472,0.0309057253276445
51,2.479,0.0623202050802359
52,2.487,0.0616167967883528
53,2.494,0.0503224485545314
54,2.502,0.0305562331574636
55,2.509,0.0374487496276139
56,2.517,0.0304058188057401
57,2.524,0.0440492852973599
58,2.532,0.0473628249867967
59,2.539,0.0375593484156458
60,2.547,0.0360065414316774
61,2.555,0.0258845403509945
62,2.562,0.0369355712511457
63,2.570,0.0358118875647412
64,2.577,0.0313392725767297
65,2.585,0.0410940856811465
66,2.592,0.0330557657669853
67,2.600,0.0387272716172631
68,2.607,0.045071218098775
69,2.615,0.027167486292165
70,2.622,0.0462391413003922
71,2.630,0.0409702150385508
72,2.637,0.0352765894306666
73,2.645,0.0335424004343259
74,2.652,0.0382096692892736
75,2.660,0.0471681711198605
76,2.668,0.0296758668047293
77,2.675,0.0363958491655498
78,2.683,0.0295077566469208
79,2.690,0.0349624888726559
80,2.698,0.0296802907562506
81,2.705,0.0283265615907397
82,2.713,0.0319984413534
83,2.720,0.0327195454513683
84,2.728,0.0614531105820655
