#"+EI TIC Scan EA-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.11054726923951
1,2.102,0.0978455238207462
2,2.110,0.0912000624374956
3,2.117,0.0864483853862593
4,2.125,0.0862264874241243
5,2.132,0.0957527964881969
6,2.140,0.0837550032251721
7,2.148,0.0964644002978024
8,2.155,0.0734023155434931
9,2.163,0.290081849741412
10,2.170,1.58497888526115
11,2.178,0.639659134123545
12,2.185,0.194164542695081
13,2.193,0.129508067521254
14,2.200,0.106916559479749
15,2.208,0.093357828827912
16,2.215,0.078804383173401
17,2.223,0.0856755683457201
18,2.230,0.0701694917848018
19,2.238,0.062414540590876
20,2.245,0.058741746734848
21,2.253,0.0577852900015074
22,2.261,0.0617450208775376
23,2.268,0.0614083481074017
24,2.276,0.0478878757248986
25,2.283,0.0621390810516739
26,2.291,0.0523908740254662
27,2.298,0.0493952515366434
28,2.306,0.0515912761963935
29,2.313,0.0563544307284298
30,2.321,0.0569742146916345
31,2.328,0.0315707238541074
32,2.336,0.0418698499587193
33,2.343,0.0396967802605694
34,2.351,0.0452595326216785
35,2.358,0.0369727914840153
36,2.366,0.0455235146800805
37,2.374,0.0456306378342147
38,2.381,0.0522837508713321
39,2.389,0.0369919206186821
40,2.396,0.136432814270641
41,2.404,0.356689496651254
42,2.411,0.150645761328082
43,2.419,0.0495062005177109
44,2.426,0.0320259972591776
45,2.434,0.039375410798167
46,2.441,0.0289194257892872
47,2.449,0.0299026633111614
48,2.456,0.0352052594408018
49,2.464,0.0362803168090767
50,2.472,0.0306448737362337
51,2.479,0.0439434481566018
52,2.487,0.375543171778864
53,2.494,1.42569440671754
54,2.502,0.765681873308506
55,2.509,0.36936063545455
56,2.517,0.288719855353135
57,2.524,0.226037506876924
58,2.532,0.192902019807071
59,2.539,0.157872748405204
60,2.547,0.122250473828666
61,2.554,0.137714466293317
62,2.562,0.12721639718817
63,2.569,0.102861182930384
64,2.577,0.0919307953817678
65,2.585,0.0889963861238787
66,2.592,0.0885946742958757
67,2.600,0.0715697444424125
68,2.607,0.0634628171706173
69,2.615,0.0555433554185569
70,2.622,0.0660529020045038
71,2.630,0.0759197096656457
72,2.637,0.0770406769571209
73,2.645,0.0985839084188852
74,2.652,0.338688980929783
75,2.660,0.198667540995649
76,2.667,0.090212999088688
77,2.675,0.0869113104451962
78,2.683,0.200500112096729
79,2.690,0.117372544488628
80,2.698,0.0713975822304112
81,2.705,0.0643924931154244
82,2.713,0.0567408392486994
83,2.720,0.0888280497388108
84,2.728,0.100064503442096
85,2.735,0.0919384470356345
86,2.743,0.0615231229154025
87,2.750,0.0633365648818164
88,2.758,0.0571769835191027
89,2.765,0.0418315916893857
90,2.773,0.0762793373973818
91,2.780,0.0576207794433728
92,2.788,0.0469543739531581
93,2.796,0.0534468022590743
94,2.803,0.054984784686286
95,2.811,0.043618252867266
96,2.818,0.0465029263750213
97,2.826,0.0428071775573931
98,2.833,0.0351134395944011
99,2.841,0.0433466191549973
100,2.848,0.0478649207632984
101,2.856,0.0362803168090767
102,2.863,0.0367279385602801
103,2.871,0.0315056847962403
104,2.878,0.044842517485942
105,2.886,0.0544912530118822
106,2.894,0.0633136099202162
107,2.901,0.0593653565249861
108,2.909,0.0491580502667749
109,2.916,0.0647827274626274
110,2.924,0.0550574753980199
111,2.931,0.0451256286790108
112,2.939,0.0399186782227044
113,2.946,0.0466406561446224
114,2.954,0.179488670578702
115,2.961,4.95917077496715
116,2.969,32.8068638395846
117,2.976,80.2880847680822
118,2.984,100
119,2.991,3.21005243678395
120,2.999,0.105489526033605
121,3.007,0.0750435952979057
122,3.014,0.0621161260900737
123,3.022,0.05550127132229
124,3.029,0.0526051203337345
