#"+EI TIC Scan EA-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.909289138965616
1,2.102,0.894349522815451
2,2.110,0.906964743581046
3,2.117,0.858459629322422
4,2.125,0.817117134321536
5,2.132,0.78842057896798
6,2.140,0.719292855438325
7,2.147,0.657839732528649
8,2.155,0.615775343807004
9,2.162,0.556457183177869
10,2.170,0.528139494032371
11,2.177,0.463189538418595
12,2.185,0.451664837954571
13,2.193,0.402043604326263
14,2.200,0.377156190307773
15,2.208,0.365728766302575
16,2.215,0.341005186320001
17,2.223,0.333755530230682
18,2.230,0.301971727262818
19,2.238,0.277058714176216
20,2.245,0.240631240252835
21,2.253,0.253435894122459
22,2.260,0.233770689998818
23,2.268,0.201264993310196
24,2.275,0.203548430185786
25,2.283,0.204055291734404
26,2.290,0.215211365617615
27,2.298,1.38635849211454
28,2.306,2.03703560538545
29,2.313,0.675047426113538
30,2.321,0.466609573918359
31,2.328,0.387938517796549
32,2.336,0.322978322555528
33,2.343,0.293718587703508
34,2.351,0.256538501177634
35,2.358,0.232045312808069
36,2.366,0.214934895682005
37,2.373,0.187149667153237
38,2.381,0.176874201213078
39,2.388,0.169936853754725
40,2.396,0.305514638289519
41,2.404,0.504127568143311
42,2.411,0.220274861290169
43,2.419,0.134763734168832
44,2.426,0.137579631661153
45,2.434,0.123971167052812
46,2.441,0.105724151302575
47,2.449,0.110408780767072
48,2.456,0.107106500980623
49,2.464,0.1022785167347
50,2.471,0.116127612583294
51,2.479,0.0962934546101131
52,2.486,0.0961654592695531
53,2.494,0.090185516958589
54,2.501,0.100036038368088
55,2.509,0.0819682160946359
56,2.517,0.0773501442072304
57,2.524,0.0898373696322658
58,2.532,0.106128616578745
59,2.539,0.0869344353083646
60,2.547,0.0781846738276817
61,2.554,0.0612483303647801
62,2.562,0.0635112879858812
63,2.569,0.0585809074675093
64,2.577,0.0748363157186316
65,2.584,0.0657588861661151
66,2.592,0.0577514976606804
67,2.599,0.0641256656205693
68,2.607,0.0644379742515357
69,2.615,0.0648731584094398
70,2.622,0.0583556356681236
71,2.630,0.0675047426113538
72,2.637,0.0809493731837781
73,2.645,0.0707763035160678
74,2.652,0.0710322941971879
75,2.660,0.0826286720519256
76,2.667,0.0629993066236411
77,2.675,0.0488430219577031
78,2.682,0.0541881073794894
79,2.690,0.0468821333403236
80,2.697,0.0395249611649337
81,2.705,0.051013822933601
82,2.712,0.0534406145906189
83,2.720,0.0485563123948486
84,2.728,0.0668647659085537
85,2.735,0.0632296982366491
86,2.743,0.0563947470507442
87,2.750,0.0520992234215499
88,2.758,0.0352345573493619
89,2.765,0.0358591746112948
90,2.773,0.0640027900936317
91,2.780,0.0665780563456992
92,2.788,0.0408765919612475
93,2.795,0.0407127579253307
94,2.803,0.0521197026760395
95,2.810,0.0563896272371218
96,2.818,0.0535686099311789
97,2.826,0.0367756212497045
98,2.833,0.0514541269051274
99,2.841,0.0479316951329157
100,2.848,0.0418954348721053
101,2.856,0.0601168515542295
102,2.863,0.057925571323842
103,2.871,0.0432624251092863
104,2.878,0.046708059677162
105,2.886,0.0540498724116846
106,2.893,0.0532767805547021
107,2.901,0.051474606159617
108,2.908,0.0535481306766893
109,2.916,0.0483156811545958
110,2.923,0.0478958564375589
111,2.931,0.0445679775829984
112,2.939,0.0500000998363656
113,2.946,0.059318160629135
114,2.954,0.292244081380257
115,2.961,7.72795419773775
116,2.969,41.1168545749195
117,2.976,90.9711062806238
118,2.984,100
119,2.991,1.86040715522625
120,2.999,0.0957968326887403
121,3.006,0.0745188872740428
122,3.014,0.0767767250815215
123,3.021,0.0713753217098887
124,3.029,0.0602294874539223
125,3.036,0.09104052583353
126,3.044,0.076182826701323
127,3.052,0.0504813623168713
128,3.059,0.0971996616212781
129,3.067,0.0973276569618381
130,3.074,0.0495853949329512
131,3.082,0.0412196194739484
132,3.089,0.0505274406394729
133,3.097,0.0469230918493028
134,3.104,0.0180627024598298
135,3.112,0.031594369863835
136,3.119,0.0462472764511459
137,3.127,0.0845076436513466
138,3.134,0.06357272574935
139,3.142,0.0836577545900281
140,3.150,0.16568228863451
141,3.157,0.142950316151051
142,3.165,0.092689105819943
143,3.172,0.0631733802868027
144,3.180,0.0611715331604441
145,3.187,0.0617807909815097
146,3.195,0.212446666261519
147,3.202,0.401726175881674
148,3.210,0.431154864583234
149,3.217,0.392699944465382
150,3.225,0.325036487631733
151,3.232,0.279552063410325
152,3.240,0.193964139084652
153,3.247,0.208913994862062
154,3.255,0.196221976892131
155,3.263,0.172512120006793
156,3.270,0.122148513403237
157,3.278,0.106312929869151
158,3.285,0.105012497209062
159,3.293,0.0779747614691633
160,3.300,0.0672692311847233
161,3.308,0.0924228755115782
162,3.315,0.10921074437943
163,3.323,0.0616425560137049
164,3.330,0.0614531229096761
165,3.338,0.0712831650646855
166,3.345,0.633648613162805
167,3.353,1.23105918550626
168,3.361,0.418391169222589
169,3.368,0.1210887119834
170,3.376,0.0931089305369799
171,3.383,0.0604957177622872
172,3.391,0.0613046483146265
173,3.398,0.0587140226216917
174,3.406,0.0304270523579276
175,3.413,0.0424534945569469
176,3.421,0.0377688650924503
177,3.428,0.0419415131947069
178,3.436,0.0620828599852314
179,3.443,0.05777197691517
180,3.451,0.0573777512662451
181,3.458,0.0332787885456048
182,3.466,0.0257014643844517
183,3.474,0.0395863989284025
184,3.481,0.0551608719677456
185,3.489,0.106830031045014
186,3.496,0.063751919226134
