#"+EI TIC Scan END-MEOH.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.15305847567139
1,2.102,0.151010619634597
2,2.110,0.129765453472791
3,2.117,0.128409150914392
4,2.125,0.10776976415614
5,2.132,0.100998973123498
6,2.140,0.0955094323337705
7,2.147,0.088974520006937
8,2.155,0.106826249332906
9,2.162,0.0928933230511661
10,2.170,0.0905130924743703
11,2.177,0.0911135109982467
12,2.185,0.088802971857258
13,2.193,0.0949465399676364
14,2.200,0.0836618882465662
15,2.208,0.088379462362738
16,2.215,0.0866800635049807
17,2.223,0.0650489140063971
18,2.230,0.0778078076387711
19,2.238,0.0596451472915094
20,2.245,0.068254720053523
21,2.253,0.0662336684151176
22,2.260,0.0547131379882388
23,2.268,0.0657779936425328
24,2.275,0.0596880343289291
25,2.283,0.0474491460252696
26,2.291,0.072034140226138
27,2.298,0.057774200284073
28,2.306,0.0447419017881482
29,2.313,0.0689462735319164
30,2.321,0.0609210366547468
31,2.328,0.058117296583431
32,2.336,0.060132987342159
33,2.343,0.0399492753564918
34,2.351,0.0471703802820412
35,2.358,0.0394560744261647
36,2.366,0.061966408191853
37,2.373,0.0412198038400517
38,2.381,0.0407587681877895
39,2.388,0.0853023174278714
40,2.396,0.171146083703167
41,2.404,0.237738931056675
42,2.411,0.163254868817934
43,2.419,0.0686675077886881
44,2.426,0.0497972113240006
45,2.434,0.0619717690715305
46,2.441,0.053833953721134
47,2.449,0.0580368833882689
48,2.456,0.0523543509301528
49,2.464,0.0458784082797714
50,2.471,0.0401583496639131
51,2.479,0.050226081698198
52,2.486,0.0465056312020352
53,2.494,0.0375047142235664
54,2.501,0.0413913519897307
55,2.509,0.0511910400401423
56,2.517,0.0551795345201785
57,2.524,0.0370919264884013
58,2.532,0.0557638704050225
59,2.539,0.0569861509714852
60,2.547,0.0611569153605553
61,2.554,0.0228534300650462
62,2.562,0.0558067574424422
63,2.569,0.0371723396835634
64,2.577,0.0496899937304512
65,2.584,0.0654777843805946
66,2.592,0.0423831147300623
67,2.599,0.0408177378642416
68,2.607,0.0418899137997352
69,2.615,0.0472239890788159
70,2.622,0.0602187614169984
71,2.630,0.0485642089981829
72,2.637,0.0416272306955393
73,2.645,0.0414342390271504
74,2.652,0.0437286955291068
75,2.660,0.0375315186219537
76,2.667,0.0496363849336765
77,2.675,0.0407212420300472
78,2.682,0.0564554238834159
79,2.690,0.0551366474827587
80,2.697,0.0618591905983037
81,2.705,0.0358213980048414
82,2.712,0.0418631094013479
83,2.720,0.0556673745708281
84,2.728,0.0558121183221197
85,2.735,0.0664427427225388
86,2.743,0.0500866988265839
87,2.750,0.0595915384947347
88,2.758,0.0586587454308552
89,2.765,0.0625936311141168
90,2.773,0.083683331765276
91,2.780,0.0698254577990212
92,2.788,0.0305087662444706
93,2.795,0.0458087168439644
94,2.803,0.0753632465058456
95,2.810,0.0800700988626626
96,2.818,0.0585944148747256
97,2.826,0.0456264469349304
98,2.833,0.0449563369752469
99,2.841,0.0639767380709035
100,2.848,0.0638319943196119
101,2.856,0.0408070161048867
102,2.863,0.0370704829696915
103,2.871,0.0490949360862523
104,2.878,0.0517968194436962
105,2.886,0.0396490660945536
106,2.893,0.0593127727515063
107,2.901,0.0702650499325735
108,2.908,0.0504458777649742
109,2.916,0.0409678424952107
110,2.923,0.0505745388772334
111,2.931,0.0429942550132936
112,2.939,0.052836830101125
113,2.946,0.0513089793930466
114,2.954,0.661500386921491
115,2.961,11.3970372026287
116,2.969,52.8396767282337
117,2.976,100
118,2.984,34.7368384372929
119,2.991,0.429079448504864
120,2.999,0.129668957638597
121,3.006,0.113479101012643
122,3.014,0.0918908385514796
123,3.021,0.0871625426759528
124,3.029,0.0660031505889865
125,3.037,0.104011787502235
126,3.044,0.104151170373849
127,3.052,0.0606851579489382
128,3.059,0.0660031505889865
129,3.067,0.0746127233510001
130,3.074,0.0582459576956902
131,3.082,0.0632691019534777
132,3.089,0.0731760075974387
133,3.097,0.0759797476687545
134,3.104,0.0479477078352741
135,3.112,0.0479155425572093
136,3.119,0.0672736790725464
137,3.127,0.0983185332847638
138,3.134,0.0490895752065748
139,3.142,0.0462911960149365
140,3.150,0.0480924515865657
141,3.157,0.061130110962168
142,3.165,0.0441682876626591
143,3.172,0.0378960584400215
144,3.180,0.0630600276460565
145,3.187,0.050226081698198
146,3.195,0.0529118824166095
147,3.202,0.0360304723122627
148,3.210,0.042849511262002
149,3.217,0.0429245635774866
150,3.225,0.0506174259146532
151,3.232,0.0376119318171157
152,3.240,0.0451010807265386
153,3.247,0.0588839023773089
154,3.255,0.0619985734699178
155,3.263,0.0844713810778638
156,3.270,0.0470041930120397
157,3.278,0.0365933646783968
158,3.285,0.0402655672574624
159,3.293,0.0274637865876687
160,3.300,0.0555279916992139
161,3.308,0.0419649661152198
162,3.315,0.0640089033489683
163,3.323,0.0318114600060953
164,3.330,0.0381051327474428
165,3.338,0.0336663243744993
166,3.345,0.0357838718470991
167,3.353,0.0262897539383032
168,3.361,0.013675604057221
169,3.368,0.018612974240169
170,3.376,0.0304658792070508
171,3.383,0.030444435688341
172,3.391,0.0225156946453657
173,3.398,0.0279194613602535
174,3.406,0.0218241411669724
175,3.413,0.0256464483770071
176,3.421,0.0267079025531458
177,3.428,0.0187738006304931
178,3.436,0.0175676027030628
179,3.443,0.033457250067078
180,3.451,0.0295706123009137
181,3.458,0.0237058099337637
182,3.466,0.0270188335744389
183,3.474,0.0267775939889528
184,3.481,0.0633280716299299
185,3.489,0.0757653124816557
186,3.496,0.0403727848510118
187,3.504,0.0244992201260289
188,3.511,0.0281231747879973
189,3.519,0.01551974666627
190,3.526,0.0201944337450221
191,3.534,0.0129036373836656
192,3.541,0.0407212420300472
193,3.549,0.00873287299459543
194,3.556,0.0188166876679128
195,3.564,0.0193903017934019
196,3.572,0.0242526196608654
197,3.579,0.0273136819566996
198,3.587,0.0274101777908941
199,3.594,0.0185968916011366
200,3.602,0.0173049195988668
201,3.609,0.0232876613189211
202,3.617,0.0106681505581614
203,3.624,0.0272815166786348
204,3.632,0.0317096032922234
205,3.639,0.00879184267104758
206,3.647,0.0227998212682716
207,3.654,0.0227354907121419
208,3.662,0.0145547883243257
209,3.669,0.0262254233821736
210,3.677,0.0129947723381825
211,3.685,0.0140455047549663
212,3.692,0.0238076666476355
213,3.700,0.00557531486456676
214,3.707,0.0170047103369286
215,3.715,0.0255445916631352
216,3.722,0.0292543203999431
217,3.730,0.0124533234907582
218,3.737,0.0125337366859203
219,3.745,0.018189464745649
220,3.752,0.0167741925107975
221,3.760,0.0164632614895043
222,3.767,0.00429942550132936
223,3.775,0.0142813834607748
224,3.783,0.0180125557162926
225,3.790,0.0099283491626708
226,3.798,0.0120351748759157
227,3.805,0.0144154054527115
228,3.813,0.0111291862104236
229,3.820,0.01844142609049
230,3.828,0.0129626070601177
231,3.835,0.0132949816001207
232,3.843,0.00515716624972425
233,3.850,0.00151712894872345
234,3.858,0.0208431001859957
235,3.865,0.0189131835021072
236,3.873,0.0157395427330462
237,3.880,0.00500706161875515
238,3.888,0.0205804170817998
239,3.896,0.013836430447545
240,3.903,0.00857204660427139
241,3.911,0.0263487236147554
242,3.918,0.0182966823391984
243,3.926,0.0235557053027945
244,3.933,0.0124372408517258
245,3.941,0.0293293727154276
246,3.948,0.00990690564396093
247,3.956,0.030272887538662
248,3.963,0.0547399423866261
249,3.971,0.0715463001754884
250,3.978,0.0546220030337218
251,3.986,0.0327496139496522
252,3.993,0.0301281437873704
253,4.001,0.0217008409343906
254,4.009,0.00617037250876571
255,4.016,0.0309161930999582
256,4.024,0.00355962410583878
257,4.031,0.020044329114053
258,4.039,0.0163935700536973
259,4.046,0.0211218659292241
260,4.054,0.00824503294394584
261,4.061,0.00845946813104456
262,4.069,0.00651882968780113
263,4.076,0.00923143480459996
264,4.084,0.0317310468109333
265,4.091,0.00726935284264666
266,4.099,0.0378638931619567
267,4.107,0.032781779227717
268,4.114,0.0255231481444253
269,4.122,0.0126516760388246
270,4.129,0.0231053914098872
271,4.137,0.0331034320083651
272,4.144,0.0306320664770524
273,4.152,0.020215877263732
274,4.159,0.0255767569412
275,4.167,0.0210092874559972
276,4.174,0.0148067496691667
277,4.182,0.0216901191750357
278,4.189,0.0314361984286726
279,4.197,0.0131984857659263
280,4.204,0.0248691208237742
281,4.212,0.0188702964646875
282,4.220,0.0152624244417515
283,4.227,0.0400672147093961
284,4.235,0.0226497166373025
285,4.242,0.0312539285196386
286,4.250,0.0378317278838919
287,4.257,0.0183502911359731
288,4.265,0.0063901685755419
289,4.272,0.0225961078405278
290,4.280,0.0159432561607899
291,4.287,0.0273512081144419
292,4.295,0.0173210022378992
293,4.302,0.0242955066982851
294,4.310,0.0167741925107975
295,4.318,0.0281178139083198
296,4.325,0.0113918693146196
297,4.333,0.0123997146939836
298,4.340,0.0206393867582519
299,4.348,0.013504055907542
300,4.355,0.0361108855074247
301,4.363,0.0241507629469935
302,4.370,0.036228824860329
303,4.378,0.0293132900763952
304,4.385,0.00621325954618545
305,4.393,0.023228691642469
306,4.400,0.0266274893579837
307,4.408,0.0253462391150689
308,4.415,0.109045653519377
309,4.423,0.131663204878615
310,4.431,0.051233927077562
311,4.438,0.0265738805612091
312,4.446,0.00994979268138067
313,4.453,0.0208699045843831
314,4.461,0.0267186243125007
315,4.468,0.0273780125128293
316,4.476,0.0189507096598495
317,4.483,0.0276514173763801
318,4.491,0.0171708976069301
319,4.498,0.0216579538969709
320,4.506,0.0178142031682263
321,4.513,0.0344543736870871
322,4.521,0.0181519385879068
323,4.529,0.0341434426657939
324,4.536,0.0278229655260591
325,4.544,0.0192187536437229
326,4.551,0.0205589735630899
327,4.559,0.0166776966766031
328,4.566,0.0112846517210702
329,4.574,0.0119225964026889
330,4.581,0.0147799452707794
331,4.589,0.0140240612362564
332,4.596,0.0104376327320303
333,4.604,0.0127803371510838
334,4.611,0.00893658642233922
335,4.619,0.0299565956376914
336,4.626,0.0229606476585956
337,4.634,0.0037740592929375
338,4.642,0.0132145684049587
339,4.649,0.0233573527547282
340,4.657,0.0145976753617455
341,4.664,0.0135523038246392
342,4.672,0.016093360791759
