#"+EI TIC Scan END-MEOH2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.205869682876736
1,2.102,0.173547468156415
2,2.110,0.177052504297132
3,2.117,0.174342424806887
4,2.125,0.165423252084548
5,2.132,0.158003656680144
6,2.140,0.17105419502539
7,2.147,0.149500029479642
8,2.155,0.152210108969887
9,2.163,0.159424942812806
10,2.170,0.151294704342071
11,2.178,0.130234375503435
12,2.185,0.130734234609413
13,2.193,0.111408356644534
14,2.200,0.120152879799724
15,2.208,0.121417583561838
16,2.215,0.136214617578575
17,2.223,0.133624986065675
18,2.230,0.113040426737548
19,2.238,0.116647843659007
20,2.245,0.130077793132887
21,2.253,0.104789740289469
22,2.261,0.107252901426158
23,2.268,0.0987432518267893
24,2.276,0.0860119006215055
25,2.283,0.0876981723043246
26,2.291,0.106433855180218
27,2.298,0.0902215574296859
28,2.306,0.124446850192045
29,2.313,0.187934979050182
30,2.321,0.168536832298896
31,2.328,0.120068566215583
32,2.336,0.108222507643779
33,2.343,0.101308793744221
34,2.351,0.0840365537930604
35,2.358,0.101652070479652
36,2.366,0.0942445198729828
37,2.374,0.0853614815438468
38,2.381,0.100170560358318
39,2.389,0.112444209249694
40,2.396,0.182731626428912
41,2.404,0.249447761079874
42,2.411,0.159647771570893
43,2.419,0.111233707077385
44,2.426,0.0752077170537293
45,2.434,0.0844400545171635
46,2.441,0.0748042163296261
47,2.449,0.077598609404012
48,2.456,0.0689082878386267
49,2.464,0.0700284540279279
50,2.471,0.0672400833524093
51,2.479,0.0752799858401358
52,2.487,0.0726963767261023
53,2.494,0.0603865934415233
54,2.502,0.066318656325726
55,2.509,0.0756473521710356
56,2.517,0.0540751194286863
57,2.524,0.0635242632513402
58,2.532,0.0702271931905459
59,2.539,0.0615368716251606
60,2.547,0.0540028506422798
61,2.554,0.072058002446178
62,2.562,0.0531717595986047
63,2.569,0.0720098232552403
64,2.577,0.0697574460789034
65,2.585,0.0674870017059649
66,2.592,0.0708113658806653
67,2.600,0.0598505999423415
68,2.607,0.0774119150391284
69,2.615,0.074942731503572
70,2.622,0.063777204003763
71,2.630,0.0675893824867075
72,2.637,0.0781948268918658
73,2.645,0.0736539381459888
74,2.652,0.0730095414671973
75,2.660,0.0593085840442926
76,2.667,0.069630975702692
77,2.675,0.0747981939307589
78,2.682,0.061777767579849
79,2.690,0.0430661742994249
80,2.698,0.0522804445662575
81,2.705,0.0669028290158455
82,2.713,0.0595013008080433
83,2.720,0.0649816837772052
84,2.728,0.0565202133687739
85,2.735,0.0894025111837453
86,2.743,0.0681795775756942
87,2.750,0.0872404699904166
88,2.758,0.0715340537447306
89,2.765,0.065204512535292
90,2.773,0.111890148553911
91,2.780,0.07274455591704
92,2.788,0.0670533889875257
93,2.796,0.0676496064753796
94,2.803,0.0694563261355429
95,2.811,0.0900047510704663
96,2.818,0.0820250725714119
97,2.826,0.0587244113541731
98,2.833,0.0589291729156583
99,2.841,0.056092623049202
100,2.848,0.0805796968432813
101,2.856,0.0656561924503328
102,2.863,0.0688661310465562
103,2.871,0.0434756974223952
104,2.878,0.0677278976606534
105,2.886,0.0516541150840676
106,2.893,0.0840847329839981
107,2.901,0.0714256505651208
108,2.909,0.0633977928751288
109,2.916,0.0648732805975954
110,2.924,0.0644216006825546
111,2.931,0.0641867271267334
112,2.939,0.0539004698615372
113,2.946,0.0595555023978482
114,2.954,1.14460508390436
115,2.961,15.7939337460242
116,2.969,58.5507855948314
117,2.976,100
118,2.984,21.4043342843303
119,2.991,0.297157204905918
120,2.999,0.141959986097894
121,3.007,0.115979357384747
122,3.014,0.126988302514008
123,3.022,0.122351055386256
124,3.029,0.0943709902491942
125,3.037,0.136780723072093
126,3.044,0.127837460754285
127,3.052,0.11845456331917
128,3.059,0.111456535835471
129,3.067,0.132281991118287
130,3.074,0.093792839957942
131,3.082,0.0915464851804723
132,3.089,0.102663833489344
133,3.097,0.0812301159209401
134,3.104,0.0858131614588876
135,3.112,0.110089451292615
136,3.120,0.114220816915521
137,3.127,0.166296499920294
138,3.135,0.136039968011426
139,3.142,0.114004010556302
140,3.150,0.131053421749376
141,3.157,0.259420853603975
142,3.165,0.274055282851297
143,3.172,0.171903353265667
144,3.180,0.134871622631187
145,3.187,0.115822775014199
146,3.195,0.0873910299620968
147,3.202,0.0760448304962716
148,3.210,0.0659151556016229
149,3.217,0.0752498738457997
150,3.225,0.0716424569243404
151,3.233,0.0704921787407031
152,3.240,0.0426446063787201
153,3.248,0.119875849451832
154,3.255,0.477160684647984
155,3.263,1.05735859151508
156,3.270,0.626094608634108
157,3.278,0.140821752711992
158,3.285,0.0649274821874003
159,3.293,0.042783121552666
160,3.300,0.0579174099059669
161,3.308,0.0866984540923676
162,3.315,0.0951117453098611
163,3.323,0.0389046966821822
164,3.331,0.0554000471794727
165,3.338,0.0577066259456145
166,3.346,0.053123580407667
167,3.353,0.0720459576484435
168,3.361,0.0578090067263571
169,3.368,0.0627293066008683
170,3.376,0.0569598484860803
171,3.383,0.0521780637855149
172,3.391,0.0477636454158493
173,3.398,0.0476431974385051
174,3.406,0.0309129733853934
175,3.413,0.0464808744571334
176,3.421,0.0445175724264227
177,3.428,0.0311358021434802
178,3.436,0.0517564958648102
179,3.444,0.0694442813378085
180,3.451,0.0511843679724251
181,3.459,0.0367547002865879
182,3.466,0.0337675904484513
183,3.474,0.0564178325880314
184,3.481,0.0655779012650591
185,3.489,0.112871799569266
186,3.496,0.0751294258684555
187,3.504,0.0285943498215172
188,3.511,0.0442284972807966
189,3.519,0.0381157624305776
190,3.526,0.0374894329483876
191,3.534,0.0408499315162913
192,3.542,0.0508832480290646
193,3.549,0.0509193824222678
194,3.557,0.040470520387657
195,3.564,0.0362247291862733
196,3.572,0.0478298918033887
197,3.579,0.0520997726002412
198,3.587,0.0664933058928751
199,3.594,0.0381398520260464
200,3.602,0.0466133672322121
201,3.609,0.0529850652337212
202,3.617,0.0254928144049036
203,3.624,0.0368691258650649
204,3.632,0.0193559899592157
205,3.639,0.052208175779851
206,3.647,0.0417532913463729
207,3.655,0.0199943642391401
208,3.662,0.0408619763140257
209,3.670,0.0369353722526042
210,3.677,0.0363752891579536
211,3.685,0.0323161923214535
212,3.692,0.0355923773052162
213,3.700,0.0407174387412126
214,3.707,0.0728228471023138
215,3.715,0.0579053651082324
216,3.722,0.0430962862937609
217,3.730,0.052979042834854
218,3.737,0.0281005131144059
219,3.745,0.0599409359253497
220,3.753,0.0385373303512823
221,3.760,0.0369413946514714
222,3.768,0.0378206648860842
223,3.775,0.0427469871594627
224,3.783,0.036128370804398
225,3.790,0.0430059503107528
226,3.798,0.0365800507194388
227,3.805,0.0420604336886007
228,3.813,0.0519010334376232
229,3.820,0.0407174387412126
230,3.828,0.048438154088977
231,3.835,0.0344601663181806
232,3.843,0.0472276519166676
233,3.850,0.0388685622889789
234,3.858,0.0590496208930025
235,3.866,0.0409583346959011
236,3.873,0.027588609210693
237,3.881,0.026588890998736
238,3.888,0.0318946244007487
239,3.896,0.0514794655169185
240,3.903,0.0357670268723653
241,3.911,0.04920902114398
242,3.918,0.0557674135103726
243,3.926,0.0392901302096837
244,3.933,0.0475167270622937
245,3.941,0.0376941945098728
246,3.948,0.0480527205614755
247,3.956,0.0422531504523514
248,3.964,0.0725036599623516
249,3.971,0.124934664500289
250,3.979,0.0633917704762615
251,3.986,0.0265286670100638
252,3.994,0.0541413658162257
253,4.001,0.0388926518844478
254,4.009,0.0503291873332812
255,4.016,0.0339000832235299
256,4.024,0.0280643787212026
257,4.031,0.0513349279441054
258,4.039,0.0518046750557478
259,4.046,0.0220239126573901
260,4.054,0.0199823194414056
261,4.061,0.0388083383003068
262,4.069,0.0452221930938864
263,4.077,0.05123856956223
264,4.084,0.105861727287833
265,4.092,0.503827866831994
266,4.099,0.807133940981334
267,4.107,0.372949094649767
268,4.114,0.0822599461272332
269,4.122,0.0206086489235956
270,4.129,0.0475227494611609
271,4.137,0.0307804806103147
272,4.144,0.0538041114796618
273,4.152,0.0446079084094309
