#"+EI TIC Scan IPA-ABS.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.293566511473679
1,2.102,0.301934213902958
2,2.110,0.261966399066779
3,2.117,0.248564320052651
4,2.125,0.242759656340066
5,2.132,0.225914210463259
6,2.140,0.231902275872924
7,2.147,0.201329212969673
8,2.155,0.210393841847856
9,2.163,0.199848244265751
10,2.170,0.194369118565483
11,2.178,0.18362177911659
12,2.185,0.172200438430927
13,2.193,0.155483373742076
14,2.200,0.155148665644905
15,2.208,0.172544316612952
16,2.215,0.174355408371618
17,2.223,0.171948261097442
18,2.230,0.127587975616194
19,2.238,0.146547126051849
20,2.245,0.129454087883984
21,2.253,0.147633781107048
22,2.260,0.145854784645371
23,2.268,0.126313333821488
24,2.276,0.14337886173479
25,2.283,0.129802551108436
26,2.291,0.123855751080614
27,2.298,0.109142349932364
28,2.306,0.130426116878509
29,2.313,0.119068966786824
30,2.321,0.116565533621681
31,2.328,0.119444940265838
32,2.336,0.111402775848876
33,2.343,0.106253773203352
34,2.351,0.114809462372139
35,2.358,0.117184514349326
36,2.366,0.0972625050040007
37,2.374,0.108848907217036
38,2.381,0.0981795134894012
39,2.389,0.112063021958364
40,2.396,0.105235893784558
41,2.404,0.115987818275878
42,2.411,0.165038602159949
43,2.419,0.290366151859631
44,2.426,0.347958869785208
45,2.434,0.138101477901311
46,2.441,0.0948095073055544
47,2.449,0.0775651627375986
48,2.456,0.0961299995245311
49,2.464,0.0846444682448902
50,2.471,0.0994954206659508
51,2.479,0.0874138338707997
52,2.487,0.0976614036951499
53,2.494,0.0953918076937837
54,2.502,0.112562791582907
55,2.509,0.0883170872289191
56,2.517,0.0845986178206202
57,2.524,0.0845802776509122
58,2.532,0.0807655223516463
59,2.539,0.0889727482959805
60,2.547,0.0737779176928947
61,2.554,0.0826774850437062
62,2.562,0.104580232717496
63,2.569,0.0688856774232832
64,2.577,0.0893991572416917
65,2.585,0.0691470248416223
66,2.592,0.0718613699584077
67,2.600,0.0728654942499212
68,2.607,0.0829709277590344
69,2.615,0.0993899646901298
70,2.622,0.086111681821531
71,2.630,0.078216238762233
72,2.637,0.0811598360003685
73,2.645,0.099880564229819
74,2.652,0.0898714166116729
75,2.660,0.0952267461664116
76,2.667,0.076345541452016
77,2.675,0.0701419790482818
78,2.682,0.0697155701025706
79,2.690,0.0751350902512874
80,2.698,0.082145620122174
81,2.705,0.0757540709789327
82,2.713,0.0750800697421634
83,2.720,0.0812148565094925
84,2.728,0.0767627803128732
85,2.735,0.0755798393667066
86,2.743,0.0849287408753644
87,2.750,0.0760429286518338
88,2.758,0.0694679778115125
89,2.765,0.0791194921203524
90,2.773,0.0690828342476443
91,2.780,0.0934064843228917
92,2.788,0.0889131427444294
93,2.796,0.0811735911276495
94,2.803,0.0648279148753861
95,2.811,0.0737045570140626
96,2.818,0.0849470810450724
97,2.826,0.0975330225071938
98,2.833,0.0692295556053084
99,2.841,0.0703070405756539
100,2.848,0.0690507389506553
101,2.856,0.0736128561655226
102,2.863,0.0741584762143359
103,2.871,0.068422588138156
104,2.878,0.0563501714278588
105,2.886,0.0833606563653296
106,2.893,0.0669370343918072
107,2.901,0.0805087599757341
108,2.909,0.0679182334711857
109,2.916,0.0839521268384129
110,2.924,0.0732919031956324
111,2.931,0.0832643704743625
112,2.939,0.0808984885820293
113,2.946,0.0744794291842261
114,2.954,0.0795871664479067
115,2.961,0.331067573484131
116,2.969,6.15452078993495
117,2.976,35.5837898392617
118,2.984,90.1227182020545
119,2.991,100
120,2.999,2.42099410230578
121,3.007,0.139664977368918
122,3.014,0.116648064385367
123,3.022,0.104667348523609
124,3.029,0.0840346576020989
125,3.037,0.0766389841673441
126,3.044,0.0798622689935268
127,3.052,0.111434871145865
128,3.059,0.0865059954702532
129,3.067,0.0715633422006526
130,3.074,0.106478440282275
131,3.082,0.0805637804848582
132,3.089,0.05682243079784
133,3.097,0.0758962072941698
134,3.104,0.0668590886705482
135,3.112,0.0534111592321503
136,3.120,0.0699127269269317
137,3.127,0.0663776592157129
138,3.135,0.0922877339707031
139,3.142,0.102388582437389
140,3.150,0.0562401304096107
141,3.157,0.05486461768151
142,3.165,0.0835990785715337
143,3.172,0.0796742822540197
144,3.180,0.060614260884971
145,3.187,0.0765151880218151
146,3.195,0.0650342417846012
147,3.202,0.0664051694702749
148,3.210,0.0323979097891985
149,3.217,0.0633010957471943
150,3.225,0.0663318087914429
151,3.233,0.0561438445186437
152,3.240,0.035268146348502
153,3.248,0.0525537562983008
154,3.255,0.0629113671408991
155,3.263,0.0663639040884319
156,3.270,0.0563776816824208
157,3.278,0.0613570377581453
158,3.285,0.0420448390556115
159,3.293,0.0545620048813279
160,3.300,0.0428563915651909
161,3.308,0.0412745519278751
162,3.315,0.0608022476244781
163,3.323,0.0624391077709179
