#"+EI TIC Scan IPA-ASA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.303791988539224
1,2.102,0.280438154690872
2,2.110,0.302987042075694
3,2.117,0.286103939153526
4,2.125,0.246100696517578
5,2.132,0.245508671376659
6,2.140,0.235169004222541
7,2.147,0.222840340323056
8,2.155,0.242745887385705
9,2.163,0.222689737436331
10,2.170,0.21865981191569
11,2.178,0.191862884484626
12,2.185,0.194729532535391
13,2.193,0.187765447325108
14,2.200,0.199689041391334
15,2.208,0.200504374260845
16,2.215,0.181834809509939
17,2.223,0.173634741987913
18,2.230,0.155084620905789
19,2.238,0.160257051084343
20,2.245,0.145601832245106
21,2.253,0.1533812503249
22,2.261,0.157463107875446
23,2.268,0.137214809415422
24,2.276,0.137536788000834
25,2.283,0.142636513337521
26,2.291,0.144802078984567
27,2.298,0.14352974425189
28,2.306,0.132218948138546
29,2.313,0.143363561756194
30,2.321,0.115574732553941
31,2.328,0.117813003042853
32,2.336,0.116966510955399
33,2.343,0.132073538454811
34,2.351,0.119962989080927
35,2.358,0.111363044928632
36,2.366,0.11365324744745
37,2.374,0.113014483479616
38,2.381,0.114307591024255
39,2.389,0.135698394142192
40,2.396,0.11979161338224
41,2.404,0.136513727011703
42,2.411,0.170191648405201
43,2.419,0.291058254806478
44,2.426,0.379218068773483
45,2.434,0.142200284286318
46,2.441,0.0994758032833403
47,2.449,0.11445819391098
48,2.456,0.102337258131115
49,2.464,0.0937788596027438
50,2.472,0.0969415202239683
51,2.479,0.109358468574293
52,2.487,0.110547712059121
53,2.494,0.105842670149713
54,2.502,0.105821897337751
55,2.509,0.100504057475462
56,2.517,0.0995173489072644
57,2.524,0.10490270040843
58,2.532,0.0870588549330157
59,2.539,0.0959755844677323
60,2.547,0.0845245718736438
61,2.554,0.0839169671237533
62,2.562,0.105432407113462
63,2.569,0.0779603632936311
64,2.577,0.0701705588078566
65,2.585,0.172673999434668
66,2.592,0.236680226292782
67,2.600,0.119573498856638
68,2.607,0.0900137874346195
69,2.615,0.0957730495511021
70,2.622,0.0748444414993213
71,2.630,0.075857116082472
72,2.637,0.0837300118160948
73,2.645,0.0733591854440337
74,2.652,0.070778163557747
75,2.660,0.0812528539896185
76,2.667,0.0865758870548977
77,2.675,0.0864148977621917
78,2.682,0.0898112525179894
79,2.690,0.0747457706425015
80,2.698,0.0681348232355742
81,2.705,0.084758266008217
82,2.713,0.0806088968187944
83,2.720,0.0774929750244846
84,2.728,0.0888297371527818
85,2.735,0.0743770532301748
86,2.743,0.0923870812012855
87,2.750,0.0845920835125205
88,2.758,0.0772696672958924
89,2.765,0.0907252562443202
90,2.773,0.0783654331268914
91,2.780,0.0841974000852412
92,2.788,0.0879936314713087
93,2.796,0.0889647604305352
94,2.803,0.120747162732495
95,2.811,0.138570235395947
96,2.818,0.108579488125715
97,2.826,0.0922053190966174
98,2.833,0.0901851631333066
99,2.841,0.0768645974626322
100,2.848,0.0872561966466553
101,2.856,0.0812995928165331
102,2.863,0.0860877259737892
103,2.871,0.0847374931962549
104,2.878,0.0792586640412602
105,2.886,0.0810399326670073
106,2.893,0.073302060211138
107,2.901,0.0863214201083624
108,2.909,0.11023611987969
109,2.916,0.0926727073657639
110,2.924,0.0944695556004825
