#"+EI TIC Scan IPA-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.23616424598928
1,2.102,0.221793613069256
2,2.110,0.216969822833227
3,2.117,0.203296605369014
4,2.125,0.191735006923786
5,2.132,0.173021025526181
6,2.140,0.181870452754365
7,2.148,0.159169579667705
8,2.155,0.156608515132753
9,2.163,0.155047079417798
10,2.170,0.148510746784721
11,2.178,0.141319618529244
12,2.185,0.137669810977164
13,2.193,0.129215585840606
14,2.200,0.143725701851793
15,2.208,0.121923719797068
16,2.215,0.121919845266758
17,2.223,0.119285164655915
18,2.230,0.123795117936828
19,2.238,0.121423905387069
20,2.246,0.107750687922857
21,2.253,0.11776247424406
22,2.261,0.108494597742389
23,2.268,0.0947942585660053
24,2.276,0.103291103535974
25,2.283,0.109416735956184
26,2.291,0.111168023656332
27,2.298,0.0914195426659403
28,2.306,0.092318433697875
29,2.313,0.100187604757613
30,2.321,0.0992073485891673
31,2.328,0.0984828114211855
32,2.336,0.0844608862290669
33,2.343,0.0737168136792617
34,2.351,0.0855147584734041
35,2.359,0.095449054188406
36,2.366,0.0921324562429919
37,2.374,0.0885950100699043
38,2.381,0.0880487012961854
39,2.389,0.0785677256274608
40,2.396,0.091094082119895
41,2.404,0.0940464742161631
42,2.411,0.12327205634497
43,2.419,0.257447040982457
44,2.426,0.310636593079004
45,2.434,0.130478682721687
46,2.441,0.0776920817773865
47,2.449,0.0898774796025352
48,2.456,0.0750147813331329
49,2.464,0.069191362277108
50,2.472,0.0816634753452013
51,2.479,0.0805902304493138
52,2.487,0.0674981925316104
53,2.494,0.0761771404261518
54,2.502,0.0719112825547723
55,2.509,0.0703343487185766
56,2.517,0.0652935847851844
57,2.524,0.0767931907454519
58,2.532,0.0700243862937715
59,2.539,0.0761926385473921
60,2.547,0.0769094266547538
61,2.554,0.0752550022123568
62,2.562,0.0722793629342283
63,2.570,0.0575677713469185
64,2.577,0.073674193845851
65,2.585,0.0731550067843026
66,2.592,0.0657275321799115
67,2.600,0.063305950736122
68,2.607,0.0632827035542616
69,2.615,0.0523797752617439
70,2.622,0.0668511459698298
71,2.630,0.0512174161687249
72,2.637,0.0597878772145847
73,2.645,0.0625775390378301
74,2.652,0.0705513224159401
75,2.660,0.0511747963353143
76,2.667,0.0494312576957858
77,2.675,0.0614694233691521
78,2.683,0.0622055841280641
79,2.690,0.059257066562106
80,2.698,0.0663668296810719
81,2.705,0.0630657298568981
82,2.713,0.0701289986121432
83,2.720,0.0613493129295401
84,2.728,0.0575290260438178
85,2.735,0.0611904571868275
86,2.743,0.0693695906713709
87,2.750,0.0714308407963245
88,2.758,0.0784282425362985
89,2.765,0.0656771632858807
90,2.773,0.0581876961965286
91,2.781,0.0627247711896125
92,2.788,0.0726784395561648
93,2.796,0.0689743885797444
94,2.803,0.0528524679595716
95,2.811,0.0563356707083184
96,2.818,0.0709813952803571
97,2.826,0.0675679340771915
98,2.833,0.0697028002780363
99,2.841,0.0532205483390276
100,2.848,0.0616244045815546
101,2.856,0.0646930325871246
102,2.863,0.0555530155856856
103,2.871,0.0555530155856856
104,2.878,0.0603535586398539
105,2.886,0.0545456377050692
106,2.894,0.0565681425269222
107,2.901,0.0688775253219928
108,2.909,0.0641312256921655
109,2.916,0.0554639013885542
110,2.924,0.0657895246648725
111,2.931,0.0757819383345254
112,2.939,0.061713518778686
113,2.946,0.0522984101252326
114,2.954,0.0566262604815731
115,2.961,0.347750718919099
116,2.969,5.71754751530246
117,2.976,29.746644463025
118,2.984,72.3083056756445
119,2.992,100
120,2.999,5.5252855722565
121,3.007,0.12453515322605
122,3.014,0.11286506793214
123,3.022,0.0860765653683632
124,3.029,0.0818765745122547
125,3.037,0.0823763889222529
126,3.044,0.0922021977885731
127,3.052,0.0847088561689109
128,3.059,0.0779361771869205
129,3.067,0.0651734743455725
130,3.074,0.0695129482928432
131,3.082,0.0650417403150303
132,3.089,0.0631548440540295
133,3.097,0.0607991296255111
134,3.105,0.0640847313284447
135,3.112,0.0540225761132107
136,3.120,0.0515428767147703
137,3.127,0.0618491273395383
138,3.135,0.0765490953359179
139,3.142,0.08465073821426
140,3.150,0.0533794040817402
141,3.157,0.0377727959928058
142,3.165,0.0582961830452103
143,3.172,0.0631742167055799
144,3.180,0.0531159360206559
145,3.187,0.058644890773116
146,3.195,0.0405159634523305
147,3.203,0.0488771998614468
148,3.210,0.0385748237669888
149,3.218,0.0443749956411534
150,3.225,0.0546657481446812
151,3.233,0.0421045208794564
152,3.240,0.0431390204722433
153,3.248,0.0439875426101471
154,3.255,0.032022993012672
155,3.263,0.0560605790563039
156,3.270,0.0316975324666267
157,3.278,0.0357192949284723
158,3.285,0.0451886470062667
159,3.293,0.0369823918095529
160,3.300,0.0339680072283237
161,3.308,0.0494971247110569
162,3.316,0.0564054122538995
163,3.323,0.0519109570942263
164,3.331,0.0390281438132662
165,3.338,0.0370792550673045
166,3.346,0.042507472031703
167,3.353,0.0297835144934555
168,3.361,0.0344019546230508
169,3.368,0.0229372194355739
170,3.376,0.0386716870247404
171,3.383,0.0340764940770055
172,3.391,0.0294231831746197
173,3.398,0.0359517667470761
174,3.406,0.0262731900325383
175,3.413,0.0421703878947275
176,3.421,0.0303879412218254
177,3.429,0.0276137775198202
178,3.436,0.0304809299492669
179,3.444,0.0301283476910512
180,3.451,0.017481880759005
181,3.459,0.0264824146692817
182,3.466,0.0333635804999539
183,3.474,0.010798315974146
184,3.481,0.0233324215272004
185,3.489,0.0773123778070003
186,3.496,0.0981224801023496
187,3.504,0.0419340415458136
188,3.511,0.0188767116706277
189,3.519,0.0268466205184277
190,3.527,0.0247504996206835
191,3.534,0.0282375768997403
192,3.542,0.0254130443037043
193,3.549,0.0267768789728465
194,3.557,0.0270442215642409
195,3.564,0.0147774586025809
196,3.572,0.0224025342527852
197,3.579,0.0274549217771076
198,3.587,0.0212672968719367
199,3.594,0.0190936853679913
200,3.602,0.017357895789083
201,3.609,0.0241034530589029
202,3.617,0.0170324352430377
203,3.624,0.0194578912171372
204,3.632,0.0289853612495825
205,3.640,0.018097931078305
206,3.647,0.0256648887738584
207,3.655,0.0203451586581417
208,3.662,0.0244715334383589
209,3.670,0.0265792779270333
210,3.677,0.0204187747340329
211,3.685,0.034475570698942
212,3.692,0.013742959009794
213,3.700,0.0213757837206185
214,3.707,0.0190045711708598
215,3.715,0.023681129255106
216,3.722,0.012022667552126
217,3.730,0.0169510701065263
218,3.738,0.0169704427580767
219,3.745,0.0167650926516433
220,3.753,0.026129832411066
221,3.760,0.0177685960019497
222,3.768,0.023863232179679
223,3.775,0.0345763084870037
224,3.783,0.014785207663201
225,3.790,0.0269086130033887
226,3.798,0.0196554922629504
227,3.805,0.0236385094216954
228,3.813,0.0237005019066564
229,3.820,0.0219375906155776
230,3.828,0.0211743081444952
231,3.835,0.019322282656285
232,3.843,0.0175709949561364
233,3.851,0.024963598787737
234,3.858,0.0222010586766619
235,3.866,0.0192099212772932
236,3.873,0.0197794772328724
237,3.881,0.0254091697733942
238,3.888,0.016931697454976
239,3.896,0.0191789250348127
240,3.903,0.0215966319482921
241,3.911,0.0278385002778038
242,3.918,0.0284351779455535
243,3.926,0.0169355719852861
244,3.933,0.0166449822120313
245,3.941,0.0190975598983013
246,3.949,0.0255060330311458
247,3.956,0.0197678536419423
248,3.964,0.0290628518557838
249,3.971,0.0837867179551159
250,3.979,0.04784657479897
251,3.986,0.023615262239835
252,3.994,0.0164783774086986
