#"+EI TIC Scan IPA-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.237040629511589
1,2.102,0.224238154290609
2,2.110,0.224014902503306
3,2.117,0.207376555664119
4,2.125,0.198706268069949
5,2.132,0.186143281129894
6,2.140,0.18611080814265
7,2.148,0.161723594722344
8,2.155,0.161873782288348
9,2.163,0.174461123968836
10,2.170,0.162990041224863
11,2.178,0.151851806600143
12,2.185,0.161009189002974
13,2.193,0.135067331318357
14,2.200,0.137717938902156
15,2.208,0.129169425010151
16,2.215,0.135063272194952
17,2.223,0.13596033846757
18,2.230,0.128069402567258
19,2.238,0.11750756346612
20,2.245,0.112084574596358
21,2.253,0.117097592002163
22,2.261,0.119309814258166
23,2.268,0.114560639873719
24,2.276,0.112843630673188
25,2.283,0.11524663172925
26,2.291,0.100353707954433
27,2.298,0.0953122766847889
28,2.306,0.0960023276637256
29,2.313,0.0979507068983706
30,2.321,0.0977883419621502
31,2.328,0.0952229759698677
32,2.336,0.101896174848527
33,2.343,0.101161473512129
34,2.351,0.0937332776800454
35,2.359,0.0870763152950084
36,2.366,0.0951336752549464
37,2.374,0.0882778158230394
38,2.381,0.0849412163837099
39,2.389,0.0952473307103007
40,2.396,0.0960956875020524
41,2.404,0.109941357438248
42,2.411,0.138911321183376
43,2.419,0.303480361412982
44,2.426,0.299591721190504
45,2.434,0.119646721500824
46,2.441,0.0826843437702461
47,2.449,0.0952148577230566
48,2.456,0.0806507229440854
49,2.464,0.0755159318361148
50,2.472,0.0716719419710965
51,2.479,0.0886187821891023
52,2.487,0.0817994548678449
53,2.494,0.0715948186263918
54,2.502,0.0826234569191635
55,2.509,0.0817263906465457
56,2.517,0.0766768411300908
57,2.524,0.0841618646898519
58,2.532,0.0831673794555019
59,2.539,0.0770705761004253
60,2.547,0.0738841642270997
61,2.554,0.0798348391395779
62,2.562,0.0651326941648193
63,2.570,0.061885395440411
64,2.577,0.0733930102950329
65,2.585,0.0749638910529654
66,2.592,0.0579764596009045
67,2.600,0.0705191509239316
68,2.607,0.0679497258082435
69,2.615,0.0737826861419619
70,2.622,0.0592307287332072
71,2.630,0.0580698194392313
72,2.637,0.0699711692641877
73,2.645,0.081068812654853
74,2.652,0.0653721824457444
75,2.660,0.069106575978814
76,2.667,0.0696058481576917
77,2.675,0.0632046105472019
78,2.683,0.0669877135611376
79,2.690,0.0557561190980904
80,2.698,0.0532516399568905
81,2.705,0.0616053159254308
82,2.713,0.0635496360366703
83,2.720,0.0599329570823605
84,2.728,0.0725284170096592
85,2.735,0.06287176242795
86,2.743,0.0751546698530244
87,2.750,0.0747162845252293
88,2.758,0.0724594119117655
89,2.765,0.0620558786234425
90,2.773,0.0667157522929684
91,2.781,0.0799160216076881
92,2.788,0.0717977747966673
93,2.796,0.0632086696706074
94,2.803,0.0648160825391895
95,2.811,0.0718302477839114
96,2.818,0.0676534097996413
97,2.826,0.0643533424709613
98,2.833,0.0581225880435029
99,2.841,0.0548671710722836
100,2.848,0.0641260315602527
101,2.856,0.0665574464801535
102,2.863,0.0669877135611376
103,2.871,0.0613739458913167
104,2.878,0.0427912789408903
105,2.886,0.0591860783757466
106,2.894,0.0728734424991276
107,2.901,0.0715055179114706
108,2.909,0.0771882906791851
109,2.916,0.0677954791188341
110,2.924,0.0710103048559983
111,2.931,0.0761572733341855
112,2.939,0.0673530346676335
113,2.946,0.0581347654137195
114,2.954,0.0672880886931453
115,2.961,0.49979174667368
116,2.969,7.3876330118927
117,2.976,35.0632762540753
118,2.984,80.9483581677945
119,2.991,100
120,2.999,2.86067127915684
121,3.007,0.129749879657139
122,3.014,0.102192490857129
123,3.022,0.0890896405041415
124,3.029,0.085554144017942
125,3.037,0.0787429349434956
126,3.044,0.0878921990995159
127,3.052,0.0932543011181951
128,3.059,0.0641179133134417
129,3.067,0.0755524639467644
130,3.074,0.076956920645071
131,3.082,0.0794248676756213
132,3.089,0.0728977972395606
133,3.097,0.0714121580731439
134,3.105,0.0634643944451546
135,3.112,0.0571078071921253
136,3.120,0.0700401743620813
137,3.127,0.0704420275792269
138,3.135,0.0927590880627229
139,3.142,0.0781746576667241
140,3.150,0.0460426367887041
141,3.157,0.0611669305976357
142,3.165,0.0703851998515497
143,3.172,0.0770786943472363
144,3.180,0.0637363557133238
145,3.187,0.0623521946320447
146,3.195,0.0648566737732446
147,3.202,0.0504630221773049
148,3.210,0.0489002596661834
149,3.218,0.0564258744599996
150,3.225,0.0545546185700593
151,3.233,0.0541892974635634
152,3.240,0.0466636826697472
153,3.248,0.0460751097759482
154,3.255,0.106251614262639
155,3.263,0.414643514996289
156,3.270,0.506079328828816
157,3.278,0.16451221250193
158,3.285,0.0579764596009045
159,3.293,0.0390771810248483
160,3.300,0.041508595944749
161,3.308,0.0431850139112248
162,3.316,0.0636714097388356
163,3.323,0.054432844867894
164,3.331,0.0456854339290192
165,3.338,0.0370679149391207
166,3.346,0.0392882554419348
167,3.353,0.038176055628825
168,3.361,0.0342021738148303
169,3.368,0.0334593542316219
170,3.376,0.0360977844452037
171,3.383,0.0333538170230787
172,3.391,0.0349612298916608
173,3.398,0.0382531789735297
174,3.406,0.0350180576193379
175,3.413,0.0335730096869762
176,3.421,0.0269809932764274
177,3.429,0.0429820577409493
178,3.436,0.0324608098738664
179,3.444,0.0321929077291027
180,3.451,0.0391827182333916
181,3.459,0.0353427874917788
182,3.466,0.0339058578062281
183,3.474,0.0243344448160346
184,3.481,0.0408997274339224
185,3.489,0.0973743113747882
186,3.496,0.0834474589704821
187,3.504,0.0447274808053187
188,3.511,0.0259296803144002
189,3.519,0.02664408603377
190,3.527,0.0315596844778431
191,3.534,0.0299928628433161
192,3.542,0.0391299496291199
193,3.549,0.0315556253544376
194,3.557,0.0281337843235923
195,3.564,0.0382085286160691
196,3.572,0.0356878129812471
197,3.579,0.0284260412087891
198,3.587,0.0317829362651462
199,3.594,0.0292581615069187
200,3.602,0.0295260636516824
201,3.609,0.0281216069533758
202,3.617,0.0259824489186718
203,3.624,0.0419266856555166
204,3.632,0.0248337169949124
205,3.640,0.0284138638385726
206,3.647,0.0354929750577826
207,3.655,0.0468828753336447
208,3.662,0.0352819006406961
209,3.670,0.0332482798145354
210,3.677,0.0279308281533168
211,3.685,0.0269241655487503
212,3.692,0.0223820064579842
213,3.700,0.0258200839824514
214,3.707,0.0168778351201121
215,3.715,0.0350464714831765
216,3.722,0.0154206098175339
217,3.730,0.0268795151912896
218,3.737,0.028012010621427
219,3.745,0.0180671582779266
220,3.753,0.027033761880699
221,3.760,0.0331305652357756
222,3.768,0.0257470197611522
223,3.775,0.0222642918792244
224,3.783,0.0296965468347138
225,3.790,0.0199262367976504
226,3.798,0.0313607874309731
227,3.805,0.0215336496662325
228,3.813,0.0309061656095559
229,3.820,0.0246185834544204
230,3.828,0.0156357433580259
231,3.835,0.0261448138548923
232,3.843,0.0227473275644801
233,3.851,0.0342062329382358
234,3.858,0.0282271441619191
235,3.866,0.0273422552595178
236,3.873,0.0213266343725515
237,3.881,0.0227595049346966
238,3.888,0.0292906344941628
239,3.896,0.0227879187985352
240,3.903,0.0264086568762504
241,3.911,0.0176856006778087
242,3.918,0.0263071787911127
243,3.926,0.0246348199480424
244,3.933,0.0177627240225134
245,3.941,0.0184933662355052
246,3.948,0.0218543204152678
247,3.956,0.0242126711138693
248,3.964,0.0401853217145526
249,3.971,0.0885091858571535
250,3.979,0.0529106735908276
251,3.986,0.0160213600815494
252,3.994,0.0205797556659376
253,4.001,0.0246023469607983
254,4.009,0.02095725414265
255,4.016,0.0316083939587092
256,4.024,0.0212129789171972
257,4.031,0.0228934560070785
258,4.039,0.01956497481456
259,4.046,0.0233724325689287
260,4.054,0.0186313764312926
261,4.062,0.0258079066122349
262,4.069,0.0193173682868238
263,4.077,0.017409580286234
264,4.084,0.0477190547551799
265,4.092,0.240527416516922
266,4.099,0.435653537743211
267,4.107,0.211963365112346
268,4.114,0.0406521209061863
269,4.122,0.0211602103129255
270,4.129,0.0235307383817436
271,4.137,0.0285153419237103
272,4.144,0.0247038250459361
273,4.152,0.0179332072055448
274,4.159,0.0161715476475533
275,4.167,0.0239407098457001
276,4.175,0.0174785853841276
277,4.182,0.0259459168080223
278,4.190,0.0208598351809178
279,4.197,0.0273097822722737
280,4.205,0.0180955721417652
281,4.212,0.0264898393443606
282,4.220,0.018602962567454
283,4.227,0.0154814966686165
284,4.235,0.0196583346528867
285,4.242,0.017640950320348
286,4.250,0.00666913975525353
287,4.257,0.0201738433253865
288,4.265,0.0155220879026716
289,4.273,0.0196380390358591
290,4.280,0.0184446567546391
291,4.288,0.0106876719267088
292,4.295,0.0115035557312164
293,4.303,0.0214524671981223
294,4.310,0.0292946936175683
295,4.318,0.0247606527736132
296,4.325,0.0251625059907588
297,4.333,0.0245414601097157
298,4.340,0.0190332296484381
299,4.348,0.0296803103410918
300,4.355,0.0195243835805049
301,4.363,0.0254060533950894
302,4.370,0.016447568039128
303,4.378,0.0157899900474353
304,4.386,0.0185461348397769
305,4.393,0.0160335374517659
306,4.401,0.0122017249569642
307,4.408,0.0246469973182589
308,4.416,0.124355304651216
309,4.423,0.142235743252489
310,4.431,0.0417196703618355
311,4.438,0.00910867292196526
312,4.446,0.00838614895578441
313,4.453,0.0304150116774892
314,4.461,0.0136021225318652
315,4.468,0.0278252909447736
316,4.476,0.0187247362696193
317,4.483,0.0149700471195222
318,4.491,0.0284422777024111
319,4.499,0.0210546731043823
320,4.506,0.0283692134811119
321,4.514,0.0146087851364318
322,4.521,0.0115197922248384
323,4.529,0.0205797556659376
324,4.536,0.0176856006778087
325,4.544,0.0237783449094797
326,4.551,0.0186882041589697
327,4.559,0.00930351084542976
328,4.566,0.0143571194852902
329,4.574,0.0205472826786935
330,4.581,0.00792340888755623
331,4.589,0.0127212927528695
332,4.597,0.00217569014535356
333,4.604,0.0124006220038342
334,4.612,0.0269931706466439
335,4.619,0.0175110583713717
336,4.627,0.0167966526520019
337,4.634,0.00804112346631603
338,4.642,0.00988396549241774
339,4.649,0.0197598127380245
340,4.657,0.0260595722633765
341,4.664,0.0147711500726522
342,4.672,0.0202793805339298
343,4.679,0.0203402673850124
344,4.687,0.010760736148008
345,4.694,0.0192686588059577
346,4.702,0.0226539677261533
347,4.710,0.0210262592405437
348,4.717,0.0140810990937155
349,4.725,0.02155394528326
350,4.732,0.0286695886131197
351,4.740,0.0136102407786763
352,4.747,0.0226093173686927
353,4.755,0.020575696542532
354,4.762,0.014085158217121
355,4.770,0.0270418801275101
356,4.777,0.0157291031963527
357,4.785,0.0298386161539067
358,4.792,0.0208435986872957
359,4.800,0.0187166180228083
360,4.808,0.0256293051823924
361,4.815,0.0245576966033377
362,4.823,0.0286533521194977
363,4.830,0.0241883163734363
364,4.838,0.0611385167337971
365,4.845,0.0768838564237718
366,4.853,0.0373033440966403
367,4.860,0.0168900124903286
368,4.868,0.0118891724547399
369,4.875,0.0261245182378647
370,4.883,0.0100869216626933
371,4.890,0.0103588829308625
372,4.898,0.0229746384751887
373,4.905,0.0193254865336348
374,4.913,0.0165571643710768
375,4.921,0.0149781653663332
376,4.928,0.0195284427039104
377,4.936,0.0185583122099934
378,4.943,0.0196258616656426
379,4.951,0.000799647310885542
380,4.958,0.00537427938889572
381,4.966,0.0143814742257232
382,4.973,0.0263599473953843
383,4.981,0.0114345506333227
384,4.988,0.0110611112800157
385,4.996,0.0171132642776317
386,5.003,0.0117958126164131
387,5.011,0.0180752765247377
388,5.019,0.0190616435122767
389,5.026,0.0302485876178632
390,5.034,0.0113777229056456
391,5.041,0.0217853153173741
392,5.049,0.0268754560678841
393,5.056,0.0284138638385726
394,5.064,0.0367797171773294
395,5.071,0.0256942511568806
396,5.079,0.0110814068970433
397,5.086,0.0294895315410328
398,5.094,0.00360856070749871
399,5.101,0.0156113886175929
400,5.109,0.0232912501008185
401,5.116,0.0166221103455649
402,5.124,0.0239204142286726
403,5.132,0.0131840328210977
404,5.139,0.00813854242804828
405,5.147,0.016638346839187
406,5.154,0.0182498188311746
407,5.162,0.0108338003693072
408,5.169,0.0158995863793841
409,5.177,0.015850876898518
410,5.184,0.0188789829590287
411,5.192,0.0166139920987539
412,5.199,0.017624713826726
413,5.207,0.0166829971966476
414,5.214,0.0101924588712365
415,5.222,0.00698575138088334
416,5.230,0.0107729135182245
417,5.237,0.0223738882111731
418,5.245,0.0142272275363138
419,5.252,0.0139674436383612
420,5.260,0.014499188804483
421,5.267,0.0166992336902696
422,5.275,0.0210222001171382
423,5.282,0.0242126711138693
424,5.290,0.0120393600207437
425,5.297,0.0116456250504092
426,5.305,0.013695482370192
427,5.312,0.0103467055606459
428,5.320,0.0231938311390862
429,5.327,0.020368681248851
430,5.335,0.0195690339379655
431,5.343,0.0147833274428687
432,5.350,0.0155992112473763
433,5.358,0.0207177658617249
434,5.365,0.00832932122810727
435,5.373,0.021537708789638
436,5.380,0.0221952867813307
437,5.388,0.0216838372322364
438,5.395,0.01626490748588
439,5.403,0.0128024752209797
440,5.410,0.0101153355265318
441,5.418,0.0181889319800919
442,5.425,0.0118242264802517
443,5.433,0.0102492865989137
444,5.440,0.0211764468065476
445,5.448,0.0104075924117286
446,5.456,0.015485555792022
447,5.463,0.0259418576846167
448,5.471,0.0149741062429277
