#"+EI TIC Scan IPA-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.296647598141052
1,2.102,0.269270540958446
2,2.110,0.252140812291913
3,2.117,0.244639265322179
4,2.125,0.23606094127545
5,2.132,0.231803185250164
6,2.140,0.206898228773493
7,2.147,0.203506380980958
8,2.155,0.211429665639182
9,2.162,0.201837376511616
10,2.170,0.186260001464417
11,2.178,0.192626445932152
12,2.185,0.175088439290591
13,2.193,0.181212608916001
14,2.200,0.166967745501584
15,2.208,0.164670621070661
16,2.215,0.153880417444937
17,2.223,0.152489580387152
18,2.230,0.155885914750841
19,2.238,0.145970592500176
20,2.245,0.145270687400129
21,2.253,0.132026329353087
22,2.260,0.140730277392132
23,2.268,0.131671890231909
24,2.275,0.125686804312277
25,2.283,0.142933183828818
26,2.291,0.117624435948274
27,2.298,0.131016850843404
28,2.306,0.125973944866142
29,2.313,0.112541150830626
30,2.321,0.109521688443885
31,2.328,0.116493820017429
32,2.336,0.124506836098736
33,2.343,0.115798401488537
34,2.351,0.117278969969405
35,2.358,0.120890659748494
36,2.366,0.115982350905857
37,2.373,0.10796933482455
38,2.381,0.109772936428517
39,2.389,0.108503236791893
40,2.396,0.115605478928908
41,2.404,0.141331477926788
42,2.411,0.167748408882406
43,2.419,0.331759503993407
44,2.426,0.32830035763356
45,2.434,0.13182443365115
46,2.441,0.104528134749319
47,2.449,0.0962952766814592
48,2.456,0.0963939812468504
49,2.464,0.106381088635982
50,2.471,0.0957120224314201
51,2.479,0.11212389971329
52,2.486,0.103917961072355
53,2.494,0.0911402064253442
54,2.502,0.101351642372183
55,2.509,0.0863350887192526
56,2.517,0.0957389418583449
57,2.524,0.0863440618615609
58,2.532,0.10210538632608
59,2.539,0.095617804437183
60,2.547,0.0881431768943739
61,2.554,0.093939826825532
62,2.562,0.0928989423177698
63,2.569,0.087627221211647
64,2.577,0.0882777740289983
65,2.584,0.0983860188392917
66,2.592,0.0947563827755867
