#"+EI TIC Scan IPA-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.237459292679672
1,2.102,0.232693930827129
2,2.110,0.190818495710063
3,2.117,0.193135598262217
4,2.125,0.174759080537275
5,2.132,0.168693080931401
6,2.140,0.16245584890422
7,2.148,0.149077860584238
8,2.155,0.150888552358484
9,2.163,0.146695179657967
10,2.170,0.147227093136921
11,2.178,0.139904174693794
12,2.185,0.137914964012228
13,2.193,0.120580413787154
14,2.200,0.126901440403485
15,2.208,0.136883926241379
16,2.215,0.0903487833189601
17,2.223,0.115017181716181
18,2.230,0.114652857415528
19,2.238,0.0948955505911107
20,2.245,0.103806922985085
21,2.253,0.10688910656861
22,2.261,0.084967713398314
23,2.268,0.0969685558618268
24,2.276,0.0745480383996356
25,2.283,0.0986517341308441
26,2.291,0.0827052594912583
27,2.298,0.0809419298760973
28,2.306,0.0939628803814388
29,2.313,0.0878604483454995
30,2.321,0.0884943726286359
31,2.328,0.0789891516245967
32,2.336,0.0976389125750285
33,2.343,0.079025584054662
34,2.351,0.0807561244827642
35,2.359,0.0710723845714051
36,2.366,0.0721544277443447
37,2.374,0.0883814320954334
38,2.381,0.074063487079767
39,2.389,0.0750799518785891
40,2.396,0.0805739623324377
41,2.404,0.0766501896144039
42,2.411,0.119421862511077
43,2.419,0.227637109534065
44,2.426,0.298869796797757
45,2.434,0.107949290283511
46,2.441,0.0614287203331177
47,2.449,0.0645655525617409
48,2.456,0.0775537138800236
49,2.464,0.0574794449140382
50,2.472,0.0690977468618653
51,2.479,0.046724591558759
52,2.487,0.0516320398885561
53,2.494,0.060874947396125
54,2.502,0.0394636082467429
55,2.509,0.0617711851757316
56,2.517,0.0739250438455188
57,2.524,0.0568637368459345
58,2.532,0.0617821149047512
59,2.539,0.0595196609976955
60,2.547,0.059865769083316
61,2.554,0.0526302884723456
62,2.562,0.0531148397922142
63,2.570,0.067935552342782
64,2.577,0.0488267427735273
65,2.585,0.0477046239275158
66,2.592,0.0697353143880082
67,2.600,0.055570385578616
68,2.607,0.0572572070906398
