#"+EI TIC Scan IPA-PEEK-1Week.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.270021159737339
1,2.102,0.250225584881206
2,2.110,0.240253086728913
3,2.117,0.216688770895137
4,2.125,0.224181979828658
5,2.132,0.208149611822446
6,2.140,0.197756519963397
7,2.147,0.204735055018914
8,2.155,0.174668139113582
9,2.162,0.159725994268304
10,2.170,0.176306240918842
11,2.178,0.178292992770492
12,2.185,0.166134514168612
13,2.193,0.150904594681869
14,2.200,0.15559200086111
15,2.208,0.154236139569594
16,2.215,0.133178783593193
17,2.223,0.138917674039324
18,2.230,0.140207125798194
19,2.238,0.135065921145874
20,2.245,0.129332564827464
21,2.253,0.130029864920244
22,2.260,0.135093591784477
23,2.268,0.117262632269111
24,2.275,0.118513345133938
25,2.283,0.119852604042293
26,2.291,0.127688928894483
27,2.298,0.121125453418002
28,2.306,0.111794914081284
29,2.313,0.118784517392242
30,2.321,0.0947276641913436
31,2.328,0.0962882882085171
32,2.336,0.113947689764548
33,2.343,0.112016279190103
34,2.351,0.100549566553282
35,2.358,0.0930508234920401
36,2.366,0.0941742514192962
37,2.373,0.104550740895184
38,2.381,0.0835210555573849
39,2.389,0.0885294411444133
40,2.396,0.107854615144307
41,2.404,0.112381531619654
42,2.411,0.151015277236279
43,2.419,0.366220901902329
44,2.426,0.381799471435461
45,2.434,0.150113214417842
46,2.441,0.119227247609879
47,2.449,0.106233115722208
48,2.456,0.109072123242811
49,2.464,0.0942683315905443
50,2.471,0.0865316210373224
51,2.479,0.0832720198099636
52,2.486,0.0917004963282446
53,2.494,0.0976994907772378
54,2.502,0.07715127455112
55,2.509,0.0997692545446949
56,2.517,0.0804994218220064
57,2.524,0.089226741237193
58,2.532,0.0833218269594479
59,2.539,0.0753914219360094
60,2.547,0.0854580002595506
61,2.554,0.0798574630064315
62,2.562,0.0848326438271371
63,2.569,0.0974615232852575
64,2.577,0.0995810942021988
65,2.584,0.0866810424857752
66,2.592,0.085369454216023
67,2.600,0.0997249815229311
68,2.607,0.0790384121038014
69,2.615,0.0717167611296151
70,2.622,0.0840301953076684
71,2.630,0.0700952617075164
72,2.637,0.0766974760780412
73,2.645,0.0773449690213366
74,2.652,0.078601216013884
75,2.660,0.0835985333454715
76,2.667,0.0869466806163579
77,2.675,0.0825470490785816
78,2.682,0.0810583687217742
79,2.690,0.0884076903345629
80,2.697,0.0716005444474851
81,2.705,0.0817944077085972
82,2.713,0.0781142127744824
83,2.720,0.0793925962779117
84,2.728,0.0863213241839444
85,2.735,0.0837313524107629
86,2.743,0.0791380264027699
87,2.750,0.0736481717040603
88,2.758,0.0802005789251008
89,2.765,0.0768856364205373
90,2.773,0.0846500176123615
91,2.780,0.0995810942021988
92,2.788,0.0987177702778049
93,2.795,0.0724029929669538
94,2.803,0.0745502345224975
95,2.811,0.0676768478936695
96,2.818,0.0776106071519193
97,2.826,0.0699679767699455
98,2.833,0.0560939185747186
99,2.841,0.06569563016974
100,2.848,0.0707427546508118
101,2.856,0.072569016798568
102,2.863,0.0754965703626984
103,2.871,0.0662435088140669
104,2.878,0.0839471833918613
105,2.886,0.0745945075442613
106,2.893,0.0714566571267528
