#"+EI TIC Scan IPA-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.302938436435649
1,2.102,0.294726677241884
2,2.110,0.295487130408411
3,2.117,0.267883815468208
4,2.125,0.278723110603033
5,2.132,0.259036453627793
6,2.140,0.244752419149073
7,2.147,0.207019187027895
8,2.155,0.226580993483257
9,2.162,0.221950174200525
10,2.170,0.215809798632001
11,2.178,0.198330725849142
12,2.185,0.213817865337591
13,2.193,0.186032949641202
14,2.200,0.191571772704862
15,2.208,0.170682010719893
16,2.215,0.163389605354317
17,2.223,0.182293109068506
18,2.230,0.170562835223646
19,2.238,0.179648548056554
20,2.245,0.142522543463871
21,2.253,0.147164712793864
22,2.260,0.156125575106895
23,2.268,0.161357946894491
24,2.275,0.121939232754965
25,2.283,0.134952061940386
26,2.291,0.138368426166127
27,2.298,0.139866632404657
28,2.306,0.132523151826404
29,2.313,0.130542568579256
30,2.321,0.134566160333492
31,2.328,0.133243879827516
32,2.336,0.131320046816675
33,2.343,0.12247268497626
34,2.351,0.115781832115549
35,2.358,0.122608885543399
36,2.366,0.11600315803715
37,2.373,0.109374730436378
38,2.381,0.105810815596236
39,2.389,0.117796465504482
40,2.396,0.109471205838101
41,2.404,0.140553310263984
42,2.411,0.193274279794101
43,2.419,0.397070053399702
44,2.426,0.330048024319973
45,2.434,0.12943593897125
46,2.441,0.10278035297739
47,2.449,0.11088428672217
48,2.456,0.101974499621816
49,2.464,0.114272275829757
50,2.471,0.096299475991018
51,2.479,0.111690140077743
52,2.486,0.118068866638761
53,2.494,0.110577835446107
54,2.502,0.0904031264386185
55,2.509,0.101072170864519
56,2.517,0.0938592158297747
57,2.524,0.108194325521171
58,2.532,0.088416868167839
59,2.539,0.0935357394828192
60,2.547,0.0853126302417923
61,2.554,0.108245400733849
62,2.562,0.0916856817791789
63,2.569,0.0839222494522467
64,2.577,0.0844273265553878
65,2.584,0.0843705763190798
66,2.592,0.0909082035417595
67,2.600,0.0959078993604929
68,2.607,0.0864930351569984
69,2.615,0.0808123365025692
70,2.622,0.0884338932387314
71,2.630,0.0864930351569984
72,2.637,0.0791609046260069
73,2.645,0.0823559429301464
74,2.652,0.0877472153794048
75,2.660,0.0882693175534383
76,2.667,0.0880366415845756
77,2.675,0.0712555967083047
78,2.682,0.0819246411342057
79,2.690,0.0850515791547756
80,2.697,0.0731170044592066
81,2.705,0.0742179590435815
82,2.713,0.0774356974422441
83,2.720,0.0663523762912949
84,2.728,0.0902272007060637
85,2.735,0.087122962780017
86,2.743,0.107961649552309
87,2.750,0.0795468062329012
88,2.758,0.076425543235962
89,2.765,0.0894383724213828
90,2.773,0.0781677754906171
91,2.780,0.0901534253988634
92,2.788,0.0953290469501515
93,2.795,0.0988702616957697
94,2.803,0.0903804263440953
95,2.810,0.0794162806893928
96,2.818,0.0985127352070294
97,2.826,0.0782302007505559
98,2.833,0.077271121756951
99,2.841,0.0712045214956275
100,2.848,0.0824410682846083
101,2.856,0.0854942309979779
102,2.863,0.0878436907811284
103,2.871,0.0712442466610431
104,2.878,0.0747173611230917
105,2.886,0.0663353512204025
106,2.893,0.0792630550513612
107,2.901,0.0851026543674528
108,2.908,0.0825715938281167
109,2.916,0.0869243369529391
110,2.924,0.0834398724436289
111,2.931,0.0777705238364613
112,2.939,0.082367292977408
113,2.946,0.0749273369974312
114,2.954,0.0966626775033891
115,2.961,0.570266099588039
116,2.969,9.37529226371699
117,2.976,45.2173057348611
118,2.984,100
119,2.991,93.9422698006114
120,2.999,1.48156139422165
121,3.006,0.153225638031557
122,3.014,0.120702077603451
123,3.021,0.125928774367416
124,3.029,0.112144141968207
125,3.037,0.0939273161133443
126,3.044,0.118216417253161
127,3.052,0.130724169335441
128,3.059,0.124912945137504
129,3.067,0.103938057798073
130,3.074,0.095147446193966
131,3.082,0.080057558359673
132,3.089,0.0653535721322744
133,3.097,0.0832979968528589
134,3.104,0.0805512854155525
135,3.112,0.0740590583819191
136,3.119,0.0785536770975114
137,3.127,0.0906641775256352
138,3.135,0.126064974934556
139,3.142,0.0839903497358163
140,3.150,0.0682081090185659
141,3.157,0.061534281228747
142,3.165,0.0839165744286159
143,3.172,0.0966286273616043
144,3.180,0.0889957205781805
145,3.187,0.0806874859826916
146,3.195,0.0712101965192583
147,3.202,0.0686053606727218
148,3.210,0.0565970106699524
149,3.217,0.0833490720655361
150,3.225,0.0605411520933573
151,3.232,0.0519718664108517
152,3.240,0.0611597296691143
153,3.248,0.0697403653988815
154,3.255,0.0741498587600119
155,3.263,0.103302455151423
156,3.270,0.0775208227967061
157,3.278,0.0654954477230443
158,3.285,0.067895982718872
159,3.293,0.0718855243313233
160,3.300,0.0605525021406189
161,3.308,0.0569942623241083
162,3.315,0.0866349107477683
163,3.323,0.0763574429523925
164,3.330,0.0664715517875416
165,3.338,0.0475283229079366
166,3.346,0.0562111090630581
167,3.353,0.0344246933444231
168,3.361,0.0359455996774771
169,3.368,0.0363825764970485
170,3.376,0.0552236549512992
171,3.383,0.034765194762271
172,3.391,0.0408658451653793
173,3.398,0.0483228262162484
174,3.406,0.0406501942674089
175,3.413,0.0399351412899283
176,3.421,0.0518867410563898
177,3.428,0.0448213366360457
178,3.436,0.0426024023964036
179,3.443,0.0391463130052474
180,3.451,0.0326654360188756
181,3.459,0.0376821569085014
182,3.466,0.034538193817039
183,3.474,0.0429258787433591
184,3.481,0.0333123887127866
185,3.489,0.111457464108881
186,3.496,0.0970202039921294
187,3.504,0.0524939685848852
188,3.511,0.0354348475507052
189,3.519,0.0354007974089204
190,3.526,0.0367174028912656
191,3.534,0.0329037870113691
192,3.541,0.02679746158463
193,3.549,0.0363825764970485
194,3.557,0.0330967378148163
195,3.564,0.0440154832804724
196,3.572,0.0441630338948731
197,3.579,0.0327846115151223
198,3.587,0.0258270325437635
199,3.594,0.0381872340116424
200,3.602,0.0497529321712096
201,3.609,0.0326597609952448
202,3.617,0.0343055178481763
203,3.624,0.0366493026076961
204,3.632,0.0386582609729987
205,3.639,0.0345268437697775
206,3.647,0.0371089795217907
207,3.654,0.0674703559465622
208,3.662,0.0480163749401852
209,3.670,0.0272060632860475
210,3.677,0.0319560580650258
211,3.685,0.0392825135723865
212,3.692,0.0385958357130599
213,3.700,0.0295214729274133
214,3.707,0.02679746158463
215,3.715,0.023534322996921
216,3.722,0.0297881990380608
217,3.730,0.026854211820938
218,3.737,0.0457236653933427
219,3.745,0.0363201512371098
220,3.752,0.0348276200222098
221,3.760,0.0273479388768175
222,3.767,0.0111003462218417
223,3.775,0.0201349838420727
224,3.783,0.0267009861829065
225,3.790,0.0273082137114019
226,3.798,0.0343849681790075
227,3.805,0.0293171720767045
228,3.813,0.0298335992271072
229,3.820,0.0293625722657509
230,3.828,0.0211054128829392
231,3.835,0.0214799644425719
232,3.843,0.0410871710869804
233,3.850,0.0199250079677332
234,3.858,0.0360761252209854
235,3.865,0.0378751077119485
236,3.873,0.0381872340116424
237,3.881,0.0302308508812631
238,3.888,0.0359342496302155
239,3.896,0.03696142890739
240,3.903,0.0446227108089678
241,3.911,0.0285737439810699
242,3.918,0.0528855452154103
243,3.926,0.0371316796163139
244,3.933,0.0429145286960975
245,3.941,0.0340501417847904
246,3.948,0.0313261304420072
247,3.956,0.036200975740863
248,3.963,0.0425116020183108
249,3.971,0.102644152410251
250,3.978,0.0754380891242031
251,3.986,0.0347765448095326
252,3.994,0.0335110145398645
253,4.001,0.0323816848373357
254,4.009,0.0365925523713881
255,4.016,0.0373473305142843
256,4.024,0.0331988882401706
257,4.031,0.0378978078064717
258,4.039,0.0304805519210182
259,4.046,0.0287553447372555
260,4.054,0.043970083091426
261,4.061,0.0280346167361441
262,4.069,0.0387717614456147
263,4.076,0.0412290466777504
264,4.084,0.0389136370363846
265,4.092,0.0364109516152025
266,4.099,0.039129287934355
267,4.107,0.0314226058437307
268,4.114,0.0456498900861423
269,4.122,0.0349411204948257
270,4.129,0.0396570651320192
271,4.137,0.0367457780094196
272,4.144,0.043970083091426
273,4.152,0.0365358021350801
274,4.159,0.0328243366805379
275,4.167,0.0336585651542653
276,4.174,0.0282843177758992
277,4.182,0.0366436275840653
278,4.189,0.028346743035838
279,4.197,0.0236080983041213
280,4.205,0.0270755377425392
281,4.212,0.0263604847650586
282,4.220,0.0399862165026055
283,4.227,0.0286929194773167
284,4.235,0.0427840031525891
285,4.242,0.0259689081345335
286,4.250,0.0392541384542325
287,4.257,0.0308607785042817
288,4.265,0.0331932132165398
289,4.272,0.0352305466999965
290,4.280,0.04115527137055
291,4.287,0.0297314488017528
292,4.295,0.0178990245315381
293,4.303,0.0201803840311191
294,4.310,0.0350148958020261
295,4.318,0.030486226944649
296,4.325,0.0310877794495136
297,4.333,0.021224588379186
298,4.340,0.0402018674005759
299,4.348,0.0246920278176038
300,4.355,0.0305656772754802
301,4.363,0.0167640198053785
302,4.370,0.0264569601667821
303,4.378,0.0272968636641403
304,4.385,0.0223312179871917
305,4.393,0.0227227946177168
306,4.400,0.0336869402724193
307,4.408,0.043209629924899
308,4.416,0.134333484364629
309,4.423,0.164734585954816
310,4.431,0.0546334524936962
311,4.438,0.0373870556796998
312,4.446,0.0276770902474038
313,4.453,0.0356164483068908
314,4.461,0.0302195008340015
315,4.468,0.0217239904586963
316,4.476,0.0208557118431841
317,4.483,0.0126155775312648
318,4.491,0.0181884507367089
319,4.498,0.0234662227133514
320,4.506,0.0218034407895274
321,4.513,0.0308721285515433
322,4.521,0.0132795552960683
323,4.529,0.022717119594086
324,4.536,0.0279721914762053
325,4.544,0.0191191546121598
326,4.551,0.0376821569085014
327,4.559,0.0186140775090187
328,4.566,0.0151636631414933
329,4.574,0.0325746356407828
330,4.581,0.0243628764470175
331,4.589,0.0201576839365959
332,4.596,0.0258610826855483
333,4.604,0.0236478234695369
334,4.611,0.0307472780316657
335,4.619,0.0252254800388989
336,4.627,0.0250552293299749
337,4.634,0.0319106578759794
338,4.642,0.019675306927978
339,4.649,0.0155836148901724
340,4.657,0.0268144866555224
341,4.664,0.0306905277953577
342,4.672,0.0204244100472434
343,4.679,0.0229554705865795
344,4.687,0.0420519251042161
345,4.694,0.0229895207283643
346,4.702,0.0212472884737092
347,4.709,0.0135349313594542
348,4.717,0.0169910207506104
349,4.724,0.0283410680122072
350,4.732,0.03532702210172
351,4.740,0.0210656877175237
352,4.747,0.0358264241812303
353,4.755,0.0348162699749482
354,4.762,0.00953971472337211
