#"+EI TIC Scan IPA-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.267212196894451
1,2.102,0.266560262302846
2,2.110,0.262110100090586
3,2.117,0.247180393014517
4,2.125,0.220390335511051
5,2.132,0.207088440272405
6,2.140,0.207307101563999
7,2.147,0.195033724252481
8,2.155,0.173576572694007
9,2.163,0.189206805759814
10,2.170,0.160270628172183
11,2.178,0.17995014441566
12,2.185,0.162955302918978
13,2.193,0.161659532302124
14,2.200,0.155326453412248
15,2.208,0.153731035840246
16,2.215,0.143502546533451
17,2.223,0.142599556384831
18,2.230,0.132553284821031
19,2.238,0.143324378073634
20,2.245,0.141826143297896
21,2.253,0.133909794685551
22,2.261,0.13478039056875
23,2.268,0.126029889621805
24,2.276,0.121992754293668
25,2.283,0.128188157555503
26,2.291,0.10985705261019
27,2.298,0.11163063864201
28,2.306,0.102284893067947
29,2.313,0.106479950440013
30,2.321,0.129901004339657
31,2.328,0.118724982769288
32,2.336,0.08926239836856
33,2.343,0.100491060620239
34,2.351,0.0970977613173517
35,2.358,0.101240178008108
36,2.366,0.113630984531779
37,2.374,0.0880759583975027
38,2.381,0.108221142206411
39,2.389,0.0864926886750337
40,2.396,0.0926961905032243
41,2.404,0.114145243495343
42,2.411,0.13691841208656
43,2.419,0.261069434313925
44,2.426,0.327109193658547
45,2.434,0.142903252623156
46,2.441,0.0898900372610989
47,2.449,0.10627748628113
48,2.456,0.086180893870353
49,2.464,0.0889344064311687
50,2.472,0.0891773634218289
51,2.479,0.0996974011174159
52,2.487,0.0933319279621185
53,2.494,0.0953687174004865
54,2.502,0.0791513382739177
55,2.509,0.0829131223459733
56,2.517,0.0925666134415388
57,2.524,0.0818036187552917
58,2.532,0.0792768660524255
59,2.539,0.0961947711687312
60,2.547,0.0823502719842771
61,2.554,0.0884565910162037
62,2.562,0.0889708499797678
63,2.569,0.088501133131158
64,2.577,0.0855370578451035
65,2.585,0.084192695830117
66,2.592,0.071660164395228
67,2.600,0.0819250972506218
68,2.607,0.0647318408782345
69,2.615,0.0740573400364087
70,2.622,0.0766974726682496
71,2.630,0.0722959018541222
72,2.637,0.0785156008150235
73,2.645,0.0760779323420661
74,2.652,0.0606663605678537
75,2.660,0.0603505164799954
76,2.667,0.0668091231483792
77,2.675,0.0707936177952066
78,2.683,0.0754017020513952
79,2.690,0.0820344278964188
80,2.698,0.060650163435143
81,2.705,0.0647318408782345
82,2.713,0.064209483348315
83,2.720,0.0664406383792112
84,2.728,0.0690402781792755
85,2.735,0.0729194914634834
86,2.743,0.0811678812963974
87,2.750,0.0757215954224311
88,2.758,0.0649626500193616
89,2.765,0.0663151106007035
90,2.773,0.0661814842558403
91,2.780,0.0795117244767304
92,2.788,0.0855087128628598
93,2.796,0.0720124520316853
94,2.803,0.0613668865575906
95,2.811,0.0588401338547244
96,2.818,0.0829698123104606
97,2.826,0.063387478863248
98,2.833,0.0640515613043859
99,2.841,0.070898899157826
100,2.848,0.0522155065760561
101,2.856,0.0839618866889898
102,2.863,0.0589454152173439
103,2.871,0.0705142172559474
104,2.878,0.0658575416016267
105,2.886,0.0770943024196613
106,2.893,0.072445725331696
107,2.901,0.0865655757722317
108,2.909,0.0632902960669839
109,2.916,0.081836013020713
110,2.924,0.0829617137441053
111,2.931,0.0693844672493774
112,2.939,0.0590264008808973
113,2.946,0.0629623041295926
114,2.954,0.0818765058524897
115,2.961,0.294548907626902
116,2.969,5.24997662551286
117,2.976,31.6716181976244
118,2.984,80.1409547375581
119,2.991,100
120,2.999,3.04994843440337
121,3.007,0.12134486898524
122,3.014,0.0978711744042867
123,3.022,0.0961016376556448
124,3.029,0.0943037559247593
125,3.037,0.0684774278175793
126,3.044,0.0785236993813789
127,3.052,0.0911858078779533
128,3.059,0.0811314377477984
129,3.067,0.0666390532549171
130,3.074,0.0781066232140788
131,3.082,0.0690119331970318
132,3.089,0.0670682772717501
133,3.097,0.073956107956967
134,3.104,0.059079041562207
135,3.112,0.0463480952516121
136,3.120,0.0583501705902264
137,3.127,0.0714900945017659
138,3.135,0.0829171716291509
139,3.142,0.0974176546883876
140,3.150,0.0588077395893031
141,3.157,0.045845984137581
142,3.165,0.0785156008150235
143,3.172,0.0738386787448145
144,3.180,0.0659263794156471
145,3.187,0.061030796053844
146,3.195,0.0669670451923084
147,3.202,0.0624804394314499
148,3.210,0.0491016078124278
149,3.218,0.0514785370377202
150,3.225,0.047785590779685
151,3.233,0.050879243127425
152,3.240,0.0432260979216285
153,3.248,0.0460322511637539
154,3.255,0.0586903103771506
155,3.263,0.0588684788369681
156,3.270,0.0595001670126847
157,3.278,0.0405009303430565
158,3.285,0.0420801507823478
159,3.293,0.0414970540047633
160,3.300,0.0329854607653008
161,3.308,0.0483646382740918
162,3.315,0.0556007073125883
163,3.323,0.0622374824407897
164,3.331,0.0409342036430672
165,3.338,0.0438739832300557
166,3.346,0.045416760120748
167,3.353,0.0467935164011558
168,3.361,0.0278712161119034
169,3.368,0.0365285835457621
170,3.376,0.0343824634615969
171,3.383,0.0396343837430351
172,3.391,0.0278752653950811
173,3.398,0.0299201533998045
174,3.406,0.0269398809810393
175,3.413,0.0281384688016296
176,3.421,0.0461496803759063
177,3.429,0.030551841575521
178,3.436,0.0346092233195465
179,3.444,0.0395695952121924
180,3.451,0.0331919742073619
181,3.459,0.0317220844138677
182,3.466,0.0245750996052799
183,3.474,0.0260449893987742
184,3.481,0.0370590396420369
185,3.489,0.0625047351305159
186,3.496,0.0863185694983938
187,3.504,0.0489234393526103
188,3.511,0.0280088917399442
189,3.519,0.0429021552674149
190,3.526,0.0316208523344259
191,3.534,0.0244050297118178
192,3.542,0.0221374311323225
