#"+EI TIC Scan IPA-PLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.269898254349022
1,2.102,0.255241002346099
2,2.110,0.261731156726433
3,2.117,0.240626420654684
4,2.125,0.210641992758165
5,2.132,0.207194231588337
6,2.140,0.207966564226627
7,2.148,0.201203319852644
8,2.155,0.189789011524312
9,2.163,0.203669663857794
10,2.170,0.183815167913223
11,2.178,0.165620547086305
12,2.185,0.157581460398239
13,2.193,0.16937980153014
14,2.200,0.155345536075231
15,2.208,0.16044037126926
16,2.215,0.141362474994131
17,2.223,0.142032398884803
18,2.230,0.144008034307613
19,2.238,0.137389868992756
20,2.246,0.128941147314215
21,2.253,0.125049614904706
22,2.261,0.122796622457095
23,2.268,0.134309072501894
24,2.276,0.131539769285039
25,2.283,0.11427109421784
26,2.291,0.117386026957908
27,2.298,0.10653923377263
28,2.306,0.109457883079762
29,2.313,0.110230215718053
30,2.321,0.102993330886333
31,2.328,0.108147904516473
32,2.336,0.112167447860506
33,2.343,0.107166487351794
34,2.351,0.0909816381968926
35,2.359,0.100006409080788
36,2.366,0.0984532097419052
37,2.374,0.0858270645667525
38,2.381,0.100804343905984
39,2.389,0.0943952631175151
40,2.396,0.0896759266647545
41,2.404,0.110614248521623
42,2.411,0.142292687785
43,2.419,0.268639480159543
44,2.426,0.342488988286061
45,2.434,0.144908377880427
46,2.441,0.0964434380698887
47,2.449,0.0959015251137398
48,2.457,0.0852083450498897
49,2.464,0.0885707655967029
50,2.472,0.0886518391885677
51,2.479,0.0685114521568946
52,2.487,0.0796868067407827
53,2.494,0.103164012132364
54,2.502,0.0875253429647622
55,2.509,0.0826993307332321
56,2.517,0.0787139236384053
57,2.524,0.0782829534921767
58,2.532,0.0766358794679763
59,2.539,0.0753387019981397
60,2.547,0.0744340913941748
61,2.554,0.0730131700209656
62,2.562,0.0813637499830385
63,2.570,0.0739689849987399
64,2.577,0.0759702226084549
65,2.585,0.0815429652913712
66,2.592,0.078893138946738
67,2.600,0.082528649487201
68,2.607,0.0818715266899811
69,2.615,0.0874272012482944
70,2.622,0.0727656822142205
71,2.630,0.0861598929965132
72,2.637,0.0747114484189753
73,2.645,0.0639286607009589
74,2.652,0.0827932054185492
75,2.660,0.0667875715719802
76,2.668,0.0712764883425989
77,2.675,0.0526978347121107
78,2.683,0.0688528146489569
79,2.690,0.0702908041467691
80,2.698,0.0693435232312964
81,2.705,0.0527021017432614
82,2.713,0.0660835114321018
83,2.720,0.0659170972172215
84,2.728,0.0652258381707954
85,2.735,0.0712252839687896
86,2.743,0.0782829534921767
87,2.750,0.0617311396583081
88,2.758,0.0814746927929588
89,2.765,0.0643468297537351
90,2.773,0.0817221805997039
91,2.781,0.0712210169376388
92,2.788,0.077527688978489
93,2.796,0.0621834449602906
94,2.803,0.0641420122584978
95,2.811,0.0588764958184375
96,2.818,0.0805103437528829
97,2.826,0.086761544388773
98,2.833,0.0617439407517604
99,2.841,0.06229012073906
100,2.848,0.0680250106057059
101,2.856,0.0844829497542574
102,2.863,0.0855795767600074
103,2.871,0.0658530917499598
