#"+EI TIC Scan IPA-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.327437732046693
1,2.102,0.295801166610954
2,2.110,0.278760922153307
3,2.117,0.251056720823179
4,2.125,0.246298512241176
5,2.132,0.245698334569379
6,2.140,0.242082864274477
7,2.147,0.225431534948154
8,2.155,0.20366189043675
9,2.162,0.202000598641217
10,2.170,0.200012810192227
11,2.177,0.179169840006077
12,2.185,0.175885667786006
13,2.193,0.207733495762217
14,2.200,0.366996642750147
15,2.208,0.256232653064752
16,2.215,0.173686616796544
17,2.223,0.159315962623047
18,2.230,0.163512404904249
19,2.238,0.164309440852394
20,2.245,0.173451347149199
21,2.253,0.150755028312541
22,2.260,0.140681646269108
23,2.268,0.140379156722523
24,2.275,0.131899846575381
25,2.283,0.143447264980747
26,2.291,0.124212770955011
27,2.298,0.114869204960483
28,2.306,0.126944779717029
29,2.313,0.115488588317777
30,2.321,0.117505185295013
31,2.328,0.112924629303862
32,2.336,0.122873174391561
33,2.343,0.100714614748833
34,2.351,0.109904535259382
35,2.358,0.122709926064833
36,2.366,0.127794631300293
37,2.373,0.1005897777931
38,2.381,0.121192676910531
39,2.388,0.0907756725038827
40,2.396,0.109554031499053
41,2.404,0.11481158790399
42,2.411,0.155398002781559
43,2.419,0.318612719560597
44,2.426,0.344986927170024
45,2.434,0.113726466673382
46,2.441,0.0944583626980262
47,2.449,0.108814612607399
48,2.456,0.0891431892365961
49,2.464,0.084485810503455
50,2.471,0.0967486406936018
51,2.479,0.0894696858900534
52,2.486,0.0762033586326627
53,2.494,0.105055099671266
54,2.502,0.649742744644182
55,2.509,5.88820869819734
56,2.517,3.79684878874063
57,2.524,0.778459248848355
58,2.532,0.492275329250269
59,2.539,0.373089646474225
60,2.547,0.294956116449065
61,2.554,0.273181670516286
62,2.562,0.224648903264131
63,2.569,0.189180803571643
64,2.577,0.186818504255452
65,2.584,0.183683176097987
66,2.592,0.149938786678898
67,2.599,0.146280103591626
68,2.607,0.147057933854275
69,2.615,0.146957104005413
70,2.622,0.138876311832344
71,2.630,0.140667242004985
72,2.637,0.128361199022469
73,2.645,0.107758299905037
74,2.652,0.127405716168969
75,2.660,0.666514109504865
76,2.667,3.5530518170355
77,2.675,1.33920764831855
78,2.682,0.303853150255777
79,2.690,0.629250278218362
80,2.697,1.96556266944816
81,2.705,0.712569343327844
82,2.713,0.225858861450473
83,2.720,0.177177250135712
84,2.728,0.169413351773352
85,2.735,0.162004758592696
86,2.743,0.166686144432709
87,2.750,0.157145720161831
88,2.758,0.132005477845618
89,2.765,0.123679813182456
90,2.773,0.102332693751997
91,2.780,0.120851775992951
92,2.788,0.12154318067086
93,2.795,0.0941318660445689
94,2.803,0.0883653589739478
95,2.810,0.106942058271394
96,2.818,0.109784499725023
97,2.826,0.106265057857608
98,2.833,0.0856669601615506
99,2.841,0.0924321628780411
100,2.848,0.0936133125361367
101,2.856,0.0866800600715431
102,2.863,0.0891191821297242
103,2.871,0.079276268312261
104,2.878,0.0854701018852013
105,2.886,0.0944535612766518
106,2.893,0.0891143807083499
107,2.901,0.107388590459211
108,2.908,0.0874770960196889
109,2.916,0.104973475507902
110,2.924,0.0923121273436818
111,2.931,0.086459194688322
112,2.939,0.0892344162427092
113,2.946,0.0814753193017235
114,2.954,0.0791034171427836
115,2.961,0.29728960723701
116,2.969,5.77336350034373
117,2.976,36.7955486598609
118,2.984,91.5185772274538
119,2.991,100
120,2.999,2.1630259248906
121,3.006,0.118042944488943
122,3.014,0.0990389186891774
123,3.021,0.0754303297913888
124,3.029,0.0875731244471764
125,3.037,0.0759296776143235
126,3.044,0.0858254070669048
127,3.052,0.111729075381643
128,3.059,0.0841401081645002
129,3.067,0.072338214426293
130,3.074,0.0947368451377398
131,3.082,0.0766835007701
132,3.089,0.0680841550885992
133,3.097,0.0651552880502321
134,3.104,0.0727175267148685
135,3.112,0.0627833858912922
136,3.119,0.0429775227220064
137,3.127,0.0700863478017124
138,3.134,0.092249708865815
139,3.142,0.107057292384379
140,3.150,0.0466506100734013
141,3.157,0.0516104783531278
142,3.165,0.0672967219832021
143,3.172,0.0717716467041171
144,3.180,0.0717092282262503
145,3.187,0.0431359696273607
146,3.195,0.0682762119435741
147,3.202,0.0584957166039777
148,3.210,0.0443891406060719
149,3.217,0.0442787079144613
150,3.225,0.0623176480179781
151,3.232,0.0390115486667749
152,3.240,0.0585581350818445
153,3.248,0.0512983859637936
154,3.255,0.0563542826710077
155,3.263,0.0686123114397801
156,3.270,0.0629418327966465
