#"+EI TIC Scan IPA-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.758458873691941
1,2.102,0.57512305178505
2,2.110,0.373970280862268
3,2.117,0.315538750538049
4,2.125,0.304840094341249
5,2.132,0.281066481513258
6,2.140,0.251893150287477
7,2.148,0.241894654040095
8,2.155,0.22243869423352
9,2.163,0.210493541157073
10,2.170,0.191902172803188
11,2.178,0.196060698563373
12,2.185,0.183717727333847
13,2.193,0.179341727649979
14,2.200,0.16718440489189
15,2.208,0.161954422239414
16,2.215,0.152321918692865
17,2.223,0.130123665751066
18,2.230,0.13064878571313
19,2.238,0.132876567370372
20,2.246,0.122665901441348
21,2.253,0.133062215841808
22,2.261,0.134558012097385
23,2.268,0.121833135440903
24,2.276,0.117250270317435
25,2.283,0.116125771004732
26,2.291,0.111495167702895
27,2.298,0.118857455655874
28,2.306,0.117107055782327
29,2.313,0.129312116718785
30,2.321,0.645192089147335
31,2.328,0.529294400550368
32,2.336,0.211204309590574
33,2.343,0.160739750812013
34,2.351,0.136324324697055
35,2.359,0.138350545156736
36,2.366,0.120777591274734
37,2.374,0.121223147606182
38,2.381,0.12131331972088
39,2.389,0.104525393660953
40,2.396,0.11298565971643
41,2.404,0.135533992632938
42,2.411,0.173984443188518
43,2.419,0.34839322574032
44,2.426,0.326942870926309
45,2.434,0.124676209174907
46,2.441,0.100324433964441
47,2.449,0.0995712315946116
48,2.456,0.0924900684698084
49,2.464,0.0965265966630483
50,2.472,0.0856953344152219
51,2.479,0.0845124884400675
52,2.487,0.0960969530577231
53,2.494,0.0835948545669657
54,2.502,0.0938161289800712
55,2.509,0.0851808229372399
56,2.517,0.0836478969873762
57,2.524,0.0761742199515351
58,2.532,0.0667538860866284
59,2.539,0.0900554213729659
60,2.547,0.0607653968222816
61,2.554,0.0777867095320147
62,2.562,0.090373675895429
63,2.570,0.0679950787242343
64,2.577,0.0718990008664479
65,2.585,0.066615975793561
66,2.592,0.0747632915686155
67,2.600,0.0774790634936337
68,2.607,0.067448741794006
69,2.615,0.0709442372990587
70,2.622,0.0597788078026461
71,2.630,0.0712200578851934
72,2.637,0.0775161931879211
73,2.645,0.0776965374173168
74,2.652,0.0848943938670232
75,2.660,0.0704933767255694
76,2.667,0.0550686408701927
77,2.675,0.0719626517709405
78,2.683,0.0628658766705379
79,2.690,0.0594446405540599
80,2.698,0.0646056680600026
81,2.705,0.0573123352535574
82,2.713,0.0457968257824354
83,2.720,0.0620702403643802
84,2.728,0.0558801899024736
85,2.735,0.076778903544215
86,2.743,0.0681542059854658
87,2.750,0.0655179976910634
88,2.758,0.0646109723020437
89,2.765,0.0562196613931008
90,2.773,0.0639956802252818
91,2.781,0.0854884689756209
92,2.788,0.0732356698607928
93,2.796,0.0568190407437396
94,2.803,0.0438183435011233
95,2.811,0.0536789294554373
96,2.818,0.07761166954466
97,2.826,0.0771608089711707
98,2.833,0.0508146387532697
99,2.841,0.0604312295736954
100,2.848,0.0594075108597725
101,2.856,0.0759355290596878
102,2.863,0.0608290477267742
103,2.871,0.0661067685576201
104,2.878,0.058314836999316
105,2.886,0.0631735227089189
106,2.894,0.0708593694264019
107,2.901,0.0658044267612802
108,2.909,0.0700319076679979
109,2.916,0.0544533487934308
110,2.924,0.081558025623202
111,2.931,0.0651838304424772
112,2.939,0.0637251638811882
113,2.946,0.0611897361855657
114,2.954,0.0493559721919807
115,2.961,0.53026507684388
116,2.969,7.90479522045358
117,2.976,37.901880539452
118,2.984,83.6619054906066
119,2.992,100
120,2.999,3.01362633259136
121,3.007,0.117366963642338
122,3.014,0.103172811940485
123,3.022,0.0760999605629604
124,3.029,0.0801683142084466
125,3.037,0.0860984568103418
126,3.044,0.100743469085684
127,3.052,0.0847458750898737
128,3.059,0.0701963391712705
129,3.067,0.0735167946889685
130,3.074,0.0743389522053315
131,3.082,0.0722225596309521
132,3.089,0.0664939782266168
133,3.097,0.0665045867106989
134,3.105,0.0703342494643379
135,3.112,0.0481943431849905
136,3.120,0.0503690824218214
137,3.127,0.0654861722388171
138,3.135,0.100870770894669
139,3.142,0.0885384081492253
140,3.150,0.064849663193891
141,3.157,0.07947876274311
142,3.165,0.0919861654759085
143,3.172,0.0783542634304071
144,3.180,0.0449587555399493
145,3.187,0.0647011444167416
146,3.195,0.0546973439273192
147,3.202,0.0756597084735532
148,3.210,0.0789271215708407
149,3.218,0.0755483193906911
150,3.225,0.0601235835353145
151,3.233,0.0614549482876183
152,3.240,0.0463219457444994
153,3.248,0.0516102750594274
154,3.255,0.0615345119182341
155,3.263,0.0839290218155519
156,3.270,0.0506926411863256
157,3.278,0.0503372569695751
158,3.285,0.0587338721205591
159,3.293,0.0434152211060034
160,3.300,0.0459188233493796
161,3.308,0.0475047917196538
162,3.316,0.0694431368014413
163,3.323,0.0675017842144166
164,3.331,0.0492180618989133
165,3.338,0.0406357982764926
166,3.346,0.0636456002505724
167,3.353,0.119340141681609
168,3.361,0.0743283437212494
169,3.368,0.0455050924701776
170,3.376,0.0459559530436669
171,3.383,0.0314647637875152
172,3.391,0.0331409042724874
173,3.398,0.0338728896741525
174,3.406,0.0252481921154033
175,3.413,0.0218640856932127
176,3.421,0.0385087972180311
177,3.429,0.028531517938814
178,3.436,0.0355543344011657
179,3.444,0.0325733503740949
180,3.451,0.0402963267858654
181,3.459,0.031751192857732
182,3.466,0.023556138904308
183,3.474,0.0300379226784725
184,3.481,0.0264257338485167
185,3.489,0.0968554596695935
186,3.496,0.0816216765276946
187,3.504,0.0320906643483593
188,3.511,0.0191164883159482
189,3.519,0.0330560363998306
190,3.527,0.0408744891683399
191,3.534,0.0416329957802102
192,3.542,0.0164113248750122
193,3.549,0.0276085798236711
194,3.557,0.0199545585584343
195,3.564,0.0171008763403488
196,3.572,0.0248344612362013
197,3.579,0.0244684685353688
198,3.587,0.029051333658837
199,3.594,0.0247761145737498
200,3.602,0.0191005755898251
201,3.609,0.0202993342911026
