#"+EI TIC Scan MEOH-ABS.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.209884570502255
1,2.102,0.201833674809414
2,2.110,0.150347699884826
3,2.117,0.191800750329447
4,2.125,0.249928568033314
5,2.132,0.333735059581013
6,2.140,0.338465033884215
7,2.147,0.19903895575264
8,2.155,0.1490146539749
9,2.162,0.149435615841193
10,2.170,0.143325822087366
11,2.178,0.156895995582707
12,2.185,0.183480906777585
13,2.193,0.167314801773442
14,2.200,0.102135872809179
15,2.208,0.11702739882927
16,2.215,0.100434485266247
17,2.223,0.0874723677999954
18,2.230,0.0912727179818012
19,2.238,0.106971087578953
20,2.245,0.0935880082464091
21,2.253,0.0837246378514761
22,2.260,0.0789771234705125
23,2.268,0.0669270900478943
24,2.276,0.0787140223040798
25,2.283,0.0901150728494973
26,2.291,0.0772231156942945
27,2.298,0.0869812456226543
28,2.306,0.0789303499298134
29,2.313,0.0769717079130365
30,2.321,0.0571514200417723
31,2.328,0.106339644779515
32,2.336,0.0641265242985328
33,2.343,0.0907231288785862
34,2.351,0.0703590985966944
35,2.358,0.0879459498995743
36,2.366,0.0749604456629731
37,2.373,0.097300658039404
38,2.381,0.0732181312719298
39,2.389,0.0923894362659934
40,2.396,0.198138565094181
41,2.404,0.250080582040586
42,2.411,0.141641974622197
43,2.419,0.0892673024243252
44,2.426,0.067798247243416
45,2.434,0.0705695795298406
46,2.441,0.0777785514900968
47,2.449,0.0597882783986868
48,2.456,0.0617936939561628
49,2.464,0.0652666293530746
50,2.471,0.111093005853065
51,2.479,0.103954194203858
52,2.487,0.0688740386794964
53,2.494,0.066535361644539
54,2.502,0.0783924542117732
55,2.509,0.0721774199913738
56,2.517,0.0619106278079107
57,2.524,0.0513748877654274
58,2.532,0.0481124333016618
59,2.539,0.0563036496166002
60,2.547,0.0596245710062398
61,2.554,0.0791876044036587
62,2.562,0.0507200581956393
63,2.569,0.0604197211981253
64,2.577,0.0633781476473465
65,2.584,0.0547016558476544
66,2.592,0.0671024908255162
67,2.600,0.0710607017071816
68,2.607,0.0639452768283236
69,2.615,0.0603437141944892
70,2.622,0.0642434581502807
71,2.630,0.0641089842207706
72,2.637,0.0538363453447201
73,2.645,0.0579991904669444
74,2.652,0.0598408986319733
75,2.660,0.0501763157850117
76,2.667,0.0488549632602608
77,2.675,0.067277891603138
78,2.682,0.0361968738085537
79,2.690,0.0606009686683345
80,2.697,0.0505914309587167
81,2.705,0.0532575227785682
82,2.713,0.059940292405959
83,2.720,0.0548712099326888
84,2.728,0.0811871732685473
85,2.735,0.0763285717284232
86,2.743,0.0754457211477268
87,2.750,0.0854026386240581
88,2.758,0.0707683670778119
89,2.765,0.0763519584987728
90,2.773,0.0991540595896078
91,2.780,0.0788601896187647
92,2.788,0.0763753452691224
93,2.795,0.0825026791007109
94,2.803,0.0652841694308368
95,2.811,0.118880800379474
96,2.818,0.0667399958850978
97,2.826,0.0721774199913738
98,2.833,0.035682364860863
99,2.841,0.0745453304892682
100,2.848,0.0703357118263448
101,2.856,0.0564264301609355
102,2.863,0.0541345266666772
103,2.871,0.0562802628462506
104,2.878,0.0511351733693443
105,2.886,0.071809078358368
106,2.893,0.0577770161486234
107,2.901,0.0574729881340789
108,2.908,0.0374539127148433
109,2.916,0.0668569297368456
110,2.924,0.0824968324081235
111,2.931,0.0509597725917225
112,2.939,0.0660383927746105
113,2.946,0.0621912690521055
114,2.954,0.353204545897034
115,2.961,8.44844155532079
116,2.969,47.4771667652711
117,2.976,100
118,2.984,28.3088260443494
119,2.991,0.450055008607208
120,2.999,0.149318681989445
121,3.006,0.111367800404673
122,3.014,0.0966692152399655
123,3.022,0.0709554612406085
124,3.029,0.0748668985815748
125,3.037,0.0929097919062714
126,3.044,0.0874723677999954
127,3.052,0.0830873483594502
128,3.059,0.09024370008642
129,3.067,0.076147324258214
130,3.074,0.0828067071152553
131,3.082,0.0735221592864743
132,3.089,0.0768255405983517
133,3.097,0.0585897064182711
134,3.104,0.0487555694862751
135,3.112,0.0742179157043742
136,3.119,0.0684998503539032
137,3.127,0.107929945163286
138,3.135,0.0713179561810269
139,3.142,0.0555903531209382
140,3.150,0.0548712099326888
141,3.157,0.0715108970364109
142,3.165,0.0847068822061582
143,3.172,0.065956539078387
144,3.180,0.05796411031142
145,3.187,0.0675000659214589
146,3.195,0.0522694317312986
147,3.202,0.061454585786094
148,3.210,0.0567479982532421
149,3.217,0.0499950683148025
150,3.225,0.0341154512474416
151,3.233,0.0535557041005252
152,3.240,0.0409619282672795
153,3.248,0.0507025181178772
154,3.255,0.0671258775958657
155,3.263,0.0713764231069009
156,3.270,0.045218320470902
157,3.278,0.0452066270857272
158,3.285,0.0429205702840563
159,3.293,0.037138191315124
160,3.300,0.0600513795651195
161,3.308,0.0708911476221472
162,3.315,0.0671317242884531
163,3.323,0.0482527539237592
164,3.330,0.0131901384771599
165,3.338,0.0374948395629551
166,3.346,0.0354368037721925
167,3.353,0.0455925087964952
168,3.361,0.0464461259142546
169,3.368,0.0265089041912425
170,3.376,0.022223278524683
171,3.383,0.0357115983238
172,3.391,0.0278887236418674
173,3.398,0.0214924419512588
174,3.406,0.0243573213190817
175,3.413,0.0174348372956077
176,3.421,0.0372317383965223
177,3.428,0.0420961866292338
178,3.436,0.0291399158555696
179,3.444,0.0340452909363928
180,3.451,0.0378690278885482
181,3.459,0.0423300543327295
182,3.466,0.0273976014645263
183,3.474,0.0226500870835627
184,3.481,0.0524799126644448
185,3.489,0.0995516346855505
186,3.496,0.0697393491824307
187,3.504,0.0324257570896848
188,3.511,0.0184930886539259
189,3.519,0.0336243290701005
190,3.526,0.0454931150225095
191,3.534,0.0368049298376426
192,3.541,0.0271052668351567
193,3.549,0.0324316037822722
194,3.557,0.0377053204961012
195,3.564,0.0179434995507109
196,3.572,0.0261464092508241
197,3.579,0.0187678832055334
198,3.587,0.0353198699204446
199,3.594,0.0477499383612434
200,3.602,0.0354134170018429
201,3.609,0.0295199508737502
202,3.617,0.0347995142801666
203,3.624,0.0257956076955805
204,3.632,0.0449669126896441
205,3.639,0.0272572808424289
206,3.647,0.0101323182539531
207,3.654,0.0195747267825937
208,3.662,0.0302624808323492
209,3.670,0.0433006053022369
210,3.677,0.035191242683522
211,3.685,0.0107813011311538
212,3.692,0.0342382317917768
213,3.700,0.0202354030449692
214,3.707,0.0481825936127105
215,3.715,0.0392430006465857
216,3.722,0.020767452070422
217,3.730,0.0322678963898252
218,3.737,0.0451832403153776
219,3.745,0.044610264441813
220,3.752,0.0442886963495064
221,3.760,0.0342966987176508
222,3.768,0.0478610255204039
223,3.775,0.0454697282521599
224,3.783,0.0452534006264263
225,3.790,0.0196039602455307
226,3.798,0.0394651749649067
227,3.805,0.0194811797011954
228,3.813,0.0470366418655814
229,3.820,0.0409736216524542
230,3.828,0.013652027191564
231,3.835,0.0247432030298496
232,3.843,0.0293503967887158
233,3.850,0.0379158014292474
234,3.858,0.0527137803679406
235,3.865,0.0412601095892365
236,3.873,0.0413945835187466
