#"+EI TIC Scan MEOH-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.178686205590482
1,2.102,0.165816637571711
2,2.110,0.160844431587927
3,2.117,0.150178518414612
4,2.125,0.138707208546512
5,2.132,0.113572120030059
6,2.140,0.121458295999841
7,2.147,0.128874657230997
8,2.155,0.10037256308773
9,2.162,0.11714047483057
10,2.170,0.0944215763984763
11,2.177,0.110853906185156
12,2.185,0.103549405606053
13,2.193,0.108225180861895
14,2.200,0.110311382022696
15,2.208,0.103717196584134
16,2.215,0.0912503269127556
17,2.223,0.115999496179623
18,2.230,0.0917201416513809
19,2.238,0.0898520687620851
20,2.245,0.0807857629131377
21,2.253,0.0618757196834701
22,2.260,0.0617470799336085
23,2.268,0.0656845748858965
24,2.275,0.0686768473283314
25,2.283,0.0931463649650648
26,2.291,0.0794658072189048
27,2.298,0.0742698799310133
28,2.306,0.0673736707319065
29,2.313,0.0631173729212655
30,2.321,0.0595993554141786
31,2.328,0.0603208566199246
32,2.336,0.0673848567971118
33,2.343,0.0582570275895349
34,2.351,0.0535812523336928
35,2.358,0.0761323597877064
36,2.366,0.0762218483093493
37,2.373,0.0567357227216055
38,2.381,0.0541293695287557
39,2.388,0.0890410790346963
40,2.396,0.18637662541917
41,2.404,0.259925004144437
42,2.411,0.175503770039556
43,2.419,0.077334861797283
44,2.426,0.0613891258470368
45,2.434,0.0868877614826637
46,2.441,0.0704050944025601
47,2.449,0.0637437925727659
48,2.456,0.077950095383578
49,2.464,0.0586653189695307
50,2.471,0.0497388389356504
51,2.479,0.0770775822975596
52,2.486,0.082821626780514
53,2.494,0.048497185697855
54,2.502,0.0572111304928334
55,2.509,0.0572390956558468
56,2.517,0.0494256291099002
57,2.524,0.0448617145061117
58,2.532,0.0791861555887707
59,2.539,0.0695213952513363
60,2.547,0.0622224877048364
61,2.554,0.0608633807823847
62,2.562,0.0480273709592297
63,2.569,0.060717961934715
64,2.577,0.0534973568446526
65,2.584,0.0768258958304389
66,2.592,0.0667584371456115
67,2.599,0.0561540473309265
68,2.607,0.0659138892226065
69,2.615,0.0552759412123055
70,2.622,0.0790910740345251
71,2.630,0.0509133757822136
72,2.637,0.0398671363919168
73,2.645,0.0508015151301599
74,2.652,0.049973746304963
75,2.660,0.0512545507709772
76,2.667,0.0583856673393966
77,2.675,0.043854968637629
78,2.682,0.0489614074038776
79,2.690,0.0612940442927912
80,2.697,0.0524738318783618
81,2.705,0.0711321886409087
82,2.713,0.0438214104420129
83,2.720,0.0464948800260949
84,2.728,0.0750752766257995
85,2.735,0.0734197389754056
86,2.743,0.0684810911872375
87,2.750,0.0737944721597853
88,2.758,0.0576138288402265
89,2.765,0.064744945408646
90,2.773,0.0974977443299513
91,2.780,0.0905567908700231
92,2.788,0.0638109089639981
93,2.795,0.0580333062854277
94,2.803,0.0533463449643802
95,2.810,0.0970558947543395
96,2.818,0.0711377816735114
97,2.826,0.0547334170498453
98,2.833,0.0399230667179436
99,2.841,0.0650301900713827
100,2.848,0.0547278240172426
101,2.856,0.0695437673817471
102,2.863,0.062809756128118
103,2.871,0.0563442104394177
104,2.878,0.0742027635397811
105,2.886,0.0788841318282259
106,2.893,0.0670996121343751
107,2.901,0.0750976487562102
108,2.908,0.0606732176738935
109,2.916,0.0622504528678498
110,2.924,0.0595098668925357
111,2.931,0.0631453380842789
112,2.939,0.0522277384438438
113,2.946,0.0549739174517606
114,2.954,0.416468393660902
115,2.961,8.94391351650291
116,2.969,48.4271497436042
117,2.976,100
118,2.984,43.4569404724591
119,2.991,0.612028778613675
120,2.999,0.160754943066284
121,3.006,0.122095901716546
122,3.014,0.100993389706628
123,3.021,0.0859145738097971
124,3.029,0.0676477293294379
125,3.037,0.0878721352207357
126,3.044,0.112179454911991
127,3.052,0.0762162552767466
128,3.059,0.0906854306198848
129,3.067,0.0842814082898139
130,3.074,0.0766189536241397
131,3.082,0.0720382599225432
132,3.089,0.0644652937785119
133,3.097,0.0699464657291402
134,3.104,0.0570880837755744
135,3.112,0.0648120617998782
136,3.119,0.0606396594782774
137,3.127,0.094320901811628
138,3.134,0.0590903894473345
139,3.142,0.0642359794418019
140,3.150,0.0478204287529305
141,3.157,0.0571272350037932
142,3.165,0.0627090815412698
143,3.172,0.0655671212012402
144,3.180,0.048637011512922
145,3.187,0.0593868201752767
146,3.195,0.0497947692616772
147,3.202,0.0530387281712327
148,3.210,0.0760820224942822
149,3.217,0.0447442608214554
150,3.225,0.0444646091913213
151,3.232,0.0357226992333295
152,3.240,0.0326633103996624
153,3.248,0.0422218031176459
154,3.255,0.0622616389330552
155,3.263,0.0739958213334819
156,3.270,0.0628656864541449
157,3.278,0.0384465061108356
158,3.285,0.0474401025359481
159,3.293,0.0398056130332873
160,3.300,0.044716295658442
161,3.308,0.0423056986066861
162,3.315,0.0540286949419074
163,3.323,0.0413381039664221
164,3.330,0.0429712694864052
165,3.338,0.0451693312992592
166,3.345,0.0347495115604628
167,3.353,0.0279092326873828
168,3.361,0.0287258154473744
169,3.368,0.0335973468443103
170,3.376,0.0511762483145396
171,3.383,0.030560330141054
172,3.391,0.0287202224147717
173,3.398,0.0197601841852752
174,3.406,0.0489837795342883
175,3.413,0.0285356523388832
176,3.421,0.0211304771729323
177,3.428,0.0504603401413963
178,3.436,0.0292963047728479
179,3.443,0.0289103855232629
180,3.451,0.0365896192867452
181,3.459,0.021734524694022
182,3.466,0.0364665725694862
183,3.474,0.028116174893682
184,3.481,0.037613144253036
185,3.489,0.0827824755522952
186,3.496,0.0627761979325019
187,3.504,0.0406389748910869
188,3.511,0.044240887887214
189,3.519,0.0282671867739545
190,3.526,0.0324284030303498
191,3.534,0.0298723871309242
192,3.541,0.0151235601576519
193,3.549,0.0399566249135597
194,3.556,0.0204313480975971
195,3.564,0.0272268827098556
196,3.572,0.01514033925546
197,3.579,0.0384688782412463
198,3.587,0.011376228313855
199,3.594,0.027377894590128
200,3.602,0.0204984644888293
201,3.609,0.0290613974035353
202,3.617,0.0284573498824456
203,3.624,0.0237871676592062
204,3.632,0.0199671263915745
205,3.639,0.0335637886486942
206,3.647,0.0182892166107699
207,3.654,0.0261250552871273
208,3.662,0.0146928966472454
209,3.670,0.0325067054867874
210,3.677,0.0303030506413307
211,3.685,0.00765126860046887
212,3.692,0.0189268223274756
213,3.700,0.0303813530977682
214,3.707,0.0361253975807226
