#"+EI TIC Scan MEOH-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.228355031019374
1,2.102,0.195663551614747
2,2.110,0.20289812682741
3,2.117,0.204619412164233
4,2.125,0.183614554256985
5,2.133,0.17230972161251
6,2.140,0.194272287150773
7,2.148,0.152592592209126
8,2.155,0.165146327372423
9,2.163,0.148515863779808
10,2.170,0.138071673803746
11,2.178,0.125110265797517
12,2.185,0.143850274577366
13,2.193,0.132610151907961
14,2.200,0.134176133304619
15,2.208,0.126145625398613
16,2.215,0.108395679237313
17,2.223,0.109560458788546
18,2.230,0.130008810910205
19,2.238,0.126967442081984
20,2.246,0.126100328416065
21,2.253,0.0931176541236302
22,2.261,0.10955398779104
23,2.268,0.0953177932759606
24,2.276,0.105173122478899
25,2.283,0.11185766290348
26,2.291,0.116031456295401
27,2.298,0.105884932204653
28,2.306,0.113488354275207
29,2.313,0.140012973055802
30,2.321,0.134946182007935
31,2.328,0.130422954750644
32,2.336,0.112485349661644
33,2.344,0.117694502654662
34,2.351,0.0756394898576173
35,2.359,0.0979644312562639
36,2.366,0.0862195707813238
37,2.374,0.091752273649684
38,2.381,0.105406078389146
39,2.389,0.131380662381658
40,2.396,0.222110518425259
41,2.404,0.257946902618217
42,2.411,0.145649211884272
43,2.419,0.0886656078389146
44,2.426,0.0933311970413564
45,2.434,0.0739505595083284
46,2.441,0.0669101142208712
47,2.449,0.0610473904796614
48,2.457,0.067893705841913
49,2.464,0.0727857799570947
50,2.472,0.0618821491580456
51,2.479,0.0774319561670159
52,2.487,0.0813533806561695
53,2.494,0.0634028335721563
54,2.502,0.0596496550181809
55,2.509,0.0667677522757204
56,2.517,0.0778849259924957
57,2.524,0.0610862164647025
58,2.532,0.0686961095327629
59,2.539,0.0720027892587654
60,2.547,0.0623739449685665
61,2.555,0.0672401350937207
62,2.562,0.0755812508800557
63,2.570,0.066211246490131
64,2.577,0.0782214178628521
65,2.585,0.0748629701567949
66,2.592,0.0625163069137173
67,2.600,0.0412137831211536
68,2.607,0.0545052120002319
69,2.615,0.0620568660907306
70,2.622,0.0727081279870125
71,2.630,0.0576565877860699
72,2.637,0.0496325508775708
73,2.645,0.0556441075614382
74,2.652,0.0444557528720875
75,2.660,0.0453552215255403
76,2.668,0.0624774809286762
77,2.675,0.0731222718274511
78,2.683,0.069226731328325
79,2.690,0.0479565625232956
80,2.698,0.055035833795794
81,2.705,0.0523503698304495
82,2.713,0.070333271901997
83,2.720,0.0514832561645311
84,2.728,0.0735558286604103
85,2.735,0.0698673600815035
86,2.743,0.0697767661164076
87,2.750,0.078538496740688
88,2.758,0.0628980957666217
89,2.765,0.0769336893589882
90,2.773,0.0800074131747439
91,2.781,0.0787714526509347
92,2.788,0.050156701675626
