#"+EI TIC Scan MEOH-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.198669151445641
1,2.102,0.147635868055203
2,2.110,0.158630906666569
3,2.117,0.133859822493331
4,2.125,0.139839761372061
5,2.132,0.143910660229109
6,2.140,0.128617701785143
7,2.147,0.113479530369963
8,2.155,0.122090848738039
9,2.163,0.122111487008544
10,2.170,0.104280021292504
11,2.178,0.109666609894224
12,2.185,0.104450287024167
13,2.193,0.113778785292281
14,2.200,0.116007718506786
15,2.208,0.0942085452862216
16,2.215,0.101003695849886
17,2.223,0.0809123395135838
18,2.230,0.0728066587728722
19,2.238,0.0974642324583343
20,2.245,0.0754070808564614
21,2.253,0.0865465873613605
22,2.261,0.0823776567194158
23,2.268,0.0868252040131736
24,2.276,0.0771561742817327
25,2.283,0.0771458551464804
26,2.291,0.0542992896978036
27,2.298,0.0477053622715595
28,2.306,0.0611718337758608
29,2.313,0.0567913608612433
30,2.321,0.0546759381345139
31,2.328,0.0599128992750756
32,2.336,0.0448418022390356
33,2.343,0.0760004311334708
34,2.351,0.05620317015186
35,2.358,0.0537472159618035
36,2.366,0.0495112109407187
37,2.374,0.0507546667386254
38,2.381,0.0659908699387028
39,2.389,0.0952404588114554
40,2.396,0.193870753553304
41,2.404,0.252194505999519
42,2.411,0.153342349849746
43,2.419,0.073776657486592
44,2.426,0.070572565990741
45,2.434,0.0650363499278615
46,2.441,0.0625236404939171
47,2.449,0.0664655501603103
48,2.456,0.0748859645262183
49,2.464,0.0666409754596001
50,2.472,0.0726312334735824
51,2.479,0.0655884236638616
52,2.487,0.0696077268446473
53,2.494,0.0734928812671527
54,2.502,0.0627197040637116
55,2.509,0.0605010899844589
56,2.517,0.0568687543756358
57,2.524,0.0427005816741755
58,2.532,0.0441039840684935
59,2.539,0.0586694434771688
60,2.547,0.047416426484494
61,2.554,0.0585765712598978
62,2.562,0.0523076965941023
63,2.569,0.0532776953078221
64,2.577,0.060748749230515
65,2.585,0.0611924720463655
66,2.592,0.0513067404746255
67,2.600,0.0559555109058039
68,2.607,0.049459615264457
69,2.615,0.0443206859087926
70,2.622,0.0603359838204215
71,2.630,0.0540774282898783
72,2.637,0.055867798256159
73,2.645,0.0483038721161951
74,2.652,0.0530506743322707
75,2.660,0.0619818858931694
76,2.667,0.0494131791558215
77,2.675,0.0572247645418415
78,2.682,0.0609757702060664
79,2.690,0.0617393862147394
80,2.698,0.0639580002939922
81,2.705,0.0647422545731699
82,2.713,0.0522251435120836
83,2.720,0.0471481289679332
84,2.728,0.0567862012936171
85,2.735,0.0864846725498464
86,2.743,0.0547636507841588
87,2.750,0.0626165127111882
88,2.758,0.0686893238071892
89,2.765,0.070634480802255
90,2.773,0.0789259059775087
91,2.780,0.0713155437289093
92,2.788,0.0623327364917489
93,2.796,0.0466321722053163
94,2.803,0.0558729578237852
95,2.811,0.100343271193737
96,2.818,0.0467869592341014
97,2.826,0.0468437144779893
98,2.833,0.0477053622715595
99,2.841,0.0519104098868873
100,2.848,0.0368186745803427
101,2.856,0.0544540767265887
102,2.863,0.0515492401530555
103,2.871,0.0644223613803474
104,2.878,0.065325285714927
105,2.886,0.0686893238071892
106,2.893,0.0427728156209418
107,2.901,0.0510900386343264
108,2.909,0.0722958615778814
109,2.916,0.0660682634530953
110,2.924,0.0661456569674879
111,2.931,0.0513376978803825
112,2.939,0.0250239029869201
113,2.946,0.0498362637011673
114,2.954,0.370173179339502
115,2.961,8.85210507005429
116,2.969,46.00245213611
117,2.976,100
118,2.984,36.2234874972583
119,2.991,0.47544383761623
120,2.999,0.1310736559752
121,3.007,0.125496163371311
122,3.014,0.115306017309627
123,3.022,0.0839461652777713
124,3.029,0.0637051814803099
125,3.037,0.0887342440348562
126,3.044,0.0827749434266309
127,3.052,0.0735909130520499
