#"+EI TIC Scan MEOH-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.213770794171668
1,2.102,0.177758398673455
2,2.110,0.162788436615181
3,2.117,0.176662713619807
4,2.125,0.155283654048929
5,2.132,0.167719019356597
6,2.140,0.170893865807227
7,2.148,0.145343282417641
8,2.155,0.14235985082578
9,2.163,0.1501946590106
10,2.170,0.124036828482848
11,2.178,0.139178403862778
12,2.185,0.145085862435157
13,2.193,0.116083211075343
14,2.200,0.118743217561006
15,2.208,0.130703345977935
16,2.215,0.116142615686685
17,2.223,0.117621130457873
18,2.230,0.113641021497935
19,2.238,0.0919913409198302
20,2.246,0.097608376947869
21,2.253,0.0976941836086968
22,2.261,0.103469631933648
23,2.268,0.107476142943072
24,2.276,0.0938526854085575
25,2.283,0.100664414175815
26,2.291,0.0898923779857335
27,2.298,0.10227493919443
28,2.306,0.100380592143846
29,2.313,0.119132647790917
30,2.321,0.0950935817343757
31,2.328,0.0954632104271726
32,2.336,0.0814701241998611
33,2.343,0.0951265842962326
34,2.351,0.110987615524643
35,2.359,0.0872719745742983
36,2.366,0.0606191056186928
37,2.374,0.0782028705760313
38,2.381,0.0812391062668631
39,2.389,0.139501828968976
40,2.396,0.235618490120914
41,2.404,0.24357870804079
42,2.411,0.155217648925215
43,2.419,0.0967635113643332
44,2.426,0.0901629989929598
45,2.434,0.0847835814102906
46,2.441,0.0726386386469636
47,2.449,0.085126808053602
48,2.456,0.0722492084170526
49,2.464,0.0846977747494627
50,2.472,0.0886316801228012
51,2.479,0.0616883886228552
52,2.487,0.0714703479572305
53,2.494,0.0843479475937799
54,2.502,0.0638863592425226
55,2.509,0.0641503797373775
56,2.517,0.0779652521306619
57,2.524,0.0788761228379114
58,2.532,0.0777144326605497
59,2.539,0.080018011478159
60,2.547,0.0782226721131455
61,2.554,0.088202646818662
62,2.562,0.0959450478302829
63,2.570,0.0664605590673582
64,2.577,0.070770693645865
65,2.585,0.0698994260128437
66,2.592,0.0872455725248128
67,2.600,0.059774240035157
68,2.607,0.0779256490564337
69,2.615,0.0780312572543756
70,2.622,0.0732062827109017
71,2.630,0.0627114680404181
72,2.637,0.0696618075674742
73,2.645,0.0747772046552886
74,2.652,0.0716089587170294
75,2.660,0.064123977687892
76,2.667,0.0763151240378186
77,2.675,0.0808562765493234
78,2.683,0.0621372234641086
79,2.690,0.0782094710884027
80,2.698,0.0794305658771068
81,2.705,0.0614177676156289
82,2.713,0.0591867944341047
83,2.720,0.0668631903220119
84,2.728,0.0865261166763331
85,2.735,0.0763679281367896
86,2.743,0.0938526854085575
87,2.750,0.101859106915033
88,2.758,0.0830542471689907
89,2.765,0.0744867821109482
90,2.773,0.101621488469664
91,2.781,0.0669952005694394
92,2.788,0.0647048227765729
93,2.796,0.0544938301380583
94,2.803,0.109462897166855
95,2.811,0.099324510164426
96,2.818,0.0790939397461667
97,2.826,0.0591669928969906
98,2.833,0.0619986127043098
99,2.841,0.0787573136152267
100,2.848,0.0714703479572305
101,2.856,0.0587445601052227
102,2.863,0.0664869611168437
103,2.871,0.0725726335232499
104,2.878,0.0648896371229713
105,2.886,0.0679852774251454
106,2.894,0.0711865259252615
107,2.901,0.0767969614409288
108,2.909,0.0630018905847585
109,2.916,0.0678334656406038
110,2.924,0.0749026143903447
111,2.931,0.0868033381959308
112,2.939,0.0508305457719461
113,2.946,0.0708168972324646
114,2.954,0.854832357216561
115,2.961,14.6319234176872
116,2.969,60.7492875241934
117,2.976,100
118,2.984,17.0061211171578
119,2.992,0.307913902124566
120,2.999,0.183593251609749
121,3.007,0.147224428443482
122,3.014,0.122439504488975
123,3.022,0.113753230208248
124,3.029,0.0930870259734782
125,3.037,0.153415709047831
126,3.044,0.127574703113904
127,3.052,0.100770022373757
128,3.059,0.108387013650322
129,3.067,0.0997535434685653
130,3.074,0.0990604896695711
131,3.082,0.0995819301469096
132,3.089,0.106347455327567
133,3.097,0.0870277556165575
134,3.105,0.0758926912460507
135,3.112,0.0793909628028785
136,3.120,0.110419971460705
137,3.127,0.139917661248372
138,3.135,0.0944731335714666
139,3.142,0.0794635684389636
140,3.150,0.0929352141889366
141,3.157,0.0995951311716523
142,3.165,0.102631366862484
143,3.172,0.0814437221503757
144,3.180,0.0751402328357141
