#"+EI TIC Scan MEOH-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.141840594162243
1,2.102,0.137430251933176
2,2.110,0.130005393872005
3,2.117,0.128844160146799
4,2.125,0.123917714039861
5,2.132,0.120404688780271
6,2.140,0.104071174009056
7,2.147,0.120486796215387
8,2.155,0.104276442596845
9,2.162,0.10184840844414
10,2.170,0.0990332963830326
11,2.178,0.0883358705508254
12,2.185,0.088406248352353
13,2.193,0.0836381522988528
14,2.200,0.0759552422987478
15,2.208,0.0829871576347217
16,2.215,0.0808347698713335
17,2.223,0.0702311811078299
18,2.230,0.0642314735275952
19,2.238,0.0773979872300652
20,2.245,0.0693631882223218
21,2.253,0.0606832593672414
22,2.260,0.0672108004589336
23,2.268,0.0593871348557733
24,2.276,0.0954205692379451
25,2.283,0.0622257061840564
26,2.291,0.0584898178862954
27,2.298,0.0602609925580753
28,2.306,0.0374937737638711
29,2.313,0.0566130765122239
30,2.321,0.0567421024816914
31,2.328,0.064935251542872
32,2.336,0.0601319665886079
33,2.343,0.0432647534891408
34,2.351,0.0444787705654933
35,2.358,0.0535809662297398
36,2.366,0.0477044198021786
37,2.373,0.0370011291531773
38,2.381,0.05309418643584
39,2.389,0.0780489818941962
40,2.396,0.173088338040533
41,2.404,0.240809377560542
42,2.411,0.12338401571161
43,2.419,0.0654337609703597
44,2.426,0.04606813591666
45,2.434,0.0444142575807596
46,2.441,0.020837694068987
47,2.449,0.0484551163518071
48,2.456,0.0455344375884085
49,2.464,0.0407311526341443
50,2.471,0.0356053027562117
51,2.479,0.0446195261685486
52,2.487,0.0374233959623434
53,2.494,0.0458980562296348
54,2.502,0.0242686118934614
55,2.509,0.0600088054359345
56,2.517,0.0426196236418037
57,2.524,0.0462792693212431
58,2.532,0.0382561999470876
59,2.539,0.0348194173058193
60,2.547,0.0444846353822872
61,2.554,0.0281745798782476
62,2.562,0.0435286702448696
63,2.569,0.0577684454206367
64,2.577,0.0876614166195184
65,2.584,0.0565192394435204
66,2.592,0.0319867107943302
67,2.600,0.0536278847640916
68,2.607,0.036631645695157
69,2.615,0.0304735880614851
70,2.622,0.0492468666189935
71,2.630,0.0565896172450481
72,2.637,0.0411416898097225
73,2.645,0.0209315311376906
74,2.652,0.0322858164508228
75,2.660,0.0474874215808015
76,2.667,0.0232950523056618
77,2.675,0.0368369142829461
78,2.682,0.0180753653590256
79,2.690,0.0234534023590991
80,2.698,0.0353003322829251
81,2.705,0.0452353319319158
82,2.713,0.0345203116493267
83,2.720,0.0439685315044176
84,2.728,0.0389834372295403
85,2.735,0.0447954706723678
86,2.743,0.0420624660463763
87,2.750,0.0425140569395122
88,2.758,0.0410830416417827
89,2.765,0.0448482540235136
90,2.773,0.0805591234820168
91,2.780,0.0523200306190355
92,2.788,0.025453304885844
93,2.795,0.0493758925884609
94,2.803,0.0614163614664881
95,2.811,0.0668237225505314
96,2.818,0.0368369142829461
97,2.826,0.0338693169851956
98,2.833,0.0252421714812609
99,2.841,0.0251541992293513
100,2.848,0.0486603849395962
