#"+EI TIC Scan MEOH-PEEK-1Week.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.18899543366106
1,2.102,0.183657217522271
2,2.110,0.177842262926904
3,2.117,0.172466409541544
4,2.125,0.140136014736237
5,2.132,0.155906021049885
6,2.140,0.152336755499978
7,2.148,0.134804071471877
8,2.155,0.1611187797001
9,2.163,0.134264604271012
10,2.170,0.131454356526973
11,2.178,0.124616923399735
12,2.185,0.119749172843096
13,2.193,0.106613773789484
14,2.200,0.104581362474599
15,2.208,0.127182529041056
16,2.215,0.106783141399058
17,2.223,0.100955641054834
18,2.230,0.0888866306540946
19,2.238,0.0898651990649653
20,2.246,0.095661335037046
21,2.253,0.0878829707455092
22,2.261,0.0853800938484743
23,2.268,0.0823063853784315
24,2.276,0.0924182589574294
25,2.283,0.0890371796403824
26,2.291,0.111318429610978
27,2.298,0.0775766380592228
28,2.306,0.0911699569461264
29,2.313,0.0898275618183934
30,2.321,0.0735682712993099
31,2.328,0.0913581431789861
32,2.336,0.0865782128643482
33,2.343,0.0801924266959735
34,2.351,0.063437579097026
35,2.359,0.0757512316004831
36,2.366,0.0841882477070292
37,2.374,0.0596675815654021
38,2.381,0.0665740163113554
39,2.389,0.137884052816348
40,2.396,0.227949983863031
41,2.404,0.284976685293967
42,2.411,0.145010038167304
43,2.419,0.131711544378548
44,2.426,0.103458517951869
45,2.434,0.0985907673952297
46,2.441,0.0986472232650876
47,2.449,0.0737062745367404
48,2.457,0.0924245318318581
49,2.464,0.106682775408199
50,2.472,0.078768484200668
51,2.479,0.0986660418883736
52,2.487,0.0941683909230252
53,2.494,0.089595465464533
54,2.502,0.0833351367847316
55,2.509,0.0834982315198767
56,2.517,0.0852232719877579
57,2.524,0.076359700420063
58,2.532,0.0808698971342687
59,2.539,0.0873372306702159
60,2.547,0.0821370177688577
61,2.554,0.0753372218881917
62,2.562,0.0993623309499547
63,2.570,0.076911713369785
64,2.577,0.0921987083524264
65,2.585,0.0871051343163555
66,2.592,0.0814219100839906
67,2.600,0.0866472144830634
68,2.607,0.0843764339398889
69,2.615,0.0696979077768274
70,2.622,0.0781035595112302
71,2.630,0.0723952437811507
72,2.637,0.0819613772848553
73,2.645,0.0928134500464349
74,2.652,0.0826263019742931
75,2.660,0.0705447458246964
76,2.667,0.0604705094922704
77,2.675,0.0625154665560132
78,2.683,0.0677344980806572
79,2.690,0.0725771571395818
80,2.698,0.0841882477070292
81,2.705,0.0969033641739205
82,2.713,0.0755379538699087
83,2.720,0.0868416735903518
84,2.728,0.102197670191708
85,2.735,0.102592861280714
86,2.743,0.0890309067659537
87,2.750,0.119391619000662
88,2.758,0.082482025862434
89,2.765,0.0745782040823239
90,2.773,0.104223808632165
91,2.781,0.076378519043349
92,2.788,0.0833414096591602
93,2.796,0.074045009755888
94,2.803,0.101012096924692
95,2.811,0.105679115499614
96,2.818,0.0625091936815845
97,2.826,0.0828207610815816
98,2.833,0.0587015589033886
99,2.841,0.0735243611783093
100,2.848,0.0656958138913431
101,2.856,0.0728280721167281
102,2.863,0.0712786721328494
103,2.871,0.0670570276423621
104,2.878,0.0576602617482313
105,2.886,0.0817857368008529
106,2.894,0.0477428472765218
107,2.901,0.0789127603125271
108,2.909,0.063180391245451
109,2.916,0.0763032445502051
110,2.924,0.0797784169836821
111,2.931,0.0649493418343328
112,2.939,0.066065913482634
113,2.946,0.101118735789979
114,2.954,1.78921824616077
115,2.961,20.3746976082471
116,2.969,67.160881351403
117,2.976,100
118,2.984,9.53200279393827
119,2.992,0.223220236543822
120,2.999,0.149865242975086
121,3.007,0.136039827734322
122,3.014,0.109279745421664
123,3.022,0.091176229820555
124,3.029,0.110553138930682
125,3.037,0.127916455349209
126,3.044,0.117026745341058
127,3.052,0.104562543851313
128,3.059,0.0833037724125883
129,3.067,0.107291244227779
130,3.074,0.0815599133214211
131,3.082,0.0769995336117862
132,3.089,0.101633111493129
133,3.097,0.0815787319447071
134,3.105,0.0705447458246964
135,3.112,0.102755956015859
136,3.120,0.11196453567713
137,3.127,0.121718855413694
138,3.135,0.0883408905788013
139,3.142,0.0827643052117236
140,3.150,0.0900784767955397
141,3.157,0.091747061393563
142,3.165,0.0885541683093757
143,3.172,0.080368067179976
144,3.180,0.0986158588929443
145,3.187,0.0923429844642855
146,3.195,0.0713915838725653
147,3.203,0.0738630963974568
148,3.210,0.0910507723319818
149,3.218,0.0715609514821391
150,3.225,0.0700680073681183
151,3.233,0.061561989642857
152,3.240,0.0735431798015952
153,3.248,0.077978102022657
154,3.255,0.130689065846677
155,3.263,0.162994369154269
156,3.270,0.0981579390596522
157,3.278,0.0811270849858437
158,3.285,0.0600439540311216
159,3.293,0.0677721353272292
160,3.300,0.0711971247652769
161,3.308,0.0698045466421146
162,3.316,0.0957491552790472
163,3.323,0.0661662794734926
164,3.331,0.0629545677660193
165,3.338,0.0728029806190135
166,3.346,0.0580052698418075
167,3.353,0.0517888512830067
168,3.361,0.0455097039799193
169,3.368,0.0514877533104311
170,3.376,0.0535515289974598
171,3.383,0.0380763477819586
172,3.391,0.0535515289974598
173,3.398,0.0393622870398337
174,3.406,0.0458609849479242
175,3.413,0.0503147257922719
176,3.421,0.0490225136599682
177,3.429,0.0680606875509475
178,3.436,0.0575661686318014
179,3.444,0.0609158835767052
180,3.451,0.0527987840660207
181,3.459,0.0535013460020305
182,3.466,0.0469336464752248
183,3.474,0.0619885451040058
184,3.481,0.0672891239962225
185,3.489,0.12449773878559
186,3.496,0.063456397720312
187,3.504,0.053382161387886
188,3.511,0.0395002902772642
189,3.519,0.0582248204468106
190,3.527,0.0693340810599652
191,3.534,0.0389294587042562
192,3.542,0.0433016521810314
193,3.549,0.0560794973922093
194,3.557,0.0531939751550262
195,3.564,0.0411186918798581
196,3.572,0.0507036440068487
197,3.579,0.0496811654749773
198,3.587,0.0376748838185245
199,3.594,0.0433518351764607
200,3.602,0.0595421240768289
201,3.609,0.0580178155906648
202,3.617,0.0300031583922748
203,3.624,0.0446189558110497
204,3.632,0.0550068358649086
205,3.640,0.0448886894114821
206,3.647,0.0447444132996229
207,3.655,0.0373298757249483
208,3.662,0.0458986221944961
209,3.670,0.0405792246789935
210,3.677,0.0488719646736804
211,3.685,0.0473225646898017
212,3.692,0.0485520480778188
213,3.700,0.0481756756120992
214,3.707,0.0299216110247023
215,3.715,0.0344004433667646
216,3.722,0.0360313907182159
217,3.730,0.0266848078195143
218,3.738,0.0303481664858511
219,3.745,0.0589462010061063
220,3.753,0.0261014304976491
221,3.760,0.0371291437432312
222,3.768,0.029300596456265
223,3.775,0.0381704408983885
224,3.783,0.045697890212779
225,3.790,0.0438097550097528
226,3.798,0.0529932431733092
227,3.805,0.0499007160799804
228,3.813,0.0363952174350781
229,3.820,0.0355421065127805
230,3.828,0.0374804247112361
231,3.835,0.0433330165531747
232,3.843,0.0492044270183993
233,3.851,0.0393058311699758
234,3.858,0.0319979324605883
235,3.866,0.057867266604377
236,3.873,0.0398515712452691
237,3.881,0.047868304765095
238,3.888,0.0340052522777591
239,3.896,0.0447255946763369
240,3.903,0.0439038481261826
241,3.911,0.0397574781288392
242,3.918,0.0276571033559565
243,3.926,0.0463628149022169
244,3.933,0.0409305056469984
245,3.941,0.0354731048940653
246,3.949,0.0221181552354508
247,3.956,0.0509169217374231
248,3.964,0.0528364213125927
249,3.971,0.103000598118577
250,3.979,0.0543419111754708
251,3.986,0.0664297401994962
252,3.994,0.0358871146063567
253,4.001,0.0481568569888133
254,4.009,0.0443868594571894
255,4.016,0.0534260715088866
256,4.024,0.0501955411781274
257,4.031,0.0417773436948673
258,4.039,0.0482321314819572
259,4.046,0.0233037285024673
260,4.054,0.0542289994357549
261,4.062,0.0366649510355104
262,4.069,0.0424673598820198
263,4.077,0.0333215089650353
264,4.084,0.0588395621408191
265,4.092,0.0968092710574906
266,4.099,0.108821825588372
267,4.107,0.0754062235069069
268,4.114,0.0463189047812163
269,4.122,0.0455975242219205
270,4.129,0.0356299267547817
271,4.137,0.0253110483196381
272,4.144,0.0303042563648505
273,4.152,0.0293946895726949
274,4.160,0.0506534610114195
275,4.167,0.0252357738264942
276,4.175,0.0461181727994992
277,4.182,0.0333152360906067
278,4.190,0.0447883234206235
279,4.197,0.0417773436948673
280,4.205,0.0249534944772045
281,4.212,0.0455787055986345
282,4.220,0.0310256369241462
283,4.227,0.0391239178115447
284,4.235,0.0495619808608328
285,4.242,0.0326754028988835
286,4.250,0.0421850805327301
287,4.257,0.0327255858943127
288,4.265,0.0396382935146947
289,4.273,0.0298588822804157
290,4.280,0.0342373486316195
291,4.288,0.0387161809736818
292,4.295,0.0356173810059244
293,4.303,0.0466011841305059
294,4.310,0.0331897786020335
295,4.318,0.0452399703794869
296,4.325,0.0342185300083335
297,4.333,0.0313894636410084
298,4.340,0.0337982474216134
