#"+EI TIC Scan MEOH-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.2001426851693
1,2.102,0.194099064691683
2,2.110,0.175351236514135
3,2.117,0.166726970190422
4,2.125,0.144927478544484
5,2.132,0.165041921231789
6,2.140,0.160059748917091
7,2.147,0.152470394552223
8,2.155,0.132163564385389
9,2.163,0.14426407344266
10,2.170,0.132097223875207
11,2.178,0.116772566023071
12,2.185,0.129967693498351
13,2.193,0.122424777490612
14,2.200,0.102608867099127
15,2.208,0.125191176765218
16,2.215,0.116998123757691
17,2.223,0.121369963378712
18,2.230,0.10501039356773
19,2.238,0.107445090291425
20,2.245,0.0927108629799122
21,2.253,0.0839804518399076
22,2.261,0.107451724342443
23,2.268,0.0886839940118402
24,2.276,0.107717086383172
25,2.283,0.103093152823459
26,2.291,0.0861232503187993
27,2.298,0.0725698840885338
28,2.306,0.123764855796296
29,2.313,0.123280570071965
30,2.321,0.113375931901732
31,2.328,0.0956497475809928
32,2.336,0.0879874186549249
33,2.343,0.0858313520739967
34,2.351,0.0919280449597598
35,2.358,0.0868728980838605
36,2.366,0.082832761013752
37,2.374,0.0837946984113969
38,2.381,0.0785803343110598
39,2.389,0.135699513578111
40,2.396,0.231243116342812
41,2.404,0.282723352244359
42,2.411,0.17069413269933
43,2.419,0.101122839671041
44,2.426,0.0830052463402262
45,2.434,0.073153680578139
46,2.441,0.0740293753125467
47,2.449,0.06485448275432
48,2.456,0.0740758136696744
49,2.464,0.074367711914477
50,2.471,0.0510490225853613
51,2.479,0.070838396772773
52,2.487,0.0506708816773216
53,2.494,0.0449921340057077
54,2.502,0.0747193166184437
55,2.509,0.0530989443499977
56,2.517,0.0459872416584438
57,2.524,0.0557326626042392
58,2.532,0.0660419778865851
59,2.539,0.0512148738608173
60,2.547,0.0642773203157331
61,2.554,0.0678000014064188
62,2.562,0.0710772226094297
63,2.569,0.0586715472053198
64,2.577,0.0621942282960055
65,2.585,0.0794759311985223
66,2.592,0.0548503338188132
67,2.600,0.0557392966552574
68,2.607,0.073817085679963
69,2.615,0.0621146196837866
70,2.622,0.0686491599367536
71,2.630,0.059752897521293
72,2.637,0.0663272420803694
73,2.645,0.054817163563722
74,2.652,0.0518583768095867
75,2.660,0.0426105096901593
76,2.667,0.0612720952044701
77,2.675,0.0485811556065758
78,2.682,0.0693656374467236
79,2.690,0.0596268505519464
80,2.698,0.0640650306831494
81,2.705,0.0567675745630847
82,2.713,0.0493241693206188
83,2.720,0.060993465061704
84,2.728,0.0613118995105795
85,2.735,0.0746529761082613
86,2.743,0.0809486905245717
87,2.750,0.0693258331406141
88,2.758,0.0706327411912075
89,2.765,0.0778174184439621
90,2.773,0.0947607847445486
