#"+EI TIC Scan MEOH-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.179037455079231
1,2.102,0.156325587348777
2,2.110,0.154161021516481
3,2.117,0.144495484978208
4,2.125,0.135606834691625
5,2.132,0.133983410317403
6,2.140,0.154777172681615
7,2.148,0.122560503499444
8,2.155,0.113650421867987
9,2.163,0.128909539418432
10,2.170,0.0987931420339343
11,2.178,0.0972822322203018
12,2.185,0.093981805109672
13,2.193,0.0942443390843812
14,2.200,0.100802330615892
15,2.208,0.0956320186649869
16,2.215,0.0931620561682331
17,2.223,0.0838769260014774
18,2.230,0.0836197498629867
19,2.238,0.0820713351958244
20,2.246,0.0891704681854096
21,2.253,0.0822856486445666
22,2.261,0.0663353702219285
23,2.268,0.0821945654288511
24,2.276,0.0671658348358046
25,2.283,0.0566055396490328
26,2.291,0.0564180153813834
27,2.298,0.0624562967996948
28,2.306,0.0748007514472453
29,2.313,0.0662603605148688
30,2.321,0.0580735867729168
31,2.328,0.0784708692569555
32,2.336,0.0606185589767304
33,2.343,0.0591612275252835
34,2.351,0.0690089304949874
35,2.359,0.0724486613472997
36,2.366,0.0590326394560382
37,2.374,0.0492331570123012
38,2.381,0.0645351372524941
39,2.389,0.0807533074860599
40,2.396,0.180028654779664
41,2.404,0.238648740846874
42,2.411,0.135976525390705
43,2.419,0.0754329761210348
44,2.426,0.0642886767864406
45,2.434,0.0480062125182521
46,2.441,0.0461202541693208
47,2.449,0.0623277087304495
48,2.457,0.0487723830975055
49,2.464,0.0542641652215243
50,2.472,0.054328459256147
51,2.479,0.0609668183309365
52,2.487,0.0583200472389704
53,2.494,0.0546338559206046
54,2.502,0.0466399642825206
55,2.509,0.0471596743957205
56,2.517,0.0476418796553904
57,2.524,0.0389407536364572
58,2.532,0.0580628711004797
59,2.539,0.0403391488895
60,2.547,0.0605917697956377
61,2.554,0.0482741043291799
62,2.562,0.0584111304546858
63,2.570,0.0629545755680204
64,2.577,0.0505136798685358
65,2.585,0.0601095645359677
66,2.592,0.0541516506609346
67,2.600,0.0560643981909588
68,2.607,0.0314665721115731
69,2.615,0.0436663651812227
70,2.622,0.0587915368262032
71,2.630,0.0311986803006453
72,2.637,0.0515048795689685
73,2.645,0.0467256896620175
74,2.652,0.0540659252814378
75,2.660,0.0534122692627741
76,2.667,0.0396265566724322
77,2.675,0.0474329240428668
78,2.683,0.0559733149752433
79,2.690,0.0591397961804093
80,2.698,0.0394068853874715
81,2.705,0.0455148186766241
82,2.713,0.050679772791311
83,2.720,0.0413517799348069
84,2.728,0.0827249912144881
85,2.735,0.0663085810408358
86,2.743,0.0475722277845492
87,2.750,0.0470310863264751
88,2.758,0.0566698336836555
89,2.765,0.0711842119997207
90,2.773,0.0785565946364523
91,2.781,0.0712967265603104
92,2.788,0.0549767574385921
93,2.796,0.0422090337297757
