#"+EI TIC Scan MEOH-PLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.191477865379722
1,2.102,0.159546854131942
2,2.110,0.144614963371878
3,2.117,0.159262111745213
4,2.125,0.145548918400349
5,2.132,0.143117218417684
6,2.140,0.128390342176065
7,2.147,0.110759093589811
8,2.155,0.116858275513544
9,2.162,0.0899785942063353
10,2.170,0.127388048974779
11,2.178,0.11366916078218
12,2.185,0.0959012358502966
13,2.193,0.0857985759691549
14,2.200,0.0853999366277344
15,2.208,0.0907075347163613
16,2.215,0.0918692836542152
17,2.223,0.0805365366624046
18,2.230,0.0718746732581112
19,2.238,0.0763223493388168
20,2.245,0.0889250473754383
21,2.253,0.0874045230303059
22,2.260,0.0747164022776657
23,2.268,0.061549914315321
24,2.276,0.0829739314928041
25,2.283,0.0705192994972816
26,2.291,0.0714475596780179
27,2.298,0.0637139564544607
28,2.306,0.062683189014502
29,2.313,0.0486510841965014
30,2.321,0.0617834030724387
31,2.328,0.0696422929461566
32,2.336,0.0674554714160785
33,2.343,0.0616752009654817
34,2.351,0.0626604096235637
35,2.358,0.0456043406585021
36,2.366,0.0660089800914957
37,2.373,0.0640841215572083
38,2.381,0.0730364221959652
39,2.389,0.0922451436046974
40,2.396,0.181699811819451
41,2.404,0.237532099009256
42,2.411,0.134916637679892
43,2.419,0.0621649578706554
44,2.426,0.0607924995666221
45,2.434,0.0434744676057698
46,2.441,0.0464927369050963
47,2.449,0.043958529663209
48,2.456,0.0465496853824421
49,2.464,0.0361565882668369
50,2.471,0.037734061089315
51,2.479,0.0627287477963787
52,2.486,0.0511795965906541
53,2.494,0.0433036221737325
54,2.502,0.0556044932804214
55,2.509,0.0568858340207015
56,2.517,0.0426771889229289
57,2.524,0.0382522922331616
58,2.532,0.0614587967515677
59,2.539,0.0734122821464473
60,2.547,0.0532525211660406
61,2.554,0.0580760571972283
62,2.562,0.0549097218568028
63,2.569,0.0431954200667755
64,2.577,0.0574382342509555
65,2.584,0.0507581778582953
66,2.592,0.0528140178904781
67,2.600,0.0656160355978098
68,2.607,0.0399664414012697
69,2.615,0.0545281670585861
70,2.622,0.0475462837359932
71,2.630,0.0504221818419552
72,2.637,0.0269935782619006
73,2.645,0.0615385246198518
74,2.652,0.0363957718716892
75,2.660,0.0523128712898352
76,2.667,0.0517092174299699
77,2.675,0.0396760041668062
78,2.682,0.0430929128075531
79,2.690,0.04097442945029
80,2.697,0.0625806817552796
81,2.705,0.0573186424485294
82,2.713,0.0611740543648388
83,2.720,0.0459118624361693
84,2.728,0.0552628024163467
85,2.735,0.0669486299677011
86,2.743,0.0530930654294724
87,2.750,0.0401429816810416
88,2.758,0.0459631160657805
89,2.765,0.0625635972120759
90,2.773,0.0886004410545673
91,2.780,0.0829625417973349
92,2.788,0.0499381197845161
93,2.795,0.0388673357884961
94,2.803,0.0712596297027768
95,2.811,0.0900924911610268
96,2.818,0.0445621835230743
97,2.826,0.0595965815423607
98,2.833,0.0409288706684134
99,2.841,0.0601546766203493
100,2.848,0.050843600574314
101,2.856,0.0570509846050042
102,2.863,0.0477399085589689
103,2.871,0.0370449845134311
104,2.878,0.0361053346372257
105,2.886,0.0704167922380592
106,2.893,0.0589644534438225
107,2.901,0.063332401656244
108,2.908,0.0564131616587315
109,2.916,0.0646479114829315
110,2.924,0.0330927601856338
111,2.931,0.0500406270437385
112,2.939,0.0659862007005574
113,2.946,0.0454619694651376
114,2.954,0.427876689689797
115,2.961,8.53128054573954
116,2.969,46.1070020886424
117,2.976,100
118,2.984,38.3614282951471
119,2.991,0.47738769589422
120,2.999,0.117137323052539
121,3.006,0.0877063499602386
122,3.014,0.0999787468282545
123,3.022,0.0653085138201426
124,3.029,0.067489640502486
125,3.037,0.0798759343251936
126,3.044,0.0830935232952302
127,3.052,0.0620795351546368
128,3.059,0.0644941505940979
129,3.067,0.0807700254195223
130,3.074,0.0677800777369495
131,3.082,0.0574780981850976
132,3.089,0.0773531167787754
133,3.097,0.564308156867087
134,3.104,3.47234228859529
135,3.112,1.61309978990568
136,3.119,0.336024490578786
137,3.127,0.241740591485109
138,3.135,0.154330373607069
139,3.142,0.100952565790867
140,3.150,0.0927178159666674
141,3.157,0.122336719034208
142,3.165,0.0984183585489801
143,3.172,0.067085306313331
144,3.180,0.0704680458676704
145,3.187,0.0754054788535497
146,3.195,0.0630590489649842
147,3.202,0.0756161882197291
148,3.210,0.0725808343771989
149,3.217,0.0588106925549889
150,3.225,0.0621592630229208
151,3.232,0.0483891212007108
152,3.240,0.0706445861474423
153,3.248,0.0593517030897738
154,3.255,0.06217065271839
155,3.263,0.0733951976032436
156,3.270,0.0634292140677318
157,3.278,0.0389185894181073
158,3.285,0.052409683701323
159,3.293,0.0650237714334137
160,3.300,0.0497843588956825
161,3.308,0.0801151179300458
162,3.315,0.0707527882543993
163,3.323,0.0483264778756304
164,3.330,0.0541181380216965
165,3.338,0.0323809042188115
166,3.346,0.0883100038201039
167,3.353,0.155099178051237
168,3.361,0.0850354663727214
169,3.368,0.0611512749739005
170,3.376,0.0679338386257831
171,3.383,0.0460143696953917
172,3.391,0.0393058390640586
173,3.398,0.0304617405322587
174,3.406,0.0470622216785541
175,3.413,0.0475747579746661
176,3.421,0.060604569591381
177,3.428,0.0552115487867355
178,3.436,0.040866227343333
179,3.443,0.0453594622059152
180,3.451,0.0307806520053951
181,3.459,0.0529677787793117
182,3.466,0.0293341606808122
183,3.474,0.0294423627877692
184,3.481,0.0461168769546141
185,3.489,0.0861174874422913
186,3.496,0.0878544160013376
187,3.504,0.0472444568060606
188,3.511,0.0305129941618699
189,3.519,0.0187759129809043
190,3.526,0.0191460780836518
191,3.534,0.0281496323520199
192,3.541,0.0213784583956065
193,3.549,0.0347271814854577
194,3.557,0.0280243457018592
195,3.564,0.0420564505198599
196,3.572,0.0249263485342487
197,3.579,0.050518994253443
198,3.587,0.0278193311834144
199,3.594,0.0423582774497925
200,3.602,0.0224946485515838
201,3.609,0.0104557404406855
202,3.617,0.0438958863381286
203,3.624,0.0381156158875318
204,3.632,0.0328251023421086
205,3.639,0.0190207914334911
206,3.647,0.0234798572096658
207,3.654,0.0257407117602934
208,3.662,0.0287248119732123
209,3.670,0.0292715173557319
210,3.677,0.0301485239068569
211,3.685,0.0285368819979713
212,3.692,0.0230356590863687
213,3.700,0.0379390756077598
214,3.707,0.032847881733047
215,3.715,0.0323125660459966
216,3.722,0.0191460780836518
217,3.730,0.0117598605719039
218,3.737,0.0416464214829702
219,3.745,0.0256837632829476
220,3.752,0.0302168620796718
221,3.760,0.028662168648132
222,3.768,0.0234513829709929
223,3.775,0.0239240553329629
224,3.783,0.0236222284030303
225,3.790,0.0380301931715131
226,3.798,0.0267657843525175
227,3.805,0.0244593710200133
228,3.813,0.021452491416156
229,3.820,0.0249377382297179
230,3.828,0.0321303309184901
231,3.835,0.0212474768977112
232,3.843,0.0261792150358559
233,3.850,0.0212133078113037
234,3.858,0.0309344128942287
235,3.865,0.036344518242078
236,3.873,0.0299321196929429
237,3.881,0.036167977962306
238,3.888,0.00506841448377458
239,3.896,0.0343228472963027
240,3.903,0.0288557934711076
241,3.911,0.0356668313616631
242,3.918,0.0216233368481934
243,3.926,0.0335711273953384
244,3.933,0.0263899244020353
245,3.941,0.0261336562539793
246,3.948,0.0156836106610283
247,3.956,0.0235766696211537
248,3.963,0.0572047454938378
249,3.971,0.0938624803613176
250,3.979,0.0532809954047135
251,3.986,0.03179433490215
252,3.994,0.00960720812823339
253,4.001,0.0302054723842027
254,4.009,0.0131266240282027
255,4.016,0.0454448849219339
256,4.024,0.0324264630006882
257,4.031,0.0366121760856031
258,4.039,0.0428366446594971
259,4.046,0.0193909565362387
260,4.054,0.0148521628917799
261,4.061,0.0231609457365295
262,4.069,0.0388331667020886
263,4.076,0.0242315771106302
264,4.084,0.0268853761549436
265,4.092,0.0316177946223781
266,4.099,0.0244821504109516
267,4.107,0.0225686815721333
268,4.114,0.0272726258008949
269,4.122,0.0241290698514078
270,4.129,0.0236108387075611
271,4.137,0.0217030647164774
272,4.144,0.0282065808293657
273,4.152,0.026298806838282
274,4.159,0.0365723121514611
275,4.167,0.0268967658504128
276,4.174,0.0326542569100713
277,4.182,0.0155583240108676
278,4.189,0.0259628108219419
279,4.197,0.0332294365312637
280,4.205,0.0214297120252177
281,4.212,0.00572901682098565
282,4.220,0.0374834877889936
283,4.227,0.0341633915597345
284,4.235,0.0229502363703501
285,4.242,0.0329048302103927
286,4.250,0.0359857428347995
287,4.257,0.0310312253057165
288,4.265,0.0249035691433104
289,4.272,0.0252566497028542
