#"+EI TIC Scan MEOH-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.192191717961658
1,2.102,0.191327742093476
2,2.110,0.145605681413762
3,2.117,0.172440428577804
4,2.125,0.138968515803892
5,2.132,0.132314185110549
6,2.140,0.123090813590626
7,2.147,0.126140476754472
8,2.155,0.154371317374383
9,2.162,0.117357675710377
10,2.170,0.109215704449304
11,2.177,0.10517618813847
12,2.185,0.118839594583615
13,2.193,0.0938300679622872
14,2.200,0.0929889788720709
15,2.208,0.099162687228148
16,2.215,0.0865864027363432
17,2.223,0.0993858333133074
18,2.230,0.0877994019684918
19,2.238,0.0980870086637898
20,2.245,0.0803497557408622
21,2.253,0.0781411816672331
22,2.260,0.0867065583206598
23,2.268,0.0623836350382839
24,2.275,0.0789078887290629
25,2.283,0.0773859179943859
26,2.291,0.084074578854677
27,2.298,0.0851216489465788
28,2.306,0.0782041203066371
29,2.313,0.0831934379030218
30,2.321,0.080796047911181
31,2.328,0.0607758388862378
32,2.336,0.0595113444036678
33,2.343,0.0546250173081258
34,2.351,0.0816943539463099
35,2.358,0.0765219421262046
36,2.366,0.0795773269845411
37,2.373,0.0709890635531494
38,2.381,0.0633105495458691
39,2.388,0.100003776318364
40,2.396,0.178780066074128
41,2.404,0.242479690845403
42,2.411,0.152952337140549
43,2.419,0.0821864196725589
44,2.426,0.0852360828364042
45,2.434,0.0567706527423509
46,2.441,0.0607643954972553
47,2.449,0.0640772566076989
48,2.456,0.0874789870769808
49,2.464,0.0541672817488245
50,2.471,0.0622463143704934
51,2.479,0.0566733839359994
52,2.486,0.0938300679622872
53,2.494,0.070508441215883
54,2.502,0.0636023559649237
55,2.509,0.0430729161302578
56,2.517,0.0465173762140005
57,2.524,0.0521303585099334
58,2.532,0.0648782938364763
59,2.539,0.0532804191026781
60,2.547,0.0496299780172498
61,2.554,0.0583670055054144
62,2.562,0.0560726060144164
63,2.569,0.0590078352884363
64,2.577,0.0505340057468699
65,2.584,0.0720590204230163
66,2.592,0.042369147707832
67,2.599,0.0514551985599639
68,2.607,0.063373488185273
69,2.615,0.04886327095542
70,2.622,0.0550312576170058
71,2.630,0.0527654665984641
72,2.637,0.0587732458142944
73,2.645,0.0467576873826337
74,2.652,0.0501506522159551
75,2.660,0.0539956309140865
76,2.667,0.0434276611887164
77,2.675,0.0677391410821098
78,2.682,0.0598088725172137
79,2.690,0.0491550773744746
80,2.697,0.0613937818912947
81,2.705,0.0569537469660715
82,2.712,0.0528512920158331
83,2.720,0.0477132103626753
84,2.728,0.0699534368502301
85,2.735,0.0879824961922123
86,2.743,0.0534120180759772
87,2.750,0.0707258656065511
88,2.758,0.0588476278426809
89,2.765,0.0654046897296728
90,2.773,0.106480734482478
91,2.780,0.0690551308151011
92,2.788,0.0615311025590851
93,2.795,0.0619716730349126
94,2.803,0.0713895821675381
95,2.810,0.0822207498395065
96,2.818,0.0461683528500332
97,2.826,0.0547623379759162
98,2.833,0.0548996586437066
99,2.841,0.0416024406460022
100,2.848,0.0662000052639589
101,2.856,0.0475415595279373
102,2.863,0.0592881983185084
103,2.871,0.0595857264320543
104,2.878,0.0458651030419961
105,2.886,0.0784215446973052
106,2.893,0.0506999348871167
107,2.901,0.0536466075501192
108,2.908,0.0511862789188744
109,2.916,0.0803383123518796
110,2.923,0.0629958563488494
111,2.931,0.0301018347185556
112,2.939,0.0574858645537593
113,2.946,0.0579779302800083
114,2.954,0.44040454668731
115,2.961,9.47812424545154
116,2.969,48.2907067093734
117,2.976,100
118,2.984,30.6281047344733
119,2.991,0.47734380632293
120,2.999,0.158382225212761
121,3.006,0.129356069058564
122,3.014,0.121059612046227
123,3.021,0.101388426385251
124,3.029,0.0904599899069309
125,3.037,0.0987964987807069
126,3.044,0.0954664725867895
127,3.052,0.0753604381444774
128,3.059,0.0884402317515137
129,3.067,0.0850987621686138
130,3.074,0.0937041906834793
131,3.082,0.0724538173429137
132,3.089,0.100261252570471
133,3.097,0.0824152874522095
134,3.104,0.0582697366990629
135,3.112,0.0621662106476157
136,3.119,0.074496462276296
137,3.127,0.11168175477504
138,3.134,0.0724023220924923
139,3.142,0.0544018712229664
140,3.150,0.0549225454216717
141,3.157,0.0623092530098974
142,3.165,0.0665776371003825
143,3.172,0.0461168575996118
144,3.180,0.0634535919081508
145,3.187,0.0456534003458192
146,3.195,0.0417969782587053
147,3.202,0.0470781022741447
148,3.210,0.0446006085594261
149,3.217,0.0410989315307707
150,3.225,0.0516554578671583
151,3.232,0.0516268493947019
152,3.240,0.0347306855619906
153,3.248,0.0458593813475048
154,3.255,0.063287662767904
155,3.263,0.0558551816237482
156,3.270,0.0539155271912087
157,3.278,0.0581724678927114
158,3.285,0.0354001238174688
159,3.293,0.0386443245940172
160,3.300,0.0467405222991599
161,3.308,0.0432159584925395
162,3.315,0.0756293577855669
