#"+EI TIC Scan MEOH-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0940933561776285
1,2.102,0.0746748310776642
2,2.110,0.0834996579298463
3,2.117,0.085405240206179
4,2.125,0.059940746156269
5,2.132,0.0463142983706044
6,2.140,0.0644996355260019
7,2.147,0.0637770208707016
8,2.155,0.062610793357514
9,2.162,0.0510238487109405
10,2.170,0.0879329964907433
11,2.178,0.472062671169346
12,2.185,0.485150645486003
13,2.193,0.149737474653733
14,2.200,0.0808212406746788
15,2.208,0.0687125626669425
16,2.215,0.0697197591556044
17,2.223,0.0755620567934385
18,2.230,0.0713574997064204
19,2.238,0.043616350989618
20,2.245,0.0439455731105656
21,2.253,0.0434601099830665
22,2.260,0.0471513037628442
23,2.268,0.0374057709791984
24,2.275,0.0389486509188938
25,2.283,0.0324674391649833
26,2.291,0.0297527516761521
27,2.298,0.0374448312308362
28,2.306,0.0194296851718608
29,2.313,0.0337257372713172
30,2.321,0.0241782957638348
31,2.328,0.0160705035310049
32,2.336,0.0313402719034337
33,2.343,0.0237932732834045
34,2.351,0.0245828483700841
35,2.358,0.0281791815387412
36,2.366,0.0345766927534277
37,2.373,0.0163216051486768
38,2.381,0.0166759374313917
39,2.389,0.0358712610934253
40,2.396,0.0847886462338956
41,2.404,0.109817897479841
42,2.411,0.0588833293440726
43,2.419,0.0300205934016689
44,2.426,0.0270073739896055
45,2.434,0.0205596424513846
46,2.441,0.24412657273662
47,2.449,1.4981001512106
48,2.456,1.18323546275782
49,2.464,0.161689911654918
50,2.471,0.0337117871814466
51,2.479,0.0252217624861605
52,2.486,0.083072785179804
53,2.494,1.02568035774057
54,2.502,1.40711487505616
55,2.509,0.510975051854576
56,2.517,0.243858731011103
57,2.524,0.168717966931758
58,2.532,0.189258079257324
59,2.539,0.178307258708853
60,2.547,0.140321163991035
61,2.554,0.109282214028807
62,2.562,0.0807849704410151
63,2.569,0.0765385630843849
64,2.577,0.0746441408799488
65,2.584,0.0728110990709435
66,2.592,0.0700657213843969
67,2.599,0.0526643792797306
68,2.607,0.0507866971831393
69,2.615,0.0432229584552653
70,2.622,0.0454577628525456
71,2.630,0.0400200178209608
72,2.637,0.0618825986662654
73,2.645,0.0672143230148332
74,2.652,0.165682427375902
75,2.660,0.214078079155209
76,2.667,0.0993078997712827
77,2.675,0.0613887654848439
78,2.682,0.120673857417192
79,2.690,0.14514510506831
80,2.697,0.068807423278063
81,2.705,0.0493749480882281
82,2.713,0.0470676032236202
83,2.720,0.0514228212812415
84,2.728,0.0559119602016212
85,2.735,0.0560626211722244
86,2.743,0.0437530618703505
87,2.750,0.0380139948975593
88,2.758,0.0314853528380886
89,2.765,0.0363288240411831
90,2.773,0.0436944714928937
91,2.780,0.03596891172252
92,2.788,0.0206210228468155
93,2.795,0.0256067849665908
94,2.803,0.0358070906800203
95,2.810,0.0490513060032287
96,2.818,0.022964637945087
97,2.826,0.0221053124090541
98,2.833,0.0240081046674127
99,2.841,0.0211064859743146
100,2.848,0.0309775695667964
101,2.856,0.0251101617671952
102,2.863,0.026452160412753
103,2.871,0.0285418838753785
104,2.878,0.0375620119857498
105,2.886,0.0638635114278997
106,2.893,0.0465319197725867
107,2.901,0.0230873987359489
108,2.908,0.0480552695864633
109,2.916,0.0999998242288676
110,2.924,0.0703363531278877
111,2.931,0.0428686261725504
112,2.939,0.0375564319498016
113,2.946,0.0558143095725266
114,2.954,0.256863004788536
115,2.961,4.26823645725973
116,2.969,23.0609047252665
117,2.976,47.7826597202287
118,2.984,10.4319664858577
119,2.991,0.12627621350925
120,2.999,0.038742189588808
121,3.006,0.0312398312563649
122,3.014,0.0236258722049565
123,3.021,0.0190195525296633
124,3.029,0.0323921086796817
125,3.037,0.300540736173585
126,3.044,0.508441715534064
127,3.052,0.116293529197803
128,3.059,0.0407928527997956
129,3.067,0.0344037116390315
130,3.074,0.0382567264613089
131,3.082,0.0320684665946823
132,3.089,0.0285558339652492
133,3.097,0.0130851842986828
134,3.104,0.00887783719369055
135,3.112,0.00694993477356479
136,3.119,0.0251464320008589
137,3.127,0.0286869648100334
138,3.135,0.0277802089684402
139,3.142,0.0116148448263148
140,3.150,0.00950838125584456
141,3.157,0.01928739425518
142,3.165,0.0199151482993599
143,3.172,0.0144383430161372
144,3.180,0.0171056001994082
145,3.187,0.0107666793621785
146,3.195,0.0137101483248886
147,3.202,0.00967020229834427
148,3.210,0.012585771081313
149,3.217,0.0125383407757528
150,3.225,0.021471978328926
151,3.232,0.00955023152545656
152,3.240,0.020821904140953
153,3.248,0.0240945952246108
154,3.255,0.0232492197784486
155,3.263,0.0226382058421135
156,3.270,0.0192343839136715
157,3.278,0.0109201303507558
158,3.285,0.0126304113688992
159,3.293,0.0174989927337609
160,3.300,0.104011870075671
161,3.308,0.0837423894935958
162,3.315,0.0667260698693599
163,3.323,0.0529294309872732
164,3.330,0.0492549773153404
165,3.338,0.0971874861109418
166,3.345,0.0906225738178073
167,3.353,0.0739019960988295
168,3.361,0.0479269287596531
169,3.368,0.0318647952825706
170,3.376,0.0220383519776749
171,3.383,0.0178254248367344
172,3.391,0.0308045884524002
173,3.398,0.0205931226670742
174,3.406,0.025400323636505
175,3.413,0.032333518302225
176,3.421,0.0162211645016081
177,3.428,0.0243875471118948
178,3.436,0.0256346851463321
179,3.443,0.0247223492687907
180,3.451,0.0147564050651884
181,3.459,0.0269069333425367
