#"+EI TIC Scan MEOH-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,1.03458480345183
1,2.102,0.810905086994564
2,2.110,0.68503566035962
3,2.117,0.552336571065053
4,2.125,0.472099604910957
5,2.132,0.425640708967909
6,2.140,0.343446743639323
7,2.147,0.335863371838174
8,2.155,0.315427275728886
9,2.163,0.265722141290316
10,2.170,0.250515728785831
11,2.178,0.248446334388482
12,2.185,0.212922832481267
13,2.193,0.186714911103974
14,2.200,0.172652285279175
15,2.208,0.192579297143746
16,2.215,0.144586536982855
17,2.223,0.169915131028367
18,2.230,0.165452379532486
19,2.238,0.146437752418183
20,2.245,0.142781601933409
21,2.253,0.143733655585864
22,2.260,0.125618190254435
23,2.268,0.111595233331822
24,2.276,0.128156999994314
25,2.283,0.131528856680091
26,2.291,0.128295841151964
27,2.298,0.228995349350137
28,2.306,2.39973718030005
29,2.313,2.47756095490452
30,2.321,0.870355548403399
31,2.328,0.418050725683062
32,2.336,0.320471837790157
33,2.343,0.254978480281713
34,2.351,0.217914502672957
35,2.358,0.197769311846364
36,2.366,0.156718609567954
37,2.373,0.156447538736352
38,2.381,0.154054181637821
39,2.389,0.180718295390249
40,2.396,0.290938340112969
41,2.404,0.292551542135184
42,2.411,0.184612459288136
43,2.419,0.110986976831642
44,2.426,0.105915968835582
45,2.434,0.120805030122581
46,2.441,0.0987226745725907
47,2.449,0.101195369475494
48,2.456,0.0957937872945531
49,2.464,0.0764948663812533
50,2.471,0.085982345487312
51,2.479,0.0989474650183092
52,2.487,0.096726006495915
53,2.494,0.068713150069176
54,2.502,0.073096563760686
55,2.509,0.0661412829108088
56,2.517,0.0689181060638016
57,2.524,0.0894798203633433
58,2.532,0.0996086133880694
59,2.539,0.111079537603409
60,2.547,0.0999391875729495
61,2.554,0.0960185777402716
62,2.562,0.0883955370369366
63,2.569,0.0809377834260418
64,2.577,0.0908880663909325
65,2.584,0.0892087495317417
66,2.592,0.0797609393278686
67,2.600,0.0627231458391487
68,2.607,0.0823129720351429
69,2.615,0.0772551870064775
70,2.622,0.0752849648645922
71,2.630,0.0673379614600748
72,2.637,0.0700354468086963
73,2.645,0.103621783992514
74,2.652,0.091926069331456
75,2.660,0.0986301138008243
76,2.667,0.11022004472272
77,2.675,0.0874633178355748
78,2.682,0.0967524524307054
79,2.690,0.0816914925675684
80,2.698,0.070855270787199
81,2.705,0.0563232296198701
82,2.713,0.0834369242637353
83,2.720,0.0776320415772408
84,2.728,0.0874963752540628
85,2.735,0.0792783010179437
86,2.743,0.0800915135127487
87,2.750,0.0981739214256898
88,2.758,0.0793113584364317
89,2.765,0.0868682843027906
90,2.773,0.0982334247789682
91,2.780,0.0868418383680002
92,2.788,0.0679329949928589
93,2.795,0.0565876889677742
94,2.803,0.0859889569710096
95,2.811,0.0960714696098524
96,2.818,0.0727924355105963
97,2.826,0.0711395645861958
98,2.833,0.0713577435482167
99,2.841,0.0672454006883083
100,2.848,0.0713312976134263
101,2.856,0.0854798727262942
102,2.863,0.0605149102841497
103,2.871,0.0555959664131339
104,2.878,0.0606735858928921
105,2.886,0.0552852266793466
106,2.893,0.0621677812085501
107,2.901,0.0653214589323062
108,2.909,0.0669016035360331
109,2.916,0.0592058365120245
110,2.924,0.0789146694145756
111,2.931,0.0531959978309044
112,2.939,0.0460225380190064
113,2.946,0.0590008805173988
114,2.954,0.913211185731255
115,2.961,14.8392173114031
116,2.969,59.1088857150829
117,2.976,100
118,2.984,16.6457391169359
119,2.991,0.24197369184853
120,2.999,0.139932052459743
121,3.006,0.0983061510996418
122,3.014,0.109651457124727
123,3.022,0.0846666602314892
124,3.029,0.100011913893623
125,3.037,0.106028364058441
126,3.044,0.102425105443248
127,3.052,0.0871658010691827
128,3.059,0.114464617256581
129,3.067,0.106101090379114
130,3.074,0.0620686089530861
131,3.082,0.0724552498420186
132,3.089,0.0767262683106694
133,3.097,0.155541765469781
134,3.104,0.405958322000148
135,3.112,0.229206916828461
136,3.120,0.115350556072059
137,3.127,0.155389701344736
138,3.135,0.0910731879344654
139,3.142,0.116910866224693
140,3.150,0.174159703562228
141,3.157,0.181359609308916
142,3.165,0.112917530071342
