#"+EI TIC Scan TCM-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.15107835359209
1,2.102,0.144247838506594
2,2.110,0.1258516327532
3,2.117,0.115593706183522
4,2.125,0.121116457170799
5,2.132,0.114966562805565
6,2.140,0.115360350508003
7,2.147,0.0947180963777414
8,2.155,0.104655158893581
9,2.162,0.0884612473278952
10,2.170,0.0893071616516506
11,2.177,0.0956126264672299
12,2.185,0.0779213493169655
13,2.193,0.0789568651270799
14,2.200,0.0817036558909984
15,2.208,0.0884515241747486
16,2.215,0.0832836682773232
17,2.223,0.0720631495461305
18,2.230,0.08326422197103
19,2.238,0.0785971084606552
20,2.245,0.0684364134224434
21,2.253,0.0763753679666539
22,2.260,0.0767205399033587
23,2.268,0.0625101515795821
24,2.275,0.0678919168462331
25,2.283,0.0622719343274901
26,2.291,0.0711929273395085
27,2.298,0.0600210243740489
28,2.306,0.0516445279382409
29,2.313,0.0733271594551903
30,2.321,0.0509395993351113
31,2.328,0.093794396828813
32,2.336,0.174622968936616
33,2.343,0.112423958257726
34,2.351,0.0933276854777756
35,2.358,0.079812502603982
36,2.366,0.0668515394595453
37,2.373,0.0802208750361397
38,2.381,0.0634678821645236
39,2.388,0.0674057591889023
40,2.396,0.217224964448506
41,2.404,0.360451871874705
42,2.411,0.105758736775722
43,2.419,0.0690343873409602
44,2.426,0.0781741512987775
45,2.434,0.0616010367603737
46,2.441,0.0527821368563947
47,2.449,0.0548142758640371
48,2.456,0.073084080626525
49,2.464,0.0769198645428643
50,2.471,0.048528257354751
51,2.479,0.0642700422991193
52,2.486,0.0556115744220594
53,2.494,0.0472399395628247
54,2.501,0.067400897612329
55,2.509,0.0555289276203132
56,2.517,0.0584604582940174
57,2.524,0.0466857198334677
58,2.532,0.0472496627159713
59,2.539,0.062665722029928
60,2.547,0.0648874625239293
61,2.554,0.0494859879396925
62,2.562,0.0582854415373783
63,2.569,0.121286612350864
64,2.577,0.221945555301187
65,2.584,0.0971099920518085
66,2.592,0.0594813893744118
67,2.599,0.0646638300015572
68,2.607,0.0674446518014888
69,2.615,0.0687572774762817
70,2.622,0.0631129870746722
71,2.630,0.0616253446432403
72,2.637,0.0546635669902645
73,2.645,0.0423491935300778
74,2.652,0.0577360833845946
75,2.660,0.0507937520379121
76,2.667,0.0567005675744802
77,2.675,0.0409296131706721
78,2.682,0.0551643093773152
79,2.690,0.042495040827277
80,2.697,0.0443618862314269
81,2.705,0.0519896998749457
82,2.712,0.0358638503812862
83,2.720,0.0553052950979411
84,2.728,0.0634824668942435
85,2.735,0.0752960979673797
86,2.743,0.0705123066192456
87,2.750,0.0547073211794243
88,2.758,0.0615232515352008
89,2.765,0.0609738933824171
90,2.773,0.075364160039406
91,2.780,0.0526168432529023
92,2.788,0.0703227051328866
93,2.795,0.0734146678335099
94,2.803,0.0646346605421173
95,2.810,0.0855831939964974
96,2.818,0.0487567514536965
97,2.826,0.041814420107014
98,2.833,0.0621795643725973
99,2.841,0.0662632886941752
100,2.848,0.0640561329298938
101,2.856,0.0616156214900936
102,2.863,0.0700650415745013
103,2.871,0.0649117704067958
104,2.878,0.0511632318574835
105,2.886,0.0735702382838557
106,2.893,0.0675516064861016
107,2.901,0.0654805748658727
108,2.908,0.058406980951711
109,2.916,0.0586938139695361
110,2.923,0.0511340623980436
111,2.931,0.0588250765370154
112,2.939,0.0653395891452468
113,2.946,0.0483969947872718
114,2.954,0.173004063937705
115,2.961,5.21104128212609
116,2.969,36.024160868791
117,2.976,92.2431601142257
118,2.984,100
119,2.991,2.08218893846455
120,2.999,0.155935068588824
121,3.006,0.127183704734286
122,3.014,0.105345502766991
123,3.021,0.0913295775061464
124,3.029,0.0605314899142462
125,3.037,0.0912031765152404
126,3.044,0.107377641774633
127,3.052,0.0688107548185881
128,3.059,0.0676634227472876
129,3.067,0.0821995367014757
130,3.074,0.0570408779346117
131,3.082,0.0561366246919766
132,3.089,0.0656410068927919
133,3.097,0.0557331138363921
134,3.104,0.0570894937003448
135,3.112,0.0556261591517793
136,3.119,0.0600015780677557
137,3.127,0.107815183666231
138,3.134,0.0660007635592166
139,3.142,0.0573763267181699
140,3.150,0.0540510083420279
141,3.157,0.0635651136959898
142,3.165,0.0706678770695914
143,3.172,0.0599675470317425
144,3.180,0.0495005726694125
145,3.187,0.0487518898771232
146,3.195,0.046816982400947
147,3.202,0.0416102338909351
148,3.210,0.0427721506919555
149,3.217,0.0372153686686655
150,3.225,0.0309925506548325
151,3.232,0.0335448783558187
152,3.240,0.02281537885853
153,3.247,0.0386689800640843
154,3.255,0.0363743159214834
155,3.263,0.0625490441921686
156,3.270,0.0349304276792112
157,3.278,0.0388148273612835
158,3.285,0.0345609478596399
159,3.293,0.0315613551139094
160,3.300,0.0427381196559423
161,3.308,0.0403851165944617
162,3.315,0.0593792962663724
163,3.323,0.0521598550550114
164,3.330,0.0324753315096911
165,3.338,0.0457766050142592
166,3.345,0.0315127393481763
167,3.353,0.0395100328112665
168,3.361,0.0211186886344459
169,3.368,0.0218673714267351
170,3.376,0.0304237461957556
171,3.383,0.0223438059309192
172,3.391,0.0295924166017201
173,3.398,0.0215999847152033
174,3.406,0.0362284686242842
175,3.413,0.0379689130375281
176,3.421,0.0312599373663644
177,3.428,0.0349839050215176
178,3.436,0.0291597362866957
179,3.443,0.0333066611037266
180,3.451,0.0321690521855728
181,3.458,0.0304431925020488
182,3.466,0.035465201102275
183,3.474,0.0258101100276872
184,3.481,0.034910981372918
185,3.489,0.0922192460190616
186,3.496,0.076282998011761
187,3.504,0.029655617097173
188,3.511,0.0339824202474163
189,3.519,0.031950281239774
190,3.526,0.0168064702139225
191,3.534,0.0136610301709928
192,3.541,0.0230438729574754
193,3.549,0.0184059289065405
194,3.556,0.0243078828665353
195,3.564,0.0218673714267351
196,3.572,0.0264323918290705
197,3.579,0.0251392124605708
198,3.587,0.0263011292615912
199,3.594,0.0212839822379383
200,3.602,0.0209874260669666
201,3.609,0.0270060578647207
202,3.617,0.0270789815133203
203,3.624,0.0267240864234689
204,3.632,0.0276429243958239
205,3.639,0.0145750065667746
206,3.647,0.0133012735045681
207,3.654,0.0305404240335149
208,3.662,0.0400691141171968
209,3.669,0.0349887665980909
210,3.677,0.0128734547661171
211,3.685,0.0274581844860383
212,3.692,0.0238363099389245
213,3.700,0.0232383360204077
214,3.707,0.0341428522743355
215,3.715,0.0268991031801079
216,3.722,0.0256691243070613
217,3.730,0.0335205704729522
218,3.737,0.0231411044889416
219,3.745,0.0214978916071638
220,3.752,0.0268456258378016
221,3.760,0.0113420581455254
222,3.767,0.0180607569698357
223,3.775,0.0236175389931257
224,3.783,0.0296313092143065
225,3.790,0.0209436718778068
226,3.798,0.0199859412928653
227,3.805,0.0265782391262697
228,3.813,0.0212450896253518
229,3.820,0.0173655515198528
230,3.828,0.00579986085195532
231,3.835,0.0160529258450599
232,3.843,0.0289652732237634
233,3.850,0.0155084292688495
234,3.858,0.0200005260225852
235,3.865,0.0182600816093413
236,3.873,0.0281290820531546
237,3.880,0.0411386609633243
238,3.888,0.0441625615919213
239,3.896,0.0205498841753689
240,3.903,0.0192810126897358
241,3.911,0.0284791155664327
242,3.918,0.0215756768323367
243,3.926,0.0164321288177779
244,3.933,0.0131943188199554
245,3.941,0.0184788525551401
246,3.948,0.0216340157512164
247,3.956,0.00142930351255227
248,3.963,0.0346387330848128
249,3.971,0.0794527459375572
250,3.978,0.0497874056872376
251,3.986,0.020788101427461
252,3.994,0.0223632522372125
253,4.001,0.0312599373663644
254,4.009,0.0365493326781225
255,4.016,0.029354199349628
256,4.024,0.023495999578793
257,4.031,0.0298695264663986
258,4.039,0.0269379957926944
259,4.046,0.0327718876806629
260,4.054,0.0208318556166207
261,4.061,0.0260531888563525
262,4.069,0.0250030883165182
263,4.076,0.0469822760044394
264,4.084,0.0426651960073427
265,4.091,0.0585431050957636
266,4.099,0.0814070997200267
267,4.107,0.0283235451160869
268,4.114,0.0272199672339462
269,4.122,0.0255573080458752
270,4.129,0.0348575040306116
271,4.137,0.0354117237599686
272,4.144,0.0353631079942355
273,4.152,0.0253822912892361
274,4.159,0.0129804094507298
275,4.167,0.043603480285991
276,4.174,0.0391356914151218
277,4.182,0.0399038205137043
278,4.189,0.0208172708869008
279,4.197,0.0106808837315556
280,4.204,0.0456502040233533
281,4.212,0.027628339666104
282,4.220,0.0132380730091151
283,4.227,0.0317947107894282
284,4.235,0.0175989071953715
285,4.242,0.00797784715679688
286,4.250,0.0130338867930362
287,4.257,0.00842997377811444
288,4.265,0.00504145490651942
289,4.272,0.0225042379578384
290,4.280,0.0238897872812309
291,4.287,0.0134033666126076
292,4.295,0.00690830031066933
293,4.302,0.0214930300305905
294,4.310,0.0201026191306247
295,4.318,0.0101898644976516
296,4.325,0.0149104553503327
297,4.333,0.0243905296682815
298,4.340,0.0132818271982749
299,4.348,0.0158924938181408
300,4.355,0.0205547457519422
301,4.363,0.0224215911560921
302,4.370,0.0285082850258726
303,4.378,0.0120761562080947
304,4.385,0.0159897253496069
305,4.393,0.00697636238269563
306,4.400,0.021517337913457
307,4.408,0.0391308298385485
308,4.415,0.0926810957935257
309,4.423,0.138452839231212
310,4.431,0.0614454663100279
311,4.438,0.038916920469323
312,4.446,0.0212402280487785
313,4.453,0.0371181371371994
314,4.461,0.0304334693489022
315,4.468,0.0191059959330967
316,4.476,0.0291402899804025
317,4.483,0.0180461722401158
318,4.491,0.0232091665609679
319,4.498,0.0262427903427115
320,4.506,0.0228980256602762
321,4.513,0.0378570967763421
322,4.521,0.0330927517345011
323,4.529,0.0225090995344117
324,4.536,0.0119351704874688
325,4.544,0.0326114556537437
326,4.551,0.0201317885900645
327,4.559,0.0213617674631112
328,4.566,0.0328642576355557
329,4.574,0.0181531269247285
330,4.581,0.0249058567850521
331,4.589,0.0217847246249889
332,4.596,0.026393499216484
333,4.604,0.0358055114624065
334,4.611,0.0195435378246944
335,4.619,0.0292472446650153
336,4.626,0.0324364388971047
337,4.634,0.0294903234936806
338,4.642,0.0289020727283105
339,4.649,0.021896540886175
340,4.657,0.0248232099833058
341,4.664,0.0198887097613992
342,4.672,0.0168210549436424
343,4.679,0.0273366450717056
344,4.687,0.0225236842641316
345,4.694,0.0159411095838738
346,4.702,0.0233501522815938
347,4.709,0.0344345468687339
348,4.717,0.0251635203434373
349,4.724,0.0266657475045892
350,4.732,0.0266365780451494
351,4.740,0.0363305617323236
352,4.747,0.0183524515642341
353,4.755,0.0253385371000764
354,4.762,0.0147694696297068
355,4.770,0.0261261125049521
356,4.777,0.0278228027290363
357,4.785,0.0122997887304669
358,4.792,0.0212839822379383
