#"+EI TIC Scan TCM-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.119920043744779
1,2.102,0.132810127742015
2,2.110,0.118840838819952
3,2.117,0.11469005064754
4,2.125,0.117040906130642
5,2.132,0.109712878284438
6,2.140,0.0937247969330656
7,2.147,0.0977133270223744
8,2.155,0.0910381049523771
9,2.162,0.0883929208534126
10,2.170,0.0989283759237532
11,2.178,0.098143499614788
12,2.185,0.0917550592730664
13,2.193,0.070416234623075
14,2.200,0.0687559193541102
15,2.208,0.0780536848603133
16,2.215,0.0686879973658343
17,2.223,0.0646541859510084
18,2.230,0.0619637205265267
19,2.238,0.0693068421479031
20,2.245,0.0782612242689339
21,2.253,0.0588355356220452
22,2.260,0.0633523478423882
23,2.268,0.056718633654115
24,2.276,0.0656277344496287
25,2.283,0.0635598872510088
26,2.291,0.0553035922317018
27,2.298,0.0647334282706635
28,2.306,0.0600090766416999
29,2.313,0.0652088821885944
30,2.321,0.049054769310325
31,2.328,0.140013631943047
32,2.336,0.178732938704066
33,2.343,0.104150822133406
34,2.351,0.0846723052734141
35,2.358,0.0591185439065279
36,2.366,0.0623637055685955
37,2.373,0.06315990220894
38,2.381,0.054088543330323
39,2.389,0.0781065130734168
40,2.396,0.305550837702635
41,2.404,0.3765745967764
42,2.411,0.0853817127065173
43,2.419,0.0557601789306672
44,2.426,0.0657635784261804
45,2.434,0.0520471102382549
46,2.441,0.0441266517165339
47,2.449,0.0474057743727395
48,2.456,0.0606845230806652
49,2.464,0.0476585951068773
50,2.471,0.0478133063023945
51,2.479,0.0519640944748066
52,2.487,0.0500207709213591
53,2.494,0.058235558058942
54,2.502,0.0467907030344639
55,2.509,0.049533996672049
56,2.517,0.0441341986041201
57,2.524,0.0436398774672238
58,2.532,0.0553564204448053
59,2.539,0.0529451898610131
60,2.547,0.0382589466182604
61,2.554,0.0401003871892942
62,2.562,0.0476585951068773
63,2.569,0.152201855394766
64,2.577,0.255601762213345
65,2.584,0.0899513531399637
66,2.592,0.0456926308906712
67,2.600,0.0467039138272225
68,2.607,0.0620316425148026
69,2.615,0.0604505695654928
70,2.622,0.0552960453441156
71,2.630,0.0521074853389445
72,2.637,0.0514546795627379
73,2.645,0.0490849568606698
74,2.652,0.040945638598949
75,2.660,0.0495755045537731
