#"+EI TIC Scan TCM-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.129490092761109
1,2.102,0.128172237026087
2,2.110,0.131587464470114
3,2.117,0.136501429808872
4,2.125,0.142216444712054
5,2.132,0.120355543695811
6,2.140,0.0987401256106011
7,2.148,0.112138325583322
8,2.155,0.095983826034085
9,2.163,0.0927193337231487
10,2.170,0.101026992915492
11,2.178,0.0943860336233233
12,2.185,0.0897563116783939
13,2.193,0.0873574697032073
14,2.200,0.0926978001327072
15,2.208,0.0747387857044695
16,2.215,0.0763753385780259
17,2.223,0.0797388854049932
18,2.230,0.0853677659464097
19,2.238,0.0844375148393355
20,2.245,0.0698119002114469
21,2.253,0.0775898330789283
22,2.261,0.0880077841345415
23,2.268,0.0660650554746204
24,2.276,0.0620253539077889
25,2.283,0.0697386860039457
26,2.291,0.0673829112096421
27,2.298,0.0534162244492644
28,2.306,0.0661468831182982
29,2.313,0.0546996264395797
30,2.321,0.0534851319386773
31,2.328,0.0955273139167245
32,2.336,0.187708307878835
33,2.343,0.108886753426651
34,2.351,0.0823616767207718
35,2.358,0.0872498017509996
36,2.366,0.0553887013337088
37,2.374,0.0824090506197432
38,2.381,0.065427661197551
39,2.389,0.0717413099150082
40,2.396,0.222149132431021
41,2.404,0.36880580349212
42,2.411,0.126527070716354
43,2.419,0.0633389029247224
44,2.426,0.0647256661491571
45,2.434,0.0542431143222193
46,2.441,0.0400610916574262
47,2.449,0.059243214022743
48,2.456,0.0504402822502447
49,2.464,0.0522491038473334
50,2.472,0.0431145547820355
51,2.479,0.0572578169840337
52,2.487,0.0518141253204144
53,2.494,0.065750665054174
54,2.502,0.0533430102417632
55,2.509,0.0573267244734466
56,2.517,0.0354270629944085
57,2.524,0.056573048807993
58,2.532,0.0598806082998124
59,2.539,0.0526539353476342
60,2.547,0.0598418478370176
61,2.554,0.0452205399272173
62,2.562,0.0507589793887794
63,2.569,0.124011947352783
64,2.577,0.242300266366207
65,2.585,0.116195254022507
66,2.592,0.0578607575163966
67,2.600,0.0510432227826076
68,2.607,0.0522663307196866
69,2.615,0.0578478373621317
70,2.622,0.0720987675163376
71,2.630,0.0391825211674117
72,2.637,0.0670039200178712
73,2.645,0.039453844406975
74,2.652,0.0573611782181531
75,2.660,0.0392040547578533
76,2.667,0.0514092938201136
77,2.675,0.0450999518207447
78,2.683,0.0356854660797069
79,2.690,0.0447295740651504
80,2.698,0.0326535365455392
81,2.705,0.0566376495793176
82,2.713,0.0391480674227053
83,2.720,0.0501904926011229
84,2.728,0.063136487174572
85,2.735,0.0754450874709517
86,2.743,0.0632097013820732
87,2.750,0.0453928086507496
88,2.758,0.0596308186506906
89,2.765,0.0708928864516118
90,2.773,0.0817501227522323
91,2.780,0.060423254778939
92,2.788,0.0615128544552805
93,2.796,0.0728696700541445
94,2.803,0.0707421513185211
95,2.811,0.0755699822955126
96,2.818,0.0467321979762129
97,2.826,0.0510862899634907
98,2.833,0.0472059369659266
99,2.841,0.0445185448788234
100,2.848,0.0412497458497988
101,2.856,0.0563534061854894
102,2.863,0.0708239789621989
103,2.871,0.0570554012338833
104,2.878,0.0564653808557854
105,2.886,0.0740324839379872
106,2.894,0.0574645394522725
107,2.901,0.0564137002387257
108,2.909,0.0395012183059464
109,2.916,0.0515212684904096
110,2.924,0.0438553102932242
111,2.931,0.0535755730185318
112,2.939,0.0535454259919136
113,2.946,0.0649065483088659
114,2.954,0.161075563220748
115,2.961,5.17819972034757
116,2.969,34.6789688355974
117,2.976,87.9477011104916
118,2.984,100
119,2.991,2.43938541926999
120,2.999,0.141393861557188
121,3.007,0.103748838747301
122,3.014,0.10418381727422
123,3.022,0.0753891001358037
124,3.029,0.0606859645823256
125,3.037,0.0914617720413633
126,3.044,0.0818104168054686
127,3.052,0.0625421600783857
128,3.059,0.0767629432059735
129,3.067,0.0803202923469146
130,3.074,0.0412109853870041
131,3.082,0.0427441770264411
132,3.089,0.0606299772471777
133,3.097,0.0524730531879253
134,3.105,0.0521888097940971
135,3.112,0.0507546726706911
136,3.120,0.0668704117571337
137,3.127,0.0771893082967158
138,3.135,0.0700186226796856
139,3.142,0.0363142469205997
140,3.150,0.0401127722744859
141,3.157,0.0624344921261781
142,3.165,0.0681107465665659
143,3.172,0.0464910217632677
144,3.180,0.0477701170354947
145,3.187,0.0441094066604343
146,3.195,0.048786502504335
147,3.202,0.0350523785207259
148,3.210,0.0269772821051514
149,3.218,0.0490965862066931
150,3.225,0.0487477420415403
151,3.233,0.0343848372170384
152,3.240,0.0297465018359324
153,3.248,0.027885999621784
154,3.255,0.0448846159163294
155,3.263,0.0572147498031507
156,3.270,0.0424211731698182
157,3.278,0.0340015393071791
158,3.285,0.0399620371413952
159,3.293,0.0453626616241314
160,3.300,0.0459871357469359
161,3.308,0.0437433356229282
162,3.315,0.0508537271867221
163,3.323,0.0311763322412501
164,3.331,0.0246990282364373
165,3.338,0.0270332694402993
166,3.346,0.0307542738685961
167,3.353,0.00905272142162008
168,3.361,0.0285449274892949
169,3.368,0.0216886322927111
170,3.376,0.0259824302267526
171,3.383,0.0203018690682764
172,3.391,0.0241219280126042
173,3.398,0.0333339980034916
174,3.406,0.0238893652358357
175,3.413,0.0295570062400469
176,3.421,0.0205818057440163
177,3.429,0.0340058460252674
178,3.436,0.0262236064396977
179,3.444,0.0251684605080627
180,3.451,0.0227351647881695
181,3.459,0.0157712016393781
182,3.466,0.0356036384360291
183,3.474,0.0217144726012409
184,3.481,0.0377096235812109
185,3.489,0.0984128150358898
186,3.496,0.0648591744098946
187,3.504,0.0288248641650348
188,3.511,0.0313744412733122
189,3.519,0.0150046058196595
190,3.526,0.0159736173895285
191,3.534,0.0285018603084118
192,3.542,0.0104610182364963
193,3.549,0.00466848240772415
194,3.557,0.0287645701117985
195,3.564,0.0212536537657921
196,3.572,0.0225715095008139
197,3.579,0.0198582771051809
198,3.587,0.00668833319113986
199,3.594,0.0142250898456761
200,3.602,0.0133551327918382
201,3.609,0.00480199066846165
202,3.617,0.0168349610071898
203,3.624,0.0232519709587663
204,3.632,0.0269256014880917
205,3.640,0.0232218239321482
206,3.647,0.0278644660313425
207,3.655,0.0155644791711394
208,3.662,0.0138805523986116
209,3.670,0.0273907270416288
210,3.677,0.01919934923767
211,3.685,0.0138891658347882
212,3.692,0.0135101746430172
213,3.700,0.0164688899696837
214,3.707,0.0234888404536232
215,3.715,0.0184672071626579
216,3.722,0.0186739296308966
217,3.730,0.0203190959406296
218,3.737,0.0162147936024736
219,3.745,0.0198152099242978
220,3.753,0.0167014527464523
221,3.760,0.024427704996874
222,3.768,0.0200908398819494
223,3.775,0.0237429368208332
224,3.783,0.0132474648396305
225,3.790,0.0238290711825994
226,3.798,0.0198668905413575
227,3.805,0.0212708806381454
228,3.813,0.022080543638747
229,3.820,0.0287688768298868
230,3.828,0.0038975798699173
231,3.835,0.0103662704385535
232,3.843,0.0276017562279558
233,3.851,0.0187902110192809
234,3.858,0.0282692975316433
235,3.866,0.0210297044252002
236,3.873,0.00955660743795193
237,3.881,0.0425891351752621
238,3.888,0.0404400828491972
239,3.896,0.0245353729490816
240,3.903,0.0234285464003869
241,3.911,0.00911732219294467
242,3.918,0.0258833757107215
243,3.926,0.0203923101481309
244,3.933,0.0164645832515954
245,3.941,0.00547383869023745
246,3.948,0.0204482974832788
247,3.956,0.0128813938021245
248,3.964,0.0296259137294598
249,3.971,0.0724002377825191
250,3.979,0.0571975229307975
251,3.986,0.0290617336598917
252,3.994,0.0156333866605523
253,4.001,0.0269772821051514
254,4.009,0.0276275965364856
255,4.016,0.0227610050966994
256,4.024,0.0175283426194071
257,4.031,0.0202286548607752
258,4.039,0.021546510595797
259,4.046,0.0395399787687412
260,4.054,0.0281745497337005
261,4.061,0.0278644660313425
262,4.069,0.0356122518722057
263,4.077,0.0163224615546813
264,4.084,0.0368267463731081
265,4.092,0.0533042497789685
266,4.099,0.0616076022532232
267,4.107,0.0194146851420853
268,4.114,0.00607677922260035
269,4.122,0.0172225656351373
270,4.129,0.0233467187567091
271,4.137,0.0250392589654135
272,4.144,0.0328947127584844
273,4.152,0.0349533240046948
274,4.159,0.0225112154475776
275,4.167,0.0369774815061989
276,4.175,0.033493346572759
277,4.182,0.0322788520718566
278,4.190,0.0378259049695952
279,4.197,0.0194189918601736
280,4.205,0.0172010320446958
281,4.212,0.0139666867603777
282,4.220,0.0184069131094216
283,4.227,0.0186739296308966
284,4.235,0.0168134274167482
285,4.242,0.0110596520507709
286,4.250,0.0177479852419107
287,4.257,0.0124636421475588
288,4.265,0.0246258140289361
289,4.272,0.0106978877313531
290,4.280,0.0136996702389027
291,4.288,0.00673570709011123
292,4.295,0.0153792902933422
293,4.303,0.0142767704627358
294,4.310,0.00938433871441967
295,4.318,0.00390188658800561
296,4.325,0.015896096463939
297,4.333,0.0010723728039883
298,4.340,0.0168909483423377
299,4.348,0.0154094373199603
300,4.355,0.0152328618783398
301,4.363,0.0207497677494603
302,4.370,0.0111543998487136
303,4.378,0.0180150017633857
304,4.386,0.0195352732485579
305,4.393,0.0177178382152926
306,4.401,0.0140097539412608
307,4.408,0.0309007022835985
308,4.416,0.0890629300661766
309,4.423,0.128107636254763
310,4.431,0.0381790558528363
311,4.438,0.0417665520203956
312,4.446,0.00897520049603056
313,4.453,0.0324468140773005
314,4.461,0.0142724637446474
315,4.468,0.00686921535084873
316,4.476,0.0292124687929824
317,4.483,0.0272270717542731
318,4.491,0.0237041763580385
319,4.499,0.0154826515274616
320,4.506,0.0300436653840255
321,4.514,0.0230624753628808
322,4.521,0.0251383134814445
323,4.529,0.0203277093768063
324,4.536,0.0147031355534781
325,4.544,0.0208315953931381
326,4.551,0.0168263475710132
327,4.559,0.0276921973078102
328,4.566,0.014337064515972
329,4.574,0.0192294962642881
330,4.581,0.00856606227764145
