#"+EI TIC Scan TCM-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.124907085326413
1,2.102,0.117881208638774
2,2.110,0.101268182491077
3,2.117,0.101953538355256
4,2.125,0.104416903147076
5,2.132,0.114505341467789
6,2.140,0.0924877947911388
7,2.147,0.0988009013800326
8,2.155,0.0990711274064803
9,2.162,0.0910544219551989
10,2.170,0.0846982358548424
11,2.178,0.0718879556735325
12,2.185,0.0759256807933523
13,2.193,0.0716999723507863
14,2.200,0.0707796373331746
15,2.208,0.0725889768146069
16,2.215,0.0665930920828474
17,2.223,0.0764896307615909
18,2.230,0.070830549483085
19,2.238,0.0618700110988487
20,2.245,0.0687353186983095
21,2.253,0.0636401873880422
22,2.260,0.0578910307673871
23,2.268,0.0654769411040417
24,2.276,0.0601585795980133
25,2.283,0.0626924381358634
26,2.291,0.0495022749898372
27,2.298,0.0566417249349695
28,2.306,0.0600528389789686
29,2.313,0.0609144292082221
30,2.321,0.0561012728820742
31,2.328,0.130076626701934
32,2.336,0.174914565496131
33,2.343,0.0853875080382452
34,2.351,0.0854971649765138
35,2.358,0.0729061986717412
36,2.366,0.0676387493156232
37,2.373,0.0583727380319243
38,2.381,0.057828369659805
39,2.389,0.0757690280243971
40,2.396,0.288902952826368
41,2.404,0.364260767332258
42,2.411,0.0992395291331071
43,2.419,0.0655513511692954
44,2.426,0.0460911609458381
45,2.434,0.0544603351272686
46,2.441,0.0446382065137788
47,2.449,0.0437374530922865
48,2.456,0.0646584303862509
49,2.464,0.0554707454870295
50,2.471,0.0530935397181347
51,2.479,0.0533089372754481
52,2.487,0.0508651540797472
53,2.494,0.062218563509774
54,2.502,0.0485271115030912
55,2.509,0.0552435989720445
56,2.517,0.0606011236703117
57,2.524,0.0534342594906122
58,2.532,0.0598178598255358
59,2.539,0.064979568562609
60,2.547,0.0504931037534787
61,2.554,0.0539316320320449
62,2.562,0.062543618005356
63,2.569,0.165127683755656
64,2.577,0.235523521804891
65,2.584,0.105544803083553
66,2.592,0.0743121572731139
67,2.600,0.0564811558467905
68,2.607,0.0764152206963372
69,2.615,0.0668084896401608
70,2.622,0.0540882848010001
71,2.630,0.0649012421781314
72,2.637,0.057276168649238
73,2.645,0.0563245030778353
74,2.652,0.0510962169139561
75,2.660,0.0610632493387295
76,2.667,0.058220001582193
77,2.675,0.0584823949701929
78,2.682,0.0529329706299556
79,2.690,0.064200221037057
80,2.697,0.0542488538891791
81,2.705,0.0567122186809994
82,2.713,0.0545699920655373
83,2.720,0.0595280522029687
84,2.728,0.0787258490384262
85,2.735,0.0880662703873788
86,2.743,0.0766306182536506
87,2.750,0.0587682862735361
88,2.758,0.0559211221977757
89,2.765,0.0735445587052335
90,2.773,0.0811265527226643
91,2.780,0.0645879366402211
92,2.788,0.0684063478835036
93,2.795,0.0937057700697653
94,2.803,0.0809503183575897
95,2.811,0.082924143246425
96,2.818,0.0616546135415353
97,2.826,0.0627981787549081
98,2.833,0.0600920021712074
99,2.841,0.0608752660159833
100,2.848,0.0656375101922208
101,2.856,0.0667849917248175
102,2.863,0.0717626334583684
103,2.871,0.0624731242593261
104,2.878,0.0716882233931146
105,2.886,0.0829907206732309
106,2.893,0.0712417630015924
107,2.901,0.0783263844775904
108,2.908,0.0720720226770548
109,2.916,0.060558044158849
110,2.924,0.0608008559507296
111,2.931,0.059845274060103
112,2.939,0.058349240116581
113,2.946,0.0599314330830283
114,2.954,0.27557963482673
115,2.961,5.92620166380906
116,2.969,31.4901203014939
117,2.976,70.4983594538771
118,2.984,100
119,2.991,16.7141376774191
120,2.999,0.176692574423772
121,3.006,0.112394445406118
122,3.014,0.119377242582296
123,3.022,0.0945751929374666
124,3.029,0.0968897375987794
125,3.037,0.0985815875034953
126,3.044,0.0987852361031371
127,3.052,0.0897620366113186
128,3.059,0.0795404434369931
129,3.067,0.0819568123981268
130,3.074,0.0748526093260093
131,3.082,0.0615488729224906
132,3.089,0.0670199708782503
133,3.097,0.0652341293121612
134,3.104,0.0558036326210593
135,3.112,0.0660800542645192
136,3.119,0.076681530403561
137,3.127,0.0977552441472567
138,3.135,0.0758747686434419
139,3.142,0.0561756829473279
140,3.150,0.0595672153952075
141,3.157,0.0767050283189043
142,3.165,0.0869775336431403
143,3.172,0.062379132597953
144,3.180,0.0674860128658919
145,3.187,0.0627511829242216
146,3.195,0.0539825441819553
147,3.202,0.0466668598717484
148,3.210,0.0601429143211178
149,3.217,0.0568179593000441
150,3.225,0.0589797675116256
151,3.233,0.048695513229718
152,3.240,0.0500505596811803
153,3.248,0.0500740575965236
154,3.255,0.11448575987167
155,3.263,0.173191385037624
156,3.270,0.112519767621283
157,3.278,0.0477046844660765
158,3.285,0.0497529194201654
159,3.293,0.0503912794536578
160,3.300,0.0509356478257771
161,3.308,0.0584432317779541
162,3.315,0.0758669360049941
163,3.323,0.0531953640179555
164,3.330,0.037772898914318
165,3.338,0.036147626436408
166,3.346,0.0285343018651862
167,3.353,0.0484761993531807
168,3.361,0.0316438593289465
169,3.368,0.0370405472194525
170,3.376,0.041544314326914
171,3.383,0.0451747422474503
172,3.391,0.0350784712882889
173,3.398,0.042942440289839
174,3.406,0.0391201127273325
175,3.413,0.0424881472598689
176,3.421,0.0355601785528261
177,3.428,0.0337312574752743
178,3.436,0.0423001639371227
179,3.443,0.0428210343938987
180,3.451,0.0386305728243476
181,3.459,0.0401618536408845
182,3.466,0.033707759559931
183,3.474,0.0399777866373622
184,3.481,0.0714610768781296
185,3.489,0.120747954310653
186,3.496,0.0757141995552628
187,3.504,0.0428915281399285
188,3.511,0.0320354912513345
189,3.519,0.034553684512289
190,3.526,0.028217080008052
191,3.534,0.0442034950799282
192,3.541,0.0312522274065586
193,3.549,0.0224365928336058
194,3.557,0.0298541014436336
195,3.564,0.0338644123288862
196,3.572,0.0300460010856037
197,3.579,0.0390182884275117
198,3.587,0.0238895472656651
199,3.594,0.0273437408211268
200,3.602,0.0369896350695421
201,3.609,0.0293058167522905
202,3.617,0.0298619340820814
203,3.624,0.0327051818386179
204,3.632,0.0334962783218416
205,3.639,0.0383016020095417
206,3.647,0.0379138864063776
207,3.654,0.0407806320782575
208,3.662,0.028217080008052
209,3.670,0.0302065701737828
210,3.677,0.0228125594790982
211,3.685,0.0251114388635155
212,3.692,0.0289925112143801
213,3.700,0.0270852637523508
214,3.707,0.031757432586439
215,3.715,0.0322548051278717
216,3.722,0.0334101192989162
217,3.730,0.0292274903678129
218,3.737,0.0435024739388537
219,3.745,0.0366919948085272
220,3.752,0.0281074230697833
221,3.760,0.026752376618321
222,3.768,0.0241401916959934
223,3.775,0.0354191910607664
224,3.783,0.0336490147715729
225,3.790,0.0252524263555752
226,3.798,0.0300107542125888
227,3.805,0.0310133319339019
228,3.813,0.0290434233642905
229,3.820,0.0288045278916339
230,3.828,0.0330419852918715
231,3.835,0.0274298998440522
232,3.843,0.0272849960327686
233,3.850,0.0318200936940211
234,3.858,0.0265095648264405
235,3.865,0.0389477946814818
236,3.873,0.0371932836691838
237,3.881,0.0607812743546102
238,3.888,0.0418576198648243
239,3.896,0.0260826860310376
240,3.903,0.028052594600649
241,3.911,0.0318318426516928
242,3.918,0.0277353727435148
243,3.926,0.0407140546514515
244,3.933,0.0301439090662007
245,3.941,0.0261805940116346
246,3.948,0.0384504221400491
247,3.956,0.0322743867239911
248,3.963,0.049376952774673
249,3.971,0.112468855471372
250,3.979,0.0640866477795645
251,3.986,0.0342442952936025
252,3.994,0.0308997586764094
253,4.001,0.0493652038170014
254,4.009,0.0569276162383127
255,4.016,0.0274220672056044
256,4.024,0.0335824373447669
257,4.031,0.0345693497891845
258,4.039,0.0389399620430341
259,4.046,0.0401266067678696
260,4.054,0.0346985883235726
261,4.061,0.0343187053588562
262,4.069,0.0297953566552754
263,4.076,0.0398955439336607
264,4.084,0.0582395831783124
265,4.092,0.0938585065194966
266,4.099,0.11025613510988
267,4.107,0.0613021448113862
268,4.114,0.0295564611826188
269,4.122,0.0226324087947998
270,4.129,0.024476995149247
271,4.137,0.0320119933359912
272,4.144,0.0352312077380202
273,4.152,0.0243203423802918
274,4.159,0.0286752893572459
275,4.167,0.0357207476410051
276,4.174,0.037283359011333
277,4.182,0.0362886139284676
278,4.190,0.0222799400646506
279,4.197,0.0204040231564123
280,4.205,0.0184771940982636
281,4.212,0.0321059849973643
282,4.220,0.0281974984119326
283,4.227,0.0262706693537838
284,4.235,0.0284716407576041
285,4.242,0.0256440582779631
286,4.250,0.0211833706819643
287,4.257,0.0249038739446499
288,4.265,0.0262471714384406
289,4.272,0.0292039924524696
290,4.280,0.0276570463590372
291,4.287,0.0273437408211268
292,4.295,0.0210423831899047
293,4.303,0.0268894477911568
294,4.310,0.0278724439163506
295,4.318,0.0215867515620239
296,4.325,0.0185398552058457
297,4.333,0.0249587024137842
298,4.340,0.0185046083328307
299,4.348,0.0196638388230991
300,4.355,0.0255304850204706
301,4.363,0.0254991544666796
302,4.370,0.0287144525494847
303,4.378,0.0298580177628575
304,4.385,0.0152266491424436
305,4.393,0.0263607446959331
306,4.400,0.031075993041484
307,4.408,0.0288789379568876
308,4.416,0.120896774441161
309,4.423,0.133385916446113
310,4.431,0.0473404667782557
311,4.438,0.0327208471155134
312,4.446,0.030848846526499
313,4.453,0.0307391895882304
314,4.461,0.0215906678812478
315,4.468,0.0259377822197541
316,4.476,0.0277157911473954
317,4.483,0.0244339156377843
318,4.491,0.027500393590082
319,4.498,0.0203061151758153
320,4.506,0.0262393387999928
321,4.514,0.0259534474966496
322,4.521,0.0303749719004096
323,4.529,0.0242890118265008
324,4.536,0.0238464677542024
325,4.544,0.025581397170381
326,4.551,0.0175372774845325
327,4.559,0.0212499481087703
328,4.566,0.0242341833573665
329,4.574,0.0209523078477554
330,4.581,0.0183127086908606
331,4.589,0.0278293644048879
332,4.596,0.0280604272390968
333,4.604,0.0231963587630384
334,4.611,0.0378668905756911
335,4.619,0.028181833135037
336,4.627,0.0322352235317523
337,4.634,0.0333983703412446
338,4.642,0.0330537342495432
339,4.649,0.0282092473696042
340,4.657,0.0221624504879342
341,4.664,0.0350471407344978
342,4.672,0.0346006803429756
343,4.679,0.0192330437084723
344,4.687,0.03367642900614
345,4.694,0.0394569161805862
346,4.702,0.0310916583183795
347,4.709,0.0285812976958728
348,4.717,0.0359988063059006
349,4.725,0.025843790558381
350,4.732,0.0189079892128903
351,4.740,0.0227812289253072
352,4.747,0.0301869885776634
353,4.755,0.0312522274065586
354,4.762,0.028475557076828
355,4.770,0.0334845293641699
356,4.777,0.0328618346075731
357,4.785,0.0370366309002286
358,4.792,0.0431225909741374
359,4.800,0.0323018009585583
360,4.807,0.0386149075474521
361,4.815,0.0291804945371263
362,4.822,0.039331593965422
363,4.830,0.0480297389616585
364,4.838,0.0500858065541952
365,4.845,0.0341698852283488
366,4.853,0.0289925112143801
367,4.860,0.0325093658774239
368,4.868,0.0299480931050067
369,4.875,0.0275199751862014
370,4.883,0.0290512560027383
371,4.890,0.0337860859444086
372,4.898,0.0258359579199332
373,4.905,0.0414072431540782
374,4.913,0.0244652461915754
375,4.920,0.0293606452214248
376,4.928,0.0202160398336661
377,4.936,0.0270695984754553
378,4.943,0.0320237422936629
379,4.951,0.0331398932724685
380,4.958,0.0254012464860826
381,4.966,0.019894901657308
382,4.973,0.027371155055694
383,4.981,0.0256048950857243
384,4.988,0.0279938498122908
385,4.996,0.0246179826413067
386,5.003,0.0325289474735433
387,5.011,0.0526588282842841
388,5.018,0.0483822076918076
389,5.026,0.0279351050239326
390,5.033,0.0330106547380805
391,5.041,0.027241916521306
392,5.049,0.0254247444014259
393,5.056,0.0328461693306775
394,5.064,0.0422492517872123
395,5.071,0.0268267866835747
396,5.079,0.0235644927700831
397,5.086,0.0343382869549756
398,5.094,0.0244260829993366
399,5.101,0.0267758745336643
400,5.109,0.0291804945371263
401,5.116,0.0282640758387385
402,5.124,0.0243751708494261
403,5.131,0.0245044093838142
404,5.139,0.0274729793555148
405,5.146,0.0221976973609491
406,5.154,0.0265134811456644
407,5.162,0.0305198757116931
408,5.169,0.0258202926430377
409,5.177,0.0268972804296046
410,5.184,0.0222838563838745
411,5.192,0.0181286416873383
412,5.199,0.0129199371195785
413,5.207,0.0275082262285298
414,5.214,0.0252602589940229
415,5.222,0.0257576315354556
416,5.229,0.0225893292833371
417,5.237,0.0327247634347373
418,5.244,0.0176312691459056
419,5.252,0.0212695297048897
420,5.260,0.0203374457296064
421,5.267,0.0172318045850699
422,5.275,0.02275381469074
423,5.282,0.0256518909164109
424,5.290,0.0193466169659648
425,5.297,0.0193583659236365
426,5.305,0.0241950201651277
427,5.312,0.0201651276837557
428,5.320,0.0152893102500257
429,5.327,0.00816160926256492
430,5.335,0.014854598816175
431,5.342,0.0191077214933082
432,5.350,0.0249195392215454
433,5.357,0.0172983820118758
434,5.365,0.0152227328232197
435,5.373,0.018398867713786
436,5.380,0.0179563236414876
437,5.388,0.0100218608939077
438,5.395,0.0158650091759359
439,5.403,0.0196795040999946
440,5.410,0.0202630356643526
441,5.418,0.0232786014667399
442,5.425,0.0276609626782611
443,5.433,0.0241754385690083
444,5.440,0.0116745476063849
445,5.448,0.0171887250736072
446,5.455,0.0186495121441143
447,5.463,0.0195502655656066
448,5.471,0.0254129954437542
449,5.478,0.0207329939712182
450,5.486,0.0150112515851302
451,5.493,0.0195620145232782
452,5.501,0.0171691434774878
453,5.508,0.0233451788935458
454,5.516,0.0108207900155791
455,5.523,0.0118272840561162
456,5.531,0.0191077214933082
457,5.538,0.0244104177224411
458,5.546,0.0175098632499653
459,5.553,0.011604053860355
460,5.561,0.018919738170562
461,5.568,0.0108482042501463
462,5.576,0.0217003248195164
463,5.584,0.0181873864756965
464,5.591,0.0148585151353989
465,5.599,0.0139303474793395
466,5.606,0.0169302480048312
467,5.614,0.0393511755615414
468,5.621,0.096772248022063
469,5.629,0.103923446924867
470,5.636,0.0715746501356221
471,5.644,0.0494631117975984
472,5.651,0.0424920635790928
473,5.659,0.0437178714961671
474,5.666,0.052791983137896
475,5.674,0.0394764977767056
476,5.682,0.0274455651209477
477,5.689,0.0343461195934234
478,5.697,0.0335080272795132
479,5.704,0.0289337664260219
480,5.712,0.0268228703643508
481,5.719,0.0276022178899029
482,5.727,0.0306373652884095
483,5.734,0.0177605076802936
484,5.742,0.0206820818213078
485,5.749,0.0254991544666796
486,5.757,0.0213282744932479
487,5.764,0.02762963212447
488,5.772,0.0235605764508592
489,5.779,0.0266779665530673
490,5.787,0.0194327759888902
491,5.795,0.0198557384650692
492,5.802,0.0226637393485908
493,5.810,0.0293019004330666
494,5.817,0.0467726004907931
495,5.825,0.0390574516197505
496,5.832,0.0205841738407108
497,5.840,0.0267993724490076
498,5.847,0.0231493629323519
499,5.855,0.0268267866835747
500,5.862,0.0226794046254863
501,5.870,0.0200985502569497
502,5.877,0.0279155234278132
503,5.885,0.0237172292198144
504,5.893,0.0132175773805934
505,5.900,0.0221428688918148
506,5.908,0.0318670895247077
507,5.915,0.0218608939076955
508,5.923,0.0225305844949789
509,5.930,0.0157631848761151
510,5.938,0.023795555604292
511,5.945,0.0184184493099054
512,5.953,0.0204236047525317
513,5.960,0.0225540824103222
514,5.968,0.0209444752093077
515,5.975,0.0126888742853697
516,5.983,0.0142906488479364
517,5.990,0.00824385196626639
518,5.998,0.0134447238955784
519,6.006,0.0126222968585637
520,6.013,0.0131470836345636
521,6.021,0.0121405895940265
522,6.028,0.0242576812727098
523,6.036,0.0161156536062642
524,6.043,0.0103429990702658
525,6.051,0.0138402721371902
526,6.058,0.0194249433504424
527,6.066,0.0112437524917581
528,6.073,0.00842400265056485
529,6.081,0.0204940984985615
530,6.088,0.0173336288848908
531,6.096,0.0121445059132504
532,6.103,0.0123246565975489
533,6.111,0.0212147012357554
534,6.119,0.0119212757174893
535,6.126,0.0115570580296685
536,6.134,0.0113573257492506
537,6.141,0.0102999195588031
538,6.149,0.00666949163826683
539,6.156,0.0189001565744426
540,6.164,0.00963022897151974
541,6.171,0.015116992204175
542,6.179,0.0158493438990404
543,6.186,0.0171338966044729
544,6.194,0.00838483945832606
545,6.201,0.0140635023329514
546,6.209,0.00983387757116148
547,6.217,0.01904897670495
548,6.224,0.00906236268405721
549,6.232,0.0137110336028022
550,6.239,0.00977904910202717
551,6.247,0.0106719698850717
552,6.254,0.0125635520702055
553,6.262,0.00787180163999784
554,6.269,0.0166208587861447
555,6.277,0.0114630663682954
556,6.284,0.0207408266096659
557,6.292,0.011278999364773
558,6.299,0.0114043215799372
559,6.307,0.00953623731014664
560,6.314,0.0113612420684745
561,6.322,0.0147645234740258
562,6.330,0.00839267209677381
563,6.337,0.00925034600680343
564,6.345,0.0144042221054289
565,6.352,0.0122424138938474
566,6.360,0.00704545828375926
567,6.367,0.00306647795229767
568,6.375,0.0115570580296685
569,6.382,0.00748408603683377
570,6.390,0
571,6.397,0.015504707807339
572,6.405,0.0234626684702622
573,6.412,0.0288750216376637
574,6.420,0.0211128769359345
575,6.428,0.0144473016168916
576,6.435,0.0163584653981448
577,6.443,0.0128220291389816
578,6.450,0.0136797030490112
579,6.458,0.0176077712305623
580,6.465,0.0128651086504442
581,6.473,0.0178897462146817
582,6.480,0.0174785326961743
583,6.488,0.0133350669573098
584,6.495,0.0132684895305038
585,6.503,0.0141888245481155
586,6.510,0.0232551035513966
587,6.518,0.0211089606167106
588,6.525,0.020317864133487
589,6.533,0.024868627071635
590,6.541,0.0279311887047087
591,6.548,0.0398994602528846
592,6.556,0.0339858182248265
593,6.563,0.0192369600276962
594,6.571,0.0152227328232197
595,6.578,0.0154577119766525
596,6.586,0.0221311199341432
597,6.593,0.0200593870647109
